frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.007809,0.038205,-0.000996,-9.2e-05,0.00536,-0.004368,0.036824,-0.012744,0.016245,-0.240815,0.120648,0.023925,-0.031052,7.8e-05,-0.00058,-0.000618,-7.7e-05,0.000119,0.000244,-0.247731
2,0.007809,0.038205,-0.000996,-9.2e-05,0.00536,-0.004368,0.036824,-0.012744,0.016245,-0.240815,0.120648,0.023925,-0.031052,7.8e-05,-0.00058,-0.000618,-7.7e-05,0.000119,0.000244,-0.247731
3,0.007809,0.038205,-0.000996,-9.2e-05,0.00536,-0.004368,0.036824,-0.012744,0.016245,-0.240815,0.120648,0.023925,-0.031052,7.8e-05,-0.00058,-0.000618,-7.7e-05,0.000119,0.000244,-0.247731
4,0.007809,0.038205,-0.000996,-9.2e-05,0.00536,-0.004368,0.036824,-0.012744,0.016245,-0.240815,0.120648,0.023925,-0.031052,7.8e-05,-0.00058,-0.000618,-7.7e-05,0.000119,0.000244,-0.248057
5,0.007809,0.038205,-0.000996,-9.2e-05,0.00536,-0.004368,0.036824,-0.012744,0.016245,-0.240815,0.120648,0.023925,-0.031052,7.8e-05,-0.00058,-0.000618,-7.7e-05,0.000119,0.000244,-0.248057
6,0.007809,0.038205,-0.000996,-9.2e-05,0.00536,-0.004368,0.036824,-0.012744,0.016245,-0.240815,0.120648,0.023925,-0.031052,7.8e-05,-0.00058,-0.000618,-7.7e-05,0.000119,0.000244,-0.247731
7,0.007809,0.038205,-0.000996,-9.2e-05,0.00536,-0.004368,0.036824,-0.012744,0.016245,-0.240815,0.120648,0.023925,-0.031052,7.8e-05,-0.00058,-0.000618,-7.7e-05,0.000119,0.000244,-0.247731
8,0.007809,0.038205,-0.000996,-9.2e-05,0.00536,-0.004368,0.036824,-0.012744,0.016245,-0.240815,0.120648,0.023925,-0.031052,7.8e-05,-0.00058,-0.000618,-7.7e-05,0.000119,0.000244,-0.247731
9,0.007809,0.038205,-0.000996,-9.2e-05,0.00536,-0.004368,0.036824,-0.012744,0.016245,-0.240815,0.120648,0.023925,-0.031052,7.8e-05,-0.00058,-0.000618,-7.7e-05,0.000119,0.000244,-0.247731
10,0.007809,0.038205,-0.000996,-9.2e-05,0.00536,-0.004368,0.036824,-0.012744,0.016245,-0.240815,0.120648,0.023925,-0.031052,7.8e-05,-0.00058,-0.000618,-7.7e-05,0.000119,0.000244,-0.247731
11,0.007809,0.038205,-0.000996,-9.2e-05,0.00536,-0.004368,0.036824,-0.012744,0.016245,-0.240815,0.120648,0.023925,-0.031052,7.8e-05,-0.00058,-0.000618,-7.7e-05,0.000119,0.000244,-0.247894
12,0.007809,0.038205,-0.000996,-9.2e-05,0.00536,-0.004368,0.036824,-0.012744,0.016245,-0.240815,0.120648,0.023925,-0.031052,7.8e-05,-0.00058,-0.000618,-7.7e-05,0.000119,0.000244,-0.247894
