frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.237734,-0.059915,0.347001,-0.569376,0.724531,-0.388474,-0.7902,-0.612631,0.015441,-0.226102,0.314859,0.921829,2e-06,-1.1e-05,-1.3e-05,0.0,0.0,0.0,0.519193,-0.236769,-0.043335,0.311085,-0.855987,-0.414454,0.309039,0.51223,-0.760042,0.399865,0.070229,0.501101,0.862456,-0.000267,-0.001181,-0.001452,-0.001684,0.013952,-0.025158,0.534486,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
2,0.237734,-0.059909,0.347007,-0.569359,0.72454,-0.388482,-0.790211,-0.612617,0.015433,-0.226107,0.314865,0.921826,-8.3e-05,0.000624,0.000681,0.0,0.0,0.0,0.519304,-0.236737,-0.043309,0.311035,-0.856037,-0.41442,0.308946,0.512143,-0.760148,0.399774,0.070243,0.500968,0.862531,-5.8e-05,-0.000258,-0.000317,0.0,-0.0,-0.0,0.534602,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
3,0.23777,-0.059918,0.347009,-0.56503,0.72791,-0.388501,-0.793848,-0.607897,0.015444,-0.22423,0.316228,0.921818,3.1e-05,-0.000233,-0.000254,-0.0,0.0,0.0,0.519677,-0.236701,-0.043306,0.311038,-0.856012,-0.414441,0.308988,0.512183,-0.760127,0.399762,0.070265,0.500982,0.862522,0.015446,-0.00129,-0.001737,-0.00958,0.081107,-0.144363,0.534666,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
4,0.237782,-0.059915,0.346995,-0.565014,0.72792,-0.388508,-0.793852,-0.607892,0.015412,-0.224256,0.316217,0.921816,5.1e-05,-0.000383,-0.000418,-0.0,0.0,0.0,0.519532,-0.2367,-0.043309,0.311051,-0.856016,-0.414435,0.308986,0.512179,-0.760117,0.399787,0.070252,0.501002,0.862512,-0.015436,0.001335,0.001792,-0.002045,0.015205,-0.029245,0.534645,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
5,0.237734,-0.059904,0.346966,-0.565069,0.727897,-0.388469,-0.793802,-0.607959,0.015365,-0.224293,0.316141,0.921832,5e-05,-0.00038,-0.000414,0.0,0.0,0.0,0.519575,-0.23669,-0.043307,0.311037,-0.856024,-0.41443,0.30897,0.512164,-0.760137,0.399768,0.070256,0.500976,0.862526,-0.00011,-0.000488,-0.0006,0.0,-0.0,-0.0,0.534709,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
6,0.237711,-0.059907,0.346966,-0.565109,0.727877,-0.388448,-0.793777,-0.607991,0.015383,-0.224279,0.316126,0.921841,0.0,-0.0,-0.0,0.0,0.0,0.0,0.519574,-0.236677,-0.043295,0.311036,-0.856054,-0.414405,0.30892,0.512116,-0.760174,0.399758,0.070243,0.50094,0.862548,1e-06,6e-06,7e-06,0.0,-0.0,-0.0,0.534537,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
7,0.237699,-0.059908,0.346965,-0.565252,0.727802,-0.388382,-0.793688,-0.608105,0.015449,-0.224236,0.316078,0.921868,-0.015483,-0.001707,-0.000334,-0.000984,0.014715,-0.029553,0.519511,-0.236688,-0.043302,0.311044,-0.856035,-0.41442,0.308953,0.512147,-0.760146,0.399772,0.070248,0.500971,0.86253,0.0,0.0,0.0,0.0,-0.0,-0.0,0.534569,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
8,0.237635,-0.059854,0.346954,-0.565211,0.727834,-0.388381,-0.793688,-0.608109,0.015308,-0.22434,0.315997,0.92187,-2.2e-05,0.000167,0.000182,0.0,0.0,0.0,0.520013,-0.236688,-0.043286,0.311031,-0.856049,-0.414412,0.308925,0.512123,-0.760183,0.399733,0.070257,0.500921,0.862558,-0.01546,0.001227,0.00166,-0.002045,0.015205,-0.029245,0.534752,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
9,0.237598,-0.059833,0.346904,-0.565236,0.72783,-0.388353,-0.793646,-0.608167,0.015198,-0.224425,0.315897,0.921884,2.9e-05,-0.000218,-0.000238,0.0,0.0,0.0,0.520297,-0.236701,-0.043282,0.311019,-0.856033,-0.414429,0.308946,0.512145,-0.760183,0.399703,0.070279,0.500907,0.862564,-1e-06,-3e-06,-4e-06,0.0,-0.0,-0.0,0.534484,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
10,0.237598,-0.059831,0.34689,-0.56524,0.727829,-0.388349,-0.793638,-0.608178,0.015175,-0.224444,0.315877,0.921886,6e-06,-4.9e-05,-5.4e-05,0.0,0.0,0.0,0.520064,-0.23669,-0.043291,0.311024,-0.856038,-0.414422,0.308941,0.512139,-0.760174,0.399728,0.070265,0.500926,0.862554,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.534794,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
11,0.23761,-0.059842,0.346939,-0.565223,0.727832,-0.388368,-0.79367,-0.608134,0.015265,-0.224373,0.315956,0.921877,-8.3e-05,0.000624,0.000681,0.0,0.0,0.0,0.520052,-0.23669,-0.043283,0.311017,-0.856045,-0.414418,0.308927,0.512126,-0.760193,0.399709,0.07027,0.500901,0.862568,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.534532,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
12,0.237611,-0.059848,0.346932,-0.565241,0.727823,-0.38836,-0.793659,-0.608148,0.015273,-0.224367,0.31595,0.92188,-0.000788,0.009086,-0.010501,0.035398,-0.005329,0.022132,0.520391,-0.236713,-0.043281,0.31102,-0.856021,-0.414439,0.308964,0.512164,-0.760173,0.399698,0.070288,0.500913,0.86256,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.534883,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
13,0.237613,-0.059868,0.34694,-0.565286,0.727796,-0.388344,-0.793641,-0.60817,0.015343,-0.224316,0.31597,0.921886,0.0,-1e-06,-2e-06,0.0,0.0,0.0,0.520175,-0.23671,-0.04327,0.311033,-0.856042,-0.414421,0.308931,0.512132,-0.76019,0.399708,0.070272,0.500902,0.862568,-5.2e-05,0.010928,-0.008479,0.036081,-0.014227,0.016346,0.534461,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
14,0.237625,-0.059875,0.346948,-0.56528,0.727797,-0.38835,-0.79365,-0.608157,0.015365,-0.224299,0.315991,0.921882,0.0,-0.0,-0.0,0.0,0.0,0.0,0.520436,-0.236686,-0.043275,0.311044,-0.856069,-0.414394,0.308891,0.51209,-0.7602,0.399743,0.070241,0.50091,0.862566,1.6e-05,7.1e-05,8.8e-05,0.0,0.0,0.0,0.534698,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
15,0.23765,-0.059887,0.346963,-0.565268,0.727799,-0.388364,-0.793668,-0.608133,0.015408,-0.224266,0.316033,0.921876,6e-06,-4.5e-05,-4.9e-05,0.0,0.0,0.0,0.520002,-0.236686,-0.043275,0.311044,-0.856069,-0.414394,0.308891,0.51209,-0.7602,0.399743,0.070241,0.50091,0.862566,0.0,0.0,0.0,0.0,0.0,0.0,0.534456,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
16,0.237662,-0.05989,0.346943,-0.56527,0.727799,-0.388362,-0.793661,-0.608142,0.015384,-0.224286,0.316015,0.921877,2.7e-05,-0.000203,-0.000221,0.0,0.0,0.0,0.520027,-0.236686,-0.043275,0.311044,-0.856069,-0.414394,0.308891,0.51209,-0.7602,0.399743,0.070241,0.50091,0.862566,0.0,0.0,0.0,0.0,0.0,0.0,0.534482,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
17,0.237652,-0.059897,0.346936,-0.565307,0.72778,-0.388343,-0.793638,-0.608172,0.015402,-0.224274,0.316002,0.921885,1e-05,-7.8e-05,-8.5e-05,0.0,0.0,0.0,0.520022,-0.236674,-0.043267,0.311036,-0.856089,-0.414379,0.308859,0.512059,-0.760228,0.399729,0.070236,0.500879,0.862584,0.0,0.0,0.0,0.0,0.0,0.0,0.534534,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
18,0.237639,-0.059892,0.346942,-0.56531,0.727779,-0.388341,-0.793637,-0.608174,0.015403,-0.224272,0.316,0.921886,-1e-06,5e-06,6e-06,0.0,0.0,0.0,0.519915,-0.236686,-0.043266,0.311038,-0.858515,-0.409314,0.308877,0.507567,-0.763237,0.399723,0.07321,0.500461,0.86258,0.000138,0.000612,0.000752,0.513789,0.648767,1.455276,0.534522,0.003913,0.035993,-0.004743,0.85679,0.372947,0.356117,-0.48029,0.828529,0.287854,-0.187699,-0.417671,0.888999,-0.008523,-0.002906,-0.003492,-0.003793,0.029134,-0.054503,0.520446,0.120389,0.02416,-0.033209,0.640646,-0.691675,-0.333401,0.727941,0.685257,-0.022865,0.24428,-0.228048,0.942507,-1.8e-05,0.000144,0.000159,-3e-06,1.8e-05,3.5e-05,0.512713
