frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.001701,0.026878,0.009114,-6e-06,-2e-05,-1.8e-05,-6.1e-05,-2.6e-05,-0.000144,-1.043878,0.111069,0.031562,-0.023282,-1.1e-05,0.0001,6.9e-05,-6.2e-05,-1.9e-05,3e-05,-0.676858
2,0.001701,0.026878,0.009114,-6e-06,-2e-05,-1.8e-05,-6.1e-05,-2.6e-05,-0.000144,-1.044041,0.111069,0.031562,-0.023282,-1.1e-05,0.0001,6.9e-05,-6.2e-05,-1.9e-05,3e-05,-0.676532
3,0.001701,0.026878,0.009114,-6e-06,-2e-05,-1.8e-05,-6.1e-05,-2.6e-05,-0.000144,-1.044041,0.111069,0.031562,-0.023282,-1.1e-05,0.0001,6.9e-05,-6.2e-05,-1.9e-05,3e-05,-0.676858
4,0.001701,0.026878,0.009114,-6e-06,-2e-05,-1.8e-05,-6.1e-05,-2.6e-05,-0.000144,-1.043878,0.111069,0.031562,-0.023282,-1.1e-05,0.0001,6.9e-05,-6.2e-05,-1.9e-05,3e-05,-0.676532
5,0.001701,0.026878,0.009114,-6e-06,-2e-05,-1.8e-05,-6.1e-05,-2.6e-05,-0.000144,-1.043878,0.111069,0.031562,-0.023282,-1.1e-05,0.0001,6.9e-05,-6.2e-05,-1.9e-05,3e-05,-0.676858
6,0.001701,0.026878,0.009114,-6e-06,-2e-05,-1.8e-05,-6.1e-05,-2.6e-05,-0.000144,-1.043878,0.111069,0.031562,-0.023282,-1.1e-05,0.0001,6.9e-05,-6.2e-05,-1.9e-05,3e-05,-0.676858
7,0.001701,0.026878,0.009114,-6e-06,-2e-05,-1.8e-05,-6.1e-05,-2.6e-05,-0.000144,-1.044041,0.111069,0.031562,-0.023282,-1.1e-05,0.0001,6.9e-05,-6.2e-05,-1.9e-05,3e-05,-0.676532
8,0.001701,0.026878,0.009114,-6e-06,-2e-05,-1.8e-05,-6.1e-05,-2.6e-05,-0.000144,-1.043878,0.111069,0.031562,-0.023282,-1.1e-05,0.0001,6.9e-05,-6.2e-05,-1.9e-05,3e-05,-0.676858
9,0.001701,0.026878,0.009114,-6e-06,-2e-05,-1.8e-05,-6.1e-05,-2.6e-05,-0.000144,-1.043878,0.111069,0.031562,-0.023282,-1.1e-05,0.0001,6.9e-05,-6.2e-05,-1.9e-05,3e-05,-0.676532
10,0.001701,0.026878,0.009114,-6e-06,-2e-05,-1.8e-05,-6.1e-05,-2.6e-05,-0.000144,-1.044041,0.111069,0.031562,-0.023282,-1.1e-05,0.0001,6.9e-05,-6.2e-05,-1.9e-05,3e-05,-0.676858
11,0.001701,0.026878,0.009114,-6e-06,-2e-05,-1.8e-05,-6.1e-05,-2.6e-05,-0.000144,-1.044041,0.111069,0.031562,-0.023282,-1.1e-05,0.0001,6.9e-05,-6.2e-05,-1.9e-05,3e-05,-0.676532
