frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.206087,-0.023044,0.38531,-0.662828,0.324945,-0.674622,-0.574585,-0.798413,0.179891,-0.479353,0.506456,0.716763,-2.5e-05,0.000529,0.000384,0.0,0.0,0.0,0.381496,-0.248768,-0.029295,0.364615,-0.851077,-0.122417,0.510562,0.34887,-0.858421,0.375947,0.393314,0.498235,0.772612,-7e-06,-2.8e-05,-2.5e-05,0.0,0.0,0.0,-0.479634,0.004483,0.030196,0.009809,0.891729,0.220038,0.395477,-0.369352,0.858814,0.354989,-0.26153,-0.462624,0.847101,-3.4e-05,-0.000144,-0.000127,0.001933,0.003081,-0.002232,-0.787512,0.101483,0.028758,-0.025507,0.804928,-0.246902,-0.539564,0.413672,0.885408,0.211962,0.425401,-0.393816,0.814826,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.282637
2,0.206087,-0.023044,0.38531,-0.662935,0.324864,-0.674556,-0.574496,-0.798455,0.179987,-0.479313,0.506441,0.716801,-2.4e-05,0.000512,0.000372,0.0,0.0,0.0,0.381368,-0.248768,-0.029295,0.364615,-0.851077,-0.122417,0.510562,0.34887,-0.858421,0.375947,0.393314,0.498235,0.772612,-5e-06,-2.1e-05,-1.8e-05,0.0,0.0,0.0,-0.479406,0.004483,0.030196,0.009809,0.891729,0.220038,0.395477,-0.369352,0.858814,0.354989,-0.26153,-0.462624,0.847101,-3.4e-05,-0.000144,-0.000127,0.001933,0.003081,-0.002232,-0.787512,0.101483,0.028758,-0.025507,0.804928,-0.246902,-0.539564,0.413672,0.885408,0.211962,0.425401,-0.393816,0.814826,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.282637
3,0.206097,-0.023043,0.385298,-0.662921,0.324875,-0.674565,-0.574495,-0.798463,0.179955,-0.479333,0.506422,0.7168,2.8e-05,-0.000599,-0.000435,0.0,0.0,0.0,0.381036,-0.248768,-0.029295,0.364615,-0.851077,-0.122417,0.510562,0.34887,-0.858421,0.375947,0.393314,0.498235,0.772612,-0.000179,-0.000737,-0.000641,0.0,0.0,0.0,-0.479355,0.004483,0.030196,0.009809,0.891729,0.220038,0.395477,-0.369352,0.858814,0.354989,-0.26153,-0.462624,0.847101,-3.4e-05,-0.000144,-0.000127,0.001933,0.003081,-0.002232,-0.787512,0.101483,0.028758,-0.025507,0.804928,-0.246902,-0.539564,0.413672,0.885408,0.211962,0.425401,-0.393816,0.814826,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.282637
4,0.206097,-0.023051,0.385305,-0.662933,0.324865,-0.674558,-0.574498,-0.798455,0.179985,-0.479315,0.506442,0.716799,0.0,-0.0,-0.0,0.0,0.0,0.0,0.381358,-0.24877,-0.029302,0.364609,-0.851066,-0.122429,0.510576,0.348887,-0.858418,0.375939,0.393321,0.498237,0.772607,-0.000167,-0.000687,-0.000597,0.0,0.0,0.0,-0.479148,0.004483,0.030196,0.009809,0.891729,0.220038,0.395477,-0.369352,0.858814,0.354989,-0.26153,-0.462624,0.847101,-3.4e-05,-0.000144,-0.000127,0.001933,0.003081,-0.002232,-0.787512,0.101483,0.028758,-0.025507,0.804928,-0.246902,-0.539564,0.413672,0.885408,0.211962,0.425401,-0.393816,0.814826,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.282964
5,0.206097,-0.023051,0.385305,-0.662826,0.324946,-0.674624,-0.574587,-0.798412,0.179889,-0.479355,0.506457,0.716761,6e-06,-0.000127,-9.2e-05,0.0,0.0,0.0,0.38164,-0.248777,-0.029287,0.364622,-0.851075,-0.122418,0.510565,0.348872,-0.858421,0.375946,0.393316,0.498235,0.772611,-0.014098,0.002264,0.002343,-0.002045,0.015205,-0.029245,-0.479403,0.004483,0.030196,0.009809,0.891729,0.220038,0.395477,-0.369352,0.858814,0.354989,-0.26153,-0.462624,0.847101,-3.4e-05,-0.000144,-0.000127,0.001933,0.003081,-0.002232,-0.787512,0.101483,0.028758,-0.025507,0.804928,-0.246902,-0.539564,0.413672,0.885408,0.211962,0.425401,-0.393816,0.814826,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.282637
6,0.206097,-0.023043,0.385298,-0.662814,0.324955,-0.674631,-0.574584,-0.79842,0.179859,-0.479374,0.506438,0.716762,0.0,-2e-06,-1e-06,0.005341,-0.076893,0.18335,0.381488,-0.248767,-0.029289,0.364621,-0.851087,-0.122405,0.510548,0.348853,-0.858424,0.375956,0.393307,0.498232,0.772617,2e-06,7e-06,6e-06,0.0,0.0,0.0,-0.479646,0.004483,0.030196,0.009809,0.891729,0.220038,0.395477,-0.369352,0.858814,0.354989,-0.26153,-0.462624,0.847101,-3.4e-05,-0.000144,-0.000127,0.001933,0.003081,-0.002232,-0.787512,0.101483,0.028758,-0.025507,0.804928,-0.246902,-0.539564,0.413672,0.885408,0.211962,0.425401,-0.393816,0.814826,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.2828
7,0.206097,-0.023043,0.385298,-0.662921,0.324875,-0.674565,-0.574495,-0.798463,0.179955,-0.479333,0.506422,0.7168,0.0,-0.0,-0.0,0.0,0.0,0.0,0.381523,-0.248768,-0.029295,0.364615,-0.851077,-0.122417,0.510562,0.34887,-0.858421,0.375947,0.393314,0.498235,0.772612,-0.000229,-0.000944,-0.000821,0.0,0.0,0.0,-0.479942,0.004483,0.030196,0.009809,0.891729,0.220038,0.395477,-0.369352,0.858814,0.354989,-0.26153,-0.462624,0.847101,-3.4e-05,-0.000144,-0.000127,0.001933,0.003081,-0.002232,-0.787512,0.101483,0.028758,-0.025507,0.804928,-0.246902,-0.539564,0.413672,0.885408,0.211962,0.425401,-0.393816,0.814826,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.2828
8,0.206107,-0.023043,0.385297,-0.662903,0.324887,-0.674577,-0.57451,-0.798456,0.17994,-0.479341,0.506425,0.716793,-4e-06,8.8e-05,6.4e-05,0.0,0.0,0.0,0.38177,-0.248768,-0.029295,0.364615,-0.851077,-0.122417,0.510562,0.34887,-0.858421,0.375947,0.393314,0.498235,0.772612,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.479671,0.004483,0.030196,0.009809,0.891729,0.220038,0.395477,-0.369352,0.858814,0.354989,-0.26153,-0.462624,0.847101,-3.4e-05,-0.000144,-0.000127,0.001933,0.003081,-0.002232,-0.787512,0.101483,0.028758,-0.025507,0.804928,-0.246902,-0.539564,0.413672,0.885408,0.211962,0.425401,-0.393816,0.814826,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.282637
9,0.206107,-0.023043,0.385297,-0.662796,0.324967,-0.674643,-0.574599,-0.798413,0.179844,-0.479382,0.506441,0.716755,-0.0,0.0,0.0,0.0,0.0,0.0,0.381823,-0.24877,-0.029302,0.364609,-0.851066,-0.122429,0.510576,0.348887,-0.858418,0.375939,0.393321,0.498237,0.772607,-4e-06,-1.6e-05,-1.4e-05,0.0,0.0,0.0,-0.479806,0.004483,0.030196,0.009809,0.891729,0.220038,0.395477,-0.369352,0.858814,0.354989,-0.26153,-0.462624,0.847101,-3.4e-05,-0.000144,-0.000127,0.001933,0.003081,-0.002232,-0.787512,0.101483,0.028758,-0.025507,0.804928,-0.246902,-0.539564,0.413672,0.885408,0.211962,0.425401,-0.393816,0.814826,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.282964
10,0.206097,-0.023043,0.385298,-0.662921,0.324875,-0.674565,-0.574495,-0.798463,0.179955,-0.479333,0.506422,0.7168,-0.0,0.0,0.0,0.0,0.0,0.0,0.382028,-0.248759,-0.029303,0.364608,-0.851078,-0.122416,0.510559,0.348868,-0.858421,0.375949,0.393312,0.498235,0.772613,0.014218,-0.001771,-0.001915,0.002045,-0.015205,0.029245,-0.479946,0.004483,0.030196,0.009809,0.891729,0.220038,0.395477,-0.369352,0.858814,0.354989,-0.26153,-0.462624,0.847101,-3.4e-05,-0.000144,-0.000127,0.001933,0.003081,-0.002232,-0.787512,0.101483,0.028758,-0.025507,0.804928,-0.246902,-0.539564,0.413672,0.885408,0.211962,0.425401,-0.393816,0.814826,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.282964
