frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.02766,0.042412,-0.037778,-0.064123,0.011757,-0.002741,0.0796,-1.256816,-0.136544,-0.693619,0.077151,0.031357,-0.068055,0.016053,0.015987,-0.013101,0.102396,0.022152,-0.051978,-0.417716
2,0.026351,0.042607,-0.037819,-0.071852,0.005597,0.000563,-0.304604,-3.405039,1.507807,-0.69264,0.077449,0.031591,-0.068287,0.015767,0.008851,-0.011115,-4.632231,2.222248,1.814274,-0.354196
3,0.023744,0.042703,-0.037746,-0.063614,0.000597,0.004451,-0.45393,-2.028134,-1.205554,-0.620792,0.078023,0.031923,-0.068784,0.015527,0.007188,-0.013741,0.05871,0.208068,-0.324516,-0.225523
4,0.021269,0.042692,-0.037489,-0.063512,0.001564,0.005435,0.688045,-1.335304,-0.128842,-0.483954,0.078621,0.032144,-0.069306,0.015443,0.006612,-0.014632,0.07302,-0.036069,0.057886,-0.056028
5,0.020062,0.042646,-0.037344,-0.063451,-0.004566,0.008295,0.43685,-1.054936,0.058732,-0.38451,0.078875,0.03224,-0.069557,0.015486,0.006931,-0.014188,0.070724,0.0587,-0.090106,0.037374
6,0.01778,0.042477,-0.036994,-0.05545,-0.003732,0.008871,0.718917,-1.39575,-0.19102,-0.225302,0.079242,0.032414,-0.06998,-0.000328,0.002776,-0.008215,-0.06827,0.621158,-0.914229,0.226465
7,0.015758,0.042248,-0.036578,-0.047411,-0.009258,0.012471,-0.246728,-3.399528,1.4665,-0.106753,0.079458,0.03254,-0.070291,-0.000246,0.003435,-0.007255,-0.065061,0.519467,-0.752514,0.368365
8,0.014828,0.042121,-0.036347,-0.047359,-0.002542,0.010058,-0.336823,-3.249628,1.633855,-0.054663,0.07952,0.032574,-0.070397,-0.000211,-0.00172,-0.002537,8.4e-05,0.014242,-0.02289,0.418658
9,0.013087,0.041834,-0.035813,-0.047246,-0.007458,0.01482,-2.37721,-2.652482,-4.097144,0.006734,0.079609,0.032587,-0.070524,-7.9e-05,-0.000663,-0.00098,0.000386,-0.000206,-0.000156,0.471074
10,0.011446,0.041527,-0.035204,-0.039176,-0.007217,0.015007,0.134325,-0.435897,0.15011,0.03188,0.079596,0.032556,-0.070525,4.5e-05,-0.005123,0.004763,-0.03525,0.014072,-0.017697,0.485281
11,0.009973,0.041287,-0.034574,-0.038781,-0.00531,0.017942,0.324194,-0.543793,-0.126957,0.052782,0.07948,0.032558,-0.070457,9.6e-05,0.000762,0.001123,0.000173,-9.2e-05,-9.1e-05,0.495405
12,0.00926,0.041184,-0.034214,-0.030672,-0.005076,0.018278,-0.380781,-0.784706,0.459924,0.058987,0.079405,0.032563,-0.070414,8.5e-05,0.000676,0.001,0.000154,-6.1e-05,-7.6e-05,0.500303
13,0.007929,0.041014,-0.03337,-0.03,-0.002378,0.022527,0.05451,-0.149579,-0.199657,0.070417,0.079264,0.032555,-0.070354,-0.007936,0.000421,0.000539,-0.00088,0.014665,-0.029614,0.505692
14,0.006744,0.040897,-0.032348,-0.021218,0.000234,0.026699,0.062024,-0.129611,-0.159355,0.091808,0.079192,0.03254,-0.070339,-9e-06,-6.6e-05,-9.3e-05,8e-05,-4.2e-05,-2.1e-05,0.506672
15,0.006204,0.040845,-0.031734,-0.02873,-0.003337,0.033788,0.199593,-0.256832,-0.306804,0.09932,0.079174,0.032534,-0.070339,-6e-06,-5.2e-05,-7.5e-05,7e-05,-2e-05,-3.5e-05,0.507161
16,0.005266,0.040718,-0.030319,-0.020091,-0.001374,0.036699,0.057493,-0.158883,-0.212631,0.127079,0.079186,0.032536,-0.070336,-1e-06,-4e-06,-2e-06,-4.8e-05,0.000575,-0.000836,0.507978
17,0.004467,0.04048,-0.028636,-0.019467,-0.010261,0.048015,0.214627,-0.348556,-0.347495,0.16186,0.079234,0.032529,-0.070336,1e-06,-1e-06,-4e-06,4.1e-05,9e-06,-6e-05,0.509284
18,0.003857,0.04014,-0.026736,-0.010964,-0.008622,0.050127,0.047158,-0.234449,-0.206097,0.192722,0.079293,0.03252,-0.07034,0.007943,-0.000354,-0.00044,0.001024,-0.014726,0.029524,0.510264
19,0.003634,0.039933,-0.025708,-0.00296,-0.014216,0.054049,0.351892,-0.535082,-0.374347,0.204152,0.079323,0.032514,-0.070339,1e-06,2e-06,1e-06,4e-05,7e-06,-5.6e-05,0.510264
20,0.00335,0.039479,-0.023589,-0.002602,-0.012734,0.055554,0.460191,-0.649023,-0.40018,0.225706,0.079376,0.032499,-0.070333,0.0,1e-06,0.0,-0.000155,0.001079,-0.001567,0.510427
21,0.003213,0.039024,-0.021414,-0.002429,-0.011904,0.05602,0.354128,-0.550373,-0.328965,0.248077,0.079388,0.032485,-0.070327,-5.4e-05,-0.000408,-0.000598,-0.000291,0.001757,-0.00254,0.510754
22,0.003196,0.038813,-0.020341,0.005457,-0.012227,0.055329,0.405044,-0.646607,-0.396186,0.259181,0.079382,0.03247,-0.07032,-2e-06,-1e-06,-2e-06,-1.6e-05,0.000234,-0.000379,0.510754
23,0.003185,0.038466,-0.018261,-0.002374,-0.005996,0.051302,0.070985,-0.265945,-0.12222,0.277796,0.079352,0.032436,-0.070288,-3e-06,-2e-06,-3e-06,-0.006946,-0.005178,-0.008481,0.510754
24,0.003158,0.038219,-0.016308,-0.002457,-0.000765,0.046056,0.167071,-0.329093,-0.115217,0.292166,0.079328,0.032386,-0.070251,-2e-06,-1e-06,1e-06,-0.000186,0.000993,-0.001918,0.511244
25,0.003097,0.038114,-0.014565,-0.00291,-0.002392,0.043265,-0.14315,-0.018133,0.035644,0.302453,0.079316,0.032357,-0.07023,-3e-06,-0.0,2e-06,0.000111,-3.4e-05,-0.000104,0.511407
26,0.003054,0.03811,-0.013789,-0.003246,0.001736,0.036983,-0.10642,0.079614,-0.140672,0.305882,0.07931,0.032351,-0.070219,-2e-06,3e-06,7e-06,0.004559,-0.107993,0.166934,0.511734
27,0.002944,0.038164,-0.01245,-0.003825,0.00489,0.029301,-0.087632,0.086555,-0.101268,0.310944,0.079304,0.032345,-0.070219,-3.7e-05,-0.000294,-0.000434,7.5e-05,-2.2e-05,-3.4e-05,0.511897
28,0.002811,0.038264,-0.011354,-0.004568,0.002021,0.025277,-0.077132,0.092427,-0.127247,0.31372,0.079304,0.032344,-0.07022,-0.0,3e-06,5e-06,-0.000303,0.001872,-0.002692,0.51157
29,0.00273,0.038349,-0.010931,-0.004895,0.006081,0.019132,-0.029649,-0.009481,0.029554,0.31372,0.079304,0.032344,-0.07022,-0.0,1e-06,4e-06,-1e-06,0.000258,-0.000383,0.511897
30,0.002582,0.038608,-0.010244,-0.005142,0.010391,0.013272,-0.153545,-0.110191,-0.050006,0.307025,0.079298,0.032345,-0.07022,-2e-06,-0.0,6e-06,4.5e-05,1.8e-05,-4.8e-05,0.511407
