frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.227028,-0.049557,0.361148,-0.8248,-0.185869,-0.534044,-0.026758,-0.930568,0.365102,-0.563801,0.315652,0.763229,-1e-06,1e-05,9e-06,0.0,0.0,0.0,0.519699,-0.249685,-0.025915,0.327234,-0.881344,-0.06012,0.468626,0.335431,-0.777913,0.531291,0.333709,0.625512,0.70515,0.000112,0.010752,-0.008681,0.035855,-0.015454,0.015719,0.535918,0.001285,0.0408,0.005613,0.880334,0.085936,0.466503,-0.355364,0.770913,0.528591,-0.314209,-0.631115,0.709199,-0.000216,-0.000847,-0.00089,-0.001631,0.013617,-0.025513,0.235341,0.11617,0.025904,-0.025939,0.814496,0.240346,-0.528043,-0.036336,0.929499,0.367027,0.579029,-0.279755,0.765807,1.3e-05,-0.000128,-0.00012,0.004828,-0.077131,0.183263,-0.029901
2,0.227016,-0.049549,0.361127,-0.824806,-0.185874,-0.534032,-0.026722,-0.930583,0.365067,-0.563794,0.315606,0.763254,-0.014963,-0.001435,-0.000243,-0.000984,0.014715,-0.029553,0.51998,-0.249685,-0.025923,0.32724,-0.881336,-0.060122,0.468641,0.335451,-0.777896,0.531305,0.33371,0.625534,0.70513,-0.0,-1e-06,-1e-06,0.0,0.0,0.0,0.535882,0.001285,0.0408,0.005613,0.880334,0.085936,0.466503,-0.355364,0.770913,0.528591,-0.314209,-0.631115,0.709199,-0.000216,-0.000847,-0.00089,-0.001631,0.013617,-0.025513,0.235341,0.11617,0.025904,-0.025939,0.814496,0.240346,-0.528043,-0.036336,0.929499,0.367027,0.579029,-0.279755,0.765807,1.3e-05,-0.000128,-0.00012,0.004828,-0.077131,0.183263,-0.029901
3,0.227007,-0.049562,0.361101,-0.824826,-0.185925,-0.533984,-0.026654,-0.930578,0.365084,-0.563768,0.315589,0.76328,8e-05,-0.000779,-0.000745,0.0,0.0,0.0,0.519638,-0.249685,-0.025915,0.327234,-0.881344,-0.06012,0.468626,0.335431,-0.777913,0.531291,0.333709,0.625512,0.70515,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.536067,0.001285,0.0408,0.005613,0.880334,0.085936,0.466503,-0.355364,0.770913,0.528591,-0.314209,-0.631115,0.709199,-0.000216,-0.000847,-0.00089,-0.001631,0.013617,-0.025513,0.235341,0.11617,0.025904,-0.025939,0.814496,0.240346,-0.528043,-0.036336,0.929499,0.367027,0.579029,-0.279755,0.765807,1.3e-05,-0.000128,-0.00012,0.004828,-0.077131,0.183263,-0.029901
4,0.227009,-0.049589,0.361104,-0.824843,-0.185984,-0.533938,-0.026624,-0.930548,0.365164,-0.563746,0.315644,0.763274,1e-06,-1.4e-05,-1.4e-05,0.0,0.0,0.0,0.519709,-0.249685,-0.025915,0.327234,-0.881344,-0.06012,0.468626,0.335431,-0.777913,0.531291,0.333709,0.625512,0.70515,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.536118,0.001285,0.0408,0.005613,0.880334,0.085936,0.466503,-0.355364,0.770913,0.528591,-0.314209,-0.631115,0.709199,-0.000216,-0.000847,-0.00089,-0.001631,0.013617,-0.025513,0.235341,0.11617,0.025904,-0.025939,0.814496,0.240346,-0.528043,-0.036336,0.929499,0.367027,0.579029,-0.279755,0.765807,1.3e-05,-0.000128,-0.00012,0.004828,-0.077131,0.183263,-0.029901
5,0.22702,-0.049589,0.361117,-0.824833,-0.185965,-0.533959,-0.02666,-0.930544,0.36517,-0.563758,0.315665,0.763256,-6e-06,5.8e-05,5.5e-05,0.0,0.0,0.0,0.519547,-0.249685,-0.025923,0.32724,-0.881336,-0.060122,0.468641,0.335451,-0.777896,0.531305,0.33371,0.625534,0.70513,-0.000129,-0.01082,0.00861,-0.035855,0.015454,-0.01572,0.535975,0.001285,0.0408,0.005613,0.880334,0.085936,0.466503,-0.355364,0.770913,0.528591,-0.314209,-0.631115,0.709199,-0.000216,-0.000847,-0.00089,-0.001631,0.013617,-0.025513,0.235341,0.11617,0.025904,-0.025939,0.814496,0.240346,-0.528043,-0.036336,0.929499,0.367027,0.579029,-0.279755,0.765807,1.3e-05,-0.000128,-0.00012,0.004828,-0.077131,0.183263,-0.029901
6,0.227043,-0.049597,0.361152,-0.823702,-0.190822,-0.533991,-0.021222,-0.930668,0.36521,-0.565636,0.312388,0.763214,-2e-06,1.9e-05,1.8e-05,0.0,-0.0,-0.0,0.519856,-0.249696,-0.025921,0.327241,-0.881325,-0.060132,0.46866,0.335471,-0.777894,0.531296,0.333719,0.625536,0.705124,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.535829,0.001285,0.0408,0.005613,0.880334,0.085936,0.466503,-0.355364,0.770913,0.528591,-0.314209,-0.631115,0.709199,-0.000216,-0.000847,-0.00089,-0.001631,0.013617,-0.025513,0.235341,0.11617,0.025904,-0.025939,0.814496,0.240346,-0.528043,-0.036336,0.929499,0.367027,0.579029,-0.279755,0.765807,1.3e-05,-0.000128,-0.00012,0.004828,-0.077131,0.183263,-0.029901
7,0.227031,-0.049591,0.361158,-0.823704,-0.190823,-0.533988,-0.02122,-0.930668,0.365211,-0.565634,0.312389,0.763216,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.519637,-0.249685,-0.025915,0.327234,-0.881344,-0.06012,0.468626,0.335431,-0.777913,0.531291,0.333709,0.625512,0.70515,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.536122,0.001285,0.0408,0.005613,0.880334,0.085936,0.466503,-0.355364,0.770913,0.528591,-0.314209,-0.631115,0.709199,-0.000216,-0.000847,-0.00089,-0.001631,0.013617,-0.025513,0.235341,0.11617,0.025904,-0.025939,0.814496,0.240346,-0.528043,-0.036336,0.929499,0.367027,0.579029,-0.279755,0.765807,1.3e-05,-0.000128,-0.00012,0.004828,-0.077131,0.183263,-0.029901
8,0.227052,-0.049578,0.361183,-0.823678,-0.190755,-0.534053,-0.021306,-0.930677,0.365182,-0.565669,0.312403,0.763184,-9.5e-05,0.000921,0.00088,0.0,0.0,0.0,0.519811,-0.249685,-0.025915,0.327234,-0.881344,-0.06012,0.468626,0.335431,-0.777913,0.531291,0.333709,0.625512,0.70515,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.535935,0.001285,0.0408,0.005613,0.880334,0.085936,0.466503,-0.355364,0.770913,0.528591,-0.314209,-0.631115,0.709199,-0.000216,-0.000847,-0.00089,-0.001631,0.013617,-0.025513,0.235341,0.11617,0.025904,-0.025939,0.814496,0.240346,-0.528043,-0.036336,0.929499,0.367027,0.579029,-0.279755,0.765807,1.3e-05,-0.000128,-0.00012,0.004828,-0.077131,0.183263,-0.029901
9,0.227063,-0.049571,0.361203,-0.823663,-0.19072,-0.534088,-0.021357,-0.930678,0.365177,-0.565688,0.312421,0.763163,-9.3e-05,0.000901,0.000861,0.0,0.0,0.0,0.519595,-0.249685,-0.025915,0.327234,-0.881344,-0.06012,0.468626,0.335431,-0.777913,0.531291,0.333709,0.625512,0.70515,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.536024,0.001285,0.0408,0.005613,0.880334,0.085936,0.466503,-0.355364,0.770913,0.528591,-0.314209,-0.631115,0.709199,-0.000216,-0.000847,-0.00089,-0.001631,0.013617,-0.025513,0.235341,0.11617,0.025904,-0.025939,0.814496,0.240346,-0.528043,-0.036336,0.929499,0.367027,0.579029,-0.279755,0.765807,1.3e-05,-0.000128,-0.00012,0.004828,-0.077131,0.183263,-0.029901
10,0.227072,-0.04955,0.361208,-0.823643,-0.190657,-0.534141,-0.021406,-0.930702,0.365113,-0.565715,0.312389,0.763156,-0.000795,0.009815,-0.009712,0.035482,-0.005833,0.021869,0.519711,-0.249685,-0.025915,0.327234,-0.881344,-0.06012,0.468626,0.335431,-0.777913,0.531291,0.333709,0.625512,0.70515,0.000129,0.01082,-0.00861,0.035855,-0.015454,0.015719,0.536056,0.001285,0.0408,0.005613,0.880334,0.085936,0.466503,-0.355364,0.770913,0.528591,-0.314209,-0.631115,0.709199,-0.000216,-0.000847,-0.00089,-0.001631,0.013617,-0.025513,0.235341,0.11617,0.025904,-0.025939,0.814496,0.240346,-0.528043,-0.036336,0.929499,0.367027,0.579029,-0.279755,0.765807,1.3e-05,-0.000128,-0.00012,0.004828,-0.077131,0.183263,-0.029901
