frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.153563,0.03183,0.385903,-0.753708,0.377536,-0.537993,-0.537333,-0.825309,0.173525,-0.377566,0.419394,0.825578,-0.034496,0.038135,-0.183062,-0.861613,-1.920701,-0.814943,-0.392768,-0.172639,0.050391,0.361098,0.749579,-0.210238,0.627632,-0.244822,0.792773,0.558128,-0.615835,-0.571749,0.541953,0.125621,-0.011761,-0.131576,-0.108978,0.874434,-0.668361,-1.403049,0.004011,0.041443,-0.002306,-0.659965,0.127739,0.740357,0.373527,-0.799226,0.470864,0.651861,0.587297,0.479747,0.069228,-0.011593,-0.062318,-0.212449,1.042408,-0.704855,-0.776571,0.114713,0.038261,-0.04815,-0.634411,0.540261,-0.552845,-0.700286,-0.704516,0.115125,-0.327291,0.460187,0.825292,-0.01723,0.017844,-0.092152,-0.871222,-1.906657,-0.827064,-0.534959
2,0.152368,0.033229,0.37827,-0.732052,0.320702,-0.601079,-0.526502,-0.826222,0.200311,-0.431479,0.462704,0.774441,-0.03577,0.048306,-0.208068,-0.642575,-1.913147,-0.381257,-0.282896,-0.167334,0.049644,0.35615,0.723324,-0.19572,0.662184,-0.269635,0.802662,0.531944,-0.636513,-0.563065,0.526947,0.140584,-0.017162,-0.123283,0.157772,0.752373,-1.102773,-1.404167,0.00661,0.041058,-0.004749,-0.62909,0.114238,0.768891,0.393965,-0.805837,0.44206,0.670101,0.581012,0.461939,0.070288,-0.008498,-0.061629,0.165957,0.845593,-1.285815,-0.783429,0.114141,0.03892,-0.051817,-0.622267,0.483379,-0.615733,-0.691087,-0.708667,0.142084,-0.367669,0.51394,0.775038,-0.017853,0.018156,-0.099943,-0.696074,-1.920694,-0.41767,-0.465561
3,0.150773,0.034471,0.370284,-0.707532,0.269244,-0.653416,-0.522633,-0.821695,0.227252,-0.474847,0.501946,0.722909,-0.050206,0.034675,-0.217452,-0.524852,-1.881386,-0.28751,-0.199277,-0.161934,0.049087,0.351837,0.694471,-0.189323,0.694161,-0.292399,0.807122,0.512827,-0.658216,-0.558872,0.50426,0.144064,-0.022622,-0.099119,-0.058833,0.729697,-0.646728,-1.404546,0.009412,0.040745,-0.00701,-0.593954,0.107816,0.797241,0.414685,-0.808155,0.418236,0.689387,0.579017,0.435297,0.07207,-0.010827,-0.049362,-0.047523,0.720123,-0.653938,-0.784083,0.113335,0.039563,-0.055879,-0.605835,0.428422,-0.670385,-0.687622,-0.705799,0.170359,-0.400172,0.564182,0.722191,-0.025146,0.010606,-0.105146,-0.745907,-2.120441,-0.444007,-0.396652
4,0.148811,0.035004,0.36169,-0.680471,0.209723,-0.702155,-0.513793,-0.819742,0.253007,-0.521683,0.532661,0.666443,-0.065946,0.006035,-0.222909,-0.498958,-1.791314,-0.444735,-0.147025,-0.156635,0.048291,0.348201,0.663458,-0.210992,0.717842,-0.294492,0.808216,0.509897,-0.688568,-0.549424,0.473149,0.122365,-0.027696,-0.08729,0.979075,1.660207,0.339722,-1.404316,0.012016,0.040364,-0.008791,-0.56189,0.12957,0.817001,0.417432,-0.808269,0.415272,0.714163,0.57438,0.400072,0.067351,-0.012674,-0.043422,3.714363,3.561537,2.435133,-0.786042,0.112337,0.039848,-0.060254,-0.588471,0.365219,-0.721329,-0.679851,-0.706402,0.19697,-0.437612,0.606308,0.663992,-0.032908,0.001826,-0.112122,-0.556245,-1.865414,-0.485389,-0.341133
5,0.147735,0.03491,0.35732,-0.665236,0.184601,-0.723484,-0.514068,-0.815962,0.26441,-0.540704,0.547581,0.638609,-0.055043,-0.011862,-0.221716,-0.420831,-1.756447,-0.236001,-0.141656,-0.154142,0.047754,0.346583,0.637364,-0.229841,0.735481,-0.287735,0.814333,0.503988,-0.715542,-0.532554,0.451939,0.12292,-0.022307,-0.084676,0.818904,2.335088,0.055449,-1.404183,0.013262,0.04009,-0.009603,-0.535823,0.147792,0.831294,0.40962,-0.815432,0.408999,0.738311,0.559666,0.376389,0.062177,-0.016613,-0.038417,4.085836,5.111164,0.003591,-0.785062,0.111819,0.039803,-0.062357,-0.578012,0.338945,-0.742305,-0.679868,-0.703115,0.208344,-0.451309,0.625095,0.636847,-0.033642,-0.0061,-0.110695,-0.541245,-1.825298,-0.514381,-0.32709
6,0.145094,0.034232,0.348819,-0.638451,0.139486,-0.756947,-0.512909,-0.81036,0.283217,-0.573107,0.568889,0.589865,-0.069223,-0.028859,-0.20739,-0.318714,-1.410303,-0.350031,-0.169815,-0.149031,0.046931,0.343949,0.589848,-0.225357,0.775426,-0.300342,0.830046,0.469842,-0.750239,-0.509741,0.420913,0.123934,-0.010691,-0.063173,0.058357,0.622973,-0.81272,-1.404195,0.015866,0.039653,-0.010964,-0.48067,0.147212,0.864455,0.417483,-0.828498,0.373225,0.771144,0.540294,0.336775,0.061935,-0.004418,-0.031068,0.07986,0.59738,-0.839063,-0.772326,0.110475,0.039433,-0.066708,-0.558755,0.289938,-0.776998,-0.678553,-0.698492,0.227317,-0.47682,0.65425,0.587025,-0.034469,-0.014815,-0.103871,-0.204305,-1.251877,-0.256361,-0.323334
7,0.14162,0.033303,0.341153,-0.613798,0.113128,-0.781345,-0.51206,-0.810319,0.284866,-0.600155,0.574801,0.556278,-0.094358,-0.018236,-0.189189,0.02767,-0.918251,-0.012238,-0.234453,-0.14443,0.046163,0.342229,0.572029,-0.215417,0.791435,-0.313483,0.834125,0.453759,-0.758598,-0.507391,0.408591,0.101536,-0.019908,-0.037417,-0.040723,0.591312,-0.82641,-1.404176,0.018129,0.039279,-0.011809,-0.461046,0.137848,0.876603,0.427851,-0.830919,0.35569,0.777418,0.539046,0.324113,0.057606,-0.014562,-0.014754,-0.074995,0.582996,-0.814276,-0.778367,0.108769,0.038947,-0.07049,-0.538967,0.26018,-0.801136,-0.677769,-0.698682,0.229065,-0.500142,0.666445,0.552908,-0.053646,-0.014687,-0.090395,-0.075698,-1.16603,-0.056321,-0.359748
8,0.139476,0.032802,0.337812,-0.603964,0.11019,-0.789386,-0.511868,-0.812784,0.278109,-0.61021,0.571889,0.548282,-0.120145,-0.025686,-0.164493,0.219398,-0.391897,0.143115,-0.244601,-0.14244,0.045752,0.341709,0.568638,-0.210079,0.795304,-0.317846,0.835529,0.448107,-0.759327,-0.507327,0.407313,0.102282,-0.020999,-0.023011,0.156933,0.137792,-0.819912,-1.404506,0.019125,0.03907,-0.012077,-0.456052,0.134057,0.879798,0.431801,-0.831097,0.350464,0.77818,0.539727,0.321137,0.044915,-0.010597,-0.011102,0.290267,-0.077895,-1.041673,-0.782123,0.107661,0.038679,-0.072239,-0.529195,0.254452,-0.809447,-0.677683,-0.700803,0.222751,-0.510584,0.666428,0.5433,-0.0598,-0.012099,-0.081633,0.270362,-0.306598,0.190289,-0.375097
9,0.134185,0.03155,0.332373,-0.584698,0.116956,-0.802804,-0.513906,-0.819086,0.254893,-0.627033,0.561452,0.540025,-0.146186,-0.040278,-0.113966,0.29511,-0.073228,0.320817,-0.285693,-0.138765,0.045194,0.341098,0.56146,-0.194075,0.804418,-0.326771,0.841004,0.431121,-0.76087,-0.504672,0.407733,0.09046,-0.020482,-0.006409,0.01696,0.142342,-0.446571,-1.404385,0.020966,0.038798,-0.012384,-0.447204,0.1159,0.88689,0.438153,-0.836059,0.33019,0.779762,0.536256,0.323107,0.044449,-0.003827,-0.006615,0.027062,0.269706,-0.580591,-0.785062,0.105068,0.038056,-0.074927,-0.508514,0.258102,-0.821459,-0.679794,-0.705879,0.199031,-0.528481,0.659634,0.534406,-0.07278,-0.019084,-0.056079,0.403337,-0.104396,0.516132,-0.396978
10,0.128184,0.030152,0.329256,-0.576915,0.132285,-0.806049,-0.524872,-0.816137,0.241662,-0.625167,0.562323,0.541282,-0.170377,-0.044268,-0.052914,0.074747,-0.081625,0.220342,-0.335859,-0.135624,0.044762,0.34067,0.556641,-0.179914,0.811032,-0.332871,0.84607,0.41629,-0.761761,-0.501465,0.410021,0.076722,-0.008347,-0.012648,0.024982,0.093177,-0.251712,-1.404228,0.022541,0.038593,-0.012586,-0.440447,0.10172,0.891996,0.442359,-0.839991,0.314216,0.781231,0.532979,0.324975,0.039074,-0.009486,-0.002283,-0.035559,0.142055,-0.241599,-0.798126,0.102073,0.037339,-0.076526,-0.497775,0.272741,-0.823305,-0.689268,-0.70058,0.184651,-0.526429,0.659393,0.536723,-0.084676,-0.015682,-0.029638,0.063782,-0.108019,0.214426,-0.437311
11,0.121173,0.028783,0.328164,-0.573953,0.153807,-0.804342,-0.540567,-0.808956,0.230977,-0.614444,0.567176,0.54845,-0.180586,-0.031689,-0.010544,0.105966,0.249155,0.226486,-0.333797,-0.132688,0.044422,0.340129,0.561078,-0.146167,0.81475,-0.361033,0.84242,0.399898,-0.745494,-0.518339,0.41884,0.07716,-0.009048,-0.013341,0.038634,-0.171806,-0.463894,-1.404206,0.023984,0.03843,-0.012843,-0.441888,0.068662,0.894438,0.467281,-0.833497,0.29484,0.765756,0.548241,0.336228,0.03858,-0.004509,-0.006703,-1.094864,-0.9526,-1.228113,-0.79437,0.098639,0.036664,-0.077083,-0.490432,0.291676,-0.821219,-0.702632,-0.689795,0.174615,-0.515542,0.662652,0.543238,-0.090013,-0.014716,-0.004259,-0.111964,0.612409,0.615065,-0.450374
12,0.117701,0.028301,0.328159,-0.573597,0.158615,-0.803662,-0.545552,-0.805803,0.230274,-0.610361,0.570323,0.549743,-0.178787,-0.019079,-0.000758,0.030993,0.157772,-0.058663,-0.332552,-0.131417,0.044227,0.339782,0.557538,-0.132479,0.819507,-0.369412,0.844366,0.387961,-0.744036,-0.51887,0.420769,0.065603,-0.015939,-0.017105,0.399914,1.700769,-2.553463,-1.404335,0.024671,0.038339,-0.013023,-0.437648,0.054284,0.897506,0.474079,-0.834225,0.281631,0.76401,0.548745,0.339361,0.032827,-0.008186,-0.008756,0.385799,1.72574,-2.5292,-0.796983,0.096836,0.036413,-0.077088,-0.48902,0.297532,-0.819959,-0.707046,-0.685715,0.172859,-0.510828,0.66428,0.545698,-0.096161,-0.013403,0.004999,0.004186,0.090652,0.069576,-0.451191
13,0.110523,0.027445,0.328949,-0.564074,0.159207,-0.810258,-0.549769,-0.804543,0.224581,-0.615437,0.571934,0.542361,-0.177687,-0.023237,0.029141,-0.113813,-0.056288,0.016113,-0.326877,-0.12919,0.04359,0.338798,0.543558,-0.116944,0.83118,-0.382741,0.846681,0.36956,-0.74762,-0.518854,0.414388,0.040536,-0.01576,-0.030585,0.004608,0.230044,-0.318842,-1.40389,0.025769,0.03803,-0.013501,-0.420494,0.039355,0.90644,0.484768,-0.834753,0.261124,0.766931,0.549215,0.331931,0.026498,-0.006861,-0.015209,0.011728,0.101565,-0.078169,-0.803351,0.09325,0.036003,-0.076692,-0.479275,0.296179,-0.826179,-0.710572,-0.683472,0.167191,-0.515152,0.667191,0.538027,-0.088575,-0.010445,0.015658,-0.118005,-0.069155,0.031541,-0.449885
