frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,-0.008306,0.035966,0.014684,0.000448,-0.001989,0.006038,-0.038653,0.002745,0.010544,0.166759,0.111011,0.035654,-0.05243,-4.7e-05,-0.00037,-0.000216,0.005322,-0.093747,0.175337,-0.462785
2,-0.008423,0.035799,0.014971,-0.005463,-0.002799,0.006083,-0.047802,0.035033,-0.041129,0.171004,0.111045,0.035622,-0.052455,0.006104,-0.001406,-0.000984,0.006321,-0.10847,0.204901,-0.462458
3,-0.008533,0.03566,0.015187,-0.005557,-0.004221,0.005428,-0.049087,0.040243,-0.040059,0.170188,0.111055,0.035603,-0.052489,-1.2e-05,0.004373,-0.004959,0.03549,-0.013884,0.017906,-0.462458
4,-0.008582,0.035596,0.015255,0.000231,-0.005314,0.004505,0.283097,-0.041993,0.364414,0.167248,0.111053,0.035593,-0.0525,-5.5e-05,-0.000442,-0.000257,8e-06,1.1e-05,-1e-05,-0.462784
5,-0.008693,0.035505,0.015331,-7e-06,-4.4e-05,-1.6e-05,-0.001382,0.001685,0.000798,0.151572,0.111052,0.035586,-0.052511,3e-06,1.5e-05,9e-06,0.000357,-0.00048,0.000343,-0.462948
6,-0.00881,0.035478,0.015369,-0.005879,-0.000183,0.000338,-0.009342,0.025154,-0.01999,0.124793,0.111048,0.035595,-0.052505,3e-06,2.6e-05,1.6e-05,2.1e-05,-5e-06,2e-06,-0.463111
7,-0.00885,0.035468,0.015372,-5.4e-05,-0.000748,-0.000344,-0.003358,-0.00134,0.001421,0.108301,0.111048,0.035595,-0.052505,0.0,1e-06,0.0,1.3e-05,2e-06,-5e-06,-0.463111
8,-0.008936,0.035428,0.015365,-0.000115,-0.001644,-0.000759,-0.003918,0.010841,-0.025023,0.070744,0.111042,0.035584,-0.052511,-2.4e-05,-0.000191,-0.00011,2.3e-05,1.1e-05,4e-06,-0.463438
9,-0.008992,0.035357,0.015352,-0.000144,-0.002035,-0.000943,0.126009,-0.143748,-0.121617,0.022736,0.111051,0.035583,-0.052512,0.00622,-0.000507,-0.00046,0.006307,-0.108484,0.204878,-0.463928
10,-0.008991,0.035307,0.015339,-1.2e-05,-0.00015,-6.9e-05,1.903871,1.697534,-1.392746,-0.027557,0.111061,0.035591,-0.052519,-8e-06,-5.6e-05,-3.4e-05,0.005308,-0.093793,0.175308,-0.465071
11,-0.008986,0.035279,0.015351,-5.5e-05,-0.00076,-0.000353,0.0857,-0.121471,-0.064056,-0.047315,0.11106,0.035583,-0.052524,-2.1e-05,-0.000165,-9.6e-05,0.005307,-0.093793,0.175305,-0.465397
12,-0.008982,0.035192,0.015374,0.000169,-0.006191,0.004098,2.545678,2.0131,0.135326,-0.078831,0.111053,0.035568,-0.052538,-2.5e-05,-0.0002,-0.000117,1.2e-05,-8e-06,-1e-06,-0.467357
13,-0.009009,0.035145,0.01539,0.000214,-0.005532,0.004406,0.52447,0.719679,-0.546424,-0.11753,0.111056,0.03556,-0.052543,2e-06,2.1e-05,1.3e-05,1.5e-05,3e-06,-1e-06,-0.469153
14,-0.009008,0.035132,0.0154,1e-06,4.6e-05,2.2e-05,0.005141,0.058531,-0.192354,-0.128308,0.111061,0.035556,-0.052545,-1e-06,-1.1e-05,-6e-06,2.2e-05,5e-06,3e-06,-0.469643
15,-0.009011,0.035115,0.015424,5.9e-05,-7.4e-05,-1.5e-05,2.843291,0.120284,4.538787,-0.152311,0.11107,0.035564,-0.052552,2e-06,9e-06,5e-06,8e-06,-5e-06,-6e-06,-0.470296
16,-0.009011,0.035113,0.015428,4.5e-05,0.000664,0.000309,-0.022817,0.101458,-0.17062,-0.176478,0.11108,0.035567,-0.05255,-0.0,-3e-06,-2e-06,1.2e-05,-4e-06,-9e-06,-0.470949
17,-0.009019,0.035127,0.015435,2.7e-05,0.000388,0.000181,-0.013275,0.088158,-0.178471,-0.20783,0.11109,0.03557,-0.052554,-0.0,-0.0,-2e-06,0.000893,-0.001237,0.000879,-0.471602
18,-0.00904,0.03515,0.015442,6.7e-05,0.000956,0.000445,-0.000375,0.000132,-0.000504,-0.230201,0.111099,0.035577,-0.052562,0.0,-0.0,-3e-06,0.000124,-0.000174,0.000107,-0.471766
19,-0.009119,0.035213,0.015478,-0.005757,0.00162,0.001175,0.110861,-0.152486,-0.120945,-0.283597,0.111132,0.035604,-0.052598,-4.8e-05,-0.000376,-0.000221,-0.448342,0.628258,-0.495951,-0.471929
20,-0.00919,0.035261,0.015505,0.00014,0.001987,0.000923,0.254452,-0.001232,0.460421,-0.33634,0.111174,0.035643,-0.052644,2e-06,1.1e-05,4e-06,0.000109,-0.000143,9e-05,-0.472745
