frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.037908,0.040932,-0.031665,-0.007252,0.002134,0.002916,-0.298502,0.494969,0.671635,-0.091241,0.068181,0.034886,-0.068972,0.008021,-0.00157,0.007716,-0.045427,-0.006671,0.037274,-0.718498
2,0.037395,0.041015,-0.031597,-0.013771,0.001207,0.002986,1.424782,2.17555,-1.020401,0.004284,0.068653,0.034608,-0.068549,0.014186,-0.007556,0.011751,-1.725531,-0.112063,0.272192,-0.718824
3,0.036659,0.041065,-0.031494,-0.020208,0.000169,0.002992,-0.228028,0.514586,0.100291,0.059803,0.069182,0.034249,-0.068002,0.013779,-0.012093,0.016655,-0.09743,0.015061,0.065802,-0.719804
4,0.035887,0.041157,-0.03145,-0.021212,0.006099,-0.000433,-0.112034,0.475471,-0.160114,0.091971,0.069774,0.03387,-0.067399,0.020492,-0.01317,0.016069,-0.096269,-0.010469,0.094541,-0.723723
5,0.035454,0.041271,-0.031441,-0.021394,0.007109,0.000454,-0.071099,0.584049,0.039844,0.106341,0.070043,0.03368,-0.067077,0.01418,-0.011028,0.017464,-0.097464,0.003767,0.065197,-0.721763
6,0.034592,0.041646,-0.031374,-0.022916,0.015786,-0.000553,1.502025,1.323879,0.881888,0.160717,0.070536,0.033371,-0.066438,0.014951,-0.00545,0.013336,-0.06423,-0.017322,0.079584,-0.723396
7,0.033679,0.042079,-0.03135,-0.028955,0.013477,-0.001765,-0.205897,1.043899,0.437535,0.22489,0.07084,0.03323,-0.06588,0.001985,-0.002083,0.015397,-0.067739,0.106118,-0.154714,-0.723233
8,0.03319,0.04234,-0.031383,-0.029798,0.018973,-0.005565,-0.298586,1.481564,0.523253,0.245464,0.070975,0.033206,-0.06564,0.008182,-0.004436,0.013799,-0.064972,-0.006329,0.053602,-0.72356
9,0.032277,0.042962,-0.031462,-0.022407,0.01494,-0.001425,0.149599,1.157068,0.231946,0.267019,0.071163,0.033275,-0.065282,0.002482,0.006368,0.005006,0.000804,-0.029175,0.049359,-0.718661
10,0.031363,0.04363,-0.031568,-0.022261,0.014872,-0.001533,-0.265352,1.347623,0.123571,0.298207,0.07129,0.033463,-0.065126,0.00191,0.004896,0.003837,-0.503032,0.049981,-0.092169,-0.715722
11,0.030456,0.044288,-0.031704,-0.022022,0.014282,-0.002098,0.163839,1.297863,0.795183,0.326947,0.071432,0.033667,-0.065104,0.001731,0.008009,-0.002202,0.016774,-0.14188,-0.022486,-0.711313
12,0.030106,0.044565,-0.031743,-0.015585,0.015146,-0.002171,0.981361,0.278981,1.890423,0.325477,0.071492,0.033751,-0.065125,0.000561,0.001431,0.001122,-0.052586,-0.428513,-0.253097,-0.711149
13,0.029537,0.044958,-0.031784,-0.006475,-0.000222,0.000641,1.073334,-0.171612,1.89904,0.348991,0.071561,0.033874,-0.065192,0.00063,0.0053,-0.004479,-5.509679,-0.771817,0.179113,-0.704944
14,0.029075,0.044875,-0.031904,-0.012033,-0.005569,-0.003202,1.525929,-0.156264,1.184447,0.415777,0.071576,0.033971,-0.065256,0.000228,0.000573,0.000454,-0.064106,-0.265697,-0.468862,-0.703801
15,0.028859,0.044771,-0.031958,-0.012014,-0.005516,-0.00311,5.075542,0.148808,2.680655,0.41447,0.071569,0.034015,-0.065273,6.1e-05,0.000151,0.000124,-0.036863,-0.481277,-0.046322,-0.7087
16,0.028392,0.044539,-0.032135,-0.011636,-0.007783,-0.005133,5.550854,0.788344,1.415496,0.384915,0.07154,0.034119,-0.065295,0.000511,0.001302,0.001022,-0.073348,-0.690688,-0.400351,-0.717844
17,0.027761,0.044137,-0.032349,-0.017583,-0.01151,-0.007656,5.203944,0.198583,1.265984,0.34099,0.071444,0.034328,-0.065309,0.000752,0.00193,0.001512,-0.043654,-0.612275,-0.123444,-0.719477
18,0.027419,0.043655,-0.032636,-0.004974,-0.009444,-0.007503,0.613202,-0.976056,2.152752,0.271918,0.07135,0.03461,-0.065342,-0.004919,0.009109,-0.001732,-5.537095,-0.591624,-0.298595,-0.721437
19,0.0273,0.043488,-0.032777,-0.004967,-0.009116,-0.007277,5.157675,0.030184,1.459875,0.256079,0.071318,0.034773,-0.065376,-0.004855,0.009201,-0.001544,-1.722407,-1.265906,-0.395828,-0.729765
20,0.027112,0.043169,-0.03305,-0.005213,-0.008194,-0.006464,2.086715,0.265859,0.352835,0.239259,0.071259,0.035154,-0.065483,0.001558,0.007519,-0.002577,-0.037034,-1.08668,-0.46599,-0.733194
21,0.027033,0.042773,-0.033223,-0.004515,-0.013172,-0.00228,0.704209,2.682273,-1.622964,0.276327,0.071199,0.035599,-0.065661,0.002093,0.012405,-0.007211,-1.61414,-0.924902,-0.603845,-0.710333
