frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.150015,0.021511,0.419251,-0.564889,0.64653,-0.512781,-0.643587,-0.734055,-0.216636,-0.515776,0.206835,0.831398,0.0,0.0,0.0,0.0,0.0,0.0,0.519646,-0.174022,0.046013,0.35528,0.44496,0.782241,0.436006,-0.895441,0.384924,0.223499,0.006453,-0.490848,0.871143,-0.012213,0.014299,0.009585,0.00155,-0.015614,0.019323,0.516205,0.002287,0.040315,-0.006564,-0.314455,-0.859743,0.402441,0.947689,-0.308792,0.080816,0.05479,0.406803,0.911871,-0.005702,0.001313,0.008656,-0.036647,0.011084,-0.022835,0.517507,0.113338,0.032725,-0.03331,-0.464128,0.71742,-0.519512,-0.725847,-0.644201,-0.241143,-0.507671,0.265166,0.819729,4e-06,-5e-06,-4e-06,2.5e-05,3e-05,-1.3e-05,0.518755
2,0.150017,0.02152,0.419265,-0.564868,0.646548,-0.512782,-0.643614,-0.734033,-0.216629,-0.515764,0.206858,0.831399,0.000116,0.001024,0.000464,0.0,0.0,0.0,0.520031,-0.174317,0.046231,0.355578,0.444442,0.782325,0.436384,-0.895697,0.384283,0.22358,0.00667,-0.491218,0.870933,-0.012198,0.017017,0.011201,-0.010843,0.090692,-0.148296,0.51374,0.002144,0.04042,-0.006423,-0.314029,-0.859798,0.402657,0.947846,-0.308275,0.080955,0.054524,0.407079,0.911763,-0.005703,0.003576,0.010015,-0.034923,-0.004357,0.001506,0.514078,0.113339,0.032728,-0.033303,-0.464105,0.717434,-0.519512,-0.725872,-0.644176,-0.241135,-0.507656,0.265187,0.819731,8e-05,0.000676,0.000305,2.5e-05,3.3e-05,-1e-05,0.518755
3,0.149994,0.021562,0.419285,-0.564843,0.646571,-0.512781,-0.643632,-0.734012,-0.216647,-0.515769,0.206861,0.831395,0.000127,0.001124,0.000509,0.0,0.0,0.0,0.519655,-0.174868,0.04673,0.356376,0.443804,0.782454,0.4368,-0.896006,0.38317,0.22425,0.00755,-0.491881,0.870551,-0.011348,0.013969,0.024017,-0.033119,-0.019664,0.025894,0.512452,0.001864,0.040669,-0.006024,-0.313191,-0.859906,0.403078,0.948178,-0.307069,0.081646,0.053565,0.407761,0.911515,-0.005687,0.007003,0.012032,-0.034939,-0.004289,0.001562,0.509995,0.113328,0.03275,-0.033293,-0.464078,0.717454,-0.51951,-0.725886,-0.644153,-0.241155,-0.507661,0.26519,0.819727,8.1e-05,0.000707,0.000321,1.7e-05,4e-06,-9e-06,0.518755
4,0.149981,0.021603,0.419305,-0.564798,0.646608,-0.512784,-0.643662,-0.733976,-0.216678,-0.515781,0.206871,0.831385,4.3e-05,0.000383,0.000173,0.0,0.0,0.0,0.519538,-0.175688,0.047428,0.357496,0.44047,0.785809,0.434146,-0.897645,0.380947,0.221466,0.008102,-0.488244,0.872591,-0.02334,0.021945,0.029454,-0.030016,-0.011792,-0.008367,0.5122,0.001458,0.041015,-0.005467,-0.309837,-0.86278,0.399512,0.94927,-0.304447,0.078716,0.053715,0.403634,0.913341,-0.011691,0.011707,0.01518,-0.062057,0.102818,-0.144843,0.508689,0.113321,0.032772,-0.033282,-0.464029,0.717485,-0.519511,-0.72591,-0.644114,-0.241186,-0.507672,0.265202,0.819717,2.2e-05,0.000193,8.8e-05,1.2e-05,5e-06,-1e-05,0.518592
5,0.149991,0.02161,0.419308,-0.564761,0.646635,-0.512791,-0.643685,-0.733949,-0.216701,-0.515793,0.206882,0.831375,6e-06,4.9e-05,2.2e-05,0.0,0.0,0.0,0.519811,-0.17621,0.047865,0.358179,0.432835,0.791645,0.431211,-0.901319,0.374023,0.218324,0.01102,-0.48415,0.874837,-0.034513,0.016058,0.041334,-0.006261,-0.126169,-0.148971,0.511969,0.001202,0.041233,-0.005131,-0.302361,-0.867391,0.395233,0.951799,-0.297161,0.075985,0.051539,0.399158,0.915431,-0.011642,0.014272,0.016621,-0.001963,-0.194826,-0.210358,0.508362,0.113326,0.032776,-0.033281,-0.463989,0.717506,-0.519517,-0.725929,-0.644084,-0.241209,-0.507682,0.265214,0.819706,-1e-06,-1.1e-05,-6e-06,1e-06,7e-06,-8e-06,0.518429
6,0.149981,0.021596,0.419312,-0.564929,0.646509,-0.512764,-0.643593,-0.734069,-0.216573,-0.515724,0.206853,0.831425,-1.9e-05,-0.000164,-7.4e-05,0.0,0.0,0.0,0.519551,-0.177304,0.048859,0.359894,0.403434,0.812344,0.421106,-0.914495,0.343865,0.213052,0.027772,-0.472071,0.881045,-0.0342,0.027667,0.047661,0.04887,-0.591851,-0.762818,0.497777,0.000655,0.041724,-0.004277,-0.273892,-0.883044,0.381071,0.961064,-0.26636,0.073531,0.036571,0.386373,0.921616,-0.011132,0.014631,0.023881,-0.439408,-0.911623,-1.809655,0.499218,0.113321,0.032768,-0.033279,-0.464172,0.717404,-0.519495,-0.725856,-0.644214,-0.24108,-0.507619,0.265177,0.819758,-1.2e-05,-9.8e-05,-4.4e-05,-6e-06,-6e-06,-2.5e-05,0.518429
7,0.149918,0.021558,0.419362,-0.565033,0.646449,-0.512725,-0.643618,-0.734101,-0.216387,-0.515579,0.206924,0.831498,-0.01201,0.000958,0.000877,-0.000984,0.014715,-0.029553,0.519403,-0.178376,0.049686,0.362212,0.391647,0.825693,0.406,-0.919616,0.337983,0.200023,0.027456,-0.45274,0.891143,-0.020414,0.01171,0.066013,0.136126,-0.403298,-0.277595,0.480289,0.000126,0.042146,-0.003146,-0.261958,-0.894459,0.362382,0.964233,-0.258295,0.059477,0.040401,0.365001,0.930129,-0.010247,0.006462,0.033384,0.281969,-0.62042,-0.376357,0.480113,0.113294,0.032748,-0.033255,-0.464262,0.717368,-0.519464,-0.7259,-0.64423,-0.240907,-0.507474,0.265235,0.819829,-1.7e-05,-0.004831,0.00495,-0.035738,0.011512,-0.019022,0.518592
8,0.149909,0.021544,0.419377,-0.56508,0.646418,-0.512712,-0.643617,-0.734123,-0.216316,-0.515528,0.206946,0.831524,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.519559,-0.179341,0.049952,0.364876,0.374614,0.843515,0.384889,-0.926785,0.329842,0.179467,0.023972,-0.425001,0.9048,-0.031398,-0.000503,0.073871,0.25583,-0.69109,-0.291411,0.472987,-0.000364,0.042299,-0.001785,-0.245998,-0.908482,0.337851,0.968078,-0.247566,0.039177,0.048049,0.336704,0.940383,-0.009796,0.000315,0.036852,0.377727,-0.89012,-0.33123,0.463784,0.113285,0.032742,-0.033247,-0.464335,0.717331,-0.519449,-0.725894,-0.644267,-0.240824,-0.507415,0.265242,0.819862,0.0,-2e-06,2e-06,1e-05,7e-06,-1e-05,0.518592
9,0.149909,0.021558,0.419362,-0.565053,0.646435,-0.512721,-0.643606,-0.734115,-0.216375,-0.515572,0.206917,0.831503,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.5197,-0.179803,0.04986,0.366421,0.364856,0.85372,0.371529,-0.930748,0.325428,0.166553,0.020837,-0.407641,0.91283,-0.019424,-0.000341,0.072902,0.386439,-0.901324,-0.352709,0.473692,-0.000593,0.042259,-0.001042,-0.237538,-0.915788,0.323894,0.969911,-0.241922,0.027296,0.05336,0.320632,0.945699,-0.015347,-0.006106,0.040786,0.167057,-0.623266,-0.285449,0.461008,0.113285,0.032749,-0.033254,-0.464305,0.717345,-0.519456,-0.72588,-0.644261,-0.240883,-0.507462,0.26522,0.81984,1.9e-05,0.004826,-0.004947,0.035761,-0.011469,0.019009,0.518429
10,0.149909,0.021587,0.419333,-0.564998,0.64647,-0.512737,-0.643582,-0.734101,-0.216494,-0.515661,0.206861,0.831463,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.519497,-0.180589,0.049246,0.369513,0.344822,0.870469,0.351244,-0.938593,0.31876,0.131795,0.002341,-0.376217,0.926455,-0.017956,-0.027867,0.086205,2.320165,0.642127,-1.356171,0.476847,-0.000986,0.041971,0.000504,-0.220072,-0.92853,0.298997,0.972709,-0.231983,-0.004472,0.073515,0.289853,0.954243,-0.009397,-0.008921,0.038702,0.484336,-1.132612,-0.322416,0.461988,0.113285,0.032763,-0.033269,-0.464246,0.717373,-0.519471,-0.725852,-0.644249,-0.241,-0.507556,0.265176,0.819797,2e-06,-2e-06,1e-06,1.4e-05,3e-06,-7e-06,0.518102
