frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,-0.002039,0.038171,0.014905,0.000158,-0.007921,0.003298,-0.037939,0.021327,-0.044394,0.369402,0.117773,0.030037,-0.020667,0.005669,0.000842,-0.007055,0.052076,-0.137558,0.401331,0.319051
2,-0.002082,0.038011,0.014823,-0.006525,-0.00214,-0.007584,-0.036632,0.021653,-0.197056,0.284654,0.11809,0.030246,-0.021166,0.011489,0.009381,-0.017954,0.129862,-0.121556,0.315084,0.088484
3,-0.002188,0.037889,0.014683,-0.006719,-0.006066,-0.009451,-0.72928,-0.072975,-1.601538,0.135733,0.118282,0.030442,-0.021536,0.0054,0.014021,-0.022905,0.152994,-0.104459,0.272458,-0.068928
4,-0.002446,0.037643,0.01425,-0.000934,-0.007883,-0.010779,0.037094,0.019213,-0.034123,-0.164068,0.118599,0.031021,-0.022258,0.011922,0.015374,-0.015404,0.109561,-0.056819,0.11947,-0.369709
5,-0.00267,0.037677,0.01354,-0.001516,0.002347,-0.019981,0.10481,0.006591,-0.022384,-0.466156,0.118908,0.031871,-0.023089,0.005878,0.020872,-0.019951,0.144434,-0.051451,0.109795,-0.663305
6,-0.00277,0.037794,0.0131,-0.007685,0.008069,-0.023848,0.107502,0.04213,0.019882,-0.612954,0.119062,0.03233,-0.023543,0.005843,0.02057,-0.020048,0.136756,0.012804,-0.078278,-0.804715
7,-0.002986,0.038102,0.012214,-0.007624,0.009322,-0.023238,-0.29241,0.557039,0.284692,-0.879444,0.119241,0.033264,-0.024495,0.005598,0.023157,-0.025973,-0.624562,-0.108323,-0.375908,-0.829698
8,-0.003155,0.038363,0.011365,-0.001496,0.002891,-0.019762,-0.26979,0.483333,0.239376,-0.84548,0.119377,0.034139,-0.025658,0.005109,0.022032,-0.033392,0.214208,-0.241621,0.272034,-0.841456
9,-0.003283,0.03838,0.010582,-0.007665,-0.001217,-0.021438,-0.000798,0.155285,0.026778,-0.856747,0.11946,0.034775,-0.026862,0.004761,0.016945,-0.035423,0.214899,-0.069453,0.094835,-0.836067
10,-0.003391,0.038376,0.010112,-0.007723,-0.002012,-0.021877,0.104001,0.032859,-0.073105,-0.85789,0.119505,0.035011,-0.027453,0.004757,0.011018,-0.030835,0.181542,-0.071649,0.072909,-0.824473
11,-0.003585,0.038515,0.00911,-0.002302,0.008894,-0.03103,-0.178525,0.432217,0.263747,-0.854461,0.119536,0.035417,-0.028665,-0.001263,0.010159,-0.030948,0.145423,-0.386363,-0.092995,-0.826922
12,-0.003832,0.038611,0.008005,-0.002303,-0.000785,-0.028954,0.149168,-0.079082,0.155132,-0.850052,0.119388,0.035702,-0.029852,-0.001577,0.005639,-0.03288,0.177372,0.00091,0.028238,-0.828719
13,-0.003969,0.038599,0.007415,-0.008391,-0.002386,-0.029445,-0.166759,0.424962,0.182154,-0.852338,0.119248,0.03573,-0.030456,-0.007632,-0.000923,-0.028464,0.135264,-0.056203,-0.082482,-0.830841
14,-0.004258,0.038532,0.006188,-0.008531,-0.00387,-0.030397,0.093494,0.103769,-0.04679,-0.851685,0.11897,0.035686,-0.031525,-0.007506,-0.004294,-0.022948,0.048981,-0.746569,-0.378811,-0.829535
15,-0.004589,0.038544,0.004886,-0.008832,0.001481,-0.0349,-0.047541,0.313361,0.101582,-0.853808,0.118673,0.035638,-0.032416,-0.007264,-0.000386,-0.02128,0.093616,-0.112993,-0.100597,-0.832638
16,-0.005059,0.038723,0.003412,-0.015142,0.007248,-0.038715,-0.343709,0.645465,0.513441,-0.854624,0.118355,0.035622,-0.033133,-0.00693,-0.00104,-0.014495,0.06812,0.110338,-0.215932,-0.817452
