frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,-0.005893,0.040945,0.007185,8e-05,0.001149,0.000592,-0.009641,0.081913,-0.148239,0.476847,0.118247,0.033858,-0.043639,0.000112,0.001484,0.000796,2.2e-05,1e-06,1.7e-05,0.324276
2,-0.005957,0.040971,0.007209,8e-05,0.001114,0.000572,0.003881,0.002782,0.0127,0.471132,0.118247,0.033854,-0.043552,5.3e-05,0.000719,0.000385,1e-06,5e-06,-7e-06,0.326725
3,-0.006012,0.041011,0.007233,0.000198,0.002761,0.00141,0.001773,-0.014064,0.025179,0.469663,0.118248,0.033832,-0.043509,3.6e-05,0.000494,0.000263,0.09349,0.300734,0.12747,0.328195
4,-0.006227,0.041172,0.007326,-0.011435,0.005337,0.003544,-0.005328,0.104766,-0.207477,0.468193,0.118245,0.033752,-0.043423,-8e-06,-6.1e-05,-3.4e-05,-0.000998,-0.002718,-0.00094,0.330644
5,-0.006549,0.041382,0.007456,-0.011391,0.005605,0.003672,-0.000819,0.016543,-0.029946,0.467213,0.118231,0.033663,-0.043348,-6e-06,-3.6e-05,-1.9e-05,2.6e-05,-6.7e-05,-0.000105,0.332441
6,-0.00697,0.041558,0.007613,-0.011261,-0.001017,0.00736,-0.040488,0.04268,-0.076144,0.464764,0.118236,0.03359,-0.043287,-6e-06,-4.8e-05,-2.6e-05,4.3e-05,-9e-06,-6e-05,0.335217
7,-0.007179,0.041609,0.007697,-0.011244,-0.000879,0.007431,-0.038781,0.028876,-0.050902,0.462314,0.118236,0.033564,-0.043262,3.7e-05,-0.005055,0.004716,-0.035687,0.011314,-0.019235,0.337992
8,-0.007526,0.041634,0.007893,-0.005413,-0.001769,0.006563,-0.036626,0.01356,-0.021638,0.456926,0.118231,0.033519,-0.043224,1.1e-05,-0.005383,0.00454,-0.035698,0.011283,-0.019231,0.345994
9,-0.007748,0.041601,0.008115,-0.005587,0.003778,0.002311,-0.000224,0.000904,-0.004441,0.454477,0.118231,0.033494,-0.043205,3.5e-05,0.00046,0.000246,3.3e-05,2.9e-05,-2.9e-05,0.348606
10,-0.007819,0.041567,0.00823,-0.005433,-0.002049,0.006419,-0.03841,0.023567,-0.004529,0.451537,0.118231,0.033487,-0.043192,2.8e-05,0.000394,0.000212,1.8e-05,-9e-06,-3.2e-05,0.348606
11,-0.007909,0.041477,0.008456,0.000384,-0.002961,0.005545,-0.035431,0.011268,-0.018056,0.442556,0.118232,0.033462,-0.04316,-1e-06,-1.1e-05,-7e-06,1.9e-05,1.6e-05,-2.8e-05,0.346973
12,-0.007954,0.04141,0.008669,0.000313,0.003781,0.001881,0.00158,-0.013997,0.024592,0.431289,0.118227,0.033422,-0.043131,-1e-05,-0.005694,0.004375,-0.035705,0.011291,-0.019194,0.347137
13,-0.00799,0.041461,0.008888,-0.005191,0.000714,0.007776,-0.036708,0.013728,-0.021791,0.426227,0.118218,0.033394,-0.043108,-3e-06,7e-06,5e-06,-1.3e-05,-2.5e-05,-2.8e-05,0.350892
