frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.150674,0.015487,0.418213,-0.065461,0.879307,-0.471783,-0.941095,-0.211519,-0.263761,-0.331645,0.425633,0.841947,0.012207,-0.000928,-0.000869,0.000984,-0.014715,0.029553,0.491778,-0.19513,0.038063,0.39572,0.724537,0.595242,0.347455,-0.634725,0.772695,0.000162,-0.269278,-0.221416,0.937191,-2e-06,-2.8e-05,-1.3e-05,-0.0,0.0,0.0,0.510291,-0.00414,0.038114,0.014522,-0.636931,-0.676348,0.369961,0.711113,-0.700774,-0.056862,0.297718,0.226867,0.927305,0.006038,0.002455,0.000738,0.001995,-0.015194,0.029099,-0.037518,0.112521,0.03272,-0.03278,-0.136265,0.881614,-0.451872,-0.908089,-0.293476,-0.298739,-0.395986,0.369633,0.840574,-0.00018,-0.001632,-0.000778,-1.6e-05,-1e-06,-4e-06,0.039824
2,0.150761,0.015592,0.418031,-0.058392,0.879441,-0.472461,-0.941393,-0.205937,-0.267096,-0.332128,0.42808,0.840515,-2.7e-05,0.009257,-0.010107,0.035747,-0.011304,0.01913,0.359272,-0.195187,0.038015,0.395585,0.724319,0.595437,0.347575,-0.634863,0.772582,-0.000192,-0.269541,-0.221285,0.937147,-0.000443,-0.007153,-0.003389,-0.001815,0.012783,-0.025762,0.290699,-0.00414,0.038114,0.014522,-0.636931,-0.676348,0.369961,0.711113,-0.700774,-0.056862,0.297718,0.226867,0.927305,0.006038,0.002455,0.000738,0.001995,-0.015194,0.029099,-0.037518,0.112521,0.03272,-0.03278,-0.136265,0.881614,-0.451872,-0.908089,-0.293476,-0.298739,-0.395986,0.369633,0.840574,-0.00018,-0.001632,-0.000778,-1.6e-05,-1e-06,-4e-06,0.039824
3,0.15084,0.015749,0.417797,-0.052614,0.879744,-0.472575,-0.942374,-0.200243,-0.267966,-0.330314,0.43015,0.840173,0.011893,0.015265,-0.022181,0.071416,-0.026628,0.041015,0.122993,-0.19522,0.037887,0.395431,0.724319,0.595444,0.347564,-0.634803,0.772631,-0.000415,-0.269684,-0.221095,0.937151,-0.000657,-0.01059,-0.005028,-0.001815,0.012789,-0.025759,0.045799,-0.00414,0.038114,0.014522,-0.636931,-0.676348,0.369961,0.711113,-0.700774,-0.056862,0.297718,0.226867,0.927305,0.006038,0.002455,0.000738,0.001995,-0.015194,0.029099,-0.037518,0.112521,0.03272,-0.03278,-0.136265,0.881614,-0.451872,-0.908089,-0.293476,-0.298739,-0.395986,0.369633,0.840574,-0.00018,-0.001632,-0.000778,-1.6e-05,-1e-06,-4e-06,0.039824
4,0.15082,0.016007,0.417366,-0.038101,0.882244,-0.469296,-0.941499,-0.189,-0.278983,-0.334789,0.430115,0.838418,-9.5e-05,0.008643,-0.01039,-2.521366,-1.400823,4.712262,-0.562011,-0.19525,0.03776,0.395319,0.724365,0.596662,0.34537,-0.634997,0.772468,-0.002368,-0.269098,-0.218356,0.937961,8.7e-05,0.001393,0.000663,0.000153,-0.000211,-0.000116,-0.360691,-0.00414,0.038114,0.014522,-0.636931,-0.676348,0.369961,0.711113,-0.700774,-0.056862,0.297718,0.226867,0.927305,0.006038,0.002455,0.000738,0.001995,-0.015194,0.029099,-0.037518,0.112521,0.03272,-0.03278,-0.136265,0.881614,-0.451872,-0.908089,-0.293476,-0.298739,-0.395986,0.369633,0.840574,-0.00018,-0.001632,-0.000778,-1.6e-05,-1e-06,-4e-06,0.039824
5,0.150734,0.016242,0.417209,-0.032536,0.881074,-0.471905,-0.942569,-0.184017,-0.278698,-0.33236,0.43464,0.83705,0.000129,0.010655,-0.009428,0.027602,-0.045305,0.005863,-1.391024,-0.195266,0.037933,0.395287,0.723896,0.597075,0.34564,-0.635377,0.772154,-0.002813,-0.269463,-0.218338,0.93786,2.8e-05,0.000447,0.000212,-0.012518,0.088339,-0.177735,-0.657071,-0.00414,0.038114,0.014522,-0.636931,-0.676348,0.369961,0.711113,-0.700774,-0.056862,0.297718,0.226867,0.927305,0.006038,0.002455,0.000738,0.001995,-0.015194,0.029099,-0.037518,0.112521,0.03272,-0.03278,-0.136265,0.881614,-0.451872,-0.908089,-0.293476,-0.298739,-0.395986,0.369633,0.840574,-0.00018,-0.001632,-0.000778,-1.6e-05,-1e-06,-4e-06,0.039824
6,0.150717,0.016346,0.417118,-0.030975,0.880811,-0.472502,-0.941642,-0.184175,-0.281711,-0.335127,0.435106,0.835703,7e-06,6.7e-05,3.2e-05,-0.000118,-0.000496,-0.000195,-1.810785,-0.195252,0.03798,0.395234,0.722876,0.597257,0.347455,-0.635327,0.772183,-0.005222,-0.272313,-0.217736,0.937177,-2.8e-05,-0.000451,-0.000214,3.9e-05,3.6e-05,-1.4e-05,-0.737129,-0.00414,0.038114,0.014522,-0.636931,-0.676348,0.369961,0.711113,-0.700774,-0.056862,0.297718,0.226867,0.927305,0.006038,0.002455,0.000738,0.001995,-0.015194,0.029099,-0.037518,0.112521,0.03272,-0.03278,-0.136265,0.881614,-0.451872,-0.908089,-0.293476,-0.298739,-0.395986,0.369633,0.840574,-0.00018,-0.001632,-0.000778,-1.6e-05,-1e-06,-4e-06,0.039824
7,0.150715,0.016388,0.417051,-0.029362,0.880552,-0.473088,-0.94075,-0.184234,-0.284637,-0.337768,0.435605,0.834379,-0.000157,-0.001418,-0.000676,-0.0,-0.0,-0.0,-1.909824,-0.195247,0.03794,0.395193,0.715894,0.605658,0.347368,-0.644279,0.764729,-0.005221,-0.269691,-0.220838,0.937209,-9.9e-05,-0.001595,-0.000758,-0.172777,0.002597,-0.466156,-0.599353,-0.00414,0.038114,0.014522,-0.636931,-0.676348,0.369961,0.711113,-0.700774,-0.056862,0.297718,0.226867,0.927305,0.006038,0.002455,0.000738,0.001995,-0.015194,0.029099,-0.037518,0.112521,0.03272,-0.03278,-0.136265,0.881614,-0.451872,-0.908089,-0.293476,-0.298739,-0.395986,0.369633,0.840574,-0.00018,-0.001632,-0.000778,-1.6e-05,-1e-06,-4e-06,0.039824
8,0.150717,0.0162,0.417015,-0.028426,0.8803,-0.473612,-0.939956,-0.18468,-0.286961,-0.340052,0.435923,0.833285,-0.00065,-0.005853,-0.002794,-0.001084,0.01076,-0.026713,-1.46132,-0.195142,0.038064,0.395245,0.716324,0.605299,0.347109,-0.643875,0.765071,-0.005066,-0.269517,-0.220639,0.937306,0.012219,0.006812,0.0024,0.003858,-0.028012,0.054996,0.017628,-0.00414,0.038114,0.014522,-0.636931,-0.676348,0.369961,0.711113,-0.700774,-0.056862,0.297718,0.226867,0.927305,0.006038,0.002455,0.000738,0.001995,-0.015194,0.029099,-0.037518,0.112521,0.03272,-0.03278,-0.136265,0.881614,-0.451872,-0.908089,-0.293476,-0.298739,-0.395986,0.369633,0.840574,-0.00018,-0.001632,-0.000778,-1.6e-05,-1e-06,-4e-06,0.039824
9,0.150594,0.015946,0.417126,-0.035809,0.880386,-0.472953,-0.939851,-0.190469,-0.283503,-0.339639,0.433258,0.834841,-8.1e-05,-0.000726,-0.000347,0.228971,2.532895,-5.618323,-0.358323,-0.195139,0.038335,0.395428,0.716383,0.603998,0.349247,-0.643595,0.765317,-0.003076,-0.27003,-0.223342,0.936518,0.000443,0.007181,0.003399,-0.007106,-0.000548,0.032484,0.345988,-0.00414,0.038114,0.014522,-0.636931,-0.676348,0.369961,0.711113,-0.700774,-0.056862,0.297718,0.226867,0.927305,0.006038,0.002455,0.000738,0.001995,-0.015194,0.029099,-0.037518,0.112521,0.03272,-0.03278,-0.136265,0.881614,-0.451872,-0.908089,-0.293476,-0.298739,-0.395986,0.369633,0.840574,-0.00018,-0.001632,-0.000778,-1.6e-05,-1e-06,-4e-06,0.039824
10,0.150504,0.01581,0.417304,-0.042894,0.879049,-0.474846,-0.939889,-0.196599,-0.279159,-0.338703,0.433235,0.835233,6.8e-05,-0.008867,0.010284,-0.103263,-0.269484,-0.129039,-0.013645,-0.195103,0.038368,0.395536,0.716531,0.603867,0.349169,-0.643515,0.765385,-0.002799,-0.269826,-0.223462,0.936548,0.000327,0.005314,0.002513,0.001683,-0.012618,0.025854,0.44421,-0.00414,0.038114,0.014522,-0.636931,-0.676348,0.369961,0.711113,-0.700774,-0.056862,0.297718,0.226867,0.927305,0.006038,0.002455,0.000738,0.001995,-0.015194,0.029099,-0.037518,0.112521,0.03272,-0.03278,-0.136265,0.881614,-0.451872,-0.908089,-0.293476,-0.298739,-0.395986,0.369633,0.840574,-0.00018,-0.001632,-0.000778,-1.6e-05,-1e-06,-4e-06,0.039824
