frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,-0.003199,0.037623,0.008924,-0.003452,0.013493,-0.037473,-1.922433,-1.261018,1.929362,-0.958477,0.115504,0.031529,-0.033941,0.010985,0.019706,-0.041896,-0.125397,-0.886754,-0.384089,-0.951187
2,-0.003237,0.03792,0.008161,0.002566,0.01669,-0.043479,-0.405525,0.652867,0.693499,-0.954558,0.115764,0.031919,-0.034816,0.016997,0.02166,-0.048397,-0.096139,-0.774027,-0.384496,-0.947594
3,-0.003264,0.038438,0.006508,0.00165,0.007694,-0.041513,-0.261959,0.380347,0.726583,-0.937412,0.116265,0.032676,-0.036762,0.010777,0.022333,-0.055093,-0.015869,-0.627293,-0.526666,-0.947104
4,-0.003259,0.038784,0.004797,0.001377,0.006448,-0.042465,-0.350287,0.534032,0.591958,-0.924186,0.116694,0.033472,-0.038959,0.010958,0.01966,-0.056393,-0.118185,-0.713539,-0.801634,-0.956902
5,-0.003248,0.03891,0.003986,0.00162,0.00751,-0.041866,-0.224142,0.394155,0.52025,-0.920757,0.116874,0.033875,-0.040069,0.010744,0.023293,-0.061855,-0.219473,-0.991591,-0.95518,-0.956575
6,-0.003245,0.039073,0.002601,0.002494,0.001739,-0.030277,-0.269359,1.407552,0.50754,-0.915695,0.117184,0.034675,-0.042412,0.004997,0.016679,-0.05772,-0.346852,-0.945388,-1.174626,-0.951513
7,-0.003263,0.039232,0.001579,0.003705,0.002353,-0.022173,-0.904321,0.869919,1.226776,-0.915205,0.117347,0.03539,-0.044734,-0.001225,0.017508,-0.057107,-0.627807,-1.419423,-1.20936,-0.946288
8,-0.003209,0.039256,0.000926,0.004793,0.002282,-0.014437,-0.318139,1.025622,0.727995,-0.914878,0.117284,0.036008,-0.046857,-0.007498,0.018097,-0.056596,-0.261146,-0.691456,-1.148534,-0.955269
9,-0.003143,0.039271,0.00072,0.005402,0.000204,-0.008014,-0.897094,0.805765,1.260233,-0.90949,0.117173,0.036312,-0.047901,-0.007568,0.019246,-0.055983,-0.502901,-1.256057,-0.952968,-0.954289
10,-0.002981,0.039279,0.000546,0.006041,-0.001826,-0.001551,-0.650993,1.383977,0.394047,-0.905734,0.116812,0.036821,-0.049927,-0.01347,0.012971,-0.051891,-0.303155,-0.889801,-0.504998,-0.952819
11,-0.002785,0.039093,0.000581,0.006155,-0.006204,0.003334,-0.629614,0.708369,0.189589,-0.906224,0.116254,0.03709,-0.051582,-0.019463,0.008457,-0.03938,-0.420624,-0.987011,-0.587968,-0.95135
12,-0.002626,0.039001,0.000657,0.012817,-0.00525,0.003665,-0.245886,0.483291,-0.328346,-0.905897,0.115848,0.037204,-0.05226,-0.019051,0.001415,-0.028486,-0.329424,-0.675609,-0.474334,-0.951513
13,-0.002277,0.038884,0.000826,0.006933,-0.002668,0.005717,-0.120694,0.366489,-0.423831,-0.825722,0.114789,0.037426,-0.053387,-0.025623,0.006264,-0.02547,-0.256365,-0.716558,-0.213401,-0.953146
14,-0.001873,0.038812,0.001,0.007,-0.002318,0.005942,-0.073591,0.217667,-0.276105,-0.719419,0.113507,0.037622,-0.054122,-0.031634,0.002783,-0.012233,0.173495,-2.333481,1.814409,-0.957881
15,-0.001421,0.038759,0.00123,0.013722,-0.000919,0.006548,-0.03844,0.167144,-0.271039,-0.621282,0.112034,0.037746,-0.05444,-0.037806,0.002813,-0.004462,-0.157907,-0.28948,0.32629,-0.957555
16,-0.001184,0.038759,0.001365,0.013729,-0.005785,0.011102,-0.104188,0.219515,-0.267796,-0.557435,0.111279,0.037794,-0.054479,-0.037669,-0.00027,0.001301,-4.237877,2.115385,3.017187,-0.959514
17,-0.000796,0.038763,0.001725,0.007863,0.001959,0.008757,-0.052475,0.191494,-0.302162,-0.459624,0.109801,0.037916,-0.054415,-0.043873,0.003968,0.003939,-0.106466,-0.129878,0.418337,-0.954942
18,-0.000537,0.038807,0.002146,0.001895,0.004151,0.010512,-1.146298,-0.536177,-1.345846,-0.356098,0.108392,0.038153,-0.054223,-0.031278,0.007904,0.005775,-0.400413,0.046113,0.484517,-0.952656
19,-0.000469,0.038872,0.002345,0.001728,0.003427,0.01001,-0.054086,0.192393,-0.305556,-0.259756,0.107783,0.038303,-0.054113,-0.024975,0.007356,0.005213,0.029741,-0.105044,0.314164,-0.957718
20,-0.000471,0.039035,0.002653,-0.004944,0.006577,0.004703,-3.617928,-2.22898,-3.800229,-0.158843,0.106769,0.038523,-0.05392,-0.018672,0.004907,0.003531,0.234463,0.224981,0.480841,-0.961311
21,-0.000562,0.039293,0.002758,0.000944,0.009592,-0.001494,-0.653775,-1.731414,1.844383,-0.134023,0.106087,0.038624,-0.053831,-0.018689,0.000263,0.000812,-0.007981,-0.055128,0.08823,-0.962127
22,-0.000635,0.039708,0.002593,0.000535,0.017507,-0.011795,0.233187,-0.198696,-0.055409,-0.128797,0.105698,0.038586,-0.053873,-0.006277,-0.003613,-0.001874,0.031629,-0.022002,0.178073,-0.960494
23,-0.000644,0.039948,0.00242,9.8e-05,0.010402,-0.008682,0.051693,-0.027603,0.027878,-0.127818,0.105578,0.038531,-0.053957,-0.006311,-0.005761,-0.003133,-0.003581,-0.077574,0.114901,-0.960821
24,-0.000591,0.040533,0.001889,6.6e-05,0.015186,-0.01326,0.508442,-0.518699,-0.257362,-0.126185,0.105406,0.038391,-0.054241,-0.000281,-0.002927,-0.00921,0.029735,-0.091929,0.137803,-0.961801
25,-0.000545,0.041257,0.001289,0.000391,0.016713,-0.012223,0.487224,-0.443807,-0.462567,-0.125532,0.105363,0.038336,-0.054565,-0.000238,-0.000183,-0.007619,0.035243,0.00208,-0.006618,-0.960004
26,-0.000539,0.041643,0.001021,0.000524,0.01734,-0.011793,0.560075,-0.585665,-0.308262,-0.11851,0.105405,0.03835,-0.054722,-0.000229,0.000382,-0.007294,0.041253,-0.092449,0.168277,-0.958698
27,-0.000525,0.042342,0.00056,0.00055,0.017426,-0.011698,0.379967,-0.392632,-0.18997,-0.09369,0.10551,0.038372,-0.054972,-0.000208,0.001843,-0.006436,-0.197191,0.507505,-0.732713,-0.955759
28,-0.000426,0.043038,0.0001,0.00077,0.018486,-0.010974,0.265575,-0.422258,-0.28206,-0.061195,0.10557,0.038432,-0.055136,-1.2e-05,-0.00126,-0.000749,0.00161,0.009818,-0.020715,-0.958208
29,-0.000281,0.043673,-0.000281,0.000596,0.01271,-0.007049,0.442975,-0.579057,-0.105844,0.016858,0.105588,0.038479,-0.055177,4e-06,0.000132,7.8e-05,0.002376,-0.004095,0.004707,-0.959025
30,-0.000192,0.043911,-0.000435,0.006699,0.011801,-0.007965,0.280203,-0.3232,-0.101547,0.068621,0.105583,0.038484,-0.055179,2e-06,7.4e-05,4.3e-05,0.00158,-0.002745,0.003198,-0.963597
31,-1.9e-05,0.044109,-0.000567,0.000127,0.0006,0.000381,0.477712,-0.583344,-0.412523,0.160717,0.105518,0.038478,-0.055164,-0.006077,-0.004587,0.005023,-0.034454,0.009378,-0.020554,-0.960331
32,0.000124,0.044065,-0.000524,0.000363,0.001784,0.001149,0.381099,-0.467086,-0.290223,0.192232,0.105429,0.038466,-0.055146,-0.006254,-2.8e-05,0.000198,-0.000924,0.01467,-0.029535,-0.948574
33,0.000161,0.044041,-0.000437,0.006776,-0.0023,0.005844,-2.357105,-2.544471,-4.834306,0.194681,0.105378,0.038465,-0.055144,-0.0,-1e-06,5e-06,4.4e-05,-0.0,-2.1e-05,-0.946125
34,0.000289,0.04416,-0.000217,0.001398,0.002024,0.008904,1.035745,-1.322378,-0.674174,0.241709,0.10527,0.038465,-0.055146,0.0,-3.8e-05,-1.9e-05,3.1e-05,-1.7e-05,-1.2e-05,-0.945798
35,0.000398,0.044304,8.4e-05,0.001163,0.000851,0.008133,0.881669,-1.580934,-0.366199,0.291839,0.105185,0.038453,-0.055145,-0.006256,-0.000123,0.000142,0.004863,-0.080654,0.144875,-0.945308
36,0.000403,0.044379,0.000201,-0.005115,0.006349,0.004373,-1.301582,-2.697584,-5.404623,0.295431,0.105161,0.038446,-0.055154,-6e-06,-0.000395,-0.00023,1.9e-05,7e-06,-2e-05,-0.945471
37,0.000442,0.044624,0.000352,0.001359,0.006806,0.004312,1.39009,-1.859469,-0.307911,0.278776,0.105114,0.038414,-0.055176,-2.2e-05,-0.001341,-0.000793,7e-06,-1.3e-05,-1e-05,-0.945635
38,0.000416,0.044867,0.000551,0.001191,0.005902,0.00373,1.221471,-1.679983,0.077575,0.267835,0.105117,0.038361,-0.055214,-0.000187,0.003652,-0.005366,0.035737,-0.011095,0.01927,-0.945471
39,0.000358,0.044963,0.000667,-0.005936,0.001478,0.001286,0.675562,-1.100474,0.355266,0.276163,0.10513,0.038294,-0.055254,-3.5e-05,-0.002115,-0.001256,-0.00084,0.013812,-0.025286,-0.945798
40,0.000309,0.044982,0.000671,9.8e-05,0.005413,-0.004124,0.619683,-0.915111,0.356489,0.284001,0.10513,0.038267,-0.055282,-3.1e-05,-0.001943,-0.001156,0.041919,0.101944,0.022535,-0.945635
41,0.000314,0.045183,0.000498,-5.8e-05,0.00464,-0.004606,0.003422,-0.196605,0.354435,0.311271,0.105114,0.038241,-0.055325,-0.000166,0.004882,-0.004636,0.03466,-0.01271,0.018536,-0.946288
42,0.000311,0.045421,0.000223,-0.0004,0.002937,-0.005685,-0.002313,-0.008615,-0.145273,0.345398,0.105109,0.038243,-0.055335,1.5e-05,0.000819,0.000489,-0.008002,-0.02497,0.02087,-0.945471
43,0.000311,0.045431,0.000144,-0.000454,0.002675,-0.005852,0.028492,0.110505,-0.168615,0.351604,0.105109,0.038244,-0.055328,1.2e-05,0.000778,0.000464,-0.001196,-0.001899,-0.000906,-0.945635
44,0.000286,0.045275,0.000159,-8.7e-05,-0.000416,-0.000268,0.617362,-0.388936,-0.47816,0.356339,0.10511,0.03826,-0.055319,1.5e-05,0.000905,0.000539,0.000958,-0.01392,0.025135,-0.946614
45,0.000298,0.045242,0.000246,0.000366,-0.00313,0.005568,0.401647,-0.338573,-0.264636,0.357645,0.105101,0.038275,-0.055309,1e-06,4.4e-05,2.7e-05,0.0001,-4.6e-05,-6.7e-05,-0.947594
46,0.000365,0.045331,0.000425,0.00113,0.00562,0.00355,0.487658,-0.512497,-0.098411,0.363197,0.105067,0.038261,-0.055317,-1.2e-05,-0.000662,-0.000394,6.6e-05,-2.7e-05,-4.9e-05,-0.948901
47,0.000425,0.045424,0.00051,0.007355,0.005638,0.003199,0.792622,-0.677582,-0.35782,0.367116,0.105048,0.038244,-0.055326,-2.4e-05,-0.001437,-0.000854,-0.000789,0.013809,-0.025317,-0.949227
48,0.00046,0.045641,0.000658,0.001037,0.005192,0.003255,0.602506,-0.499201,-0.349542,0.368586,0.105019,0.038181,-0.055368,-2.9e-05,-0.001741,-0.001037,4.5e-05,-1.5e-05,-1.5e-05,-0.949227
49,0.000454,0.045912,0.000797,0.001384,0.006906,0.004315,0.387885,-0.420218,-0.01733,0.362544,0.104984,0.038118,-0.055445,-3.7e-05,-0.002192,-0.001308,2e-05,-1.9e-05,-1.6e-05,-0.948574
50,0.000455,0.04601,0.000927,0.001548,0.007739,0.004823,0.233575,-0.213915,-0.08939,0.362544,0.104964,0.038091,-0.055483,-3e-05,-0.001831,-0.001093,1.7e-05,-1.4e-05,-9e-06,-0.948411
51,0.000433,0.046166,0.001299,0.001973,0.004966,0.010543,0.539284,-0.492877,-0.830307,0.361238,0.104914,0.038048,-0.055558,-3.2e-05,-0.001923,-0.001151,1.5e-05,-1e-06,-3e-06,-0.946288
52,0.000453,0.046302,0.001856,0.002374,0.002044,0.016152,0.309778,-0.312236,-0.174914,0.3534,0.10486,0.038014,-0.055616,-0.006306,-0.00187,-0.000908,-0.001819,0.028562,-0.054825,-0.944655
53,0.000527,0.046298,0.002523,0.002149,0.000951,0.015422,0.124383,-0.126782,-1.860905,0.35193,0.104798,0.037969,-0.055663,-3e-05,-0.001632,-0.000977,-0.00084,0.013833,-0.025259,-0.945308
54,0.000588,0.04629,0.002857,0.002042,-0.004489,0.019529,0.444266,-0.414625,-0.313463,0.351767,0.104764,0.03795,-0.055685,-2.6e-05,-0.001456,-0.000871,4e-06,0.0,-5e-06,-0.944655
55,0.000702,0.046169,0.003582,0.002083,-0.004254,0.019621,0.392109,-0.269519,-1.959475,0.344255,0.104682,0.037917,-0.055742,-2.6e-05,-0.001369,-0.000819,-4e-06,-7e-06,-8e-06,-0.945635
56,0.000762,0.045994,0.004337,0.002021,-0.004519,0.019448,0.34917,-0.395621,-0.563456,0.3405,0.104595,0.037915,-0.055809,-1e-05,-0.000592,-0.000354,-1e-06,-2.5e-05,1.1e-05,-0.946615
57,0.000772,0.045891,0.00472,0.001893,-0.005162,0.019058,0.366251,-0.442663,-0.215139,0.341643,0.104552,0.037921,-0.055837,-0.006291,-0.000591,-0.000144,-0.000987,0.0147,-0.029544,-0.946778
58,0.000836,0.045753,0.005396,0.001799,-0.000662,0.014315,0.298915,-0.276476,-0.235775,0.346378,0.104498,0.037936,-0.055883,-1.2e-05,-0.000661,-0.000396,3e-06,1e-06,1e-05,-0.944655
59,0.000825,0.045563,0.006016,0.000957,-0.009918,0.016258,0.185437,-0.189351,-0.183221,0.345888,0.104492,0.037955,-0.055929,-0.000161,0.004745,-0.004718,0.035724,-0.011227,0.019191,-0.945308
60,0.000767,0.045337,0.006452,0.00068,-0.001422,0.006514,0.415695,-0.352255,-0.22729,0.344908,0.104495,0.037965,-0.055974,-1.4e-05,-0.000714,-0.00043,1e-06,1e-06,-3e-06,-0.946778
61,0.000712,0.045331,0.006601,0.000954,-4.2e-05,0.007308,0.453283,-0.37747,-0.266865,0.337397,0.104504,0.037976,-0.055995,-6e-06,-0.00031,-0.000187,6e-06,2e-06,-1e-06,-0.947104
62,0.000534,0.04556,0.006831,-0.004637,0.007577,0.004736,0.360658,-0.295581,-0.182588,0.327273,0.104512,0.037991,-0.056032,-1.3e-05,-0.000626,-0.000379,-0.004395,-0.005845,-0.002443,-0.947268
63,0.000272,0.04597,0.006959,-0.010742,0.007487,0.005049,-0.010592,0.037641,-0.033368,0.323518,0.104507,0.037982,-0.05606,-2.1e-05,-0.001066,-0.000642,1.8e-05,-0.000162,-0.000126,-0.946288
64,8.1e-05,0.046106,0.007035,-0.011073,0.005768,0.004059,-0.50411,-0.725284,-0.269935,0.324007,0.104501,0.037973,-0.056077,-2.7e-05,-0.001337,-0.000804,-0.000764,0.013859,-0.025313,-0.946941
65,-0.000299,0.046296,0.007092,-0.011758,0.002292,0.002076,-0.02364,0.034441,-0.02946,0.327273,0.104495,0.037951,-0.056113,-9e-06,-0.000527,-0.000318,7.1e-05,-2.8e-05,-2.8e-05,-0.947104
66,-0.000811,0.046523,0.007025,-0.011987,0.005983,-0.003104,0.020808,0.117076,-0.210251,0.322538,0.104494,0.037931,-0.056142,-1.8e-05,-0.000896,-0.000542,3.4e-05,-2.5e-05,-4.3e-05,-0.947268
67,-0.001316,0.046664,0.007018,-0.011834,0.001863,0.001832,-0.010786,0.136777,-0.22535,0.319762,0.104484,0.037897,-0.056174,-1.7e-05,-0.000851,-0.000514,0.000311,-0.000105,9.6e-05,-0.947104
68,-0.001582,0.046757,0.007045,-0.011555,0.003164,0.00257,-0.640065,-0.510403,-0.398393,0.319435,0.104478,0.03789,-0.056195,-0.000165,0.004557,-0.00483,0.035872,-0.011316,0.01912,-0.945798
69,-0.002181,0.04691,0.007177,-0.017495,0.003928,0.00338,0.039687,-0.003395,-0.093976,0.324334,0.104459,0.03788,-0.056217,-1.3e-05,-0.000606,-0.000365,7.9e-05,-5.5e-05,-6.8e-05,-0.943185
70,-0.002881,0.046911,0.007337,-0.018185,-0.003933,0.006189,0.023209,0.103482,-0.318563,0.335764,0.104425,0.037872,-0.056232,-1e-06,-9.5e-05,-5.8e-05,5.9e-05,-2.6e-05,-4.4e-05,-0.945145
