frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,-0.001951,0.044038,-0.002307,-0.000261,-0.001193,-0.000789,0.106499,-0.396441,-0.294262,0.35242,0.116684,0.034945,-0.039164,-0.00029,0.004677,-0.004938,0.039135,-0.010473,0.025344,-0.224054
2,-0.001921,0.043949,-0.002392,-0.000664,-0.003051,-0.002039,0.127046,-0.286994,-0.468181,0.344909,0.116659,0.034964,-0.03917,-1.9e-05,0.000362,0.000182,3.5e-05,-7.3e-05,0.00012,-0.225523
3,-0.001839,0.043796,-0.002494,-0.000772,-0.003921,-0.002649,-0.837592,-0.102313,-5.475663,0.352257,0.116644,0.034989,-0.039168,-1e-05,0.000204,0.000103,-1.9e-05,-1e-06,2.9e-05,-0.227973
4,-0.001861,0.043589,-0.00257,-0.001171,-0.010269,0.00084,0.12223,0.234733,-0.060333,0.391936,0.116639,0.034997,-0.039175,4e-06,-1.2e-05,-6e-06,1.6e-05,4.5e-05,4.8e-05,-0.229769
5,-0.001865,0.043508,-0.002631,-0.000999,-0.004599,-0.003102,-0.152308,0.230726,0.08187,0.410061,0.116634,0.035,-0.039179,5e-06,-9e-06,-5e-06,2.4e-05,4.3e-05,6.2e-05,-0.230749
6,-0.001948,0.043395,-0.002751,-0.006779,-0.002309,-0.00124,-1.025271,0.029796,-5.455417,0.41447,0.11662,0.035016,-0.03917,-4.8e-05,0.000993,0.000496,-1.1e-05,-1e-06,1.2e-05,-0.233198
7,-0.002067,0.043299,-0.002794,-0.000269,-0.001227,-0.000828,-4.1e-05,-0.000492,0.003488,0.399937,0.116595,0.035052,-0.039151,-4.6e-05,0.0009,0.00045,0.001955,-0.00163,0.002199,-0.235647
8,-0.002092,0.043302,-0.002808,2e-05,9.7e-05,6.8e-05,0.431503,-0.374408,-0.223143,0.386874,0.116571,0.035074,-0.039145,-0.006175,0.000743,0.000575,-0.000665,0.014477,-0.029326,-0.236954
9,-0.002081,0.043404,-0.00275,0.000933,0.00428,0.00289,0.511004,-0.360628,-0.410472,0.331682,0.116519,0.035093,-0.039145,-0.006119,-0.000364,2.3e-05,-0.000929,0.014702,-0.029596,-0.23875
10,-0.002039,0.043457,-0.002523,0.000919,-0.000625,0.00734,-0.003904,0.074005,-0.192353,0.275347,0.116473,0.035092,-0.039154,4e-05,-0.000801,-0.000399,-0.000766,0.011562,-0.026427,-0.243648
11,-0.001991,0.043576,-0.002355,0.000929,0.00429,0.002879,-0.007155,-0.008361,0.028036,0.283675,0.11644,0.035098,-0.039172,-0.000305,0.004989,-0.00478,0.035689,-0.007499,0.021007,-0.252466
12,-0.001988,0.043661,-0.002304,0.000933,0.004308,0.002887,-0.104443,0.102447,-0.63327,0.284001,0.116435,0.035105,-0.03918,-1e-06,7e-06,5e-06,1.1e-05,-1.8e-05,-6.1e-05,-0.254752
13,-0.001953,0.043811,-0.002186,0.001064,0.004912,0.003281,0.002706,-0.031632,0.049353,0.262773,0.116425,0.035132,-0.039193,-0.00612,-0.000333,4e-05,-0.000973,0.014705,-0.029606,-0.260141
14,-0.001919,0.043991,-0.001996,0.001442,0.001807,0.008914,-0.041588,0.09447,-0.131937,0.236647,0.11641,0.035141,-0.03921,-0.006118,-0.000363,2.3e-05,-0.000954,0.014696,-0.029576,-0.273531
15,-0.001929,0.044104,-0.001861,0.001513,0.002147,0.009128,-0.041624,0.094433,-0.132106,0.231095,0.1164,0.035152,-0.039215,-1e-06,4.9e-05,2.5e-05,2.6e-05,-0.0,-2.6e-05,-0.280062
16,-0.001917,0.044251,-0.001589,0.001213,0.005629,0.003716,-0.00748,0.092988,-0.141724,0.235014,0.116367,0.03518,-0.039222,-3.1e-05,0.000612,0.000307,0.005525,-0.080145,0.181936,-0.28888
17,-0.001949,0.044276,-0.001286,-0.005066,0.000952,0.008623,-0.006105,0.08743,-0.21919,0.227013,0.116333,0.035203,-0.039236,1e-06,-2e-05,-9e-06,8e-06,-2.1e-05,-2.1e-05,-0.29084
18,-0.001952,0.044245,-0.001104,0.001138,0.000442,0.007959,-0.051237,0.117173,-0.154653,0.225217,0.116324,0.035206,-0.03924,2e-06,-1.4e-05,-8e-06,3e-05,1.3e-05,-6e-06,-0.291003
19,-0.001949,0.044186,-0.000715,0.001371,0.001528,0.008653,0.0368,-0.081155,-0.0167,0.225217,0.116314,0.035219,-0.039266,2e-06,-1e-05,-5e-06,7e-06,-2.1e-05,-1.5e-05,-0.291329
20,-0.001977,0.044152,-0.00029,0.001232,0.000896,0.008225,-0.043639,0.095381,-0.132302,0.222767,0.116311,0.035253,-0.039309,-0.000291,0.004718,-0.004912,0.03567,-0.007557,0.021022,-0.289207
21,-0.00197,0.0439,0.000103,0.000149,-0.008948,0.009488,-0.082999,0.030361,-0.002964,0.219828,0.116309,0.035297,-0.039352,-1e-06,1e-05,6e-06,0.000143,-7.2e-05,-6.5e-05,-0.289207
22,-0.001955,0.043713,0.000279,2.3e-05,-0.009543,0.009112,-0.093724,0.152954,-0.197544,0.22342,0.116303,0.035316,-0.03937,-0.000306,0.004999,-0.004771,0.035758,-0.007605,0.020954,-0.290513
23,-0.001945,0.04343,0.000623,0.000338,-0.008097,0.010059,-0.017539,-0.019458,-0.075548,0.233381,0.116292,0.035354,-0.0394,-0.000305,0.004992,-0.004774,0.035716,-0.007587,0.020968,-0.294759
