frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.202947,0.015659,0.433847,-0.505013,0.64801,-0.570166,-0.676579,-0.707321,-0.204718,-0.535328,0.281567,0.796349,0.0,-5e-06,-2e-06,0.0,0.0,0.0,-0.447157,-0.248407,0.030235,0.373522,0.658959,0.432129,0.615653,-0.737729,0.53049,0.417456,-0.14702,-0.729805,0.667558,0.000196,0.000843,0.000514,9e-06,4e-06,-1.6e-05,-1.405346,-0.004503,0.037732,0.009843,-0.661823,-0.36535,0.654606,0.709828,-0.586246,0.390457,0.241107,0.723072,0.647327,0.00014,0.000597,0.000363,-0.002413,-0.002169,0.005621,-0.90753,0.116133,0.031363,-0.023868,-0.53358,0.70322,-0.469864,-0.677034,-0.68811,-0.261014,-0.506869,0.178842,0.843266,-1e-06,4e-06,2e-06,5e-06,-3e-06,-2.2e-05,-0.537245
2,0.202938,0.015658,0.433847,-0.505034,0.647998,-0.570161,-0.676568,-0.707335,-0.204705,-0.535322,0.28156,0.796355,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.447976,-0.248396,0.030233,0.373532,0.658663,0.432168,0.615943,-0.737974,0.530299,0.417266,-0.147121,-0.729921,0.667408,0.012352,-0.001731,-0.001758,0.002045,-0.015205,0.029245,-1.405631,-0.004502,0.037734,0.009849,-0.66154,-0.365393,0.654867,0.710061,-0.586081,0.390283,0.241199,0.723184,0.647168,-0.00015,-0.005416,0.004309,-0.035438,0.016377,-0.01397,-0.908183,0.116128,0.031362,-0.023868,-0.5336,0.703207,-0.46986,-0.677022,-0.688125,-0.261003,-0.506862,0.178835,0.843271,-3e-06,5e-06,4e-06,-7e-06,-1.9e-05,-3e-05,-0.537245
3,0.202947,0.015651,0.433844,-0.505031,0.647998,-0.570164,-0.676569,-0.707334,-0.204706,-0.535324,0.281562,0.796353,2e-06,-4.5e-05,-1.9e-05,0.0,0.0,0.0,-0.44801,-0.248289,0.030195,0.373513,0.658729,0.432146,0.615887,-0.737921,0.530321,0.417331,-0.147087,-0.729918,0.667419,-3e-06,-1.3e-05,-8e-06,0.0,-0.0,-0.0,-1.405398,-0.004444,0.037712,0.009838,-0.661643,-0.365338,0.654794,0.709972,-0.58613,0.39037,0.241177,0.723172,0.647189,-1e-06,-1e-05,-6e-06,0.000435,0.000271,0.000434,-0.909163,0.116133,0.031358,-0.02387,-0.533597,0.703207,-0.469863,-0.677023,-0.688124,-0.261004,-0.506865,0.178837,0.843269,-2e-06,-1.3e-05,-5e-06,1e-06,-1.7e-05,-2.1e-05,-0.537408
4,0.202956,0.015651,0.433844,-0.50501,0.648011,-0.570168,-0.67658,-0.70732,-0.204719,-0.53533,0.281569,0.796347,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.448047,-0.248253,0.030252,0.373501,0.65846,0.432201,0.616137,-0.738128,0.530239,0.417071,-0.147257,-0.729945,0.667351,0.000348,0.001495,0.000912,0.0,-0.0,-0.0,-1.4055,-0.004427,0.037738,0.00983,-0.661374,-0.365399,0.655032,0.71016,-0.586083,0.390099,0.241362,0.723179,0.647113,0.000203,0.000873,0.000532,-0.009162,0.083243,-0.147783,-0.90949,0.116137,0.031359,-0.02387,-0.533577,0.70322,-0.469867,-0.677034,-0.688109,-0.261015,-0.506871,0.178844,0.843264,-4e-06,7e-06,4e-06,-1.7e-05,-2.5e-05,-2.9e-05,-0.537408
5,0.202956,0.015651,0.433844,-0.50501,0.648011,-0.570168,-0.67658,-0.70732,-0.204719,-0.53533,0.281569,0.796347,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.448016,-0.248246,0.03029,0.373512,0.658105,0.432257,0.616476,-0.738413,0.53005,0.416805,-0.147412,-0.730049,0.667204,0.000501,0.002156,0.001315,0.0,-0.0,-0.0,-1.40563,-0.004423,0.037757,0.009836,-0.661012,-0.365476,0.655354,0.710442,-0.58593,0.389816,0.241523,0.723265,0.646957,0.000276,0.001186,0.000724,0.000235,0.000148,0.000252,-0.909326,0.116137,0.031359,-0.02387,-0.533577,0.70322,-0.469867,-0.677034,-0.688109,-0.261015,-0.506871,0.178844,0.843264,-5e-06,5e-06,4e-06,-9e-06,-3.4e-05,-2.7e-05,-0.537408
6,0.202938,0.01565,0.433844,-0.505052,0.647985,-0.57016,-0.676558,-0.707348,-0.204692,-0.535318,0.281556,0.796359,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.448145,-0.24825,0.030381,0.373592,0.656433,0.432495,0.618089,-0.739777,0.529038,0.415672,-0.14803,-0.730643,0.666417,0.000858,0.003688,0.002246,-0.009477,0.083079,-0.14808,-1.405393,-0.004426,0.037801,0.009876,-0.659293,-0.365826,0.656888,0.711821,-0.585062,0.388601,0.24216,0.72379,0.646131,0.000436,0.00188,0.001143,-0.009323,0.083173,-0.147913,-0.90949,0.116128,0.031358,-0.02387,-0.533618,0.703194,-0.46986,-0.677011,-0.68814,-0.260993,-0.506858,0.17883,0.843275,-4e-06,5e-06,3e-06,-1e-05,-3e-05,-2.5e-05,-0.537572
7,0.202947,0.015659,0.433847,-0.505013,0.64801,-0.570166,-0.676579,-0.707321,-0.204718,-0.535328,0.281567,0.796349,-0.0,0.0,0.0,0.0,0.0,0.0,-0.452692,-0.248278,0.030528,0.37372,0.651911,0.432072,0.62315,-0.742922,0.528105,0.411224,-0.152218,-0.731567,0.664456,0.00112,0.004816,0.002929,0.001806,-0.013694,0.02467,-1.405479,-0.004435,0.037872,0.009937,-0.654461,-0.365716,0.661764,0.714831,-0.584468,0.383942,0.246366,0.724325,0.643937,0.000541,0.002334,0.001419,0.001461,-0.014396,0.025784,-0.90998,0.116133,0.031363,-0.023868,-0.53358,0.70322,-0.469864,-0.677033,-0.68811,-0.261014,-0.506869,0.178842,0.843266,-2e-06,-3e-06,-1e-06,5e-06,-1.4e-05,-1.3e-05,-0.537898
8,0.202947,0.015651,0.433844,-0.505031,0.647998,-0.570164,-0.676569,-0.707334,-0.204706,-0.535324,0.281562,0.796353,2e-06,-3.9e-05,-1.6e-05,0.0,0.0,0.0,-0.455838,-0.248304,0.030615,0.373787,0.654438,0.428207,0.623171,-0.739803,0.532464,0.411227,-0.156536,-0.730675,0.664435,0.001049,0.00451,0.00274,0.0,0.0,0.0,-1.40545,-0.004452,0.037919,0.009973,-0.656688,-0.361637,0.661799,0.711324,-0.588553,0.384217,0.250557,0.723065,0.643737,-0.005539,0.003575,0.002523,-0.000422,4.6e-05,-0.003552,-0.90851,0.116133,0.031359,-0.02387,-0.533598,0.703207,-0.469863,-0.677022,-0.688125,-0.261004,-0.506865,0.178837,0.843269,-1e-06,-1.7e-05,-7e-06,-7e-06,-1.5e-05,-1.5e-05,-0.539531
9,0.202947,0.015659,0.433847,-0.505013,0.64801,-0.570166,-0.676579,-0.707321,-0.204718,-0.535328,0.281567,0.796349,-1.2e-05,0.000271,0.000115,0.0,0.0,0.0,-0.455886,-0.248347,0.030796,0.373913,0.661505,0.411544,0.626925,-0.729988,0.544506,0.412995,-0.172219,-0.731353,0.659793,0.000782,0.00336,0.002038,-0.028815,0.125536,-0.15593,-1.405688,-0.004473,0.038013,0.010039,-0.66224,-0.344062,0.665625,0.700499,-0.599612,0.386996,0.265966,0.722555,0.638103,0.000438,0.001887,0.001141,0.007685,-0.008269,0.034701,-0.908836,0.116133,0.031362,-0.023868,-0.533581,0.703219,-0.469864,-0.677033,-0.688111,-0.261014,-0.506869,0.178842,0.843266,-1e-05,0.000177,7.5e-05,-2e-06,-1e-05,-1.1e-05,-0.541654
10,0.202947,0.015651,0.433844,-0.505031,0.647998,-0.570164,-0.676569,-0.707334,-0.204706,-0.535324,0.281562,0.796353,2.4e-05,-0.000519,-0.00022,0.0,0.0,0.0,-0.456074,-0.248383,0.030915,0.374011,0.669181,0.388213,0.633623,-0.717267,0.559953,0.414625,-0.194665,-0.732415,0.652332,0.000672,0.002886,0.001748,0.823425,1.829931,-1.904568,-1.405611,-0.004491,0.038072,0.010088,-0.669383,-0.320176,0.670382,0.685581,-0.613831,0.391392,0.286188,0.721593,0.630395,-0.005756,0.002614,0.001933,-0.051932,0.100457,0.029508,-0.909163,0.116133,0.03136,-0.023869,-0.533598,0.703206,-0.469863,-0.677022,-0.688125,-0.261004,-0.506865,0.178837,0.843269,1.5e-05,-0.000347,-0.000147,1e-06,6e-06,2e-06,-0.541817
11,0.202956,0.015651,0.433844,-0.50501,0.648011,-0.570168,-0.67658,-0.70732,-0.204719,-0.53533,0.281569,0.796347,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.456457,-0.248403,0.031108,0.374143,0.665728,0.382676,0.640591,-0.718774,0.559104,0.413161,-0.200874,-0.735964,0.646429,-0.011051,0.00717,0.005044,-0.013836,0.022118,0.00849,-1.405413,-0.004497,0.038164,0.01015,-0.66317,-0.31466,0.679112,0.68815,-0.613184,0.387883,0.29437,0.724563,0.623179,0.00055,0.002367,0.001429,0.013518,-0.013047,0.004138,-0.904264,0.116137,0.031359,-0.02387,-0.533578,0.70322,-0.469867,-0.677034,-0.68811,-0.261015,-0.506871,0.178844,0.843264,-1e-06,4e-06,3e-06,-6e-06,-1e-06,-6e-06,-0.542144
12,0.202956,0.015643,0.43384,-0.503571,0.648852,-0.570485,-0.676043,-0.707024,-0.207493,-0.537359,0.280374,0.795401,2.8e-05,-0.000611,-0.000258,1.3e-05,-4e-06,8e-06,-0.456898,-0.248412,0.031177,0.374209,0.665221,0.375875,0.645129,-0.716859,0.56281,0.41145,-0.209254,-0.736634,0.642998,0.000808,0.003467,0.002094,0.25371,0.527448,-0.587426,-1.405573,-0.004506,0.038202,0.010186,-0.663871,-0.307959,0.681495,0.684708,-0.61677,0.388289,0.300749,0.7244,0.620317,0.000342,0.001478,0.000893,0.018334,-0.020909,-0.004847,-0.908673,0.116137,0.031356,-0.023871,-0.53214,0.704125,-0.470142,-0.676596,-0.687476,-0.263805,-0.508964,0.177715,0.842242,2e-05,-0.000477,-0.000201,-0.005141,0.001378,-0.002403,-0.542307
13,0.202957,0.015636,0.433848,-0.503462,0.648927,-0.570495,-0.676118,-0.706937,-0.207546,-0.537367,0.280419,0.79538,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.456606,-0.248382,0.031223,0.374305,0.664566,0.370831,0.648713,-0.716703,0.561616,0.413351,-0.211866,-0.740089,0.638156,0.000608,0.002609,0.001575,-0.148775,0.232435,0.139979,-1.405652,-0.004491,0.038225,0.010233,-0.660466,-0.30439,0.686388,0.686148,-0.61592,0.387094,0.304933,0.726627,0.615652,0.0002,0.000878,0.000529,-0.324009,0.445026,0.253432,-0.908347,0.116138,0.031351,-0.023868,-0.532055,0.70419,-0.470141,-0.676686,-0.687392,-0.263793,-0.508932,0.177786,0.842246,-2e-06,8e-06,3e-06,-0.00012,-1.2e-05,-6.7e-05,-0.54296
14,0.202957,0.015636,0.433848,-0.503584,0.648841,-0.570485,-0.676049,-0.707028,-0.207462,-0.537339,0.28039,0.795409,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.457315,-0.248356,0.031222,0.374418,0.664717,0.362636,0.653175,-0.712763,0.569504,0.409351,-0.224363,-0.738108,0.636177,0.000409,0.001758,0.00106,0.00058,0.001321,-0.001409,-1.405617,-0.004477,0.038226,0.010291,-0.659801,-0.294909,0.691151,0.681099,-0.623249,0.384269,0.317435,0.724284,0.612083,9.3e-05,-0.004358,0.004948,-0.034106,0.012467,-0.01691,-0.913899,0.116138,0.031351,-0.023868,-0.532175,0.704102,-0.470137,-0.676614,-0.68749,-0.263723,-0.508903,0.177755,0.84227,-4e-06,5e-06,3e-06,-1.8e-05,-3.3e-05,-2.2e-05,-0.54394
15,0.202956,0.015644,0.433851,-0.503566,0.648854,-0.570486,-0.67606,-0.707014,-0.207474,-0.537343,0.280394,0.795405,-9e-06,0.000196,8.3e-05,0.0,0.0,0.0,-0.45735,-0.248343,0.031187,0.374475,0.662776,0.362445,0.655251,-0.71401,0.569269,0.4075,-0.226137,-0.738383,0.635229,0.000182,0.000784,0.000473,0.006856,0.014022,-0.01605,-1.405461,-0.004471,0.03821,0.010321,-0.657745,-0.2949,0.693111,0.682282,-0.623142,0.382339,0.319156,0.72438,0.611074,9.1e-05,0.000403,0.000243,0.021912,0.045103,-0.053475,-0.916511,0.116138,0.031355,-0.023866,-0.532158,0.704114,-0.470138,-0.676624,-0.687476,-0.263733,-0.508907,0.177759,0.842267,-8e-06,0.000105,4.6e-05,-3e-06,-5e-06,-1e-06,-0.544266
