frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
2,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
3,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
4,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
5,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
6,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
7,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
8,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
9,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
10,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
11,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
12,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
13,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
14,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
15,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
16,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
17,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
18,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
19,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
20,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
21,0.028169,0.025886,0.000205,3.1e-05,-0.000159,-8.5e-05,-6e-06,3e-06,-1e-05,-0.786368,0.089398,0.045767,-0.021503,7.5e-05,0.000302,0.000117,-1.1e-05,-1.1e-05,5e-06,-0.874277
