frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.171213,0.006955,0.389025,-0.649975,0.475449,-0.592896,-0.670223,-0.726372,0.152173,-0.35751,0.495686,0.791523,0.0,0.0,0.0,0.0,0.0,0.0,0.086987,-0.207983,-0.033453,0.34225,-0.794205,-0.326327,0.512582,0.508717,-0.818282,0.267496,0.333131,0.473619,0.815212,-0.014648,0.000782,0.001544,-0.002045,0.015205,-0.029245,-0.02695,0.023898,0.027136,-0.010013,0.700353,0.43125,0.568795,-0.549197,0.834561,0.043473,-0.455946,-0.342827,0.821329,2.1e-05,0.000159,0.000154,-7e-06,3e-06,-5e-06,-0.227262,0.087564,0.040635,-0.030584,0.709254,-0.403585,-0.577993,0.577332,0.803034,0.147723,0.40453,-0.438468,0.802558,0.006446,-0.000157,-0.000298,0.001001,-0.014704,0.029559,-0.118895
2,0.171231,0.006939,0.389015,-0.64997,0.475451,-0.5929,-0.670227,-0.72637,0.152169,-0.357513,0.495688,0.791521,-5.1e-05,-0.001007,-0.000604,0.0,0.0,0.0,0.088066,-0.208005,-0.033452,0.342252,-0.794176,-0.326352,0.512612,0.508753,-0.818267,0.267476,0.333148,0.473629,0.8152,0.0,3e-06,3e-06,0.0,0.0,0.0,-0.027707,0.023882,0.027137,-0.010011,0.700301,0.431294,0.568826,-0.549245,0.834531,0.043439,-0.455968,-0.342845,0.821309,-0.0,-6e-06,-4e-06,-4e-06,7e-06,-5e-06,-0.223016,0.087573,0.040629,-0.030588,0.70925,-0.403587,-0.577997,0.577336,0.803032,0.14772,0.404533,-0.438469,0.802556,-3.2e-05,-0.000673,-0.000406,-1e-06,-3e-06,-5e-06,-0.114976
3,0.171231,0.006939,0.389015,-0.649857,0.475518,-0.59297,-0.670313,-0.726308,0.152086,-0.357557,0.495714,0.791484,2.4e-05,0.00048,0.000288,0.0,0.0,0.0,0.087204,-0.207995,-0.033459,0.342244,-0.794178,-0.32635,0.51261,0.508751,-0.818268,0.267478,0.333147,0.473629,0.815201,-1e-06,-5e-06,-5e-06,0.0,0.0,0.0,-0.027969,0.023887,0.027134,-0.010015,0.700303,0.431292,0.568824,-0.549244,0.834532,0.043441,-0.455967,-0.342845,0.82131,-1e-06,0.0,0.0,1e-06,-8e-06,-5e-06,-0.22122,0.087573,0.040625,-0.03059,0.709146,-0.403668,-0.578067,0.577429,0.80298,0.147638,0.40458,-0.43849,0.80252,1.7e-05,0.000332,0.000199,0.0,-9e-06,5e-06,-0.112363
4,0.171396,0.006943,0.389012,-0.649521,0.475709,-0.593186,-0.670566,-0.726126,0.15184,-0.357694,0.495798,0.79137,0.0,2e-06,1e-06,0.0,0.0,0.0,0.089472,-0.208016,-0.033452,0.342252,-0.794161,-0.326364,0.512627,0.508771,-0.818259,0.267466,0.333156,0.473634,0.815194,2.2e-05,0.000179,0.000173,0.0,0.0,0.0,-0.027605,0.023876,0.027137,-0.010011,0.700284,0.431308,0.568836,-0.549262,0.834521,0.043428,-0.455975,-0.342852,0.821303,1.3e-05,0.000114,0.000109,3e-06,2e-06,-8e-06,-0.220567,0.087656,0.040629,-0.03059,0.708837,-0.4039,-0.578284,0.577706,0.802825,0.147398,0.404727,-0.438559,0.802408,1e-06,-7e-06,-6e-06,2.1e-05,1.2e-05,6e-06,-0.110893
5,0.171512,0.006933,0.389002,-0.649312,0.475826,-0.593321,-0.670723,-0.726013,0.151687,-0.35778,0.495851,0.791298,-2e-06,-3.6e-05,-2.2e-05,0.0,0.0,0.0,0.088434,-0.208039,-0.033458,0.342248,-0.794118,-0.3264,0.51267,0.508823,-0.818236,0.267438,0.33318,0.473649,0.815176,-6.9e-05,-0.000557,-0.000538,0.0,0.0,0.0,-0.027971,0.023865,0.027136,-0.010011,0.700234,0.43135,0.568865,-0.549308,0.834492,0.043396,-0.455995,-0.34287,0.821284,-0.007385,-0.000111,0.000287,-0.002052,0.015204,-0.029247,-0.220403,0.087709,0.040624,-0.030595,0.708663,-0.404031,-0.578407,0.577862,0.802738,0.147262,0.404811,-0.438599,0.802345,-1e-06,-2.2e-05,-1.8e-05,0.0,-7e-06,-6e-06,-0.110077
6,0.171599,0.006931,0.38901,-0.649138,0.475925,-0.593431,-0.670863,-0.725906,0.151581,-0.357832,0.495913,0.791236,4.6e-05,0.000926,0.000556,0.0,0.0,0.0,0.082938,-0.208018,-0.033471,0.342234,-0.794122,-0.326398,0.512666,0.508819,-0.818238,0.26744,0.333177,0.473647,0.815178,-1.7e-05,-0.000138,-0.000133,0.0,0.0,0.0,-0.027338,0.023875,0.027128,-0.01002,0.700238,0.431347,0.568862,-0.549305,0.834494,0.043398,-0.455993,-0.342868,0.821286,-7e-06,-6.1e-05,-6e-05,-3e-06,1e-06,8e-06,-0.220403,0.087757,0.040621,-0.030593,0.708486,-0.404165,-0.57853,0.57803,0.802638,0.147146,0.404879,-0.438659,0.802278,2.7e-05,0.000531,0.000314,-4e-06,-1.2e-05,-1.2e-05,-0.113179
7,0.17159,0.006954,0.389024,-0.649108,0.475943,-0.59345,-0.670886,-0.725889,0.151559,-0.357844,0.495919,0.791226,1.2e-05,0.000239,0.000143,0.0,0.0,0.0,0.084754,-0.208043,-0.033495,0.342212,-0.79404,-0.326467,0.512749,0.508917,-0.818195,0.267385,0.333222,0.473675,0.815144,-2.6e-05,-0.000208,-0.000201,0.0,0.0,0.0,-0.024447,0.023863,0.027115,-0.010031,0.700144,0.431427,0.568919,-0.549394,0.834438,0.043337,-0.456031,-0.342902,0.82125,-1.3e-05,-0.000107,-0.000103,-4e-06,2e-06,2.1e-05,-0.218607,0.087753,0.040634,-0.030585,0.708459,-0.404187,-0.578548,0.578056,0.802624,0.147124,0.404891,-0.438664,0.802269,8e-06,0.000158,9.5e-05,1.2e-05,9e-06,-8e-06,-0.114812
8,0.171591,0.006954,0.389035,-0.649104,0.475946,-0.593451,-0.670898,-0.725873,0.151576,-0.357827,0.495939,0.791222,3e-06,5.3e-05,3.2e-05,0.0,0.0,0.0,0.087437,-0.208077,-0.033493,0.342202,-0.794081,-0.326433,0.512707,0.508859,-0.818229,0.267391,0.333212,0.473639,0.815168,-6e-06,-5.2e-05,-5e-05,0.0,0.0,0.0,-0.024576,0.023846,0.027116,-0.010037,0.700192,0.431387,0.568889,-0.549337,0.834475,0.043346,-0.456025,-0.342863,0.82127,-0.0,-1.1e-05,-9e-06,6e-06,2e-06,1.3e-05,-0.217791,0.087753,0.040635,-0.030579,0.708455,-0.40419,-0.57855,0.57807,0.80261,0.147142,0.404877,-0.438686,0.802264,-0.0,1.3e-05,7e-06,6e-06,2e-06,-1.3e-05,-0.113506
9,0.171561,0.006931,0.389023,-0.64921,0.475885,-0.593385,-0.670819,-0.725931,0.151654,-0.357785,0.495913,0.791257,-6.6e-05,-0.001327,-0.000797,0.0,0.0,0.0,0.089436,-0.20809,-0.033513,0.342198,-0.793941,-0.326551,0.512849,0.509036,-0.818142,0.267319,0.333276,0.473707,0.815102,-5e-05,-0.000406,-0.000393,0.0,0.0,0.0,-0.024721,0.02384,0.027107,-0.010038,0.700029,0.431523,0.568986,-0.549501,0.834372,0.043262,-0.456078,-0.342943,0.821207,-3.7e-05,-0.000302,-0.000293,7e-06,-2e-06,1.3e-05,-0.217464,0.087738,0.040626,-0.030583,0.708552,-0.404116,-0.578483,0.577983,0.802659,0.147218,0.404832,-0.438665,0.802298,-3.8e-05,-0.000777,-0.000465,-0.000876,0.012136,-0.026127,-0.110077
10,0.171513,0.006948,0.389034,-0.649271,0.475852,-0.593344,-0.670773,-0.725964,0.151698,-0.357759,0.495897,0.791278,1.3e-05,0.000263,0.000158,0.0,0.0,0.0,0.088637,-0.208077,-0.0335,0.342209,-0.793982,-0.326516,0.512808,0.508987,-0.818164,0.267347,0.333254,0.473694,0.815119,0.000102,0.000823,0.000795,0.0,0.0,0.0,-0.024231,0.023846,0.027111,-0.010034,0.700077,0.431483,0.568958,-0.549456,0.8344,0.043293,-0.456059,-0.342926,0.821225,6.8e-05,0.000555,0.000535,3e-06,9e-06,7e-06,-0.216811,0.087714,0.040631,-0.03058,0.708609,-0.404075,-0.578443,0.577933,0.802687,0.147261,0.404804,-0.438652,0.802319,1e-05,0.000167,0.000102,9e-06,9e-06,-3e-06,-0.109914
11,0.171561,0.006939,0.389027,-0.649081,0.475962,-0.593465,-0.670917,-0.72586,0.151558,-0.357835,0.495944,0.791215,-2.4e-05,-0.000483,-0.00029,0.0,0.0,0.0,0.094627,-0.208075,-0.033482,0.342227,-0.794021,-0.326483,0.512769,0.50894,-0.818185,0.267373,0.333233,0.473681,0.815135,8e-06,6.6e-05,6.4e-05,0.0,0.0,0.0,-0.024611,0.023847,0.027123,-0.010023,0.700122,0.431444,0.568932,-0.549413,0.834427,0.043323,-0.456041,-0.34291,0.821242,2e-06,1.9e-05,1.8e-05,1e-06,-1e-06,-7e-06,-0.216811,0.087738,0.040628,-0.030582,0.708434,-0.404209,-0.578563,0.57809,0.802599,0.147124,0.404886,-0.43869,0.802257,-1.4e-05,-0.000325,-0.000197,7e-06,1e-06,-8e-06,-0.106811
12,0.17157,0.006924,0.389018,-0.649095,0.475953,-0.593457,-0.670906,-0.725868,0.151569,-0.35783,0.495941,0.791219,-2.4e-05,-0.000476,-0.000286,0.0,0.0,0.0,0.096082,-0.208054,-0.033489,0.342219,-0.794038,-0.326469,0.512751,0.50892,-0.818194,0.267384,0.333223,0.473675,0.815143,-5.9e-05,-0.000474,-0.000459,0.0,0.0,0.0,-0.024427,0.023858,0.02712,-0.010026,0.700142,0.431428,0.56892,-0.549395,0.834438,0.043335,-0.456033,-0.342903,0.821249,-4e-05,-0.00033,-0.000318,1e-06,2e-06,-3e-06,-0.216648,0.087743,0.04062,-0.030587,0.708447,-0.404198,-0.578555,0.578078,0.802606,0.147135,0.404881,-0.438687,0.802262,-1.5e-05,-0.000297,-0.000179,-4e-06,-4e-06,-1e-05,-0.103219
13,0.171559,0.006901,0.389005,-0.649163,0.475913,-0.593414,-0.670855,-0.725905,0.151619,-0.357803,0.495924,0.791242,-1e-06,-1.2e-05,-7e-06,0.0,0.0,0.0,0.089077,-0.208057,-0.033514,0.342195,-0.793986,-0.326513,0.512804,0.508982,-0.818166,0.267349,0.333251,0.473692,0.815121,-0.014838,-0.000733,7.9e-05,-0.002045,0.015205,-0.029245,-0.024258,0.023862,0.027109,-0.010037,0.700114,0.431452,0.568936,-0.549422,0.834421,0.043317,-0.456043,-0.342913,0.821239,-1.6e-05,-0.000134,-0.00013,2e-06,8e-06,9e-06,-0.216648,0.087737,0.040607,-0.030595,0.708509,-0.40415,-0.578512,0.578021,0.802638,0.147184,0.404852,-0.438673,0.802283,1e-06,2.3e-05,1.3e-05,-2e-06,-4e-06,-2e-06,-0.102892
