frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
2,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
3,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
4,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
5,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
6,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
7,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
8,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
9,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
10,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
11,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
12,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
13,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
14,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
15,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
16,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.08776,0.038472,-0.032251,-0.006518,0.00109,0.000892,-0.000995,0.014725,-0.029537,-0.215889
17,0.026249,0.025544,-0.009287,0.000112,0.001046,0.001021,-0.000131,-2.9e-05,-0.00025,-0.234773,0.087764,0.038505,-0.032307,0.013223,0.004575,-0.006533,0.043652,0.036773,-0.088936,-0.231565
18,0.026156,0.025547,-0.009454,0.001132,0.003881,0.003348,-0.009211,0.070518,-0.151429,-0.235426,0.088024,0.03877,-0.032504,0.000239,-0.003175,0.0057,-0.051836,0.192778,-0.387826,-0.720294
19,0.026247,0.02561,-0.009248,0.000773,-0.002359,0.007179,-0.056044,0.089093,-0.189368,-0.204728,0.088055,0.038562,-0.032303,0.000199,-0.010983,0.008797,-0.087708,0.192418,-0.404369,-0.686819
