frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.025677,0.017394,-0.007806,-0.001106,-0.009112,-0.010586,-0.267793,-0.651631,0.455237,-0.119163,0.086478,0.033914,-0.029389,-0.00015,-0.003882,-0.002846,-0.00363,0.000972,-0.028185,-0.13653
2,0.025567,0.017091,-0.008189,-0.008686,-0.007337,-0.008168,-0.003425,0.047386,-0.080098,-0.390062,0.086555,0.033728,-0.029617,-0.000478,-0.003854,-0.011275,0.019842,-0.070602,0.187889,-0.380486
3,0.025424,0.016961,-0.008381,-0.009163,-0.00382,-0.014724,0.029705,0.045205,-0.085997,-0.531962,0.086613,0.033607,-0.029828,0.006365,-0.005558,-0.01277,0.041683,-0.083005,0.177459,-0.528917
4,0.025154,0.016757,-0.008948,-0.009082,-0.002946,-0.013782,0.503416,0.001696,-0.359797,-0.827518,0.086533,0.033533,-0.030402,-0.007501,0.001734,-0.015442,-0.119244,0.161194,-0.14105,-0.825126
5,0.025014,0.016822,-0.009444,-0.000734,0.001297,-0.00919,0.232018,-0.132674,-0.085864,-0.993094,0.086281,0.033757,-0.031067,-0.007504,0.010098,-0.017705,-0.079797,0.137315,-0.093021,-1.109252
6,0.024934,0.016883,-0.009641,-0.008428,0.002291,-0.007615,0.015686,0.02359,-0.036541,-0.955048,0.086162,0.033934,-0.031371,-0.007419,0.012103,-0.016203,0.108311,0.061315,-0.146993,-1.140277
7,0.024823,0.016979,-0.009813,-0.0077,0.000871,0.001444,-0.010271,0.019326,-0.027924,-0.968437,0.085978,0.034255,-0.031806,-0.007122,0.002844,-0.006149,0.034024,0.016127,-0.036131,-1.11562
8,0.024702,0.017109,-0.009683,-0.007153,0.005081,0.006448,-0.004744,-0.028263,0.020458,-0.900509,0.085857,0.034351,-0.032011,-0.006915,-0.000244,3e-05,0.227735,0.014546,-0.475989,-0.978783
9,0.02472,0.017265,-0.009311,0.008909,0.001444,0.012019,-0.303914,-0.715783,0.552316,-0.712235,0.085738,0.034328,-0.031878,0.000278,-0.001643,0.007266,-0.035215,-0.002392,0.008189,-0.804225
10,0.024764,0.017346,-0.009096,0.001076,0.001292,0.012211,-0.031879,0.005416,0.004625,-0.642673,0.085692,0.034297,-0.031721,-0.00659,-0.000518,0.008309,-0.030347,-0.071033,0.158423,-0.740542
11,0.024872,0.017464,-0.008697,0.001028,0.000994,0.011819,-0.032599,-0.013841,0.034295,-0.542902,0.085658,0.03422,-0.03137,-0.006607,-0.000884,0.008029,-0.029981,-0.070831,0.157098,-0.644527
12,0.024963,0.01752,-0.008332,0.008574,-0.000842,0.009237,-0.032453,-0.016336,0.037712,-0.440846,0.085599,0.034127,-0.031005,-0.006613,-0.00103,0.007914,0.192446,0.009818,-0.469558,-0.37967
13,0.024994,0.01752,-0.008165,0.00073,-0.001312,0.009081,-0.034527,-0.001202,0.008362,-0.292578,0.085553,0.034072,-0.030841,-0.00653,-0.007041,0.011912,-0.069966,0.035989,-0.080237,-0.228626
14,0.025074,0.017483,-0.007901,0.000542,-0.002793,0.007349,-0.034975,-0.002378,0.008988,-0.029843,0.085444,0.03399,-0.030562,-0.006681,-0.002675,0.006686,-0.039617,0.025799,-0.047725,0.079503
15,0.025161,0.017445,-0.007695,0.000497,-0.00317,0.006905,-0.035148,-0.002888,0.009194,0.122833,0.085355,0.033959,-0.03043,2.1e-05,0.000556,0.000417,0.670401,-0.516315,0.350205,0.389919
16,0.025248,0.017417,-0.007557,0.000156,0.001295,0.001498,5e-06,7.2e-05,0.000137,0.216562,0.085318,0.033952,-0.03044,-0.000164,0.004162,-0.005374,0.029947,-0.006242,0.018402,0.497364
17,0.025304,0.017419,-0.007518,0.007884,0.000936,0.000671,0.002075,-0.015136,0.029349,0.251343,0.085302,0.033942,-0.030459,-6.2e-05,-0.001315,-0.000974,-0.005674,0.015271,-0.027257,0.508141
18,0.025442,0.017454,-0.007484,0.000129,0.001055,0.001219,-1e-05,5.8e-05,6e-05,0.304412,0.085284,0.033905,-0.030499,-6.5e-05,-0.001393,-0.001032,-0.002744,0.013124,-0.026185,0.514836
19,0.025644,0.017491,-0.00746,0.007902,0.001105,0.000856,0.00386,-0.028083,0.054992,0.346215,0.085292,0.033877,-0.030533,-0.000146,0.004485,-0.005139,0.035332,-0.010251,0.020332,0.517122
20,0.025774,0.017511,-0.007445,0.007919,0.001262,0.001031,0.003854,-0.02809,0.05499,0.360095,0.085292,0.033869,-0.030545,-0.006949,-0.000869,-0.000441,-0.001282,0.014717,-0.029005,0.517286
21,0.026055,0.017565,-0.007397,0.008014,0.002113,0.002005,-0.008607,0.06095,-0.122416,0.370055,0.08528,0.033867,-0.030585,-3.8e-05,-0.000856,-0.000637,0.005871,-0.082775,0.181254,0.517612
22,0.026351,0.017656,-0.007308,0.008095,0.002883,0.002881,0.003867,-0.0281,0.05496,0.368749,0.085248,0.033862,-0.030607,-3.5e-05,-0.000743,-0.000551,-0.001065,0.011994,-0.025846,0.517612
23,0.026645,0.017802,-0.007172,0.008199,0.003906,0.004041,0.003899,-0.028113,0.054957,0.361238,0.085217,0.033863,-0.030604,8e-06,0.00015,0.000115,-0.000113,1.5e-05,0.000235,0.517775
24,0.026776,0.017886,-0.007091,0.008266,0.004563,0.004784,0.005679,-0.041011,0.080654,0.354053,0.085201,0.033864,-0.030603,1e-06,8e-06,6e-06,-9.7e-05,2e-06,0.000192,0.517449
25,0.027007,0.018075,-0.006887,0.008371,0.005649,0.005997,0.005644,-0.041003,0.080654,0.336091,0.085175,0.033869,-0.030606,-3e-06,3e-06,5e-06,-7e-05,-1.5e-05,0.000134,0.517939
26,0.027188,0.018305,-0.00665,0.00067,0.006036,0.006852,0.003619,-0.025815,0.051415,0.323517,0.085159,0.033877,-0.030618,0.0,-7e-06,-3e-06,-3.3e-05,1.2e-05,9.7e-05,0.517939
27,0.027269,0.018429,-0.006537,0.000659,0.005973,0.006762,0.003603,-0.025807,0.051401,0.321395,0.085149,0.033881,-0.030621,-1e-06,5e-06,8e-06,-3.5e-05,3e-06,6.5e-05,0.517775
28,0.027429,0.018668,-0.006337,0.000514,0.004728,0.005328,-0.598326,0.338868,0.188359,0.319925,0.085133,0.033892,-0.030625,-1e-06,4e-06,4e-06,-2.1e-05,-5e-06,5.8e-05,0.518102
29,0.027571,0.01889,-0.006204,0.000411,0.003803,0.004272,-0.400646,0.229636,0.144566,0.31225,0.085128,0.033896,-0.030628,2e-06,-3e-06,-0.0,-1.5e-05,1.6e-05,5.8e-05,0.517939
30,0.027633,0.018987,-0.006176,0.007997,0.002807,0.002696,-0.197569,0.10607,0.131761,0.304086,0.085128,0.033896,-0.030628,1e-06,-2e-06,-0.0,-1.6e-05,1.2e-05,5.5e-05,0.518102
31,0.02775,0.019164,-0.006203,0.007793,0.000948,0.000604,0.020807,-0.012884,0.041457,0.280245,0.085117,0.033896,-0.030628,2e-06,-2e-06,-1e-06,-2.2e-05,8e-06,5.1e-05,0.517939
32,0.027824,0.019334,-0.006337,-0.00028,0.005109,-0.004654,0.046771,-0.004733,0.031274,0.258528,0.085102,0.0339,-0.030624,2e-06,1.3e-05,1.1e-05,-2.3e-05,-0.0,4e-05,0.518102
33,0.027834,0.019553,-0.006551,-0.000273,0.005158,-0.004598,0.056895,-0.018031,0.018712,0.232565,0.085081,0.033901,-0.030623,3e-06,-4e-06,-3e-06,-1.4e-05,2.5e-05,4.6e-05,0.518265
34,0.027826,0.019687,-0.006674,-0.000265,0.005227,-0.004519,-0.047515,-0.199006,0.192575,0.216236,0.085066,0.033897,-0.030625,-1e-06,-5.4e-05,-3.9e-05,-1.2e-05,7e-06,4e-05,0.518102
35,0.027818,0.019987,-0.006921,-0.000228,0.005569,-0.004135,0.039615,-0.00693,0.012184,0.193212,0.085045,0.033897,-0.030625,0.0,3e-06,5e-06,-2.2e-05,4e-06,3.4e-05,0.518102
36,0.027833,0.020289,-0.007161,-0.000525,0.010562,-0.008913,0.074667,-0.017924,0.030817,0.180638,0.085029,0.033898,-0.030624,-1e-06,1e-06,3e-06,-1.9e-05,6e-06,3.7e-05,0.518265
37,0.027838,0.020438,-0.007274,-0.000478,0.011005,-0.008415,0.07503,-0.016948,0.0303,0.164962,0.08503,0.033901,-0.030621,2e-06,7.5e-05,5.7e-05,-2.3e-05,-9e-06,2.8e-05,0.518265
38,0.027853,0.020687,-0.00744,-0.000137,0.006455,-0.003143,0.038369,-0.024225,0.042395,0.131814,0.085024,0.033902,-0.030627,-4e-06,-7.8e-05,-5.6e-05,-0.000132,-2.8e-05,0.000168,0.518265
39,0.027867,0.020927,-0.007531,-3.7e-05,0.007409,-0.002076,0.038125,-0.024777,0.043032,0.108464,0.085014,0.033898,-0.030623,-1e-06,2e-06,4e-06,-6.7e-05,-0.0,0.000129,0.517939
40,0.027887,0.021202,-0.007558,6.4e-05,0.00839,-0.000987,0.025815,0.066778,-0.132989,0.09834,0.085014,0.033906,-0.030624,-0.0,-4e-06,-2e-06,-3.9e-05,-1e-06,8.2e-05,0.518102
41,0.027895,0.021361,-0.007559,0.0001,0.008726,-0.000617,0.026033,0.077999,-0.118199,0.092625,0.085014,0.033906,-0.030624,0.0,-3e-06,-2e-06,-3.3e-05,1.2e-05,7.4e-05,0.518102
42,0.027983,0.021689,-0.00754,0.008109,0.004488,0.004525,-0.169426,0.08243,0.118869,0.080704,0.085009,0.033906,-0.03063,1e-06,3e-06,5e-06,-0.000135,-8e-06,0.000187,0.518265
