frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.172028,-0.013292,0.37063,-0.598207,0.657402,-0.458275,-0.676369,-0.720841,-0.151278,-0.429057,0.218644,0.876431,-8e-06,-0.000161,-0.00012,0.0,0.0,0.0,0.232929,-0.2031,-0.044064,0.319824,-0.708993,-0.135172,0.692133,0.548269,-0.722774,0.420634,0.444272,0.677864,0.58565,-2.8e-05,-0.000236,-0.00027,0.0,0.0,0.0,-0.359577,0.025314,0.019865,-0.009561,0.731025,0.103934,0.674388,-0.478299,0.78293,0.397806,-0.486653,-0.613366,0.622053,-1.6e-05,-0.000138,-0.000158,-5e-06,7e-06,-4e-06,-0.557272,0.084408,0.035731,-0.032432,0.679707,-0.626393,-0.381613,0.648054,0.756545,-0.087545,0.343545,-0.1878,0.920166,-4e-06,-7.1e-05,-5.4e-05,-0.0,-6e-06,1e-06,0.094036
2,0.172027,-0.013306,0.37062,-0.598242,0.657378,-0.458265,-0.676346,-0.720867,-0.151259,-0.429045,0.218633,0.87644,-2e-06,-4e-05,-3e-05,0.0,0.0,0.0,0.236843,-0.203091,-0.044082,0.319803,-0.708965,-0.135185,0.692159,0.548295,-0.722768,0.420611,0.444284,0.677869,0.585636,-2.8e-05,-0.000242,-0.000278,0.0,0.0,0.0,-0.356102,0.025319,0.019856,-0.009571,0.730999,0.10395,0.674414,-0.478326,0.782925,0.397784,-0.486666,-0.613369,0.622039,-1.6e-05,-0.000137,-0.000157,-4e-06,7e-06,-9e-06,-0.555149,0.084407,0.035724,-0.032437,0.679739,-0.626367,-0.381599,0.648028,0.75657,-0.087529,0.343532,-0.18779,0.920173,0.0,1e-06,-1e-06,1e-06,1e-06,1e-06,0.099915
3,0.172027,-0.013306,0.37062,-0.598242,0.657378,-0.458265,-0.676346,-0.720867,-0.151259,-0.429045,0.218633,0.87644,-0.0,-1e-06,-0.0,0.0,0.0,0.0,0.23948,-0.203103,-0.044093,0.31979,-0.708919,-0.135206,0.692203,0.548339,-0.722757,0.420572,0.444304,0.677876,0.585612,-0.000104,-0.00089,-0.00102,0.0,0.0,0.0,-0.353218,0.025312,0.019852,-0.009576,0.730955,0.103977,0.674458,-0.478372,0.782916,0.397746,-0.486688,-0.613376,0.622016,-6.7e-05,-0.000578,-0.00066,-4e-06,-1e-06,-2e-06,-0.553353,0.084407,0.035724,-0.032437,0.679739,-0.626367,-0.381599,0.648027,0.75657,-0.087529,0.343532,-0.187789,0.920174,1e-06,1.5e-05,9e-06,-5e-06,5e-06,4e-06,0.103181
4,0.172028,-0.013299,0.370625,-0.598225,0.65739,-0.45827,-0.676357,-0.720854,-0.151269,-0.429051,0.218639,0.876436,6e-06,0.000123,9.2e-05,0.0,0.0,0.0,0.243334,-0.203105,-0.044104,0.319777,-0.708992,-0.135173,0.692135,0.54827,-0.722774,0.420633,0.444273,0.677865,0.585649,-1.7e-05,-0.000142,-0.000163,0.0,0.0,0.0,-0.338774,0.025311,0.019845,-0.009584,0.731023,0.103934,0.67439,-0.478301,0.78293,0.397804,-0.486654,-0.613366,0.622052,-1e-05,-8.8e-05,-0.0001,-5e-06,-8e-06,6e-06,-0.544372,0.084413,0.035728,-0.032434,0.679705,-0.626395,-0.381614,0.648055,0.756544,-0.087546,0.343547,-0.187801,0.920166,1e-06,9.5e-05,7.1e-05,-2e-05,-1.8e-05,-3e-06,0.109386
5,0.172027,-0.013313,0.370615,-0.598259,0.657366,-0.45826,-0.676334,-0.720879,-0.15125,-0.429039,0.218628,0.876444,-6.2e-05,-0.001199,-0.000894,0.0,0.0,0.0,0.248229,-0.203106,-0.044116,0.319764,-0.708962,-0.135186,0.692163,0.548298,-0.722767,0.420608,0.444285,0.677869,0.585634,-5.1e-05,-0.000437,-0.000501,0.0,0.0,0.0,-0.320627,0.025311,0.01984,-0.00959,0.730995,0.103952,0.674417,-0.47833,0.782924,0.39778,-0.486668,-0.61337,0.622037,-2.7e-05,-0.000231,-0.000266,-1.5e-05,-1e-05,2.4e-05,-0.5269,0.084407,0.035724,-0.032437,0.679755,-0.626354,-0.381592,0.648014,0.756582,-0.087521,0.343525,-0.187784,0.920177,-3.8e-05,-0.0007,-0.000522,-0.000882,0.012399,-0.025996,0.116081
6,0.172027,-0.013305,0.370608,-0.598246,0.657375,-0.458264,-0.676331,-0.720876,-0.15128,-0.429062,0.218613,0.876437,-1e-06,-1.8e-05,-1.3e-05,0.0,0.0,0.0,0.250052,-0.203106,-0.044116,0.319764,-0.708962,-0.135186,0.692163,0.548298,-0.722767,0.420608,0.444285,0.677869,0.585634,-1e-06,-6e-06,-7e-06,0.0,0.0,0.0,-0.314845,0.025311,0.019839,-0.009591,0.730995,0.103952,0.674417,-0.47833,0.782924,0.397781,-0.486667,-0.61337,0.622037,2e-06,1e-05,1.2e-05,2e-06,-7e-06,6e-06,-0.519715,0.084407,0.035724,-0.032443,0.679743,-0.626364,-0.381598,0.648015,0.756578,-0.087551,0.343548,-0.187769,0.920172,-1e-06,-0.0,-1e-06,3e-06,-2e-06,5e-06,0.11902
7,0.172026,-0.013319,0.370597,-0.59828,0.657351,-0.458254,-0.676309,-0.720901,-0.151261,-0.42905,0.218602,0.876445,-2e-06,-4e-05,-3e-05,0.0,0.0,0.0,0.25388,-0.203106,-0.044116,0.319764,-0.708962,-0.135186,0.692163,0.548298,-0.722767,0.420608,0.444285,0.677869,0.585634,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.305428,0.025311,0.019839,-0.009591,0.730995,0.103953,0.674417,-0.478331,0.782923,0.39778,-0.486667,-0.61337,0.622038,4e-06,6e-06,8e-06,-2e-06,9e-06,1.6e-05,-0.508611,0.084407,0.035717,-0.032448,0.679774,-0.626338,-0.381584,0.647989,0.756602,-0.087535,0.343534,-0.187758,0.920179,-1e-06,-8e-06,-6e-06,-6e-06,-5e-06,-1e-06,0.125388
8,0.172025,-0.013332,0.370575,-0.598318,0.657324,-0.458243,-0.676272,-0.720935,-0.151263,-0.429054,0.218571,0.876451,-3.9e-05,-0.000761,-0.000568,0.0,0.0,0.0,0.257869,-0.203106,-0.044116,0.319764,-0.708962,-0.135186,0.692163,0.548298,-0.722767,0.420608,0.444285,0.677869,0.585634,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.296093,0.025311,0.019839,-0.009591,0.730995,0.103953,0.674417,-0.478331,0.782923,0.39778,-0.486667,-0.613371,0.622038,6e-06,3e-06,7e-06,4e-06,1.3e-05,1.2e-05,-0.498651,0.084406,0.035712,-0.032458,0.679809,-0.626309,-0.38157,0.647951,0.756634,-0.087541,0.343537,-0.187727,0.920184,-2.5e-05,-0.00049,-0.000364,8e-06,-5e-06,2e-06,0.130613
9,0.172025,-0.013332,0.370575,-0.598318,0.657324,-0.458243,-0.676272,-0.720935,-0.151263,-0.429054,0.218571,0.876451,-1e-06,-1.1e-05,-8e-06,0.0,0.0,0.0,0.259627,-0.203106,-0.044116,0.319764,-0.708962,-0.135186,0.692163,0.548298,-0.722767,0.420608,0.444285,0.677869,0.585634,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.291371,0.025311,0.019839,-0.009591,0.730995,0.103953,0.674417,-0.478331,0.782923,0.39778,-0.486667,-0.613371,0.622038,6e-06,3e-06,7e-06,2e-06,5e-06,1.9e-05,-0.493915,0.084406,0.03571,-0.03246,0.679809,-0.626309,-0.38157,0.647951,0.756634,-0.087541,0.343537,-0.187727,0.920184,1e-06,1.2e-05,1e-05,2e-06,4e-06,0.0,0.133063
10,0.172024,-0.013332,0.370562,-0.598322,0.65732,-0.458243,-0.676258,-0.720944,-0.151283,-0.429071,0.218552,0.876447,-0.0,-1e-06,-1e-06,0.0,0.0,0.0,0.26436,-0.203106,-0.044116,0.319764,-0.708962,-0.135186,0.692163,0.548298,-0.722767,0.420608,0.444285,0.677869,0.585634,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.287426,0.025311,0.019839,-0.009591,0.730995,0.103953,0.674417,-0.478331,0.782923,0.39778,-0.486667,-0.613371,0.622038,6e-06,3e-06,7e-06,2e-06,5e-06,1.9e-05,-0.487384,0.084406,0.035711,-0.032466,0.679813,-0.626305,-0.381569,0.647938,0.756642,-0.087564,0.343553,-0.187706,0.920183,-1e-06,1.3e-05,9e-06,-1.2e-05,-1.7e-05,-4e-06,0.139105
11,0.172024,-0.013317,0.370561,-0.598585,0.658762,-0.455823,-0.676608,-0.720331,-0.152631,-0.428153,0.216226,0.877472,4e-06,7.6e-05,5.6e-05,0.174037,0.513061,0.238742,0.268609,-0.203107,-0.044122,0.319757,-0.708947,-0.135193,0.692176,0.548313,-0.722764,0.420596,0.444292,0.677872,0.585626,-0.0,-1e-06,-1e-06,0.0,0.0,0.0,-0.285682,0.02531,0.019836,-0.009594,0.730981,0.103962,0.674431,-0.478346,0.782921,0.397768,-0.486674,-0.613373,0.62203,4e-06,5e-06,8e-06,-1e-06,6e-06,1.7e-05,-0.484118,0.084406,0.035719,-0.032466,0.679785,-0.626327,-0.381582,0.647952,0.756626,-0.087602,0.343583,-0.187696,0.920173,-1e-06,4.7e-05,3.5e-05,-7e-06,-1e-06,0.0,0.145963
12,0.172025,-0.013325,0.370568,-0.598717,0.65867,-0.455782,-0.676532,-0.720423,-0.152536,-0.428089,0.216201,0.87751,0.0,0.0,0.0,3.2e-05,9.3e-05,4.3e-05,0.273867,-0.203119,-0.044127,0.319752,-0.708915,-0.135208,0.692206,0.548343,-0.722756,0.420569,0.444306,0.677877,0.58561,-9.8e-05,-0.000833,-0.000955,0.0,0.0,0.0,-0.284537,0.025305,0.019836,-0.009594,0.730951,0.103981,0.674461,-0.478377,0.782915,0.397743,-0.486688,-0.613377,0.622014,-6.2e-05,-0.000574,-0.000654,-0.001764,0.013516,-0.025374,-0.482811,0.084406,0.035715,-0.032463,0.680009,-0.627637,-0.379023,0.648389,0.756113,-0.088792,0.342314,-0.185376,0.921116,-2e-06,-2e-06,-1e-06,-0.001685,-0.004239,-0.001251,0.152821
