frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.027418,0.026169,0.001515,-6.4e-05,-0.000597,-0.000731,-3e-06,2.2e-05,1.1e-05,-0.174029,0.087673,0.038837,-0.02118,2e-06,-1e-06,0.0,7.1e-05,2e-06,-8.7e-05,-0.724376
2,0.027418,0.026169,0.001515,-6.4e-05,-0.000597,-0.000731,-3e-06,2.2e-05,1.1e-05,-0.174029,0.087673,0.038837,-0.02118,2e-06,-1e-06,0.0,7.1e-05,2e-06,-8.7e-05,-0.724376
3,0.027418,0.026169,0.001515,-6.4e-05,-0.000597,-0.000731,-3e-06,2.2e-05,1.1e-05,-0.174029,0.087673,0.038837,-0.02118,2e-06,-1e-06,0.0,7.1e-05,2e-06,-8.7e-05,-0.724376
4,0.027418,0.026169,0.001515,-6.4e-05,-0.000597,-0.000731,-3e-06,2.2e-05,1.1e-05,-0.174029,0.087673,0.038837,-0.02118,2e-06,-1e-06,0.0,7.1e-05,2e-06,-8.7e-05,-0.724376
5,0.027418,0.026169,0.001515,-6.4e-05,-0.000597,-0.000731,-3e-06,2.2e-05,1.1e-05,-0.174029,0.087673,0.038837,-0.02118,2e-06,-1e-06,0.0,7.1e-05,2e-06,-8.7e-05,-0.724376
6,0.027418,0.026169,0.001515,-6.4e-05,-0.000597,-0.000731,-3e-06,2.2e-05,1.1e-05,-0.174029,0.087673,0.038837,-0.02118,2e-06,-1e-06,0.0,7.1e-05,2e-06,-8.7e-05,-0.724376
7,0.027418,0.026169,0.001515,-6.4e-05,-0.000597,-0.000731,-3e-06,2.2e-05,1.1e-05,-0.174029,0.087673,0.038837,-0.02118,2e-06,-1e-06,0.0,7.1e-05,2e-06,-8.7e-05,-0.724376
8,0.027418,0.026169,0.001515,-6.4e-05,-0.000597,-0.000731,-3e-06,2.2e-05,1.1e-05,-0.174029,0.087673,0.038837,-0.02118,2e-06,-1e-06,0.0,7.1e-05,2e-06,-8.7e-05,-0.724376
9,0.027418,0.026169,0.001515,-6.4e-05,-0.000597,-0.000731,-3e-06,2.2e-05,1.1e-05,-0.174029,0.087673,0.038837,-0.02118,2e-06,-1e-06,0.0,7.1e-05,2e-06,-8.7e-05,-0.724376
10,0.027418,0.026169,0.001515,-6.4e-05,-0.000597,-0.000731,-3e-06,2.2e-05,1.1e-05,-0.174029,0.087673,0.038837,-0.02118,2e-06,-1e-06,0.0,7.1e-05,2e-06,-8.7e-05,-0.724376
11,0.027418,0.026169,0.001515,-6.4e-05,-0.000597,-0.000731,-3e-06,2.2e-05,1.1e-05,-0.174029,0.087673,0.038837,-0.02118,2e-06,-1e-06,0.0,7.1e-05,2e-06,-8.7e-05,-0.724376
12,0.027418,0.026169,0.001515,-6.4e-05,-0.000597,-0.000731,-3e-06,2.2e-05,1.1e-05,-0.174029,0.087673,0.038837,-0.02118,2e-06,-1e-06,0.0,7.1e-05,2e-06,-8.7e-05,-0.724376
13,0.027418,0.026169,0.001515,-6.4e-05,-0.000597,-0.000731,-3e-06,2.2e-05,1.1e-05,-0.174029,0.087673,0.038837,-0.02118,2e-06,-1e-06,0.0,7.1e-05,2e-06,-8.7e-05,-0.724376
