frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.089578,0.042976,0.37596,0.12361,0.446467,-0.886247,-0.970457,-0.131983,-0.201904,-0.207275,0.884469,0.418066,-0.040373,-0.033099,-0.049123,0.066774,-0.00734,-0.031121,0.296999,-0.141753,0.018894,0.316361,-0.643465,0.478465,0.597509,-0.659659,-0.742582,-0.115569,0.389217,-0.469094,0.792669,-0.029741,0.01665,-0.035723,0.334932,0.067722,0.700839,-0.284894,0.023221,0.031288,-0.0221,0.771846,-0.402184,0.492443,0.535023,0.829297,-0.161289,-0.343514,0.387959,0.855268,-0.014819,0.007961,-0.018171,1.056708,-0.10526,1.837393,-0.436437,0.081576,0.044414,-0.051824,0.213981,0.421368,-0.881283,-0.975216,0.040196,-0.217569,-0.056252,0.905998,0.419526,-0.020232,-0.016804,-0.024688,0.064735,-0.003854,-0.033054,0.148739
2,0.088762,0.042304,0.375051,0.118907,0.447514,-0.886362,-0.969657,-0.139598,-0.200622,-0.213671,0.882768,0.41844,-0.040259,-0.032017,-0.048882,0.066937,-0.021775,-0.006037,0.326443,-0.142323,0.019314,0.315614,-0.609262,0.510645,0.606657,-0.699548,-0.706362,-0.107792,0.374248,-0.490678,0.786789,-0.031129,0.028675,-0.042803,0.063864,0.35831,0.594847,-0.299736,0.022925,0.031507,-0.022484,0.743269,-0.43944,0.504422,0.580591,0.798311,-0.160035,-0.33236,0.411813,0.848496,-0.015552,0.014519,-0.021224,0.052602,0.364898,0.61059,-0.451133,0.081166,0.044072,-0.052282,0.209507,0.423248,-0.881457,-0.975784,0.032541,-0.216301,-0.062865,0.905429,0.419816,-0.020147,-0.016169,-0.024513,0.066149,-0.020952,-0.006249,0.196256
3,0.086919,0.04085,0.37336,0.11345,0.447435,-0.887117,-0.965463,-0.161032,-0.204749,-0.234615,0.879153,0.414817,-0.053952,-0.039699,-0.039139,0.031835,0.10723,-0.218664,0.372923,-0.143278,0.020372,0.314161,-0.51559,0.580903,0.629848,-0.789798,-0.607208,-0.08632,0.332962,-0.542666,0.771046,-0.016604,0.022801,-0.031665,0.855408,0.713872,2.279438,-0.3445,0.022454,0.032026,-0.0232,0.66607,-0.521229,0.533544,0.683097,0.713536,-0.155705,-0.299545,0.468174,0.831315,-0.009006,0.017171,-0.019501,3.687622,-0.020656,5.316342,-0.484771,0.080243,0.043341,-0.05313,0.204169,0.424094,-0.882302,-0.975313,0.010667,-0.220565,-0.084128,0.905554,0.415802,-0.026964,-0.0199,-0.019573,0.026437,0.112402,-0.225233,0.272513
4,0.084829,0.039135,0.371854,0.114288,0.445509,-0.887978,-0.961349,-0.175681,-0.211932,-0.250569,0.877326,0.409317,-0.056026,-0.051092,-0.031822,0.110901,-0.097226,0.113915,0.40704,-0.143846,0.02159,0.312837,-0.395401,0.652715,0.64623,-0.880773,-0.46898,-0.065045,0.261121,-0.5957,0.759487,-0.016933,0.0268,-0.027993,1.054154,0.247023,2.186599,-0.39085,0.022171,0.032618,-0.02385,0.561479,-0.607294,0.56208,0.791572,0.592135,-0.150959,-0.241151,0.529688,0.813189,-0.00165,0.013765,-0.014407,1.034697,0.396455,2.351732,-0.532452,0.07924,0.042519,-0.053856,0.204061,0.422451,-0.883115,-0.973864,-0.004298,-0.227086,-0.099728,0.906375,0.410533,-0.02783,-0.025131,-0.015611,1.252602,-1.393097,1.93126,0.331624
5,0.082677,0.037404,0.370428,0.114413,0.446857,-0.887284,-0.957216,-0.189282,-0.218818,-0.265878,0.873804,0.407187,-0.056528,-0.050493,-0.032333,0.472964,0.101651,-0.214679,0.41031,-0.144057,0.022756,0.311685,-0.256295,0.696713,0.669997,-0.949354,-0.311691,-0.038867,0.182089,-0.646881,0.74044,-0.003375,0.027771,-0.028553,4.438878,0.534185,6.724974,-0.429677,0.022059,0.033222,-0.024434,0.435892,-0.671444,0.599299,0.883299,0.446843,-0.141821,-0.172568,0.591179,0.787862,-0.001045,0.008249,-0.010381,3.38734,0.443628,5.15794,-0.566906,0.078144,0.041637,-0.054584,0.205242,0.423322,-0.882425,-0.971901,-0.018017,-0.234697,-0.115251,0.9058,0.407729,-0.027663,-0.020051,-0.020519,1.640624,0.246597,-0.568763,0.357261
6,0.081598,0.036538,0.369709,0.107513,0.448103,-0.887519,-0.953148,-0.207338,-0.220206,-0.282834,0.869057,0.405922,-0.055659,-0.039816,-0.041419,4.938896,1.143851,-2.147094,0.406814,-0.143954,0.023264,0.311214,-0.199272,0.701533,0.684203,-0.968419,-0.24762,-0.02799,0.150051,-0.669035,0.727832,-0.003613,0.030412,-0.02612,3.568395,0.482328,5.440046,-0.471875,0.022111,0.033471,-0.024674,0.380447,-0.685042,0.621269,0.913254,0.384125,-0.135695,-0.145689,0.619002,0.771757,0.005662,0.009825,-0.009748,-0.064744,0.785612,1.804636,-0.597605,0.077625,0.041219,-0.054928,0.200862,0.424746,-0.882748,-0.971235,-0.0313,-0.236057,-0.127894,0.904771,0.406241,-0.027632,-0.019433,-0.020354,0.029716,0.016194,-0.058513,0.358894
7,0.079393,0.034806,0.368348,0.108305,0.446249,-0.888356,-0.946406,-0.227147,-0.229545,-0.304364,0.865053,0.398838,-0.057197,-0.049349,-0.032928,0.000476,0.027704,-0.06132,0.397606,-0.143288,0.023945,0.310554,-0.071134,0.69295,0.717462,-0.996332,-0.083205,-0.018261,0.047149,-0.716983,0.695396,0.012534,0.008652,-0.011562,2.744706,2.293825,1.185401,-0.567479,0.022437,0.033823,-0.025005,0.253287,-0.69794,0.669869,0.965883,0.221097,-0.134853,-0.053987,0.681171,0.73013,0.01233,0.01046,-0.009808,5.082854,0.635601,6.039659,-0.673371,0.07648,0.040318,-0.055637,0.198875,0.42383,-0.883637,-0.967674,-0.057766,-0.245496,-0.155093,0.903897,0.398641,-0.028586,-0.024698,-0.016451,-0.007966,0.035358,-0.071003,0.352199
8,0.077204,0.032886,0.366933,0.122264,0.440844,-0.889243,-0.938301,-0.240597,-0.248345,-0.323592,0.864194,0.385335,-0.046016,-0.053952,-0.036865,1.264526,-1.523459,2.127685,0.391231,-0.142482,0.02427,0.310015,0.077465,0.659708,0.747513,-0.990115,0.138645,-0.0196,-0.116646,-0.73942,0.662959,0.01408,-0.004949,-0.006061,4.679712,0.42813,4.537772,-0.626971,0.02284,0.033994,-0.025274,0.109729,-0.684235,0.720958,0.989228,0.004475,-0.146312,0.096885,0.729247,0.677356,0.013094,0.004301,-0.006575,2.419515,0.528644,2.618558,-0.682189,0.075404,0.03938,-0.056329,0.209282,0.417354,-0.884316,-0.962435,-0.07205,-0.261774,-0.172967,0.905883,0.386598,-0.028702,-0.020493,-0.022001,0.026817,-0.067799,0.088841,0.341585
9,0.076187,0.031913,0.366179,0.12333,0.440196,-0.889417,-0.931542,-0.257518,-0.256683,-0.342194,0.85964,0.379408,-0.04653,-0.054544,-0.037769,0.143374,-0.04173,0.070307,0.390915,-0.142003,0.024271,0.309881,0.142876,0.63104,0.762473,-0.970263,0.241265,-0.017713,-0.195292,-0.738049,0.645761,0.027495,-0.002637,-0.005476,1.132196,0.778927,1.109735,-0.663512,0.023075,0.033992,-0.025343,0.040077,-0.665681,0.745159,0.983549,-0.105177,-0.146857,0.176134,0.738787,0.650515,0.006973,-0.001736,-0.002324,4.395992,0.683498,4.109049,-0.700314,0.074896,0.038894,-0.056705,0.212608,0.415246,-0.884515,-0.957919,-0.090072,-0.272537,-0.192841,0.905239,0.378622,-0.02872,-0.020054,-0.021953,0.507601,0.008526,-0.024146,0.339625
10,0.074406,0.029991,0.364506,0.134452,0.437119,-0.889322,-0.92211,-0.273331,-0.273816,-0.362945,0.856326,0.367429,-0.032766,-0.045718,-0.048508,0.036172,-0.104276,0.156589,0.385155,-0.140903,0.024147,0.309927,0.222403,0.590549,0.775745,-0.936194,0.351389,0.00105,-0.272225,-0.727212,0.630015,0.028219,-0.007187,0.008325,0.942953,0.705093,1.253901,-0.738094,0.023625,0.033921,-0.025334,-0.041097,-0.63827,0.768714,0.966931,-0.21922,-0.130327,0.251701,0.737938,0.626173,0.020131,0.003232,0.00076,4.210102,-0.425873,4.11642,-0.740484,0.074016,0.037943,-0.057522,0.22274,0.410411,-0.884279,-0.951158,-0.107384,-0.289425,-0.213741,0.905555,0.366447,-0.022575,-0.021132,-0.023107,0.037686,-0.09442,0.134352,0.336196
