frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.037592,0.038401,-0.007236,0.012565,0.001341,-0.000359,0.007498,-0.034961,0.055574,-0.733299,0.068334,0.028061,-0.050561,-0.000286,-0.000772,-0.000532,-0.355856,-1.773948,-0.632,0.516959
2,0.037912,0.038457,-0.007248,0.012519,0.001569,-0.000205,-0.040228,0.027196,0.096702,-0.743587,0.068296,0.028133,-0.050622,0.000558,0.004931,-0.004757,-0.289759,-1.716418,-0.577655,0.511897
3,0.038389,0.038512,-0.0073,0.006718,-0.001204,-0.00144,0.013456,-0.012227,-0.004516,-0.761712,0.0682,0.028232,-0.050629,-0.006043,0.002665,0.00173,-0.242039,-1.573708,-0.575114,0.497691
4,0.038677,0.038535,-0.007388,0.006619,-0.00074,-0.001128,-0.005947,0.00426,0.040075,-0.770529,0.068061,0.028288,-0.050568,-0.006097,0.002534,0.001638,-0.252447,-1.426149,-0.779841,0.492302
5,0.038738,0.038585,-0.007507,0.000302,-0.0013,-0.000874,-0.338124,0.392234,0.272759,-0.77951,0.06794,0.028363,-0.050531,-0.006022,0.002704,0.001758,-0.119018,-0.625201,-1.299706,0.48822
6,0.038693,0.038627,-0.007568,-0.006063,-0.001652,-0.000488,-0.060488,0.093787,0.02245,-0.786695,0.067898,0.028407,-0.050538,-0.006167,0.002366,0.00152,0.214949,-1.396548,-0.857456,0.483484
7,0.038557,0.038723,-0.007673,-0.006304,-0.000597,0.000223,-0.186806,0.232374,0.120943,-0.792247,0.067839,0.028498,-0.050562,-0.006246,0.002151,0.001372,0.294675,-0.825734,-0.7867,0.466502
8,0.038456,0.038778,-0.007709,-5.2e-05,0.000232,0.000158,0.001667,-0.002381,-0.001524,-0.786859,0.067707,0.028707,-0.050617,-0.005196,0.00831,-0.002528,0.246877,-1.157467,-0.900837,0.457358
9,0.038444,0.038788,-0.0077,-0.000224,0.000983,0.000659,-0.000505,-8e-06,-0.001703,-0.787838,0.067608,0.028847,-0.050651,-0.005336,0.007939,-0.00278,0.134106,-1.376494,-1.216851,0.458501
10,0.038454,0.038808,-0.007689,0.006016,0.001632,0.000511,0.445397,-1.293862,2.434274,-0.789961,0.067337,0.029184,-0.050737,-0.005167,0.008319,-0.002515,-0.202584,-1.127601,-1.16185,0.470094
11,0.038475,0.038842,-0.007663,-0.000167,0.00073,0.000487,-0.000493,0.000402,-0.001266,-0.788981,0.066978,0.029637,-0.050909,-0.011178,0.014508,-0.006537,-0.209937,-0.534462,-1.15687,0.487403
12,0.038463,0.038872,-0.007649,-8.1e-05,0.000356,0.00024,-0.000164,0.000226,0.000114,-0.790124,0.066597,0.030158,-0.051145,-0.011095,0.014634,-0.00645,-0.175205,-0.33933,-1.070313,0.485117
13,0.038463,0.038872,-0.007648,1e-05,-4.6e-05,-3.1e-05,0.012893,-0.009283,-0.008034,-0.793227,0.066413,0.030443,-0.05127,-0.010689,0.015583,-0.005791,-0.069903,-0.02163,-0.883665,0.475646
14,0.038465,0.038863,-0.00766,-0.000788,0.004642,-0.004644,0.047181,-0.000334,-0.012669,-0.796003,0.065959,0.031093,-0.05148,-0.016474,0.018645,-0.003813,0.060514,0.293267,-0.54949,0.465849
15,0.038454,0.03885,-0.007679,3.5e-05,-0.000154,-0.000101,0.011418,-0.022623,0.070349,-0.792084,0.065531,0.031669,-0.051582,-0.010701,0.011842,-0.000229,0.0186,0.177227,-0.373892,0.465686
16,0.038449,0.038854,-0.007688,2e-06,-5e-06,-2e-06,-0.292248,0.331141,0.231539,-0.794206,0.065332,0.0319,-0.051592,-0.010577,0.0121,-5.2e-05,0.018372,0.175913,-0.372486,0.466176
17,0.038414,0.03886,-0.007692,-3e-06,1.9e-05,1.5e-05,0.002302,-0.00237,-0.001788,-0.795513,0.065017,0.032257,-0.051543,-0.004337,0.010036,-0.00134,0.111141,0.279618,-0.054471,0.477933
18,0.038376,0.038861,-0.007699,2e-06,0.0,6e-06,-0.014994,0.102882,-0.169481,-0.793227,0.064827,0.032428,-0.051412,-0.005055,0.004811,0.003174,0.040687,0.218989,-0.115046,0.497201
19,0.038347,0.038859,-0.007703,2e-06,-0.0,3e-06,-0.000797,0.000838,-0.002309,-0.79486,0.064817,0.032475,-0.051277,0.00115,0.002729,0.001881,0.175475,0.472828,0.046589,0.507325
20,0.038352,0.03886,-0.007703,0.006152,0.001258,0.000227,0.001902,-0.015162,0.028932,-0.79535,0.064863,0.032487,-0.051219,0.001142,0.002708,0.001859,0.10371,0.21896,-0.394024,0.507325
21,0.038379,0.038869,-0.0077,-1.6e-05,7.5e-05,5.1e-05,-0.329771,0.406665,0.276858,-0.795839,0.064942,0.032525,-0.051083,0.001079,0.002563,0.001754,-0.008009,-0.012918,-0.007003,0.498997
22,0.038445,0.038895,-0.007689,-4e-06,1.4e-05,8e-06,0.002845,-0.002687,-0.002054,-0.795349,0.064972,0.03255,-0.050956,0.000767,0.001828,0.001252,8e-06,-0.000525,-0.0001,0.489526
23,0.038482,0.038902,-0.007688,0.006151,0.001247,0.000214,0.002371,-0.015681,0.028961,-0.795349,0.064992,0.032553,-0.050911,0.000705,0.001679,0.001148,-0.001172,-0.015206,0.031601,0.482178
24,0.038531,0.03892,-0.007681,-1e-06,-0.0,-4e-06,0.003273,-0.003128,-0.002375,-0.795513,0.064995,0.032532,-0.050828,0.000305,0.000733,0.000501,-0.110991,0.101816,-0.001499,0.461114
25,0.038564,0.038927,-0.007686,-1e-06,-2e-06,-3e-06,0.006302,-0.00574,-0.004456,-0.796819,0.06493,0.032466,-0.050759,-0.000305,-0.000716,-0.000484,0.000358,0.000147,0.000925,0.435477
26,0.038567,0.038936,-0.007698,-0.006145,-0.001268,-0.000233,0.012837,-0.002603,-0.023682,-0.796003,0.064879,0.032377,-0.050663,8.2e-05,0.0002,0.000138,0.018823,0.053252,0.026503,0.411636
27,0.038556,0.038943,-0.007704,-0.0,7e-06,2e-06,0.002002,0.002026,0.013759,-0.793553,0.064847,0.032323,-0.050603,-0.00065,-0.005141,0.004627,0.961548,0.91729,-2.432783,0.405758
28,0.038475,0.038975,-0.007757,-0.007083,0.004041,-0.004427,-0.027337,0.095481,0.036719,-0.789961,0.064794,0.032193,-0.050504,-0.000881,-0.005581,0.004294,0.253447,0.631172,-0.204824,0.407391
29,0.038356,0.039072,-0.007827,-0.001077,0.005925,-0.003779,-0.323164,0.401947,0.30105,-0.793064,0.064785,0.032109,-0.050421,0.000278,0.000576,0.000422,1.219184,1.658191,-2.284185,0.439723
30,0.038309,0.039144,-0.007863,-0.007351,0.005247,-0.003618,-0.337183,0.428415,0.28083,-0.79143,0.064761,0.032103,-0.050395,1e-05,3.7e-05,2.4e-05,0.214603,0.675864,-0.120829,0.470748
31,0.03828,0.03937,-0.007939,-0.001548,0.007998,-0.002395,-0.088522,0.054948,0.322659,-0.785879,0.064842,0.03207,-0.050416,0.005972,-0.002645,-0.001667,0.427903,0.933143,-1.170596,0.511407
32,0.038262,0.039681,-0.008008,-0.001794,0.009057,-0.001688,-0.381178,0.345846,0.550597,-0.790614,0.065153,0.032005,-0.050491,0.006457,-0.001474,-0.000881,-0.020822,0.241833,-0.523132,0.518592
33,0.038262,0.039847,-0.008028,-0.000899,0.003916,0.002614,0.003557,-0.222589,1.188471,-0.789634,0.065358,0.031977,-0.050542,0.012671,-0.003523,-0.002149,-0.016897,0.23178,-0.470951,0.519245
34,0.038302,0.040172,-0.008042,-0.001895,0.009467,-0.00142,0.059533,-0.033289,0.032206,-0.794696,0.065724,0.031924,-0.050656,0.006019,-0.002524,-0.001602,-0.010455,0.160536,-0.32136,0.519572
35,0.038355,0.040396,-0.008007,-0.000657,0.002863,0.001895,0.007986,-0.010617,0.018694,-0.799595,0.066,0.031868,-0.050732,0.006305,-0.001834,-0.001128,-0.004545,0.073925,-0.147808,0.519245
36,0.03846,0.040522,-0.007936,-0.00039,0.001686,0.001111,-4.5e-05,-0.001507,-0.001118,-0.803024,0.066135,0.031849,-0.050773,-7e-06,-2.6e-05,-1.6e-05,0.011841,-0.08244,-0.019587,0.518755
37,0.038518,0.04056,-0.007912,-0.000253,0.001089,0.000715,-0.000527,-0.000934,-0.000186,-0.802698,0.06613,0.031858,-0.050785,-8e-06,-2.4e-05,-1.6e-05,0.011249,0.099855,-0.161425,0.517939
