frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.142342,0.030756,0.4319,-0.759583,0.147618,-0.633473,-0.350683,-0.913175,0.207616,-0.546883,0.379661,0.746192,-3.4e-05,-0.000246,-9.5e-05,-0.06549,-0.042759,-0.226138,-1.21357,-0.198582,0.007097,0.354248,0.722184,0.082254,0.686787,-0.434051,0.826852,0.357561,-0.53935,-0.556426,0.631945,-0.000302,-0.003675,-0.002729,-0.011745,0.028402,-0.016312,-1.404773,0.020378,0.024616,0.000375,-0.687313,0.068974,0.723078,0.272351,-0.898383,0.344575,0.673368,0.433762,0.598685,-0.000108,-0.001326,-0.000984,0.008002,-0.010158,-0.001639,-0.907204,0.086666,0.040122,-0.023868,-0.82445,0.087757,-0.559088,-0.225439,-0.957065,0.182214,-0.519094,0.276266,0.808837,-2.1e-05,-0.000163,-6.4e-05,-0.035702,-0.081659,-0.035542,-0.835577
2,0.142334,0.030751,0.431919,-0.758695,0.145604,-0.635002,-0.350498,-0.912844,0.209376,-0.548232,0.381233,0.744399,1.6e-05,0.000117,4.5e-05,-0.009196,-0.018256,-0.006504,-1.237728,-0.198576,0.00707,0.354203,0.720495,0.078808,0.688961,-0.430363,0.829742,0.355316,-0.544545,-0.552604,0.630843,-0.000161,-0.001962,-0.001458,-0.012078,0.09766,-0.172822,-1.404838,0.020381,0.024599,0.00035,-0.685017,0.071894,0.72497,0.267915,-0.900525,0.342454,0.677474,0.428818,0.597614,-9.2e-05,-0.001139,-0.000846,0.002514,-0.007127,-0.002327,-0.907857,0.086662,0.040119,-0.023859,-0.823586,0.085814,-0.56066,-0.224953,-0.956839,0.183994,-0.520672,0.277657,0.807344,9e-06,7.3e-05,2.9e-05,0.019401,0.028921,0.004736,-0.83672
3,0.142335,0.030686,0.431904,-0.757231,0.14436,-0.637029,-0.351044,-0.91239,0.210439,-0.549903,0.382791,0.742364,-0.000499,-0.003652,-0.001412,-0.001349,0.009976,-0.027005,-1.297491,-0.19856,0.007021,0.354164,0.720108,0.068433,0.690473,-0.421044,0.83395,0.356628,-0.552302,-0.547614,0.628446,0.013246,-0.001108,-0.001691,-0.010423,0.083012,-0.143235,-1.404747,0.020384,0.024574,0.000331,-0.682404,0.08197,0.726364,0.258052,-0.902698,0.344303,0.68391,0.422394,0.594852,-3.6e-05,-0.000439,-0.000327,0.006242,-0.008666,-0.005301,-0.905571,0.086663,0.040094,-0.023864,-0.82236,0.085107,-0.562564,-0.22545,-0.956556,0.184853,-0.522393,0.278846,0.805822,-0.000181,-0.001317,-0.000509,0.003316,0.007197,0.002904,-0.840966
4,0.142366,0.030626,0.431817,-0.757082,0.144525,-0.637169,-0.351128,-0.91242,0.210168,-0.550054,0.382657,0.742322,0.011449,-0.001996,-0.00129,0.000984,-0.014715,0.029553,-1.326797,-0.198561,0.006999,0.35416,0.719405,0.068935,0.691156,-0.421785,0.833833,0.356024,-0.552652,-0.547729,0.628038,2.9e-05,0.000359,0.000267,-0.0,0.0,0.0,-1.404727,0.020389,0.024561,0.000328,-0.681765,0.081149,0.727056,0.258878,-0.902763,0.343512,0.684235,0.422413,0.594464,2.9e-05,0.000343,0.000256,-0.00074,-0.000587,-0.000805,-0.90851,0.086673,0.040055,-0.023911,-0.822289,0.085339,-0.562633,-0.225566,-0.956583,0.184573,-0.522455,0.278683,0.805838,-6.8e-05,-0.000502,-0.000193,-0.000626,0.000362,0.001044,-0.840149
5,0.142436,0.030715,0.431817,-0.75615,0.145766,-0.637993,-0.35228,-0.912241,0.209015,-0.550599,0.382612,0.74194,0.00026,0.001907,0.000738,0.008444,-0.07059,0.185749,-1.394261,-0.198546,0.007023,0.354215,0.719456,0.071645,0.690826,-0.422551,0.834439,0.353689,-0.551998,-0.546462,0.629714,0.000599,-0.009337,0.009678,-0.030228,0.003363,-0.022781,-1.404468,0.020396,0.024578,0.000352,-0.682515,0.078299,0.726664,0.259345,-0.903598,0.340952,0.68331,0.421162,0.596414,8.1e-05,0.000997,0.000741,-0.01262,0.010707,0.004492,-0.909816,0.086713,0.040097,-0.023911,-0.821626,0.086654,-0.5634,-0.226775,-0.956484,0.183601,-0.522975,0.278616,0.805523,0.005949,0.000659,-4e-06,0.000528,-0.014552,0.030248,-0.839822
6,0.142469,0.030754,0.431841,-0.755737,0.146325,-0.638354,-0.352829,-0.912136,0.208544,-0.550815,0.382647,0.741762,0.000399,0.002933,0.001134,0.001223,-0.010228,0.026915,-1.413185,-0.198503,0.007042,0.35424,0.721296,0.071012,0.688971,-0.42166,0.834059,0.355644,-0.550275,-0.547123,0.630647,0.000132,0.001616,0.0012,-0.256682,-0.533467,0.580592,-1.404419,0.020418,0.024584,0.000368,-0.683628,0.079107,0.72553,0.258978,-0.903121,0.342492,0.682335,0.422034,0.596912,7e-05,0.001028,0.00076,-0.858111,-1.773749,1.938808,-0.91047,0.086729,0.040117,-0.023899,-0.821252,0.087406,-0.56383,-0.227498,-0.956409,0.1831,-0.523249,0.278641,0.805337,0.000202,0.001479,0.00057,0.000857,-0.010087,0.027483,-0.840149
7,0.142426,0.030876,0.431912,-0.755359,0.146869,-0.638677,-0.353366,-0.912027,0.208113,-0.55099,0.382698,0.741606,0.000666,0.004889,0.001887,0.001224,-0.010226,0.026916,-1.423339,-0.198391,0.007038,0.354254,0.724077,0.061683,0.686948,-0.410698,0.83861,0.357762,-0.554906,-0.541252,0.631656,-5.8e-05,-0.000711,-0.000528,-0.00208,-0.00432,0.004703,-1.404239,0.020474,0.024587,0.000379,-0.685103,0.089191,0.722965,0.24718,-0.905127,0.345899,0.685227,0.41568,0.598058,-4.3e-05,-0.000524,-0.00039,-0.005473,-0.010927,0.010847,-0.911776,0.086707,0.040177,-0.023864,-0.820965,0.088024,-0.56415,-0.228101,-0.956337,0.182721,-0.523435,0.278691,0.805199,0.000344,0.002517,0.000972,0.000979,-0.010135,0.027298,-0.842598
8,0.142348,0.031023,0.431963,-0.754928,0.147484,-0.639045,-0.353926,-0.911935,0.20756,-0.551221,0.382679,0.741444,0.000242,0.001769,0.000682,-0.0,-0.0,-0.0,-1.450371,-0.198292,0.007029,0.35424,0.724476,0.057352,0.686904,-0.405672,0.841034,0.357807,-0.558081,-0.53795,0.631678,-0.0,-2e-06,-1e-06,0.0,-0.0,-0.0,-1.404294,0.020523,0.02458,0.00037,-0.684559,0.093475,0.722938,0.2418,-0.906476,0.346169,0.687685,0.41178,0.597934,-2e-06,-5e-06,-4e-06,-0.000319,-0.000112,-0.000456,-0.911939,0.08667,0.040258,-0.023836,-0.82064,0.088715,-0.564516,-0.228729,-0.956283,0.182223,-0.523671,0.278661,0.805056,0.000135,0.000984,0.00038,-0.00016,6.8e-05,0.000264,-0.843742
9,0.142351,0.031026,0.431995,-0.754373,0.14825,-0.639522,-0.354694,-0.911776,0.206949,-0.551487,0.382762,0.741203,5.9e-05,0.00043,0.000166,-0.0,-0.0,-0.0,-1.500764,-0.198222,0.007012,0.354236,0.724465,0.057351,0.686915,-0.405692,0.841019,0.357819,-0.55808,-0.537974,0.63166,0.013291,-0.000549,-0.001278,0.002045,-0.015205,0.029245,-1.404284,0.020558,0.024571,0.000368,-0.684549,0.093466,0.722949,0.241833,-0.906463,0.346178,0.687683,0.411809,0.597915,0.006643,-0.000288,-0.000652,0.001732,-0.015355,0.028973,-0.912102,0.086671,0.040261,-0.023819,-0.82022,0.089568,-0.564992,-0.229567,-0.956184,0.181688,-0.523963,0.278728,0.804843,1.6e-05,0.000129,5.1e-05,-0.00013,4.1e-05,0.000213,-0.848313
10,0.142334,0.030966,0.432076,-0.754806,0.144419,-0.639887,-0.350025,-0.913658,0.206597,-0.553867,0.379733,0.740986,8.4e-05,0.000614,0.000237,0.028644,-0.009248,-0.03317,-1.545093,-0.198021,0.006976,0.354245,0.725604,0.040166,0.686933,-0.385723,0.850336,0.357883,-0.570643,-0.524696,0.631603,0.013314,-0.000266,-0.001069,3.798406,1.962648,3.519823,-1.404595,0.020654,0.024553,0.000373,-0.682743,0.106265,0.722889,0.225783,-0.910262,0.347052,0.694898,0.400163,0.597482,0.006656,-0.000127,-0.000534,-0.009644,0.081503,-0.144665,-0.912755,0.086662,0.040227,-0.023781,-0.820242,0.085767,-0.565548,-0.224799,-0.957478,0.180832,-0.525991,0.275461,0.804645,4.8e-05,0.000356,0.000137,0.096127,-0.030955,-0.111592,-0.84815
