frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.018931,0.027887,-0.030497,0.015993,0.01881,0.019011,0.058753,-0.240515,0.271845,0.5162,0.084599,0.038788,-0.025653,-0.006042,-0.000693,-2.3e-05,-0.002243,0.025137,-0.056365,-0.415104
2,0.019246,0.028274,-0.030085,0.023177,0.021327,0.021045,0.003447,-0.125205,0.21051,0.519793,0.084451,0.038796,-0.025664,-0.011917,-0.000232,0.000421,-0.001992,0.029441,-0.05907,-0.409878
3,0.020105,0.029114,-0.029109,0.023548,0.020252,0.029121,-0.114342,0.034569,0.103005,0.522732,0.084195,0.038781,-0.025706,-0.006196,-0.001672,-0.000423,0.004127,0.023574,-0.029111,-0.395019
4,0.021245,0.030143,-0.027966,0.030385,0.03203,0.03033,0.271249,0.831676,0.288271,0.51718,0.083985,0.038724,-0.025773,-0.000449,0.001244,-0.006453,-0.016866,-0.091381,-0.042801,-0.382445
5,0.022438,0.031115,-0.026537,0.030634,0.014723,0.040561,0.473477,2.866407,0.550622,0.520936,0.08384,0.038635,-0.025825,-0.000388,-0.002528,-0.001032,-0.002915,0.014862,-0.029499,-0.378526
6,0.023044,0.031404,-0.025826,0.036973,0.010086,0.035235,-1.153996,0.866455,0.347244,0.522569,0.083803,0.038593,-0.025835,-0.00029,-0.001893,-0.000777,-0.000354,0.000687,-0.000256,-0.378363
7,0.024355,0.031634,-0.024535,0.036625,-0.00041,0.033903,-0.929546,1.003384,-0.156531,0.523222,0.083775,0.03855,-0.025842,-8e-06,-5.8e-05,-2.2e-05,-8.5e-05,5.9e-05,0.000107,-0.379343
8,0.025748,0.031779,-0.023356,0.036007,0.003916,0.028428,-0.652973,0.841613,-0.283105,0.523222,0.083823,0.038575,-0.025839,0.000122,0.000788,0.000324,-5.6e-05,3e-05,7.6e-05,-0.379343
9,0.02634,0.031946,-0.022882,0.028384,0.013678,0.019679,-0.086479,0.479086,-0.590695,0.523222,0.083857,0.038593,-0.025832,0.000122,0.000794,0.000325,-5.3e-05,1.3e-05,6.1e-05,-0.37918
10,0.02737,0.032343,-0.022165,0.02111,0.008414,0.015208,1.964062,-0.006929,4.617692,0.523385,0.083915,0.038613,-0.025811,0.005997,0.000279,-0.000141,0.000961,-0.014689,0.029598,-0.378527
11,0.028245,0.032563,-0.021707,0.020526,0.007724,0.005411,0.030575,0.259378,-0.21169,0.523222,0.083931,0.038621,-0.025793,0.000125,0.000809,0.000331,-2.1e-05,1.4e-05,2.5e-05,-0.37722
12,0.028613,0.032582,-0.02157,0.01398,-0.001634,0.006388,-0.056751,0.215725,-0.282291,0.523385,0.083932,0.038623,-0.025786,2.5e-05,0.000166,6.9e-05,-9e-06,2.1e-05,2.5e-05,-0.37722
13,0.029255,0.032495,-0.021417,0.013518,0.00071,-0.000454,-0.020497,0.202463,-0.26528,0.523385,0.083923,0.03862,-0.025782,-2e-06,-2e-05,-9e-06,-0.000193,7.4e-05,9.5e-05,-0.376567
14,0.029717,0.032291,-0.021438,0.006665,-0.003577,-0.003813,-0.01238,0.11802,-0.156746,0.523385,0.083919,0.038624,-0.025785,2e-06,-7e-06,-5e-06,-0.00023,0.000122,0.000192,-0.373138
15,0.029922,0.03203,-0.021538,0.00667,-0.003941,-0.004146,-0.012408,0.117686,-0.156224,0.523385,0.083925,0.038646,-0.025792,5e-05,0.000311,0.000126,0.003055,0.005217,0.001231,-0.36579
16,0.029949,0.0319,-0.021584,-0.00011,-0.00445,-0.004068,-0.014349,0.132819,-0.185333,0.523385,0.083927,0.038663,-0.025796,0.00015,0.00097,0.000396,0.000841,-0.000362,0.001871,-0.360565
17,0.029889,0.03162,-0.021694,-0.006893,-0.004515,-0.00359,-0.016165,0.042492,-0.046999,0.523385,0.083928,0.038708,-0.025798,9e-05,0.000563,0.000229,-0.359514,-0.625814,-0.21859,-0.341133
18,0.029836,0.03139,-0.021738,0.000321,-0.007651,0.002005,-0.043975,0.019165,-0.013134,0.523385,0.083927,0.038781,-0.025841,9.4e-05,0.004784,-0.005006,-0.08196,0.148042,-0.164755,-0.314843
19,0.029803,0.031309,-0.021728,0.000352,-0.006375,0.003176,-0.049214,0.023309,-0.012107,0.523385,0.083933,0.038822,-0.025887,8.4e-05,0.004722,-0.005031,-0.0028,-0.086927,-0.012873,-0.305536
