frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1277,0.035253,0.046523,-0.000836,0.006217,-0.00035,-0.009442,0.018958,-0.015521,0.247342,-0.05597,0.091446,0.044734,-0.060554,-0.007882,0.011284,-0.02627,0.021722,-1.996588,0.165905,0.044559
1278,0.035412,0.046632,-0.001377,-0.001328,0.008025,-0.019358,-0.0004,0.082006,0.315325,0.201376,0.091101,0.045293,-0.061548,-0.008009,0.020387,-0.026926,-0.709657,0.342757,-1.781607,0.135349
1279,0.035458,0.046747,-0.001762,0.005368,0.005845,-0.021703,0.675521,1.09761,1.588519,0.267182,0.090927,0.04559,-0.061993,-0.0078,0.015206,-0.022551,-0.505466,-1.841855,-0.441139,0.187602
1280,0.035471,0.047078,-0.002789,-0.001897,0.006812,-0.029121,0.021691,0.377979,0.308672,0.351277,0.090532,0.046168,-0.06289,-0.007809,0.014763,-0.022982,-0.388094,-1.301369,-0.623327,0.275289
1281,0.035357,0.047541,-0.004259,-0.002812,0.012678,-0.041866,3.038429,2.806198,4.658859,0.386221,0.090151,0.046667,-0.063718,-0.007797,0.015334,-0.022434,-0.264116,-0.906207,-0.611483,0.307457
1282,0.035198,0.048196,-0.006094,-0.003577,0.020741,-0.052612,-0.261269,0.498161,0.836429,0.391936,0.089725,0.047138,-0.064472,-0.007762,0.0166,-0.021202,0.110327,-0.133694,-0.095994,0.310396
1283,0.035108,0.048631,-0.007187,-0.003948,0.025771,-0.057188,-0.313721,0.547418,0.933473,0.38965,0.089445,0.047368,-0.06481,-0.014601,0.011293,-0.016724,-0.104262,-0.528023,-0.186209,0.307457
1284,0.034946,0.049597,-0.009415,-0.004349,0.029979,-0.062567,-0.365537,0.594676,0.971514,0.383772,0.088752,0.047817,-0.0654,-0.014404,0.007052,-0.011461,0.065388,0.026955,-0.040791,0.306967
1285,0.034772,0.050704,-0.011854,-0.004398,0.028949,-0.063724,-0.44649,0.618129,1.243047,0.383608,0.088036,0.048168,-0.065888,-0.021513,0.013113,-0.014729,0.098756,0.022548,-0.056497,0.317418
1286,0.034687,0.051261,-0.013091,-0.004386,0.029392,-0.063443,-0.359168,0.454305,1.124164,0.382955,0.087671,0.048333,-0.066124,-0.014383,0.007334,-0.011217,0.064832,0.020789,-0.045208,0.320357
1287,0.034559,0.0524,-0.015471,-0.004241,0.033289,-0.060035,-0.327816,0.37031,1.119514,0.369076,0.086949,0.048734,-0.066678,-0.014524,0.012044,-0.016044,-0.195749,-0.552612,-0.415801,0.327379
1288,0.034509,0.053625,-0.017542,-0.003312,0.02883,-0.046031,-0.452671,2.457699,-1.030145,0.342622,0.086461,0.049211,-0.067321,-0.014528,0.011605,-0.016501,-0.080227,-0.360377,-0.286524,0.325746
1289,0.034495,0.054765,-0.01913,-0.002352,0.024786,-0.031471,-0.305515,2.331301,-1.52798,0.260487,0.08617,0.049858,-0.068078,-0.007546,0.018783,-0.019029,0.042654,-0.258582,-0.152549,0.311376
1290,0.034525,0.055272,-0.019685,0.00497,0.023761,-0.023733,-0.218188,0.418792,0.212714,0.146674,0.086019,0.050294,-0.06845,-0.007499,0.027128,-0.020141,0.143594,-0.162123,-0.020591,0.294394
1291,0.034898,0.056295,-0.020216,0.012896,0.026445,-0.003165,0.121843,-0.002499,-0.019013,-0.161945,0.085586,0.051299,-0.069075,-0.014115,0.025414,-0.012098,0.144061,-0.037733,0.038474,0.232997
1292,0.035534,0.057076,-0.019859,0.014469,0.013371,0.020858,0.529499,-0.496612,-0.443959,-0.458971,0.08502,0.052216,-0.069436,-0.013861,0.021466,-0.006536,0.103991,-0.030617,0.016218,0.011738
1293,0.036253,0.057576,-0.018866,0.015156,0.006673,0.032381,0.629955,-0.551924,-0.809358,-0.754364,0.084062,0.052879,-0.069449,-0.034231,0.01953,0.001475,0.30129,0.594602,0.334034,-0.261611
1294,0.036611,0.057705,-0.018189,0.021861,0.010222,0.034934,0.416723,-0.544391,-0.420357,-0.898549,0.08343,0.05314,-0.069307,-0.03393,0.00987,0.010672,0.220469,0.525527,0.260737,-0.387834
1295,0.037338,0.057869,-0.016517,0.015819,0.003233,0.046376,0.557078,-0.666742,-0.567512,-0.963049,0.081961,0.053553,-0.06875,-0.040346,0.008159,0.018324,0.143899,0.802014,0.449377,-0.68241
1296,0.038045,0.057804,-0.014588,0.022687,-0.002121,0.049255,-0.010251,-0.185304,-0.194931,-0.956191,0.080258,0.053872,-0.067925,-0.046778,0.005398,0.024783,0.422999,0.924667,0.771218,-0.978456
1297,0.038391,0.057708,-0.013585,0.015974,-0.00176,0.049824,0.272943,-0.423735,-0.386574,-0.954558,0.079349,0.054026,-0.067438,-0.046456,0.007597,0.026726,0.503055,1.284484,0.755335,-1.112028
1298,0.039076,0.057493,-0.01157,0.016234,-0.00794,0.052606,0.178726,-0.361678,-0.396765,-0.951129,0.077468,0.054319,-0.06626,-0.045769,0.011822,0.03034,0.299066,0.786294,0.661386,-1.113334
1299,0.039699,0.057293,-0.009603,0.0157,-0.002864,0.047805,0.532509,-0.641728,-0.596246,-0.946067,0.075564,0.054557,-0.064849,-0.05214,0.00313,0.039977,0.213265,0.712496,0.804659,-1.097005
1300,0.040006,0.057202,-0.008664,0.01606,-0.009634,0.050482,-0.098665,-0.128462,-0.21236,-0.946067,0.074631,0.054613,-0.064065,-0.045219,-0.002182,0.043805,-0.035819,0.206844,0.441683,-1.114314
1301,0.040578,0.057066,-0.006867,0.015537,-0.005024,0.045383,-0.193011,-0.11373,0.077649,-0.945414,0.072872,0.054541,-0.062361,-0.044964,-0.001826,0.043619,0.028306,0.29741,0.489876,-1.110721
1302,0.041022,0.057087,-0.005277,0.008049,0.005485,0.037181,0.366131,-0.429293,-0.413518,-0.945414,0.071252,0.054293,-0.060608,-0.038301,-0.008743,0.045885,0.073334,-0.509414,0.7284,-1.111701
1303,0.041443,0.057225,-0.003878,0.0145,0.002835,0.034225,-0.031534,-0.094536,-0.133439,-0.943944,0.069793,0.053934,-0.058849,-0.031731,-0.011017,0.043523,-0.042337,0.239756,0.442346,-1.111864
1304,0.041637,0.057333,-0.003276,0.014031,0.006709,0.028824,-0.066354,-0.122593,0.083062,-0.942964,0.069173,0.053692,-0.057992,-0.025127,-0.01254,0.042063,-0.133388,0.049986,0.357578,-1.110885
1305,0.041988,0.057588,-0.002263,0.013555,0.008164,0.021504,-0.079644,-0.064055,0.119938,-0.944924,0.068204,0.053073,-0.056395,-0.025736,-0.01651,0.038477,-0.045265,0.180173,0.620281,-1.110068
1306,0.042316,0.057869,-0.00147,0.007073,0.005779,0.020068,0.206701,-0.303396,-0.084071,-0.944271,0.067607,0.052327,-0.054997,-0.005993,-0.016479,0.02969,0.009675,0.381345,0.667499,-1.106313
1307,0.042498,0.058017,-0.001131,0.007079,0.004078,0.018733,-0.078413,-0.030413,0.071972,-0.94525,0.067453,0.051914,-0.054391,-0.006346,-0.018626,0.027867,-0.076565,0.132064,0.460465,-1.100434
1308,0.042885,0.058331,-0.000552,0.013017,0.008722,0.013457,-0.032021,-0.06189,0.116414,-0.946883,0.067406,0.051112,-0.053401,0.006726,-0.017929,0.019741,0.00315,0.731092,0.369484,-1.100434
1309,0.043309,0.058646,-4.7e-05,0.012979,0.007532,0.012493,-0.053112,0.052093,-0.04761,-0.948026,0.067592,0.050452,-0.052734,0.006734,-0.009253,0.009638,1.467477,0.040738,-0.476552,-1.10468
1310,0.043744,0.0589,0.000427,0.006571,0.005831,0.011705,-0.041676,-0.042806,0.088327,-0.94721,0.067985,0.050029,-0.052398,0.013368,-0.006356,0.003332,0.19986,0.615773,0.436639,-1.107292
1311,0.043959,0.059001,0.000663,0.012931,0.006147,0.011381,-0.021051,-0.080405,0.099042,-0.949169,0.068254,0.049913,-0.052359,0.020087,-0.002807,-0.002428,0.085059,0.319379,0.091154,-1.107782
