frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
370,0.038144,0.041091,-0.003762,0.023061,-0.017221,-0.000807,-0.250291,1.029184,-0.542865,-0.999953,0.071579,0.043515,-0.061447,0.000634,0.003773,0.004663,0.0166,-0.009819,0.023625,-1.058468
371,0.039151,0.040467,-0.004034,0.030196,-0.016276,-0.011019,-0.205299,1.031247,-0.260186,-1.000443,0.071518,0.04358,-0.06118,-0.006934,-0.000874,0.009649,-0.029601,0.025536,-0.015182,-1.057652
372,0.039747,0.040195,-0.004326,0.029848,-0.012271,-0.017039,-0.114253,0.775096,-0.390055,-0.99881,0.071497,0.043602,-0.061024,-0.006862,-0.000464,0.01014,-0.084521,-0.094986,-0.089331,-1.053406
373,0.041051,0.039657,-0.005062,0.037584,-0.014643,-0.020868,1.50643,0.844587,0.309366,-0.997177,0.071471,0.043607,-0.060684,0.000579,-0.001255,0.009325,-0.027873,0.006412,0.010505,-1.051284
374,0.042508,0.03904,-0.005866,0.038327,-0.020262,-0.017322,-0.134142,0.898382,-0.126323,-0.992931,0.071453,0.043552,-0.060337,0.000488,-0.001786,0.008663,-0.025627,0.011731,0.017545,-1.048834
375,0.044082,0.038345,-0.006606,0.03865,-0.020517,-0.018117,-0.132675,1.024756,0.173362,-0.991135,0.071439,0.043393,-0.059962,0.000396,-0.002324,0.007995,-0.020783,-0.097631,0.179963,-1.048508
376,0.044901,0.03795,-0.006962,0.038829,-0.02035,-0.018173,-0.095616,0.592175,-0.09479,-0.989502,0.071427,0.043287,-0.059776,0.000382,-0.002408,0.007888,-0.022408,0.018274,0.018399,-1.048018
377,0.046556,0.037107,-0.007592,0.047347,-0.023824,-0.012912,-0.080771,0.332926,-0.068097,-0.990155,0.071414,0.043037,-0.059375,0.000232,-0.008024,0.011878,-0.055456,-0.078966,0.165283,-1.050141
378,0.048106,0.036277,-0.008145,0.039463,-0.017911,-0.016132,-0.069445,0.467789,0.095958,-0.997013,0.071396,0.042765,-0.058935,0.000318,-0.0075,0.012503,0.06606,-0.12179,0.09032,-1.05504
379,0.048825,0.035856,-0.008421,0.031877,-0.01809,-0.015638,-0.072138,0.56203,0.111795,-0.994401,0.071386,0.042627,-0.05869,0.000404,-0.00698,0.013123,-0.069864,0.008587,-0.0155,-1.059285
380,0.049969,0.035152,-0.008998,0.023766,-0.012244,-0.018733,0.003381,0.951025,0.332351,-0.993911,0.071379,0.042331,-0.058152,0.000511,-0.00632,0.013897,-0.068867,-0.001323,0.017815,-1.06451
381,0.050818,0.034607,-0.009674,0.016131,-0.012857,-0.018541,5.441548,0.010344,0.216474,-0.997993,0.071387,0.04202,-0.057543,0.000464,-0.011305,0.018632,-0.104657,0.028072,-0.022489,-1.065327
382,0.051126,0.034377,-0.010057,0.016184,-0.012908,-0.019018,0.461638,1.076016,0.387906,-1.002729,0.071394,0.041872,-0.057214,0.000626,-0.010327,0.019782,-0.096315,0.02039,0.004211,-1.064674
383,0.051455,0.034021,-0.010886,7e-06,-0.007591,-0.021531,1.617694,-0.613519,2.570995,-1.000932,0.071438,0.041566,-0.056512,0.000598,-0.010468,0.019575,-0.12515,-0.029964,-0.057444,-1.061244
384,0.051509,0.033912,-0.0118,-0.008492,-0.00032,-0.022429,1.734733,0.327816,0.890819,-1.002402,0.071521,0.041249,-0.0558,0.000734,-0.004906,0.015464,-0.055042,0.014735,0.024981,-1.065817
385,0.051295,0.034116,-0.012735,-0.009165,0.007322,-0.02383,0.141621,0.502502,0.824018,-1.003871,0.071625,0.04086,-0.055117,0.000387,-0.011731,0.01804,-0.517966,0.16738,0.239761,-1.0779
386,0.051094,0.034308,-0.013209,-0.009766,0.013601,-0.026968,0.150828,1.173296,0.288907,-0.9993,0.071688,0.040657,-0.054806,0.000449,-0.006621,0.013419,-0.485267,0.165039,0.229857,-1.082472
387,0.05052,0.034888,-0.014265,-0.018229,0.020321,-0.028462,0.273017,0.443351,0.587284,-1.000443,0.07184,0.040308,-0.054292,0.000193,-0.008203,0.011568,-0.071746,0.021049,-0.018138,-1.09129
388,0.049801,0.035663,-0.015329,-0.018233,0.021234,-0.02728,0.376771,0.509318,1.096602,-1.000606,0.07204,0.040068,-0.053934,0.00772,-0.004005,0.00603,-0.638414,1.618995,-2.137447,-1.096352
389,0.049129,0.036413,-0.016294,-0.018239,0.022154,-0.026068,0.747165,-0.563626,2.809113,-1.005504,0.072276,0.039881,-0.053752,0.007336,-0.006213,0.003462,-0.43952,0.162007,0.260087,-1.099618
390,0.048776,0.036768,-0.01674,-0.025515,0.016621,-0.020961,0.219466,0.649302,0.536448,-1.005014,0.072424,0.039794,-0.053732,0.007336,-0.00147,-0.001582,0.002984,-0.01921,0.035802,-1.101904
391,0.048133,0.037365,-0.017393,-0.017176,0.013861,-0.014082,0.197091,-0.269169,0.556365,-1.003708,0.072753,0.039591,-0.053763,0.007065,-0.00326,-0.003672,-0.013663,0.040063,-0.048555,-1.09178
392,0.047524,0.037789,-0.017818,-0.016118,0.003339,-0.005134,0.126563,-0.450564,0.632307,-1.006974,0.073146,0.039297,-0.053839,0.01431,-0.010378,-0.001295,-0.049503,0.042001,-0.037269,-1.072022
393,0.047249,0.037942,-0.017953,-0.016658,0.010228,-0.007371,0.104127,-0.316207,0.470306,-1.007301,0.073357,0.0391,-0.053882,0.006724,-0.01048,-0.00154,-0.036744,0.021767,-0.021724,-1.070715
394,0.046758,0.0382,-0.018056,-0.008334,0.006397,-0.001903,0.070723,-0.318459,0.486505,-1.010077,0.073794,0.038665,-0.054019,0.006426,-0.012658,-0.004124,-0.033455,0.026972,-0.032606,-1.070389
395,0.046325,0.038408,-0.018103,-0.016122,0.00553,-0.00215,0.084088,-0.632084,0.23877,-1.018568,0.074222,0.038121,-0.054221,0.013733,-0.015018,-0.006863,-0.0337,0.014351,-0.005983,-1.078553
396,0.04616,0.038484,-0.01812,-0.008319,0.006249,-0.002135,0.068457,-0.365967,0.513793,-1.021344,0.074422,0.037827,-0.054342,0.013721,-0.015317,-0.00726,-0.044045,-0.074861,0.155099,-1.085085
397,0.045921,0.038618,-0.018162,-0.000513,0.006255,-0.003102,0.609372,-1.92247,2.711614,-1.028202,0.074794,0.037176,-0.054637,0.005984,-0.016404,-0.008754,-0.146438,0.019094,0.202399,-1.099618
398,0.045867,0.038706,-0.018201,3e-06,-0.000374,-0.000519,0.179388,-0.370387,0.438435,-1.038816,0.075103,0.036446,-0.054975,0.005811,-0.022916,-0.005922,0.138749,0.520332,0.2012,-1.1037
399,0.045906,0.038721,-0.018229,5e-06,-0.000474,-0.000661,0.187448,-0.404807,0.41684,-1.042245,0.075235,0.036069,-0.055144,0.005926,-0.017298,-0.010026,0.065755,0.142274,0.228253,-1.105823
400,0.046105,0.038703,-0.018287,0.007805,-0.000399,-0.001533,0.06526,-0.545316,0.3916,-1.03653,0.075344,0.035681,-0.055313,0.005966,-0.017168,-0.009936,0.060139,0.258235,0.067288,-1.10468
