frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
590,0.063476,0.032617,-0.003442,-0.008892,0.007259,-0.022723,0.005846,0.104722,0.268514,-0.932187,0.086687,0.019755,-0.053217,0.000303,0.003945,0.005349,0.000942,-0.013517,0.025291,-1.122152
591,0.063068,0.032957,-0.004408,-0.017269,0.010954,-0.027985,1.726644,1.897977,-0.700042,-0.936433,0.086807,0.019982,-0.053068,0.00836,0.003813,0.005006,-0.004925,-0.034955,0.055725,-1.117417
592,0.062589,0.033252,-0.005356,-0.0088,0.006617,-0.023897,2.907395,1.660557,4.842924,-0.952598,0.086931,0.020201,-0.052941,0.000159,0.008769,0.000229,0.027314,-0.035859,0.04839,-1.116926
593,0.062345,0.033389,-0.005822,-0.008875,0.006867,-0.023435,0.289,1.026492,0.0866,-0.958967,0.086996,0.020297,-0.052881,0.008281,0.002997,0.003878,0.012057,0.012994,0.086826,-1.116763
594,0.061794,0.033598,-0.006662,-0.016029,0.001077,-0.018502,0.244359,0.153708,0.597807,-0.969091,0.087124,0.020471,-0.05278,0.000188,0.002562,0.003432,-0.011093,-0.01567,0.03577,-1.115457
595,0.061258,0.033674,-0.007399,-0.016068,0.001366,-0.018373,3.265707,1.421646,4.528043,-0.969907,0.087263,0.020639,-0.052713,0.008213,0.002307,0.002924,0.004899,-0.032438,0.057301,-1.114804
596,0.060691,0.033567,-0.007979,-0.015486,-0.003809,-0.013753,0.491347,0.675844,-0.256388,-0.978072,0.0874,0.020836,-0.052686,6e-05,0.007576,-0.001405,0.038206,-0.026496,0.04531,-1.11611
597,0.060424,0.03345,-0.008233,-0.015448,-0.004452,-0.014646,-0.033212,0.398306,0.744108,-0.981991,0.08748,0.020951,-0.052691,7.4e-05,0.007797,-0.001119,0.038597,-0.026903,0.04586,-1.1166
598,0.059824,0.033103,-0.008672,-0.022639,-0.01094,-0.010666,-0.297736,0.606732,0.041029,-0.977419,0.087675,0.02123,-0.052728,0.008095,0.007765,-0.001337,0.038632,-0.040658,0.074703,-1.1166
599,0.059216,0.032698,-0.009072,-0.014891,-0.009932,-0.010748,3.185763,0.609909,4.197159,-0.989829,0.087912,0.02158,-0.052794,0.000114,0.00852,-0.000181,0.040951,-0.029201,0.048475,-1.1166
600,0.058594,0.032341,-0.009513,-0.014991,-0.009869,-0.010723,1.526428,2.511165,-1.160124,-0.996197,0.088221,0.021954,-0.052865,0.008089,0.008193,-0.000807,-0.506443,0.485436,-0.443214,-1.114314
601,0.058225,0.032196,-0.009743,-0.022971,-0.009539,-0.0092,2.909157,1.154947,4.23174,-1.001096,0.088391,0.02215,-0.052902,0.00811,0.008687,-0.000168,0.042031,-0.04403,0.078214,-1.113824
602,0.057452,0.031992,-0.01019,-0.015859,-0.002475,-0.01249,3.369522,0.778064,3.7637,-0.993748,0.088765,0.022536,-0.052968,0.016022,0.007829,-0.001516,0.041251,-0.044255,0.081526,-1.114314
603,0.056632,0.031981,-0.010696,-0.024497,0.003435,-0.014988,3.18619,1.077214,4.145775,-1.003382,0.089155,0.022845,-0.053042,0.008103,0.001975,0.002376,0.004063,-0.030523,0.057017,-1.113497
604,0.056175,0.032026,-0.010986,-0.024505,0.003518,-0.014834,-0.079715,0.344979,-0.118074,-1.005178,0.089346,0.022967,-0.053075,0.007945,0.006879,-0.002594,0.039465,-0.028747,0.051307,-1.115294
605,0.055254,0.032226,-0.011592,-0.024545,0.003969,-0.014312,0.000782,0.258409,-0.192261,-1.003708,0.089711,0.023144,-0.053118,0.008038,0.001125,0.001245,-0.158034,0.137997,-0.120783,-1.114804
606,0.054294,0.032515,-0.012233,-0.024566,0.004257,-0.014021,-0.272644,0.734299,-0.114807,-0.997993,0.090058,0.023279,-0.053157,0.008003,0.000606,0.000556,0.001969,-0.015605,0.03046,-1.114804
607,0.053785,0.032655,-0.012556,-0.032444,0.003411,-0.014082,-0.188882,0.561681,-0.053992,-0.99783,0.090213,0.023338,-0.053178,5.5e-05,0.000993,0.00129,-0.00903,-0.004264,0.016031,-1.113661
608,0.052794,0.032967,-0.013176,-0.024608,0.005042,-0.013086,-0.076825,0.377568,-0.086044,-0.998483,0.090505,0.02344,-0.053225,0.007988,0.000452,0.000345,0.001986,-0.01566,0.030515,-1.114477
609,0.05183,0.033219,-0.013664,-0.024669,0.006422,-0.011266,0.012576,0.145034,-0.00222,-0.99587,0.090748,0.023546,-0.053281,0.007836,0.005664,-0.00422,0.037351,-0.026528,0.049367,-1.114967
610,0.050912,0.033405,-0.014014,-0.016814,0.008019,-0.01022,0.048722,0.14749,-0.19957,-0.992931,0.090968,0.02365,-0.05334,-0.000128,0.005615,-0.004043,0.03605,-0.01155,0.019574,-1.114967
611,0.050457,0.03347,-0.014136,-0.024166,0.002576,-0.004944,1.116571,0.429761,1.041985,-0.988032,0.091062,0.023698,-0.053366,1e-05,0.000164,0.000206,0.002163,-0.002041,0.002062,-1.114967
612,0.049613,0.033496,-0.014224,-0.02365,-0.001853,0.000636,-0.026722,0.171259,-0.23874,-0.992768,0.091239,0.0238,-0.053435,0.007825,0.005654,-0.004241,0.038295,-0.027411,0.050297,-1.114967
613,0.048783,0.033453,-0.014199,-0.023664,-0.001546,0.000998,0.003566,0.029056,-0.098039,-0.989665,0.091404,0.023888,-0.053505,0.007805,0.005349,-0.004646,0.03771,-0.026846,0.049749,-1.11513
614,0.048393,0.033426,-0.014168,-0.023668,-0.001396,0.001173,0.362729,0.072118,0.249071,-0.976112,0.091493,0.023932,-0.053544,0.007953,-1.8e-05,-0.000289,0.004228,-0.017804,0.032646,-1.116763
615,0.047615,0.033367,-0.014085,-0.023674,-0.001123,0.001491,-0.007593,0.045592,-0.088974,-0.978235,0.091675,0.024024,-0.053626,2e-06,-2e-06,-8e-06,0.000859,-0.000838,0.000854,-1.115457
616,0.046853,0.033309,-0.014015,-0.023669,-0.001426,0.001013,-0.007452,0.045769,-0.088639,-0.989502,0.091876,0.024114,-0.053694,8e-06,0.000131,0.000164,0.000215,-0.000153,0.000198,-1.11513
617,0.046489,0.03326,-0.013975,-0.015281,-0.006044,0.00539,0.077426,0.059234,0.014008,-0.991951,0.091983,0.024161,-0.053713,0.007987,0.000936,0.000946,0.002907,-0.02956,0.055868,-1.114477
618,0.045771,0.033177,-0.013894,-0.023676,-0.001171,0.001282,0.097483,-0.154539,-0.213751,-0.994401,0.092226,0.02427,-0.053734,5.2e-05,0.001227,0.001598,0.001182,-0.014124,0.0256,-1.115947
619,0.045115,0.033096,-0.013776,-0.015788,0.000294,0.00231,0.07054,-0.1319,-0.130802,-0.996687,0.092506,0.024397,-0.053731,0.007841,0.006921,-0.002625,0.037016,-0.02608,0.049125,-1.11709
620,0.044493,0.032962,-0.013602,-0.023201,-0.005891,0.006414,0.199981,-0.411967,-0.36149,-1.000116,0.092792,0.024526,-0.053719,0.007999,0.001707,0.001921,0.002255,-0.028972,0.055238,-1.117743
621,0.044185,0.032887,-0.013519,-0.015315,-0.006024,0.005296,-0.046467,0.038778,-0.084021,-1.000116,0.092953,0.024604,-0.053725,0.007816,0.006664,-0.002975,0.038474,-0.027391,0.050507,-1.118723
622,0.043642,0.032708,-0.013367,-0.007436,-0.005993,0.004409,0.158615,-0.35494,-0.27311,-1.000279,0.093307,0.024779,-0.053776,0.007805,0.006732,-0.0029,0.039988,-0.041945,0.076646,-1.118559
623,0.04318,0.032456,-0.013201,-0.007446,-0.006087,0.004267,0.133398,0.121195,-0.245466,-0.997177,0.093713,0.024994,-0.053878,0.015884,0.001112,0.000805,-0.007613,-0.020433,0.050305,-1.119049
624,0.042982,0.032317,-0.013113,-0.014897,-0.012108,0.008595,-0.04899,0.051769,-0.323548,-0.997667,0.093942,0.02512,-0.053953,0.015508,0.011408,-0.008491,0.076652,-0.054336,0.100864,-1.118723
625,0.042683,0.032031,-0.012915,-0.007004,-0.011419,0.008647,-0.097298,0.137389,-0.233805,-0.996523,0.094451,0.025397,-0.054142,0.007748,0.005831,-0.0041,0.03859,-0.02734,0.050873,-1.118559
626,0.042455,0.031762,-0.012703,-0.007459,-0.005323,0.005292,-0.059154,0.116,-0.183562,-0.99734,0.095064,0.025725,-0.054398,0.023356,0.011118,-0.009269,0.066183,-0.0582,0.119841,-1.118886
627,0.042334,0.031516,-0.01248,0.000451,-0.004981,0.004885,0.176862,-0.456503,-0.304367,-1.003055,0.09574,0.026059,-0.054692,0.015419,0.010903,-0.009238,0.072174,0.041716,-0.071097,-1.120356
628,0.042326,0.031411,-0.012368,0.00046,-0.004691,0.005285,-0.049579,0.020517,-0.006172,-1.003545,0.096114,0.026228,-0.054846,0.023504,0.005344,-0.005519,-0.047263,-0.134558,-0.14975,-1.123295
629,0.042337,0.031241,-0.01216,0.000469,-0.004057,0.006149,-0.052055,0.091518,-0.158048,-1.000443,0.096906,0.026553,-0.055178,0.023479,0.004997,-0.006029,-0.092458,-0.218585,-0.177058,-1.124601
630,0.042367,0.031187,-0.011956,3.8e-05,0.002538,0.003477,0.028754,0.129383,-0.187431,-0.998483,0.097723,0.026829,-0.0555,0.023237,0.010093,-0.010801,0.077395,-0.064919,0.129567,-1.126071
