frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
37,0.033751,0.019676,-0.026965,-0.057688,-0.021311,-0.044123,4.849701,-0.043217,2.829795,-0.029027,0.075076,0.017714,-0.071343,-0.008258,0.037223,-0.041918,0.266581,-1.707285,-0.824086,-0.080358
38,0.031414,0.018654,-0.028603,-0.065965,-0.033264,-0.038021,-0.377118,-0.386314,0.580402,-0.009432,0.074434,0.019011,-0.072902,-0.016309,0.030078,-0.039886,0.225055,-1.73134,-0.992216,0.014514
39,0.029034,0.017499,-0.030211,-0.05924,-0.026489,-0.042701,0.048337,-0.060712,0.101901,0.011632,0.073347,0.020392,-0.074488,-0.038928,0.040102,-0.038886,0.766679,-1.325673,-0.858464,-0.077419
40,0.027887,0.01691,-0.030958,-0.051354,-0.030808,-0.038247,0.007037,-0.068574,0.118198,0.02094,0.07246,0.02122,-0.075216,-0.053807,0.044107,-0.034272,0.265433,-0.658701,-0.480503,-0.137183
41,0.025876,0.015749,-0.032379,-0.043793,-0.027967,-0.036278,0.021979,-0.182055,0.329743,0.046087,0.07027,0.023008,-0.076359,-0.060273,0.045068,-0.022492,0.240905,0.137237,-0.352936,-0.179149
42,0.024211,0.014691,-0.033588,-0.035274,-0.027483,-0.025281,-0.021407,-0.115018,0.211044,0.088379,0.067794,0.024852,-0.077124,-0.066775,0.044568,-0.012718,0.196689,0.122732,-0.277028,-0.191559
43,0.023456,0.014191,-0.034066,-0.035275,-0.018927,-0.025513,0.424723,-0.02482,0.353612,0.096544,0.066411,0.025673,-0.077288,-0.066484,0.035392,-0.00237,0.129283,0.040695,-0.148165,-0.205765
44,0.022209,0.013377,-0.034616,-0.02577,-0.021655,-0.006109,-0.059713,-0.060303,0.119655,0.088869,0.063413,0.027091,-0.07727,-0.080735,0.034318,0.005982,0.121857,0.48602,0.062961,-0.21099
45,0.021296,0.01281,-0.034712,-0.016447,-0.013646,0.005084,-0.038754,-0.143942,-0.012302,0.073356,0.060263,0.028443,-0.07684,-0.086422,0.036299,0.018059,0.059789,0.24559,-0.118942,-0.204785
46,0.02082,0.012508,-0.034393,-0.007425,-0.001877,0.009766,-0.032295,-0.061946,0.161401,0.054904,0.056951,0.029935,-0.075934,-0.083929,0.04312,0.02517,0.059319,0.222928,-0.098219,-0.192539
47,0.020771,0.01246,-0.034159,0.001055,-0.000167,0.011952,-0.031184,-0.076375,0.190723,0.048046,0.05527,0.030689,-0.075362,-0.083694,0.037978,0.029125,0.096698,0.81547,0.253591,-0.158901
48,0.021022,0.012525,-0.033515,0.009988,0.004478,0.018288,0.019926,-0.228239,-0.011914,0.048863,0.051931,0.032016,-0.074093,-0.083015,0.033218,0.032909,0.216925,-1.006325,2.327736,-0.064356
49,0.021436,0.012664,-0.032776,0.010074,-0.001291,0.021891,-0.080134,0.076946,-0.129287,0.065192,0.048846,0.033335,-0.072803,-0.074603,0.033231,0.032354,-0.015096,-0.019281,-0.043397,0.024638
50,0.02166,0.012688,-0.032408,0.009655,0.002862,0.015741,-0.030775,-0.029646,0.062805,0.088216,0.047409,0.033968,-0.072185,-0.074503,0.032477,0.030973,1.652164,-0.113171,-0.244443,0.083422
51,0.022027,0.012614,-0.031835,0.008985,-0.001248,0.009831,-0.030691,-0.029933,0.062691,0.138346,0.044691,0.035092,-0.070938,-0.066562,0.031402,0.029472,-0.006889,-0.149427,0.165565,0.177315
52,0.022216,0.012364,-0.03147,0.000196,-0.00537,0.004324,-0.036324,0.011843,-0.017575,0.17476,0.042638,0.036106,-0.069783,-0.044081,0.028341,0.027241,-0.004577,-0.188444,0.247817,0.20932
53,0.022236,0.01216,-0.031366,-0.000167,-0.001023,-0.001449,-0.001773,0.013253,-0.025527,0.182271,0.041138,0.036918,-0.068704,-0.031666,0.015144,0.023687,-0.038733,0.046477,-0.090001,0.262879
54,0.022216,0.012133,-0.031378,-0.000134,-0.000829,-0.001175,4e-06,-2e-06,1.1e-05,0.182434,0.040615,0.037184,-0.068305,-0.02477,0.016662,0.015711,-0.003599,0.012319,-0.045376,0.30909
55,0.022141,0.012115,-0.031454,-0.008571,0.004048,-0.005866,0.034248,0.003342,-0.011783,0.180801,0.040125,0.037542,-0.067732,-0.004256,0.00956,0.009757,-0.000772,-0.016242,0.019045,0.364282
56,0.022113,0.012052,-0.031542,-0.00021,-0.001333,-0.001895,0.155602,-0.53359,-0.275374,0.17231,0.040113,0.037674,-0.067317,0.008446,-0.001607,0.008945,-0.03346,-0.010783,0.038594,0.366405
57,0.022116,0.012034,-0.031567,-7.3e-05,-0.000476,-0.000677,-0.006776,0.015332,0.006611,0.168718,0.040186,0.037716,-0.067179,0.008721,0.003067,0.003916,0.00056,-0.030287,0.053634,0.370324
58,0.022166,0.012038,-0.031564,5.9e-05,0.00037,0.000526,-0.000184,0.000391,0.00019,0.160717,0.040474,0.037881,-0.06702,0.009362,0.008802,1.4e-05,0.034602,-0.048675,0.067295,0.384694
59,0.022281,0.012062,-0.031517,0.000174,0.001124,0.001593,-6e-06,9e-06,-1.1e-05,0.152226,0.040962,0.03795,-0.066903,0.007385,-0.00452,0.005745,0.46674,-0.005467,-0.034198,0.392042
60,0.022402,0.012088,-0.031485,9.8e-05,0.000626,0.000884,-0.00292,-0.001595,0.030828,0.142102,0.041355,0.037772,-0.066895,0.006258,-0.003875,-0.003554,0.012762,-0.000112,0.002744,0.420128
61,0.022451,0.012093,-0.03148,3.7e-05,0.000249,0.000349,-0.000718,0.002092,0.001007,0.138019,0.041455,0.037667,-0.06696,0.005983,-0.004686,-0.004422,-0.000904,0.000334,0.004335,0.440212
62,0.022518,0.012094,-0.03149,-3e-06,-2.2e-05,-3.5e-05,4e-05,5.5e-05,9e-05,0.132141,0.041597,0.037431,-0.067106,-0.001357,-0.003923,-0.004204,-0.002322,0.019491,-0.030485,0.445928
63,0.022549,0.012098,-0.031486,1.3e-05,8.3e-05,0.000115,5.5e-05,-3e-06,3.2e-05,0.127405,0.041559,0.037086,-0.067121,-0.008869,-0.007492,0.001394,-0.036365,0.055459,-0.069297,0.418821
64,0.022593,0.012107,-0.031475,1.9e-05,0.000127,0.000179,3.4e-05,-3e-06,1.3e-05,0.123976,0.041243,0.036955,-0.067125,-0.015471,-0.004474,0.004046,-0.025221,0.049495,-0.07867,0.431231
65,0.022625,0.012112,-0.03147,8e-06,5.3e-05,7.4e-05,2.7e-05,-2e-06,1.3e-05,0.124303,0.041037,0.036897,-0.067091,-0.008277,-0.005716,0.003305,-0.070297,-0.251337,-0.228719,0.438743
66,0.022687,0.012122,-0.031467,7.7e-05,0.000496,0.000699,2e-05,1.5e-05,1.2e-05,0.124466,0.040757,0.03669,-0.066882,-0.000563,-0.009383,0.010011,-0.074879,-0.027797,-0.046129,0.432538
67,0.022748,0.012122,-0.03147,-0.0,-1e-05,-1.8e-05,7e-06,1.6e-05,1.1e-05,0.116465,0.040523,0.036701,-0.066658,-0.006175,0.004193,0.003905,-0.001689,0.002731,-0.006183,0.436947
68,0.022771,0.012115,-0.031481,-9.1e-05,-0.0006,-0.000851,1.5e-05,3e-06,-9e-06,0.113689,0.040394,0.03672,-0.066551,0.000153,-0.003441,0.006351,-0.034882,0.019927,-0.015154,0.445274
69,0.022799,0.012113,-0.031512,-2e-06,-2.5e-05,-3.8e-05,1e-06,2e-06,1e-05,0.112546,0.040206,0.036596,-0.066324,-0.007397,-0.003144,0.006052,0.11652,0.046046,-0.047663,0.473197
70,0.022798,0.012119,-0.031521,3e-06,1.4e-05,1.8e-05,-4e-06,1e-06,2.4e-05,0.106341,0.040218,0.036581,-0.066167,0.001211,0.003418,0.003672,0.023979,-0.193796,-0.090933,0.485444
71,0.022793,0.012122,-0.031517,1.3e-05,8.3e-05,0.000118,1e-05,-7e-06,1.7e-05,0.102422,0.040241,0.036661,-0.066082,0.001534,0.004328,0.004636,0.004964,-0.001229,0.032359,0.482015
72,0.022805,0.01213,-0.031524,0.008117,-0.000241,-0.000693,0.002067,-0.015185,0.029236,0.102095,0.040181,0.036764,-0.065846,0.001063,0.003197,0.003257,5.464391,-0.555006,-0.595223,0.483974
73,0.022823,0.01214,-0.031529,1e-06,-3e-06,-4e-06,1.2e-05,-3e-06,2e-05,0.104218,0.040058,0.036793,-0.065589,0.000696,-0.001908,0.007957,-0.039675,-0.164949,0.138343,0.492302
74,0.022878,0.012144,-0.031533,0.008119,-0.000216,-0.000661,0.002063,-0.015201,0.029251,0.101442,0.03992,0.036851,-0.065362,0.000734,0.002077,0.002213,0.151915,0.013625,0.002429,0.496711
75,0.022915,0.012146,-0.031533,1.2e-05,8.6e-05,0.000119,1.8e-05,-8e-06,2.2e-05,0.101769,0.039821,0.03693,-0.065339,-0.006366,0.007442,-0.002665,0.182571,-0.005416,-0.021402,0.505692
76,0.022996,0.012154,-0.031524,9e-05,0.000597,0.000843,0.001801,-0.01325,0.025521,0.106178,0.039574,0.036916,-0.065336,-0.000656,-0.001837,-0.001935,-0.090334,-0.754892,-0.469944,0.517775
77,0.02304,0.012163,-0.031515,3.1e-05,0.000201,0.000282,1.8e-05,1.7e-05,-1.4e-05,0.107811,0.039533,0.036805,-0.065298,0.000211,0.00059,0.000631,-0.004986,-0.057521,-0.03579,0.512877
78,0.023046,0.012163,-0.031514,7.4e-05,0.00049,0.000693,0.001796,-0.013246,0.025519,0.105688,0.039533,0.036826,-0.065291,0.000311,0.000871,0.000925,0.005446,0.027137,0.050728,0.503242
79,0.02304,0.012172,-0.031511,-0.000218,0.005382,-0.004315,0.036373,-0.011726,0.01764,0.103238,0.039335,0.036882,-0.065294,-0.007491,0.000439,-0.000137,-0.06542,-0.510309,-0.356039,0.502753
80,0.023033,0.012177,-0.031521,-1e-06,-1.2e-05,-1.8e-05,-8.4e-05,-1e-05,-7e-05,0.100952,0.039173,0.036894,-0.065294,0.00014,0.000379,0.000414,-0.059443,-0.39252,-0.478359,0.511407
81,0.023027,0.012181,-0.031524,-0.0,1e-06,1e-06,-7.4e-05,-1e-06,-8.2e-05,0.097033,0.039139,0.036925,-0.065258,0.000709,0.001958,0.002084,0.001483,0.0008,0.034347,0.510264
82,0.023033,0.012179,-0.031528,-1.4e-05,-8.9e-05,-0.000127,-7.8e-05,-7e-06,-5.9e-05,0.095564,0.039005,0.037013,-0.06517,-0.000553,-0.00539,0.004254,-0.034785,0.020194,-0.014589,0.509938
