frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
184,0.052137,0.027503,-0.018607,-0.026102,0.05578,0.032505,-0.514438,0.876293,0.790363,-0.935943,0.07388,0.030393,-0.082445,0.021291,-0.011549,-0.014299,-0.00124,0.005727,0.017248,-1.031526
185,0.051162,0.02946,-0.017535,-0.032748,0.046837,0.022534,-0.720452,1.187559,0.893679,-0.942148,0.074673,0.029779,-0.082746,0.021747,-0.014027,-0.006471,-0.031565,-0.106962,0.188968,-1.021401
186,0.049933,0.031586,-0.017084,-0.033039,0.050917,0.006148,-0.724854,1.261147,0.925647,-0.93578,0.075607,0.029152,-0.082876,0.022044,-0.017678,-8.2e-05,1.352554,-0.835215,-0.236875,-1.023034
187,0.048513,0.033261,-0.017226,-0.039386,0.033162,-0.011443,-0.707204,1.368324,0.597619,-0.849236,0.076609,0.028657,-0.082892,0.022529,-0.009185,-0.000495,0.087678,-0.073608,0.03539,-1.021075
188,0.047816,0.033827,-0.01748,-0.031293,0.022645,-0.013104,-0.540445,1.099825,0.385302,-0.853808,0.077131,0.028389,-0.082814,0.03032,-0.013764,0.00482,0.00633,0.165769,0.220988,-1.014707
189,0.046711,0.034575,-0.018271,-0.023567,0.011595,-0.025054,-4.665287,-1.964122,-1.689036,-0.896916,0.078158,0.027845,-0.082435,0.023175,-0.015105,0.014224,-0.057911,0.142117,0.17037,-1.016176
190,0.04606,0.034808,-0.019356,-0.008987,0.00455,-0.033678,-0.52774,1.00638,0.557379,-0.931044,0.079006,0.027311,-0.081794,0.023442,-0.012831,0.017058,0.111036,0.632792,0.481733,-1.021565
191,0.045922,0.034825,-0.020002,-0.001659,0.002634,-0.036479,-0.33219,0.736727,0.4043,-0.943781,0.079372,0.026994,-0.08138,0.015845,-0.016777,0.023048,4.694324,-2.179641,-0.957069,-1.021402
192,0.046043,0.034703,-0.02152,-0.001567,-0.003635,-0.043389,-1.842409,0.614664,-0.93581,-0.947046,0.079846,0.026311,-0.08031,0.00094,-0.018143,0.032465,4.864621,-1.657999,-0.891255,-1.020748
193,0.046034,0.034381,-0.023148,-0.001096,-0.009818,-0.04051,-0.384231,1.041836,-0.155076,-0.88271,0.080071,0.025597,-0.078926,0.009031,-0.020641,0.040381,0.092327,0.979281,0.385272,-1.023198
194,0.046353,0.034028,-0.024736,0.014206,-0.013017,-0.035989,-0.001323,0.309299,-0.585913,-0.900345,0.080123,0.024895,-0.077192,-0.005836,-0.015437,0.04669,0.60589,1.038178,-0.107968,-1.024504
195,0.04662,0.033773,-0.025426,0.014273,-0.013581,-0.036908,0.016071,0.445979,-0.73439,-0.901325,0.080085,0.024562,-0.076242,-0.005595,-0.012885,0.049627,0.18043,1.221007,0.036921,-1.022708
196,0.047188,0.033033,-0.026695,0.01487,-0.017204,-0.031287,-0.040699,0.421395,-0.539384,-0.898712,0.079983,0.024066,-0.074187,0.002387,-0.009493,0.053154,-0.120919,0.580438,-0.288762,-1.030219
197,0.048002,0.032243,-0.027695,0.030478,-0.018102,-0.024069,-1.577886,-0.146687,-1.252507,-0.916674,0.079849,0.023885,-0.072189,-0.005081,-0.007654,0.054799,-0.190741,0.314964,-0.28021,-1.032016
198,0.048496,0.03189,-0.028156,0.030558,-0.017204,-0.023284,0.184568,0.102698,-1.556165,-0.927125,0.079724,0.023783,-0.071109,-0.005069,-0.007619,0.054514,-0.048983,0.439803,0.020069,-1.02924
199,0.049459,0.031212,-0.028967,0.02314,-0.014392,-0.019559,0.322467,-0.419802,-1.216031,-0.934147,0.079401,0.023713,-0.069259,-0.012824,0.001825,0.043865,-0.01955,0.344667,-0.017938,-0.972414
200,0.050472,0.03059,-0.029563,0.031305,-0.015526,-0.011417,-1.242555,-1.062649,-1.821376,-0.945577,0.078975,0.024018,-0.067849,-0.013006,0.015873,0.028069,0.222355,0.525827,0.124736,-0.979599
201,0.051634,0.029931,-0.029779,0.024226,-0.016577,-0.001251,0.318175,-0.893767,-1.41817,-0.968601,0.078275,0.024587,-0.066784,-0.020718,0.018384,0.020261,-0.01021,-0.028676,0.003036,-0.990213
202,0.052158,0.029573,-0.029747,0.024198,-0.01476,0.000876,0.339634,-1.195054,-1.617163,-0.968274,0.077884,0.02496,-0.066482,-0.021035,0.020025,0.011735,0.035607,-0.030156,0.027142,-0.983845
203,0.052951,0.02898,-0.029487,0.01697,-0.015145,0.012115,-0.179391,-2.710983,1.048416,-0.897079,0.077073,0.02566,-0.066244,-0.021647,0.018474,-0.000209,0.041938,-0.080827,-0.042299,-0.985478
204,0.0535,0.028716,-0.028998,0.008457,-0.004167,0.015533,-0.307952,-3.06936,1.535558,-0.722685,0.076325,0.026157,-0.066275,-0.014586,0.013929,-0.005171,0.07846,-0.021205,-0.005237,-0.995928
205,0.053683,0.028682,-0.02869,0.008348,-0.002452,0.01757,0.235543,-1.230752,-0.485142,-0.633365,0.076007,0.02648,-0.066434,-0.014592,0.018784,-0.010068,0.02752,-0.083295,-0.242217,-0.999684
206,0.053898,0.028716,-0.028071,0.000682,-0.00261,0.018294,0.277659,-1.794687,-0.33885,-0.466809,0.075508,0.027376,-0.066938,-0.007042,0.023965,-0.014614,0.131782,-0.102792,0.03763,-0.998704
