frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
53,0.051197,0.040313,-0.01446,0.003562,-0.020477,0.025384,-0.08083,-0.57432,-0.455036,-0.864911,0.082356,0.024756,-0.06486,-0.005491,0.013069,-0.006895,-0.058094,-0.718299,-0.177716,-0.886197
54,0.051189,0.039527,-0.013702,-0.002121,-0.022709,0.016157,0.101104,-0.215061,-0.745235,-0.863442,0.082068,0.025185,-0.065007,-0.00531,0.009805,-0.000821,-0.09299,-0.257076,-0.127869,-0.885544
55,0.051169,0.039113,-0.013442,-0.001363,-0.025363,0.014053,-0.070285,-0.525885,-0.542341,-0.860666,0.081868,0.025441,-0.065005,-0.011307,0.013513,0.002041,-0.116694,-0.300276,-0.153361,-0.882768
56,0.051124,0.038349,-0.013122,-0.002988,-0.016761,0.004317,4.171316,-2.134791,2.751129,-0.863932,0.081517,0.025955,-0.064875,-0.010501,0.015983,0.004061,0.050482,-0.09218,0.191488,-0.884564
57,0.050917,0.037677,-0.013048,-0.009754,-0.015317,-0.002159,0.122294,0.178831,-0.256326,-0.862625,0.081262,0.026441,-0.064519,-0.009751,0.01447,0.011482,-0.000319,-0.012919,0.016366,-0.882931
58,0.050833,0.037405,-0.013108,-0.00308,-0.014808,-0.002643,1.443409,-0.650068,0.477577,-0.862952,0.081166,0.026697,-0.064307,-0.002721,0.014141,0.011376,0.000332,-0.028247,0.04558,-0.884564
59,0.050744,0.03697,-0.013294,-0.00315,-0.014624,-0.002539,-0.008453,-0.220892,-0.265198,-0.865728,0.081072,0.027228,-0.06383,0.003663,0.008032,0.015174,-0.033141,-0.024538,0.059476,-0.892565
60,0.050649,0.036576,-0.013564,0.002576,-0.009226,-0.007462,4.77639,-1.948305,2.11081,-0.861482,0.081158,0.027769,-0.063377,0.004173,0.013447,0.010781,0.008705,-0.030409,0.081044,-0.888973
61,0.05061,0.036387,-0.013713,-0.003993,-0.010159,-0.007443,0.021872,-0.291342,-0.307999,-0.85789,0.081241,0.028014,-0.063168,0.009991,0.005746,0.013357,-0.029522,-0.034474,0.091511,-0.889953
62,0.050635,0.036076,-0.013942,0.001807,-0.006364,-0.005266,-0.017046,0.010942,-0.01463,-0.851685,0.081424,0.028416,-0.062802,0.009896,0.009286,0.007512,0.327487,-0.050229,-0.278678,-0.88783
63,0.050693,0.035792,-0.014142,0.001829,-0.006434,-0.005353,-0.018148,0.006974,-0.017043,-0.851521,0.081682,0.028729,-0.062482,0.002879,0.009389,0.007362,-0.244879,-0.506579,-0.213886,-0.885217
64,0.050772,0.035529,-0.014336,0.002869,-0.011717,-0.001209,1.795095,1.329021,-1.653645,-0.852828,0.081946,0.028924,-0.062211,0.001899,0.006237,0.004857,-0.20242,-0.427965,-0.171704,-0.884564
65,0.050836,0.035408,-0.014417,0.007908,-0.003459,-0.003846,0.166204,0.121045,-0.146013,-0.85593,0.082019,0.028992,-0.062118,0.001163,0.003889,0.00302,3.662349,0.07256,-4.140842,-0.887177
66,0.051013,0.035255,-0.014538,0.001189,-0.004159,-0.003503,-0.013846,0.009777,-0.018933,-0.857237,0.082116,0.029082,-0.06204,0.000565,0.001902,0.001464,3.555739,-0.239931,-4.240518,-0.891912
67,0.051191,0.035161,-0.014631,0.007209,-0.000937,-0.001757,0.000673,-0.00855,-0.010451,-0.852338,0.082192,0.029082,-0.062014,-5.8e-05,-0.000182,-0.000144,0.012147,0.018318,0.00659,-0.894035
68,0.051247,0.035101,-0.014649,0.000654,-0.00227,-0.001923,0.071093,0.013678,0.079995,-0.852991,0.082169,0.029075,-0.06202,-0.000317,-0.00104,-0.000808,-0.049008,-0.20355,0.114026,-0.894361
69,0.051387,0.034997,-0.014656,0.007909,-0.004984,0.003462,0.472753,0.228191,0.310226,-0.85691,0.081981,0.029036,-0.061997,-0.006942,0.000174,-1.1e-05,0.002184,-0.067913,0.119542,-0.892402
70,0.051468,0.034937,-0.014651,0.000214,-0.000746,-0.000639,0.5181,0.992932,-0.145722,-0.863278,0.081701,0.02888,-0.061825,-0.007184,-0.004321,0.00498,-0.027763,0.025091,-0.036571,-0.893708
71,0.051488,0.034732,-0.014593,-0.00488,-0.00885,0.002129,1.203831,-0.300996,0.906184,-0.864258,0.081363,0.028622,-0.061529,-0.007543,-0.009176,0.009701,-0.314904,-0.530049,-0.160156,-0.894525
