frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
441,0.045697,0.035758,-0.030178,0.027461,0.001474,-0.001783,0.419691,-0.638407,-0.863298,-0.088301,0.067155,0.034687,-0.060626,0.006444,0.002759,-0.00615,0.03762,-0.04253,0.037395,-0.87542
442,0.046747,0.035779,-0.030253,0.027545,0.000837,-0.002495,0.200096,-0.322867,-0.620861,-0.034579,0.06748,0.034798,-0.060881,0.012907,0.001843,-0.006789,0.046009,-0.035588,0.077903,-0.872644
443,0.047265,0.035784,-0.030296,0.020741,-0.000264,-0.002792,-0.01236,-0.87666,-0.881398,-0.006819,0.06766,0.03487,-0.061038,0.013094,0.0064,-0.011681,0.080341,-0.029417,0.073478,-0.870848
444,0.048312,0.03579,-0.030384,0.027628,0.000453,-0.002983,0.225414,-0.395133,-0.446288,0.046087,0.068005,0.035025,-0.061353,0.012852,0.001652,-0.006921,0.045495,-0.054636,0.06921,-0.870521
445,0.049361,0.03579,-0.030471,0.027615,0.000925,-0.002571,0.276756,-0.512506,-0.506734,0.098013,0.068302,0.035196,-0.06164,0.006446,0.00281,-0.006112,0.042098,0.069358,0.068937,-0.872644
446,0.050328,0.035759,-0.030519,0.021457,-0.005135,0.001589,0.278624,-0.668884,-0.684307,0.13704,0.068556,0.035377,-0.061871,0.000418,0.005486,-0.004246,0.037054,-0.029637,0.008339,-0.874277
447,0.050788,0.035746,-0.030526,0.027499,0.002401,-0.001163,0.159569,-0.292251,-0.327453,0.148307,0.068662,0.035478,-0.061964,0.006931,0.004834,-0.004704,0.042346,-0.044057,0.037534,-0.875746
448,0.051626,0.035712,-0.030513,0.021357,-0.003796,0.002897,0.964555,-2.046965,1.602099,0.163493,0.068875,0.035634,-0.062121,0.006807,0.004362,-0.005028,0.040979,-0.04719,0.036034,-0.878359
449,0.052314,0.035679,-0.030458,0.013658,0.002024,0.000203,0.436343,-0.958599,-0.701221,0.167575,0.06912,0.035751,-0.062288,0.00678,0.004275,-0.005088,0.035088,-0.032162,0.044807,-0.876889
450,0.052599,0.035661,-0.030414,0.013527,0.002424,0.000882,-4.396601,-3.527441,-1.239907,0.167575,0.069245,0.035809,-0.062363,0.006804,0.004395,-0.005007,0.034639,-0.030321,0.042709,-0.879339
451,0.053013,0.03561,-0.030321,0.006767,0.001331,0.00042,-0.81569,-2.377952,-0.355915,0.163003,0.069505,0.035895,-0.062485,0.006423,-0.001012,-0.000722,0.007573,0.054644,0.062819,-0.880809
452,0.053225,0.035468,-0.030213,0.000778,-0.005843,0.003533,0.492912,-1.493584,0.182492,0.150756,0.06973,0.035945,-0.062559,0.006996,0.005253,-0.004412,0.047313,0.064714,0.098857,-0.879175
453,0.053222,0.035214,-0.030054,0.000718,-0.005354,0.004045,0.241573,-0.760439,-0.143442,0.128385,0.069881,0.035981,-0.062553,0.000385,0.001626,0.001117,0.007912,0.289019,0.164672,-0.879665
454,0.053149,0.035055,-0.029946,-0.006236,-0.005575,0.004749,0.402955,-0.906955,-0.517967,0.117281,0.069929,0.036017,-0.062535,0.000568,0.002394,0.001649,0.019595,0.05046,0.057724,-0.881135
455,0.052952,0.034758,-0.029676,-0.005631,-0.01014,0.00963,0.062644,-0.529056,0.02604,0.105688,0.069931,0.036129,-0.062457,0.000895,0.003791,0.002609,0.015237,0.050353,0.058508,-0.886197
456,0.05268,0.034486,-0.029312,-0.005923,-0.007881,0.011922,-0.024065,-0.560373,-0.000212,0.101932,0.069921,0.036299,-0.062341,0.001097,0.004638,0.003187,0.009877,-0.019931,0.018869,-0.883094
457,0.052513,0.034367,-0.02911,-0.005913,-0.008005,0.011794,0.204406,-1.084113,-0.078706,0.102095,0.069919,0.036395,-0.062274,0.000956,0.004047,0.002774,0.001068,-0.022368,0.020156,-0.883421
458,0.052105,0.034173,-0.028666,-0.013073,-0.007417,0.013311,-4.010536,-3.690094,-2.285685,0.104708,0.069903,0.036538,-0.062176,0.000662,0.002798,0.001913,-0.000525,-0.014812,0.025019,-0.884237
459,0.051653,0.034038,-0.028224,-0.006927,0.000122,0.010453,0.421469,-1.75063,0.530125,0.137856,0.06989,0.03655,-0.062126,-0.000122,-0.000505,-0.000345,-0.029315,0.519071,0.300002,-0.884238
460,0.051127,0.033926,-0.027764,-0.013736,-0.000882,0.01029,-0.016041,-0.671694,0.417039,0.177862,0.06983,0.036419,-0.062126,-0.000781,-0.003503,-0.002402,0.618177,-0.961336,2.503959,-0.881951
461,0.050857,0.033881,-0.027563,-0.013676,-0.001311,0.009843,0.07273,-0.565132,0.522982,0.190599,0.069812,0.036252,-0.062132,-0.00167,-0.010856,0.00055,0.021111,0.39552,0.463537,-0.879012
462,0.050253,0.033811,-0.027203,-0.01358,-0.001973,0.009147,0.150831,-0.541511,0.29023,0.21199,0.069729,0.035826,-0.062136,-0.001667,-0.010833,0.000558,-0.01309,0.045201,0.189572,-0.876563
