frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
370,0.056562,0.036289,-0.006129,-0.004263,-0.009513,-0.005579,-0.133713,0.615903,0.10164,-0.803677,0.071105,0.019311,-0.058317,0.000355,0.001836,0.001187,-7.2e-05,-4.5e-05,0.000124,-0.869868
371,0.056383,0.036015,-0.006454,-0.005156,-0.004792,-0.010633,-0.20739,0.75636,0.041768,-0.819353,0.071153,0.019376,-0.058232,0.000448,0.002317,0.001497,-2.7e-05,-2.8e-05,9.3e-05,-0.874603
372,0.056295,0.035856,-0.006607,-0.004936,-0.005623,-0.011192,0.033913,0.017286,-0.066029,-0.826865,0.071187,0.01941,-0.058193,0.00051,0.002637,0.001706,0.010143,0.021783,0.029535,-0.875256
373,0.056102,0.035492,-0.006985,-0.00427,-0.008122,-0.0129,0.031153,0.034449,-0.059682,-0.830294,0.071295,0.019476,-0.058084,0.007334,-0.002155,0.006679,0.07164,0.469713,0.166345,-0.876399
374,0.055883,0.035124,-0.007456,-0.004392,-0.007792,-0.012736,0.005684,0.109225,-0.032958,-0.835356,0.071448,0.019544,-0.057944,0.007453,-0.001484,0.007103,-0.030698,-0.004882,0.036948,-0.877869
375,0.05561,0.034836,-0.007988,-0.011118,-0.00887,-0.012819,-0.142107,0.561601,0.101534,-0.834539,0.07161,0.019607,-0.057802,0.000729,0.003822,0.002445,0.107313,0.464637,0.182958,-0.878685
376,0.055457,0.034729,-0.008257,-0.011516,-0.007485,-0.011895,0.034901,0.030083,-0.098051,-0.83307,0.071704,0.019632,-0.057732,0.007336,0.002165,0.001279,-0.002231,-0.030944,0.022902,-0.879829
377,0.055125,0.034568,-0.008759,-0.012924,-0.000842,-0.015626,0.066176,0.035387,-0.040254,-0.839112,0.071875,0.019664,-0.057568,0.007328,-0.002043,0.006731,-0.033692,-0.012556,0.038457,-0.880808
378,0.054759,0.034531,-0.009213,-0.007164,0.003735,-0.013211,0.068436,0.019568,-0.011347,-0.843847,0.072024,0.01967,-0.057426,0.000333,0.00179,0.001135,-0.000117,-0.000125,0.000303,-0.881625
379,0.054551,0.034553,-0.009417,-0.006591,4.1e-05,-0.007498,-0.06531,0.328347,0.086753,-0.845153,0.072085,0.01966,-0.057372,0.006942,-0.004048,0.005448,-0.035001,-0.003497,0.010973,-0.881462
380,0.054062,0.034629,-0.009827,-0.014277,0.004143,-0.012213,0.052956,0.067242,0.001162,-0.84597,0.072167,0.01964,-0.057301,9e-05,0.000493,0.000313,0.001416,0.003261,-0.002259,-0.881788
381,0.053514,0.034739,-0.010234,-0.014397,0.004612,-0.01189,0.067968,0.095266,-0.234335,-0.851358,0.072215,0.019611,-0.057259,-7e-06,-2.6e-05,-2e-05,-0.000349,-0.001218,-0.000159,-0.882931
382,0.052953,0.034846,-0.010561,-0.01466,0.005665,-0.011166,0.071503,0.014903,-0.019024,-0.853644,0.072233,0.019583,-0.057247,-6e-06,-2.6e-05,-1.7e-05,-9.5e-05,-8.8e-05,0.000192,-0.883584
383,0.052651,0.034872,-0.010692,-0.01377,0.000727,-0.006313,0.030893,0.037269,-0.063286,-0.857237,0.072233,0.019579,-0.057243,-0.0,-6e-06,-5e-06,-7.1e-05,-6.3e-05,0.000165,-0.883911
384,0.052106,0.03486,-0.010921,-0.006942,0.001323,-0.006617,0.040219,-0.05593,0.179962,-0.857727,0.07223,0.019576,-0.057214,0.000137,0.000728,0.000464,-5.9e-05,-4.1e-05,0.000109,-0.884237
