frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
646,0.057459,0.037465,-0.004653,-0.006255,0.001148,-0.014662,0.059354,0.034403,-0.03231,-0.833886,0.076479,0.020507,-0.060544,0.007583,0.004192,0.002582,0.006446,-0.025829,0.059381,-0.893545
647,0.057368,0.037431,-0.005156,0.000859,0.000241,-0.015883,0.060441,0.014764,-0.002286,-0.828171,0.076774,0.020695,-0.060415,0.00783,0.005856,0.003637,-0.017149,0.034901,-0.111189,-0.894688
648,0.057323,0.037362,-0.005409,0.00133,-0.00143,-0.01696,0.060834,0.025464,-0.030088,-0.831763,0.076947,0.020797,-0.060335,0.014593,0.005142,0.00304,0.008783,-0.041303,0.089734,-0.894525
649,0.057256,0.037119,-0.006049,0.002437,-0.005364,-0.019545,0.065138,-0.043604,0.157539,-0.834866,0.077342,0.020989,-0.060109,0.008043,0.003027,0.009923,-0.039423,-0.03749,0.062807,-0.894688
650,0.057167,0.036857,-0.006889,-0.003748,-0.007933,-0.020658,0.063751,0.044624,-0.061946,-0.842541,0.077861,0.021158,-0.059791,0.014889,0.003156,0.009836,-0.017994,0.003382,0.109863,-0.894688
651,0.056964,0.036485,-0.007701,-0.003463,-0.0091,-0.021537,0.064777,0.045505,-0.062604,-0.844173,0.078343,0.021366,-0.059389,0.015181,0.005452,0.011235,0.10973,0.326117,0.195067,-0.894198
652,0.056924,0.036283,-0.008061,-0.002818,-0.013078,-0.016102,-0.353494,0.655407,0.128835,-0.84499,0.078564,0.021483,-0.059144,0.008582,0.007237,0.012462,-0.035257,0.052413,-0.084405,-0.894688
653,0.056842,0.035957,-0.008783,-0.004435,-0.005781,-0.019497,0.066942,0.042187,-0.063651,-0.845643,0.078998,0.021727,-0.058643,0.015218,0.006313,0.011678,0.107777,0.312707,0.19518,-0.895341
654,0.056604,0.035601,-0.009404,-0.003956,-0.009247,-0.013726,0.031754,0.040059,-0.087173,-0.847929,0.079409,0.02202,-0.058217,0.008436,0.011395,0.006853,-0.011553,0.002366,-0.080676,-0.894688
655,0.056503,0.035403,-0.009638,-0.004435,-0.007574,-0.012627,0.221715,0.187934,-0.161002,-0.848419,0.079598,0.022187,-0.058021,0.008435,0.00697,0.012131,0.176188,0.596759,0.021704,-0.894525
656,0.056326,0.0351,-0.010044,-0.005217,-0.004834,-0.010804,0.026338,0.020935,-0.029741,-0.848746,0.080009,0.022548,-0.057702,0.008139,0.009751,0.005757,0.004501,-0.036619,0.084618,-0.894198
657,0.055891,0.034782,-0.010441,-0.011595,-0.007235,-0.011764,0.02573,0.037146,-0.059686,-0.852664,0.080401,0.022878,-0.057492,0.007825,0.007734,0.004496,-0.007717,0.009477,-0.10301,-0.892402
658,0.055439,0.034403,-0.010786,-0.011238,-0.0103,-0.005657,-0.006133,0.050707,-0.112297,-0.858053,0.080782,0.023183,-0.057317,0.007842,0.008096,0.00468,0.01125,0.065196,-0.087264,-0.892402
659,0.055226,0.034297,-0.010945,-0.012718,-0.003274,-0.00907,0.029809,0.040284,-0.061903,-0.860176,0.080968,0.02332,-0.057233,0.00777,0.003043,0.009603,-0.045458,0.026894,-0.126079,-0.892239
660,0.054724,0.034154,-0.011229,-0.013066,-0.002037,-0.008223,0.030814,0.030001,-0.035019,-0.859196,0.081346,0.023561,-0.057063,0.007558,0.006301,0.003568,-0.003031,-0.035929,0.054882,-0.892729
661,0.054132,0.034078,-0.011588,-0.013233,-0.001444,-0.007815,0.017881,0.054772,-0.022439,-0.861972,0.081654,0.023706,-0.056835,0.000827,0.001675,0.008915,0.019802,0.153324,0.052728,-0.892892
662,0.053816,0.034112,-0.011798,-0.014475,0.004845,-0.011721,0.070833,0.021346,-0.014211,-0.860013,0.081783,0.023764,-0.056727,0.00733,0.000122,0.007821,0.136539,0.434721,0.15648,-0.892402
663,0.053263,0.034259,-0.012192,-0.014436,0.004724,-0.011808,0.057773,0.046318,-0.001567,-0.861156,0.081986,0.023841,-0.056532,0.007107,0.00306,0.001568,-2.195369,1.216139,-1.111202,-0.892892
664,0.05269,0.034462,-0.012744,-0.014086,0.00339,-0.012738,0.015842,0.119463,0.028466,-0.85838,0.082091,0.023862,-0.056367,0.000301,0.002384,0.001397,0.000874,-0.010641,0.026839,-0.890443
665,0.052437,0.034583,-0.01305,-0.014722,0.007367,-0.018244,0.021661,0.118545,0.234923,-0.857563,0.08212,0.023859,-0.056311,0.000142,0.001134,0.000661,9.3e-05,-0.000296,-0.000392,-0.891422
666,0.052013,0.034841,-0.013704,-0.007883,0.007954,-0.018559,-0.248931,0.622474,0.251747,-0.861156,0.082118,0.02387,-0.056275,7.7e-05,0.000607,0.000353,0.000122,-1.1e-05,-0.000253,-0.892075
