frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
524,0.053036,0.045365,-0.015125,0.013869,-0.01424,0.043758,-0.17856,0.246826,-0.954807,-0.223669,0.081341,0.037783,-0.079351,0.001816,0.012954,-0.006374,0.070641,0.092937,-0.120674,-0.578884
525,0.053447,0.044797,-0.01349,0.008001,-0.016608,0.042752,-0.002811,-0.132776,-1.01712,-0.235263,0.081446,0.038292,-0.079509,0.002774,0.01589,-0.003817,0.065495,-0.06612,0.047602,-0.578557
526,0.053594,0.044497,-0.012692,0.00714,-0.012254,0.037955,0.345146,0.841201,-1.190812,-0.235426,0.081527,0.038595,-0.079569,0.003081,0.016835,-0.003001,0.070453,-0.037683,0.068834,-0.578068
527,0.053736,0.043894,-0.011223,0.001744,-0.015977,0.036012,-0.114809,-0.006635,-0.725425,-0.234936,0.08172,0.039222,-0.079644,0.010034,0.016739,-0.002818,0.020921,-0.486686,-0.168648,-0.576925
528,0.053763,0.043372,-0.009969,0.001179,-0.012489,0.030581,-1.381521,0.450115,-1.50562,-0.233793,0.081885,0.039912,-0.079672,0.004054,0.01988,-0.000415,0.07072,0.056766,-0.07415,-0.577904
529,0.053753,0.043155,-0.009428,0.001721,-0.014144,0.02941,0.300678,2.17983,-2.847053,-0.232814,0.081961,0.040262,-0.079647,0.004221,0.020397,6e-06,-0.003206,-0.678503,-0.342115,-0.578068
530,0.05373,0.04276,-0.008513,0.000461,-0.006771,0.018825,1.567938,1.869326,-1.705561,-0.230201,0.082052,0.040929,-0.079499,0.004189,0.016635,0.00544,0.032092,-0.08154,0.079202,-0.577904
531,0.053689,0.042393,-0.007846,0.00066,-0.005577,0.011821,0.043779,0.367561,-0.476418,-0.229874,0.082058,0.041549,-0.079183,-0.001717,0.019752,0.007736,0.03379,-0.041741,0.065322,-0.58068
532,0.053659,0.042048,-0.007415,0.002026,-0.00973,0.008964,-0.370624,0.84861,0.06461,-0.230201,0.081998,0.042098,-0.078693,-0.002407,0.010208,0.016832,-0.029446,0.11631,-0.119319,-0.581497
533,0.053661,0.041878,-0.007282,0.002415,-0.010903,0.008164,-0.232649,0.469847,0.014297,-0.231344,0.081938,0.042397,-0.078387,-0.008485,0.012635,0.018535,-0.035586,0.003993,0.000469,-0.58166
534,0.05365,0.041618,-0.007159,0.000372,-0.00119,-0.000831,1.413451,2.302457,-1.551442,-0.232977,0.081795,0.043006,-0.077719,-0.001143,0.013966,0.019669,-0.031952,0.080456,-0.110136,-0.580517
535,0.053613,0.041518,-0.007151,0.000354,-0.001159,-0.000819,1.202073,2.766909,-1.35799,-0.233467,0.081627,0.043641,-0.076952,-0.006965,0.01693,0.021632,-0.032413,0.07809,-0.115227,-0.577415
536,0.053573,0.041491,-0.007176,-0.005685,-0.002909,-0.001298,-0.364548,1.169074,0.253777,-0.23265,0.081524,0.043986,-0.076543,-0.006653,0.017768,0.022176,-0.072577,0.0215,0.00831,-0.577251
537,0.053422,0.041389,-0.007226,-0.005778,-0.002617,-0.001092,-0.314465,1.082292,-0.058038,-0.232324,0.081345,0.044651,-0.075659,-0.006235,0.018819,0.022729,-0.030534,-0.037206,0.050218,-0.573822
538,0.053218,0.041283,-0.007268,-0.005786,-0.002624,-0.0011,-0.420448,1.513552,0.20513,-0.23265,0.081239,0.045176,-0.074639,-0.000273,0.01264,0.026082,-0.063036,-0.004218,0.082593,-0.56925
539,0.053088,0.041222,-0.007294,-0.011739,-0.00469,-0.001816,-0.275915,1.269816,0.046627,-0.23314,0.081196,0.045382,-0.074084,-0.000823,0.007344,0.030097,-0.097822,-0.015589,0.042981,-0.56876
540,0.052814,0.041084,-0.007349,-0.005524,-0.00345,-0.001678,-0.189254,1.549021,0.050715,-0.232813,0.081195,0.045605,-0.072883,-0.001583,0.001433,0.033528,-0.130543,0.049558,0.060841,-0.562065
541,0.052629,0.040931,-0.007417,-0.005156,-0.004586,-0.002464,1.296394,0.828237,0.724766,-0.230364,0.081308,0.045509,-0.071562,0.004275,-0.001082,0.031564,-0.111779,0.208689,0.199471,-0.551288
542,0.052498,0.040717,-0.007532,0.001472,-0.004604,-0.0032,-0.112197,0.553539,-0.167071,-0.229874,0.081455,0.045191,-0.070185,0.002673,-0.013078,0.038763,-0.15215,0.468918,0.311281,-0.550308
543,0.052452,0.04061,-0.007592,0.00135,-0.004226,-0.002942,-0.081607,0.483587,-0.202248,-0.230364,0.081536,0.044955,-0.069464,0.002448,-0.013741,0.038236,-0.05826,0.292847,0.059324,-0.548185
544,0.052472,0.040438,-0.007714,0.001491,-0.004675,-0.003269,-0.100682,0.507579,0.273433,-0.231181,0.081721,0.044353,-0.068014,0.008053,-0.017008,0.035926,0.2577,0.664174,0.082557,-0.542634
545,0.052541,0.040252,-0.007839,0.001313,-0.004112,-0.002888,-0.025023,0.072953,0.016751,-0.231017,0.081893,0.043697,-0.066562,0.001686,-0.016051,0.036499,-0.207503,0.094279,-0.00767,-0.547042
546,0.052593,0.040104,-0.007938,0.001247,-0.003909,-0.002751,0.421816,0.319765,0.360737,-0.23216,0.082058,0.043083,-0.065195,0.001623,-0.01624,0.036343,0.196482,0.094978,-0.090695,-0.541164
547,0.052602,0.040026,-0.007985,0.001153,-0.003617,-0.002547,-0.061551,0.521256,0.301363,-0.23265,0.082135,0.042785,-0.064509,0.001705,-0.015976,0.036514,-0.191847,0.198427,0.091276,-0.541001
548,0.052606,0.039889,-0.008077,0.000845,-0.00266,-0.001878,-0.063547,0.624933,0.368637,-0.233303,0.082298,0.042278,-0.063148,0.008881,-0.010682,0.032213,-0.175989,0.012184,0.041375,-0.543123
549,0.052577,0.039792,-0.008139,0.000438,-0.001372,-0.00097,-0.035067,0.207775,0.132132,-0.233957,0.082479,0.041916,-0.061875,0.003082,-0.007899,0.033995,4.220501,1.439288,-3.029104,-0.549165
550,0.052536,0.039749,-0.008164,0.000446,-0.001394,-0.000984,-0.03172,0.121148,0.074988,-0.23461,0.082587,0.04178,-0.061219,0.003488,-0.006614,0.034769,-0.173433,0.020462,0.013616,-0.551288
551,0.052406,0.039654,-0.008212,-0.00577,-0.002835,-0.001264,-0.038664,0.179425,0.071063,-0.2351,0.082835,0.041598,-0.059916,0.010567,-0.001413,0.030232,1.190649,0.484731,-0.841628,-0.55537
552,0.052245,0.039545,-0.008268,-0.005664,-0.003181,-0.001508,-0.029497,0.071193,0.007272,-0.235916,0.083113,0.041454,-0.058605,0.003891,-0.00514,0.035437,-0.127709,0.478448,0.036302,-0.556023
