frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
328,0.05474,0.041578,-0.005147,-0.000122,0.000343,0.000229,0.140362,-1.145981,-0.46561,0.001835,0.075517,0.026355,-0.054612,-0.001402,-0.00766,0.002758,-0.036855,0.0309,-0.041251,-0.635546
329,0.054904,0.041648,-0.005108,0.005864,0.002236,0.000819,0.129383,-0.999447,-0.335168,0.019634,0.07545,0.026038,-0.054486,-0.001405,-0.007662,0.002754,-0.029589,-0.068864,0.163243,-0.63179
330,0.055059,0.041716,-0.005063,0.006914,-0.00268,0.005289,0.004023,-1.14743,-0.262936,0.034493,0.075371,0.02571,-0.054351,-0.001305,-0.007378,0.002967,-0.033689,-0.06598,0.16057,-0.630321
331,0.055131,0.041735,-0.005041,0.005982,0.001875,0.000573,0.053251,-1.173428,-0.292346,0.045434,0.075325,0.025533,-0.054267,-0.001296,-0.007351,0.002986,-0.032238,-0.066712,0.161657,-0.629994
332,0.055283,0.041727,-0.00501,0.00613,0.001432,0.00027,0.190991,-1.353636,-0.344757,0.076622,0.075247,0.025221,-0.05412,-0.001122,-0.00685,0.003355,-0.035869,0.018297,-0.015605,-0.628035
333,0.055383,0.041635,-0.004946,0.006065,0.001626,0.000398,0.253205,-1.442181,-0.380475,0.090175,0.075178,0.025018,-0.053974,-0.000472,-0.004994,0.004734,-0.03563,0.017898,-0.015065,-0.622809
334,0.055418,0.041548,-0.004884,0.001394,-0.005958,0.003763,-1.050617,-1.295928,-1.513977,0.091971,0.075154,0.024955,-0.053894,-0.000385,-0.004752,0.004913,1.90806,-1.396918,1.614847,-0.619707
335,0.055512,0.041389,-0.004752,0.001189,-0.005353,0.004172,-0.93231,-1.369833,-1.649623,0.102259,0.075133,0.024866,-0.053784,-0.000463,-0.004979,0.004747,-0.035499,0.018155,-0.015601,-0.612032
336,0.055559,0.041225,-0.004572,0.000623,-0.003686,0.0053,0.044699,-1.807001,-0.795999,0.108627,0.075132,0.024831,-0.053734,9e-06,3.1e-05,2.2e-05,-0.000346,-0.000154,0.000347,-0.608276
337,0.055582,0.041067,-0.004351,0.000497,-0.003306,0.005562,0.070809,-1.678407,-0.545587,0.119404,0.07514,0.02481,-0.053717,-7.7e-05,-0.000217,-0.00016,-0.003625,0.001826,-0.001702,-0.606153
338,0.055585,0.041008,-0.004238,0.000257,-0.002584,0.00605,0.361926,-1.66998,-0.117288,0.122997,0.075147,0.024788,-0.053708,-0.000526,-0.005167,0.004607,-0.03529,0.018255,-0.015818,-0.605827
339,0.055596,0.040912,-0.003959,-0.000205,-0.001207,0.006982,0.390179,-1.546995,-0.015969,0.133447,0.075144,0.02475,-0.053673,-0.000488,-0.005057,0.004691,-0.034743,0.018028,-0.015625,-0.603378
340,0.055587,0.040838,-0.003639,-0.000361,-0.000581,0.00734,-2.753903,0.227473,-3.934008,0.165289,0.075141,0.02472,-0.053645,2.5e-05,7.7e-05,5.8e-05,-0.000132,-5.3e-05,0.000158,-0.602071
341,0.055584,0.040802,-0.00347,0.000573,-0.005303,0.012022,0.228404,-1.065652,0.221263,0.175576,0.075135,0.024717,-0.05364,-3e-06,-1e-06,-0.0,-0.000117,-6e-05,0.000117,-0.601581
342,0.055582,0.040714,-0.003121,-0.000422,-0.000562,0.007403,0.191615,-0.807123,0.447131,0.184231,0.075136,0.024706,-0.053649,-2.2e-05,-6.4e-05,-4.7e-05,-0.00081,0.00048,-0.000576,-0.600112
343,0.055576,0.04053,-0.002745,0.001121,-0.006718,0.011003,-2.465816,1.04614,-4.288246,0.187823,0.075149,0.024696,-0.053656,0.000227,0.000645,0.000479,-0.000153,-5.7e-05,0.000154,-0.599295
344,0.055627,0.040213,-0.002319,0.001499,-0.008071,0.01019,-0.004147,-0.188666,0.100629,0.185864,0.075153,0.024706,-0.053648,1.3e-05,3.8e-05,2.8e-05,-8.5e-05,-5.6e-05,0.000107,-0.599459
345,0.05568,0.040019,-0.002088,0.002786,-0.013686,0.014244,0.879025,-0.060538,-0.677237,0.18521,0.075152,0.024704,-0.05365,-0.000171,-0.000485,-0.000359,-7.3e-05,-3.3e-05,8.7e-05,-0.599459
346,0.05581,0.039577,-0.001575,0.001343,-0.007612,0.010512,0.112229,-0.317591,-0.440947,0.184067,0.075145,0.0247,-0.053653,2e-06,2e-06,1e-06,-4.4e-05,-2.4e-05,6.5e-05,-0.599785
347,0.05605,0.039132,-0.000998,0.007201,-0.005288,0.011395,-0.011121,-0.139175,-0.057057,0.182434,0.075148,0.024707,-0.053647,1e-05,3.1e-05,2.2e-05,-3.9e-05,-1.9e-05,3e-05,-0.600765
348,0.056197,0.038929,-0.000689,0.008074,-0.009663,0.016297,-0.073032,-0.08094,-0.044361,0.181781,0.075148,0.024707,-0.053647,-3e-06,-6e-06,-5e-06,-3.6e-05,-3e-06,3.5e-05,-0.601255
349,0.056496,0.038555,-4.3e-05,0.007811,-0.008875,0.016831,0.143036,-0.530095,-0.308405,0.180312,0.075143,0.024708,-0.053647,-1e-06,-2e-06,-2e-06,-3e-05,1e-06,3.4e-05,-0.601418
350,0.056782,0.03828,0.000584,0.007369,-0.007566,0.017703,-0.060074,-0.118485,-0.033225,0.177372,0.075147,0.024704,-0.05365,-8.5e-05,-0.000245,-0.000183,-3.7e-05,1e-05,3.2e-05,-0.602071
351,0.057025,0.038162,0.001128,0.006132,-0.002141,0.013473,-0.021722,-0.117252,-0.04182,0.166922,0.075155,0.024701,-0.053658,2e-06,-0.0,-0.0,-1.8e-05,9e-06,3.1e-05,-0.602071
352,0.057112,0.038156,0.001364,-0.001186,0.001603,0.008789,-0.016735,-0.045322,-0.013929,0.15941,0.075161,0.024704,-0.053662,4e-06,6e-06,4e-06,-2.1e-05,-2e-06,2.1e-05,-0.602235
353,0.057223,0.038268,0.001721,0.004821,0.003462,0.009329,-0.780177,-0.506716,0.253371,0.143081,0.075172,0.024705,-0.053661,-2e-06,-2e-06,-0.0,-1.9e-05,-5e-06,1.6e-05,-0.602561
354,0.057239,0.038525,0.001933,-0.002361,0.006833,0.004384,-0.74154,-0.501725,0.265278,0.116955,0.075172,0.024709,-0.053664,0.0,-1e-06,-2e-06,-2.2e-05,0.0,1.4e-05,-0.602888
355,0.057198,0.038665,0.002,-0.003213,0.011133,-0.000587,-0.003476,-0.142114,0.240333,0.100952,0.075172,0.024709,-0.053664,-1e-06,-1e-06,0.0,-2.8e-05,3e-06,1e-05,-0.602888
356,0.057083,0.038864,0.002085,-0.00136,0.003947,0.002523,0.061191,-0.121857,-0.038038,0.057191,0.07517,0.024717,-0.053659,4.9e-05,0.00014,0.000105,-9e-06,-5e-06,1.7e-05,-0.603704
357,0.056919,0.03891,0.002123,-0.00599,-0.001839,-0.00054,-0.002481,0.016821,-0.027355,-0.017597,0.075171,0.024721,-0.053656,0.000236,0.00067,0.000496,0.000972,-0.012435,0.025989,-0.60501
358,0.056679,0.03877,0.002056,-0.005205,-0.004142,-0.002004,-0.009047,0.029521,-0.019829,-0.128144,0.075179,0.024726,-0.053652,2.1e-05,6.3e-05,4.6e-05,-6e-06,4e-06,1.5e-05,-0.605664
359,0.056582,0.038694,0.002013,-0.005331,-0.003781,-0.001778,-0.003491,0.018331,-0.026828,-0.176968,0.075184,0.024725,-0.053652,-3e-06,-1.1e-05,-8e-06,-5e-06,-1e-06,1.3e-05,-0.605664
360,0.056409,0.038594,0.001946,-0.005634,-0.002905,-0.001222,0.000841,0.016983,-0.029581,-0.260246,0.07519,0.024728,-0.053651,1e-06,4e-06,2e-06,-1.2e-05,-6e-06,-3e-06,-0.60648
361,0.056285,0.038517,0.001866,-0.005289,-0.003932,-0.001879,-0.003784,0.02881,-0.054305,-0.327359,0.075192,0.024733,-0.053646,9.8e-05,0.00028,0.000207,-1e-06,-9e-06,7e-06,-0.608276
362,0.056239,0.038485,0.001822,0.000727,-0.002151,-0.00137,-0.001811,0.013602,-0.025083,-0.356751,0.075192,0.024735,-0.053645,0.000236,0.000672,0.000497,0.000979,-0.012436,0.025982,-0.60893
363,0.056174,0.038431,0.001715,0.000899,-0.002662,-0.001701,-0.024019,0.04942,0.028081,-0.401329,0.075203,0.024732,-0.053641,-3e-06,-8e-06,-9e-06,-1.3e-05,-6e-06,-1.1e-05,-0.609746
364,0.056118,0.038348,0.001532,0.000483,0.000359,-0.007491,0.016045,0.046332,0.017164,-0.456195,0.075237,0.024719,-0.053643,0.006616,-0.001577,-0.001012,0.000991,-0.014729,0.029551,-0.611706
365,0.056095,0.038286,0.001238,0.000973,-0.001094,-0.00844,0.014947,0.048282,0.017975,-0.551393,0.075314,0.024704,-0.05364,0.006934,-0.000665,-0.000333,0.00184,-0.027162,0.055622,-0.617747
366,0.05609,0.038275,0.001029,0.00148,-0.002598,-0.009429,-0.328696,0.739356,0.390214,-0.600707,0.075368,0.024694,-0.053621,0.007104,-0.000177,2.7e-05,0.001895,-0.027181,0.055623,-0.625422
367,0.056081,0.038328,0.000509,0.000515,0.00208,-0.014163,-0.145172,0.358364,0.424696,-0.673535,0.075541,0.024682,-0.053557,0.007603,0.00127,0.001093,0.001926,-0.027151,0.0556,-0.660203
368,0.056048,0.038469,-0.000163,-0.005911,0.003216,-0.020564,1.762757,2.470565,-0.297358,-0.747669,0.075785,0.024704,-0.053428,0.008213,0.003059,0.002404,0.351073,0.216539,-0.456847,-0.694004
369,0.055986,0.038522,-0.000564,-0.005286,0.001575,-0.02173,2.4516,-0.387506,5.050956,-0.788655,0.075934,0.024733,-0.053341,0.008072,-0.001007,0.007816,0.074501,0.31558,0.23034,-0.703965
370,0.055801,0.038619,-0.001476,-0.000231,0.007877,-0.025988,-0.39766,1.175242,0.301276,-0.83013,0.076303,0.024852,-0.053165,0.015104,-0.001243,0.007761,-0.688253,0.388008,-0.384162,-0.725193
371,0.055545,0.038776,-0.002467,-0.006193,0.005773,-0.026745,0.036073,1.021536,0.113343,-0.853481,0.076743,0.025038,-0.053004,0.009108,0.005838,0.004376,0.034388,-0.023489,0.023756,-0.744134
372,0.055417,0.038882,-0.002987,-0.006378,0.006316,-0.026397,-0.158911,0.997186,-0.294935,-0.860013,0.076988,0.025144,-0.052923,0.015828,0.004749,0.003694,0.346486,0.10077,-0.252476,-0.750013
373,0.055171,0.039124,-0.004044,-0.004989,0.000484,-0.022597,3.282352,-0.188933,4.006045,-0.854624,0.077475,0.025365,-0.052738,0.009388,0.006837,0.005041,-0.009164,-0.032078,0.073455,-0.755238
374,0.054885,0.039273,-0.005017,-0.005113,0.000645,-0.022499,0.100521,0.985422,0.265256,-0.852664,0.077977,0.025562,-0.052546,0.00877,0.001601,0.00952,3.706106,1.566549,-3.684782,-0.758177
375,0.054609,0.039366,-0.00592,-0.005583,0.002012,-0.021603,-0.120739,0.831606,-0.255701,-0.842214,0.078487,0.025727,-0.052354,0.01555,0.004388,0.003315,0.003496,-0.054492,0.111847,-0.75981
376,0.054496,0.039393,-0.006307,-0.004844,-0.002024,-0.016524,-0.091457,0.596821,-0.158046,-0.846459,0.078737,0.025791,-0.052255,0.015506,0.004327,0.003252,-0.002747,0.030454,-0.067274,-0.760626
377,0.054316,0.039326,-0.006923,-0.00426,-0.005639,-0.011178,0.019343,0.202681,-0.15846,-0.848582,0.079223,0.025886,-0.052028,0.00852,0.000902,0.008979,-0.037677,0.062235,-0.112617,-0.762749
378,0.054178,0.039113,-0.007298,-0.003651,-0.009339,-0.005874,-0.010664,0.04076,-0.080659,-0.853808,0.079691,0.025949,-0.051762,0.015434,0.004382,0.003224,0.010489,-0.037534,0.075919,-0.763892
