frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
101,0.051145,0.042734,-0.018583,0.006437,0.000936,6.2e-05,-0.248717,-0.489499,-0.364844,-0.200155,0.075417,0.025862,-0.064923,0.013234,-0.00708,0.003033,0.007667,-0.056935,0.083137,-0.910201
102,0.051381,0.042623,-0.018485,0.006371,0.001459,0.000494,0.286082,-0.769411,-0.312718,-0.165375,0.075984,0.025684,-0.064901,0.020253,-0.002552,-0.001975,0.001272,-0.044268,0.089055,-0.907098
103,0.051493,0.042518,-0.018399,0.007121,-0.004276,0.004174,0.05272,-0.557443,-0.252741,-0.159169,0.076261,0.025626,-0.064908,0.013515,-0.001635,-0.001275,0.026925,-0.035027,0.023687,-0.906282
104,0.05176,0.042211,-0.018172,0.007988,-0.010879,0.007141,0.028271,-0.311598,-0.006946,-0.148392,0.076822,0.025509,-0.064922,0.013387,-0.002307,-0.00181,0.001769,-0.013948,0.031242,-0.910364
105,0.052061,0.041829,-0.017877,0.007841,-0.009584,0.00823,0.024956,-0.293694,0.010032,-0.108386,0.077424,0.025307,-0.064888,0.020237,-0.00268,-0.002113,0.008765,-0.03258,0.089381,-0.916569
106,0.0522,0.041636,-0.017726,0.007959,-0.01047,0.007498,-0.434591,-0.145761,-0.197733,-0.089934,0.077678,0.025167,-0.064824,0.013315,-0.006925,0.003118,-0.035399,-0.009527,0.042619,-0.916732
107,0.052513,0.041249,-0.017486,0.00732,-0.005598,0.003084,1.392022,1.574069,-1.497634,-0.060869,0.078165,0.024789,-0.064582,0.013218,-0.011746,0.007901,0.460775,-0.56519,0.507263,-0.904975
108,0.052805,0.040909,-0.017282,0.007349,-0.00567,0.003031,0.003499,0.024305,-0.045348,-0.042907,0.078518,0.024344,-0.064199,0.00651,-0.014883,0.014026,0.413364,-0.543606,0.451169,-0.903669
109,0.053139,0.04056,-0.017063,0.008158,-0.011433,0.00675,-4.028251,-0.204695,-3.93355,-0.025598,0.078714,0.023901,-0.063718,3e-06,-0.012846,0.015681,3.240122,-0.543696,-4.388768,-0.900893
110,0.053331,0.040384,-0.016942,0.00806,-0.010758,0.007288,0.088914,-0.335611,-0.258519,-0.017433,0.07879,0.023695,-0.063481,0.00678,-0.009219,0.009907,-0.075941,0.023331,-0.01304,-0.893872
111,0.053736,0.039995,-0.016674,0.007389,-0.0057,0.003006,0.263964,-0.635512,-0.4708,-0.006493,0.078886,0.023269,-0.063036,-0.000157,-0.009303,0.009871,0.464619,-0.62039,0.625211,-0.897464
112,0.054178,0.039638,-0.016441,0.013814,-0.004034,0.003661,-0.009398,-0.375793,-0.094367,-0.007636,0.078969,0.022732,-0.0626,-0.0007,-0.016562,0.012815,-0.107219,-0.039895,0.122556,-0.902363
113,0.05439,0.039504,-0.016326,0.008015,-0.010069,0.007876,0.229585,-0.600026,-0.450357,-0.010575,0.079026,0.022409,-0.06237,0.006073,-0.017584,0.012014,0.094812,0.178179,0.480543,-0.900403
114,0.054818,0.039324,-0.016112,0.013643,-0.002642,0.004814,-0.343161,-0.085035,-0.389218,-0.011555,0.079147,0.021785,-0.061943,0.006041,-0.017863,0.011816,-0.006457,-0.026907,0.329301,-0.898607
115,0.055253,0.039204,-0.015941,0.013709,-0.003009,0.004502,-1.085699,-0.164386,-1.300092,-0.007472,0.079283,0.021259,-0.061522,0.006525,-0.01096,0.008611,1.029583,-0.184112,-0.918227,-0.902199
