frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
419,0.056869,0.033073,-0.016471,0.00838,-0.011787,0.01515,0.012831,-0.133471,-0.122089,-0.102018,0.079333,0.030517,-0.063556,-0.000316,-0.001724,-0.001294,5e-05,1e-06,-4.5e-05,-0.901546
420,0.057058,0.032915,-0.016235,0.007731,-0.007148,0.010442,0.315307,-0.403204,-0.268064,-0.050255,0.079317,0.030486,-0.063579,-0.00023,-0.00126,-0.000948,4e-05,1.4e-05,-3.1e-05,-0.901873
421,0.057359,0.032501,-0.015785,0.00797,-0.008667,0.009149,-0.006553,-0.171631,0.092725,0.006081,0.079308,0.030433,-0.063613,-0.00025,-0.001365,-0.001028,2.8e-05,5e-06,-2.1e-05,-0.901873
422,0.057573,0.032093,-0.015352,0.008512,-0.012487,0.014578,0.424655,-0.544123,-0.36777,0.036289,0.079299,0.030384,-0.06365,-0.000249,-0.001349,-0.001017,7e-06,1e-06,-2.8e-05,-0.896974
423,0.057836,0.031739,-0.014865,0.001038,-0.007528,0.010935,0.16373,-0.248919,-0.200909,0.092461,0.079291,0.030342,-0.063682,-0.000166,-0.0009,-0.000678,3e-06,6e-06,-2e-05,-0.893545
424,0.057952,0.031526,-0.014621,0.008704,-0.01363,0.013627,0.213226,-0.344484,-0.314079,0.116955,0.079288,0.030325,-0.063694,-0.00019,-0.001041,-0.000786,1.2e-05,-9e-06,-3e-06,-0.893872
425,0.058111,0.031117,-0.014194,0.001219,-0.008696,0.009955,0.23548,-0.310918,-0.215167,0.147,0.079282,0.03029,-0.063721,-0.000148,-0.000804,-0.000607,3e-06,1.7e-05,1e-06,-0.894035
426,0.058255,0.030848,-0.013784,0.006776,-0.00038,0.00756,-0.045836,-0.013164,0.033293,0.207744,0.079278,0.030242,-0.063757,-0.000235,-0.001283,-0.000972,2e-06,-6e-06,-0.0,-0.894361
427,0.058301,0.030771,-0.013607,0.001012,-0.007336,0.011122,-0.07223,0.008012,-0.012979,0.242035,0.079274,0.030224,-0.063777,-0.00019,-0.001038,-0.000785,2e-06,7e-06,-3e-06,-0.894525
428,0.05835,0.030629,-0.013282,0.000223,-0.001885,0.007069,-0.02729,-0.015223,-0.013916,0.28792,0.079272,0.030186,-0.063806,-0.000201,-0.001099,-0.000831,5e-06,-5e-06,-2e-06,-0.894362
