frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
2499,0.031773,0.05043,-0.001304,0.005336,0.002036,-0.006187,0.032222,-0.017641,0.027639,0.109607,0.110447,0.042529,-0.054339,-0.006536,0.007242,-0.010485,1.400504,-2.228305,0.645202,0.174865
2500,0.031851,0.050417,-0.001393,0.005338,0.001672,-0.006372,0.978519,1.776754,-1.850813,0.210357,0.110341,0.042602,-0.054493,-0.006213,0.000657,-0.006702,1.289461,-2.125445,0.491749,0.247856
2501,0.032069,0.05039,-0.0016,0.011069,0.001434,-0.006887,0.060829,0.01838,0.003463,0.309148,0.110142,0.042761,-0.054876,-0.00648,0.005958,-0.011142,-0.291513,-1.133565,-1.21396,0.315132
2502,0.032453,0.050402,-0.001831,0.016797,0.001476,-0.007271,0.048843,-0.056853,0.082046,0.380833,0.109887,0.042936,-0.055281,-0.006477,0.005581,-0.011335,-0.248657,-0.932182,-0.72615,0.3344
2503,0.032709,0.050429,-0.001959,0.016791,0.002158,-0.006938,0.040642,-0.046934,0.083593,0.410715,0.109737,0.042981,-0.055442,-0.006496,0.006087,-0.011064,-0.225932,-0.974674,-0.515629,0.339625
2504,0.033381,0.050452,-0.002189,0.017266,-0.003673,-0.003047,0.01476,-0.042988,0.060582,0.461008,0.109283,0.043231,-0.055789,-0.012693,0.009888,-0.008811,-0.119234,-0.62437,-0.343827,0.36069
2505,0.034196,0.05039,-0.002452,0.01692,-0.000847,-0.008474,0.855018,1.912481,-1.69858,0.488767,0.10859,0.043662,-0.056123,-0.018766,0.010883,-0.008051,-0.217318,-0.889436,-0.51297,0.36069
2506,0.034934,0.05031,-0.00276,0.022715,-0.001107,-0.009024,-0.113706,0.093296,0.039637,0.497095,0.107979,0.044077,-0.056413,-0.012653,0.01131,-0.00802,-0.106717,-0.570491,-0.319457,0.357587
2507,0.035307,0.050295,-0.002933,0.017008,-0.001369,-0.008769,0.021985,0.028497,0.104263,0.501178,0.1077,0.044297,-0.056568,-0.012874,0.016536,-0.012468,0.00466,-0.350847,-0.184671,0.358894
2508,0.036046,0.050366,-0.003383,0.016586,0.003423,-0.013197,-0.033931,0.12453,0.227275,0.512608,0.107109,0.044934,-0.057012,-0.012838,0.017936,-0.01169,-0.029507,-0.448656,-0.23562,0.362323
2509,0.036616,0.050617,-0.004033,0.00993,0.012472,-0.021872,-0.245449,0.518277,0.447815,0.515384,0.106546,0.045884,-0.057619,-0.019268,0.030319,-0.01927,-8.3e-05,-0.598715,-0.271747,0.363139
2510,0.036844,0.050763,-0.004419,0.010543,0.004965,-0.018883,0.055513,0.080714,0.148372,0.514731,0.10624,0.046454,-0.057964,-0.019212,0.031432,-0.018637,0.043405,-0.469084,-0.206385,0.368854
2511,0.037258,0.051065,-0.005255,0.010541,0.005517,-0.018607,-0.37966,0.007866,-0.075904,0.513261,0.105541,0.047771,-0.058701,-0.019274,0.039089,-0.021654,-0.025265,-0.738737,-0.557253,0.387633
2512,0.037672,0.051459,-0.006058,0.009919,0.013271,-0.021406,-1.356497,-0.209538,-0.588927,0.510322,0.104659,0.049327,-0.059538,-0.025208,0.045741,-0.02494,0.122458,-0.364402,-0.337754,0.402492
2513,0.038127,0.051818,-0.006727,0.010298,0.01037,-0.016021,0.066431,0.050299,0.16379,0.509342,0.103491,0.050891,-0.060392,-0.030647,0.037834,-0.021625,-0.669005,0.034256,-1.092412,0.419801
2514,0.03836,0.051965,-0.006988,0.010744,0.006427,-0.011214,0.026453,0.060611,0.153167,0.509342,0.102806,0.051647,-0.060833,-0.036414,0.036534,-0.022031,-0.033446,-0.602025,-0.645791,0.429435
2515,0.038865,0.052201,-0.00734,0.016832,0.004614,-0.005681,0.040138,-0.039025,0.131559,0.509342,0.10143,0.05297,-0.061622,-0.03606,0.030704,-0.01809,-5.156012,0.339326,1.30759,0.44903
2516,0.039357,0.052297,-0.007465,0.011575,-0.000382,-0.001041,0.007994,-0.042776,0.057685,0.514241,0.099951,0.054358,-0.062436,-0.035611,0.030951,-0.017658,-0.523749,-0.423668,-0.498491,0.454909
2517,0.039585,0.052261,-0.007474,0.012166,-0.00634,0.002666,-0.046572,0.087526,-0.126064,0.516364,0.099208,0.055078,-0.06286,-0.035453,0.030595,-0.017779,-0.237605,-0.874997,-0.822038,0.458174
2518,0.03993,0.052139,-0.007482,0.006495,-0.007726,0.002333,-0.035417,-0.005716,0.010076,0.518813,0.097953,0.056304,-0.063689,-0.029604,0.032036,-0.024042,-0.116967,-0.895167,-0.623939,0.480382
2519,0.040122,0.052054,-0.007536,0.000127,-0.001834,-0.000998,-0.000651,-0.000325,-0.000567,0.519303,0.097129,0.057522,-0.064608,-0.011983,0.032272,-0.024338,-0.239734,-1.278713,-0.750578,0.497201
2520,0.040204,0.051994,-0.00758,0.000135,-0.001938,-0.001054,-0.002415,0.015742,-0.024323,0.520119,0.096725,0.058898,-0.065614,-0.00613,0.031795,-0.0246,-0.231595,-1.291505,-0.735183,0.503079
2521,0.04021,0.051968,-0.007599,7.2e-05,-0.001023,-0.000557,-0.000374,-0.000191,-0.000309,0.520119,0.096673,0.059567,-0.066147,-0.000482,0.035477,-0.029657,-0.210366,-1.413622,-0.752743,0.509121
2522,0.040164,0.051937,-0.007638,7.5e-05,-0.001104,-0.000598,-0.000259,-0.000127,-0.000211,0.520283,0.096868,0.060851,-0.067307,0.005128,0.032875,-0.030979,-0.078875,-1.093916,-0.60075,0.517122
2523,0.040121,0.051925,-0.007647,-4e-06,7.3e-05,4.1e-05,-0.013711,0.109953,-0.165238,0.51914,0.097468,0.062106,-0.068579,0.022121,0.030094,-0.032775,-0.172433,-1.180324,-0.747059,0.521368
2524,0.040112,0.051929,-0.007644,-1e-05,0.000165,9.1e-05,-0.000145,-5.7e-05,-0.000128,0.51914,0.097936,0.06272,-0.06924,0.027746,0.02952,-0.03316,-0.120875,-1.193017,-0.492385,0.522184
2525,0.040103,0.051942,-0.007632,-2e-06,4.3e-05,2.3e-05,-0.000102,-5.3e-05,-7.8e-05,0.519629,0.099137,0.063978,-0.07063,0.033177,0.034785,-0.037141,0.131133,-0.544927,-0.229817,0.521041
2526,0.040106,0.051954,-0.007625,-7e-06,0.000105,5.8e-05,-7.2e-05,-3.3e-05,-5.6e-05,0.519629,0.100592,0.065416,-0.072091,0.044213,0.042945,-0.039649,-1.205057,0.488572,0.042486,0.515326
2527,0.040131,0.05198,-0.007613,-7.5e-05,0.001101,0.000595,-4.7e-05,-4e-05,-2.6e-05,0.518976,0.10207,0.067022,-0.073502,0.038354,0.040234,-0.033781,0.241521,-0.043636,-0.072829,0.512223
2528,0.040164,0.052005,-0.007602,-0.000115,0.001682,0.000909,0.001934,-0.015949,0.023875,0.51816,0.102806,0.067876,-0.074182,0.038027,0.047643,-0.036336,0.995123,1.524569,-2.185086,0.511244
2529,0.040249,0.052086,-0.007559,-0.000166,0.002398,0.001294,-1.7e-05,-1.7e-05,-2.5e-05,0.516527,0.104017,0.069565,-0.075453,0.020988,0.042781,-0.031295,0.230869,0.234977,-0.231454,0.480382
2530,0.040362,0.052208,-0.007502,0.005519,0.003719,0.001593,0.00401,-0.031174,0.053158,0.510648,0.104478,0.07115,-0.076585,-0.001301,0.037135,-0.026586,-0.95378,1.768745,0.192215,0.420128
2531,0.040456,0.052293,-0.007469,0.005452,0.004591,0.002059,0.004013,-0.031151,0.053149,0.506566,0.104361,0.071879,-0.077096,-0.012202,0.030926,-0.022767,0.412875,0.810508,0.178845,0.398737
2532,0.040704,0.052508,-0.007372,0.011054,0.006716,0.00278,-0.007558,0.063681,-0.082692,0.49236,0.10352,0.072917,-0.077936,-0.028323,0.015893,-0.016919,-0.054281,-0.06437,2.440023,0.360037
2533,0.040962,0.052766,-0.007248,0.005262,0.006744,0.00319,-0.009619,0.078868,-0.111928,0.478154,0.101943,0.073329,-0.078449,-0.044603,0.004968,-0.009043,0.652858,1.648554,0.563405,0.321337
2534,0.041096,0.052894,-0.007175,0.005219,0.007152,0.0034,-0.107114,0.124257,0.163648,0.472602,0.100924,0.073378,-0.078597,-0.055676,0.005393,-0.008448,0.347412,2.00656,0.859164,0.294884
2535,0.041373,0.053127,-0.007005,0.005157,0.00767,0.003658,0.005533,-0.032721,0.052132,0.463131,0.098463,0.073234,-0.078673,-0.06659,-0.010225,0.003237,0.855713,2.175571,0.914641,0.258307
2536,0.041676,0.053408,-0.006792,0.01122,0.005294,0.008833,-0.016104,-0.06319,0.081895,0.455946,0.095454,0.072792,-0.078519,-0.078124,-0.010891,0.003163,0.918095,2.053973,0.987425,0.267124
2537,0.041986,0.053723,-0.006475,0.010991,0.007544,0.009974,-0.368939,-0.282339,-0.176766,0.462315,0.092152,0.072016,-0.078283,-0.090355,-0.020398,0.004788,-3.748087,3.61789,3.208228,0.290638
2538,0.042124,0.053863,-0.006274,0.005219,0.00785,0.010505,-0.010129,-0.067107,0.07537,0.469173,0.090446,0.071481,-0.078126,-0.091118,-0.033,0.011202,0.636436,1.772592,0.51536,0.291781
2539,0.042396,0.054088,-0.005799,0.005712,0.003292,0.014896,-0.049034,-0.062906,0.060515,0.481093,0.087013,0.070227,-0.077691,-0.086552,-0.031173,0.012018,0.247389,1.212736,0.179468,0.268757
2540,0.042689,0.054269,-0.005234,0.011226,0.00505,0.015343,-0.056686,-0.073088,0.094106,0.482236,0.083616,0.068985,-0.07711,-0.08742,-0.032605,0.018015,-0.57531,0.989193,1.897635,0.194787
2541,0.04293,0.054432,-0.004549,0.005313,0.00706,0.016666,-0.066732,-0.048646,0.068234,0.464437,0.080318,0.067931,-0.076451,-0.081887,-0.022933,0.016521,0.222316,0.724511,0.132096,0.12
2542,0.042986,0.054466,-0.004146,0.000235,0.001622,0.021023,-0.102691,-0.037612,0.042326,0.44174,0.078728,0.067459,-0.076071,-0.082119,-0.025462,0.021986,0.48177,-0.017785,0.788837,0.082606
2543,0.043011,0.054499,-0.003298,5.9e-05,0.003556,0.021892,-0.060716,-0.102849,-0.009336,0.35193,0.075643,0.066485,-0.075147,-0.076477,-0.02179,0.024025,0.131651,0.512229,0.159649,-0.031861
2544,0.042993,0.054731,-0.002386,-0.000338,0.007972,0.023895,-0.088833,-0.085698,0.034659,0.219011,0.072724,0.06565,-0.074076,-0.070724,-0.02266,0.03046,-0.129579,-0.062233,0.319161,-0.091625
2545,0.042962,0.054868,-0.001938,-0.000295,0.00745,0.023555,0.296714,-0.568189,-0.283807,0.12267,0.071284,0.065269,-0.073487,-0.070685,-0.021122,0.031393,0.053945,0.319837,0.347315,-0.122487
2546,0.042907,0.055177,-0.001016,-0.000447,0.00917,0.024179,0.26019,-0.528029,-0.256103,-0.060705,0.06875,0.064471,-0.072203,-0.064208,-0.016614,0.033978,-0.124031,0.042703,0.225139,-0.209031
2547,0.042876,0.055732,-0.000224,-0.001562,0.018705,0.015184,0.312671,-0.508486,-0.226694,-0.163578,0.066598,0.063737,-0.070822,-0.05296,-0.021464,0.038122,0.010621,0.409739,0.288869,-0.273367
2548,0.042789,0.056225,0.000422,-0.006003,0.007738,0.016934,0.250334,-0.432934,-0.234212,-0.295354,0.064847,0.062967,-0.069427,-0.035766,-0.023434,0.036797,0.217554,0.808646,0.44481,-0.358769
2549,0.042744,0.056446,0.00069,-0.001007,0.012618,0.012187,0.006623,-0.097545,0.010025,-0.389573,0.064148,0.062503,-0.068702,-0.035869,-0.023475,0.036864,-0.913778,2.675615,-0.964043,-0.422452
