frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
50,0.004579,0.033036,0.005146,0.005459,0.033032,-0.044292,-0.534691,0.743713,0.679249,-0.719419,0.101483,0.028758,-0.025507,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.2828
51,0.004807,0.033679,0.004328,0.013283,0.035336,-0.042352,-1.186135,-1.079127,2.884605,-0.57899,0.101483,0.028758,-0.025507,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.282964
52,0.005403,0.035055,0.002854,0.014246,0.029385,-0.029197,-1.063047,-1.126644,2.889354,-0.279678,0.101483,0.028758,-0.025507,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.282637
53,0.005965,0.036209,0.001723,0.014248,0.024507,-0.024324,-0.813685,0.669385,1.060188,0.025512,0.101483,0.028758,-0.025507,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.2828
54,0.005965,0.036209,0.001723,0.014248,0.024507,-0.024324,-0.813685,0.669385,1.060188,0.025512,0.101483,0.028758,-0.025507,0.000299,-0.004887,0.004877,-0.035667,0.007145,-0.021157,0.2828
55,0.006929,0.037279,0.000432,0.012428,-0.003735,-0.012973,-0.981271,1.23243,0.18903,0.521099,0.101606,0.028756,-0.025619,0.00743,-0.002516,-0.002073,0.226938,0.566524,-0.003968,0.285903
56,0.007107,0.037028,0.000205,0.010342,-0.023381,-0.01238,-0.89879,2.317156,-1.65134,0.521262,0.101753,0.028802,-0.025806,0.006871,0.00316,-0.01485,0.050315,0.047672,-0.168185,0.193154
57,0.007111,0.035941,-0.000441,-0.005329,-0.028509,-0.016997,-0.492238,1.009017,-0.693198,0.240893,0.102356,0.029047,-0.027037,0.013147,0.010272,-0.043892,1.689209,-1.657347,1.854905,-0.115465
58,0.007,0.035266,-0.001026,0.004375,-0.012769,-0.012092,0.604265,-0.185178,-0.914345,-0.070176,0.10262,0.029679,-0.028771,-0.001758,0.027223,-0.047698,1.630972,-2.251408,2.063015,-0.424738
59,0.006982,0.034664,-0.00168,-0.004717,-0.020452,-0.019367,0.101277,-1.363401,1.125377,-0.377489,0.102844,0.030891,-0.030749,0.011787,0.03231,-0.053004,1.435637,-1.841945,-0.112891,-0.720457
60,0.006901,0.034224,-0.002027,-0.004886,-0.02632,-0.015641,-0.187592,-1.273334,1.380392,-0.520042,0.102991,0.031576,-0.03184,0.011266,0.037303,-0.057784,5.983594,-1.942168,-2.85171,-0.867908
61,0.006693,0.033371,-0.002704,-0.004496,-0.019236,-0.018643,-0.027169,0.106217,-0.151395,-0.813801,0.102974,0.033044,-0.034038,-0.002418,0.038173,-0.056271,-1.270243,-0.538562,-2.015907,-1.120682
62,0.006455,0.032655,-0.003336,-0.003758,-0.015931,-0.015653,0.54736,-0.673664,0.168111,-0.968274,0.102545,0.034547,-0.036176,-0.016345,0.040412,-0.053723,-1.591991,0.491143,-3.389663,-1.020585
63,0.006278,0.032374,-0.003605,-0.010562,-0.013154,-0.012873,0.20178,-0.362855,0.15466,-0.944597,0.102104,0.035283,-0.037154,-0.023077,0.037322,-0.047128,-0.238425,-0.096977,-1.810008,-1.000174
64,0.005836,0.031929,-0.003961,-0.016671,-0.007234,-0.006974,0.433613,-0.575173,0.029338,-0.7671,0.100896,0.036639,-0.038814,-0.03646,0.032868,-0.041247,-0.034616,-0.345888,-2.03606,-0.807164
65,0.005289,0.031619,-0.004094,-0.015709,-0.003013,-0.002804,0.428948,-0.702711,-0.100552,-0.617526,0.099782,0.037512,-0.040105,-0.021689,0.016327,-0.029071,-0.12574,-0.290779,-1.492951,-0.688125
66,0.004978,0.031551,-0.004092,-0.015066,-0.000332,-0.000126,0.525939,-0.940795,0.238906,-0.530982,0.09936,0.037713,-0.040604,-0.021052,0.003937,-0.02166,0.085193,0.311595,-0.658142,-0.700209
67,0.004322,0.031588,-0.004017,-0.014338,0.002623,0.002835,0.242654,-0.463931,0.327425,-0.248489,0.098697,0.037714,-0.04128,-0.013715,-0.004723,-0.011686,0.028604,0.0753,-0.087018,-0.772547
68,0.003631,0.031643,-0.00388,-0.021932,0.002265,0.002539,0.342541,-0.320271,-0.07216,-0.118184,0.098138,0.037386,-0.041533,-0.013587,-0.007037,-0.004951,-0.003151,-0.047384,0.093262,-0.7603
69,0.002896,0.031634,-0.003755,-0.014757,0.001037,0.001205,-0.021504,0.030027,-0.064825,-0.046172,0.097568,0.037019,-0.041513,-0.01349,-0.007635,0.003192,-0.051319,0.025601,-0.080778,-0.709843
70,0.002541,0.031609,-0.003689,-0.014849,0.000709,0.000868,-0.003327,0.017437,-0.071324,-0.021842,0.097288,0.036903,-0.041444,-0.013548,-0.005741,0.004697,-0.051582,0.028238,-0.078508,-0.681267
71,0.001873,0.031498,-0.003598,-0.015385,-0.006272,0.00358,-0.040261,0.067626,-0.10026,0.027472,0.096849,0.036758,-0.041286,-0.013587,-0.004518,0.005664,-0.036172,-0.042439,0.108404,-0.637342
72,0.001255,0.031307,-0.003595,-0.016132,-0.00887,0.000924,-0.439855,-1.671086,2.003247,0.039555,0.09659,0.036643,-0.041171,-0.006653,-0.005726,0.004394,-0.032452,-0.069935,0.126358,-0.621013
73,0.000982,0.031167,-0.003632,-0.016415,-0.009825,-6.8e-05,-0.028572,-0.011063,0.043392,0.044454,0.09652,0.036596,-0.041127,-0.006661,-0.005406,0.004646,-0.037628,0.024502,-0.048903,-0.616441
74,0.000505,0.030798,-0.003813,-0.01021,-0.014554,-0.004976,-0.080413,-0.090365,0.077474,0.063559,0.096475,0.036563,-0.0411,-0.0,-5.5e-05,-4.1e-05,-0.000516,0.000146,0.000465,-0.610399
75,6.1e-05,0.030335,-0.004184,-0.010707,-0.011141,-0.011463,-0.037319,-0.698545,0.698241,0.095727,0.09651,0.03658,-0.041113,-1e-06,3e-06,5e-06,-0.000342,9.7e-05,0.000309,-0.606807
76,-0.000118,0.030129,-0.004403,-0.010748,-0.011237,-0.011435,1.928725,3.634751,3.804038,0.098013,0.096541,0.036582,-0.041126,4e-06,-0.00016,-0.000128,-0.000278,7.8e-05,0.000277,-0.605174
77,-0.000366,0.029708,-0.00487,-0.002983,-0.010557,-0.011039,0.006673,-0.138991,0.257007,0.111076,0.096588,0.0366,-0.041108,-1e-05,0.000484,0.000383,-0.000217,4e-05,0.000174,-0.602071
78,-0.00045,0.029392,-0.00524,-0.001961,-0.006917,-0.00729,-0.295515,-2.00733,2.314654,0.152716,0.096587,0.036623,-0.041082,-1.6e-05,0.000779,0.000619,-0.000136,3.1e-05,0.000108,-0.599295
79,-0.000505,0.029214,-0.005465,-0.000956,-0.003561,-0.003585,1.630433,3.510145,3.863709,0.206275,0.096577,0.036641,-0.041061,-2e-06,0.000174,0.000138,-6.8e-05,2.7e-05,0.000105,-0.596683
80,-0.00054,0.029174,-0.005515,-0.000565,-0.002,-0.002123,0.435725,-0.051686,0.516556,0.234524,0.096577,0.036641,-0.041055,-0.0,1.1e-05,8e-06,-5.8e-05,2.6e-05,0.000105,-0.595376
81,-0.000613,0.029166,-0.005538,-0.007311,0.001219,0.001262,0.189301,-0.239501,0.042037,0.290206,0.096582,0.036637,-0.041058,6e-06,-0.00028,-0.000224,-5.5e-05,1.7e-05,9.2e-05,-0.592764
82,-0.000726,0.029234,-0.005467,0.000726,0.002542,0.002687,0.174619,-0.16436,-0.074443,0.330702,0.096587,0.036636,-0.041053,-0.0,7.2e-05,5.6e-05,-4.6e-05,1.7e-05,8.6e-05,-0.589825
83,-0.000794,0.029299,-0.005398,-0.00637,0.0045,0.004728,0.010576,-0.013534,-0.028633,0.355686,0.096587,0.036636,-0.041053,0.0,-5e-06,-5e-06,-4.2e-05,2.3e-05,8.9e-05,-0.587212
84,-0.000911,0.029489,-0.005191,-0.005888,0.006151,0.006452,-0.029609,-0.001073,-0.005281,0.410061,0.096587,0.036634,-0.041054,1.1e-05,-0.000412,-0.000329,0.006021,-0.093167,0.175684,-0.581007
85,-0.001064,0.029738,-0.004937,-0.005537,0.007326,0.00766,0.019116,-0.032508,-0.016938,0.449904,0.096582,0.036632,-0.041056,-1e-06,0.000109,8.7e-05,-3.9e-05,1.7e-05,7.6e-05,-0.577904
86,-0.001305,0.030028,-0.00462,-0.005492,0.007427,0.007726,-0.007812,0.010323,-0.006024,0.469009,0.096587,0.03664,-0.04105,-1e-06,2.1e-05,1.7e-05,-3.9e-05,6e-06,8.1e-05,-0.575292
87,-0.00147,0.030189,-0.004453,-0.005244,0.008242,0.008552,0.07377,0.343512,0.364196,0.471295,0.096587,0.036643,-0.041047,0.0,4e-06,4e-06,-0.002497,0.009709,0.009033,-0.573822
88,-0.00187,0.030535,-0.00408,-0.012467,0.009505,0.009782,0.072224,0.356029,0.340534,0.469499,0.096582,0.036643,-0.041053,3e-06,-0.00011,-8.9e-05,-0.000482,-0.001011,-0.000447,-0.571863
89,-0.002265,0.030917,-0.003673,-0.01201,0.010917,0.011163,-0.013001,0.097994,-0.1811,0.460355,0.096587,0.036647,-0.041051,0.0,-3e-06,-2e-06,4.5e-05,-3.2e-05,-0.000115,-0.570719
90,-0.002433,0.031118,-0.00346,-0.011732,0.011782,0.012012,-0.010751,0.084441,-0.156257,0.456599,0.096587,0.036654,-0.041052,-3e-06,0.000243,0.000192,6.7e-05,-1.7e-05,-8.9e-05,-0.57023
91,-0.00271,0.031527,-0.003,-0.004533,0.010332,0.01047,0.001334,-0.011725,0.021937,0.45415,0.096587,0.036657,-0.041042,-1e-06,7.6e-05,6e-05,5.3e-05,-2.5e-05,-8.7e-05,-0.569413
92,-0.002883,0.031856,-0.002536,-0.004542,0.010236,0.010289,0.030659,0.077761,0.152869,0.450231,0.096587,0.036657,-0.041036,1e-06,1.8e-05,1.3e-05,5.7e-05,4e-06,-8.6e-05,-0.56876
93,-0.002958,0.032105,-0.002067,0.002299,0.00292,0.01265,0.333357,-0.27631,-0.094557,0.440434,0.096587,0.036661,-0.041046,0.0,-1e-06,-0.0,4.8e-05,-1.1e-05,-9.6e-05,-0.56778
94,-0.002973,0.032208,-0.001847,0.002419,0.008187,0.008156,-0.010785,-0.024876,0.046342,0.433575,0.096587,0.036661,-0.041046,1e-06,-0.0,1e-06,6.3e-05,-3e-06,-8e-05,-0.567454
95,-0.002982,0.032413,-0.00139,0.002331,0.003041,0.012686,-0.042798,-0.008183,0.034104,0.423451,0.096587,0.036661,-0.041039,1e-06,-5e-06,-5e-06,4.9e-05,-4e-06,-8.5e-05,-0.566311
96,-0.002998,0.032595,-0.00092,-0.004923,0.003979,0.013551,-0.018885,-0.036454,-0.036946,0.418063,0.096592,0.036657,-0.041043,0.0,3e-06,1e-06,0.006095,-0.093226,0.175498,-0.565494
97,-0.003011,0.032678,-0.000673,0.002274,0.002879,0.012443,0.405917,-0.355743,-0.151714,0.416593,0.096592,0.036654,-0.041045,2e-06,-0.000144,-0.000114,4.6e-05,-8e-06,-9.3e-05,-0.565004
