frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
32,0.004582,0.03383,-0.00547,-0.0087,0.000186,-0.009484,-0.016582,-0.062526,-0.173659,-0.970887,0.107281,0.028467,-0.02918,-0.000222,0.004193,-0.022576,0.111792,0.025179,-0.014005,-0.043291
33,0.003976,0.034065,-0.005775,-0.021688,0.013036,-0.006119,-0.339867,-1.937425,1.862345,-0.81772,0.107344,0.02865,-0.029986,-6.8e-05,0.001941,-0.015734,0.069762,0.010041,-0.009693,-0.226013
34,0.003598,0.034343,-0.00587,-0.020993,0.015664,-0.003472,0.06533,0.017555,-0.076338,-0.730033,0.107366,0.028796,-0.030353,-0.000647,0.009623,-0.018441,0.10599,-0.008547,0.038046,-0.278593
35,0.002756,0.035022,-0.005921,-0.027572,0.018747,-0.00034,-0.190324,0.065373,0.144763,-0.592053,0.107345,0.029183,-0.030895,-0.001099,0.01523,-0.014103,0.106769,-0.02048,0.06427,-0.3137
36,0.001848,0.035508,-0.005803,-0.02083,0.005753,0.00595,-0.736494,0.263282,0.238553,-0.488527,0.107248,0.029643,-0.031222,-0.007904,0.012123,-0.007496,0.070211,0.000923,0.013253,-0.282675
37,0.001395,0.035645,-0.005691,-0.020746,0.006032,0.006213,-0.899743,-0.161051,1.131972,-0.373243,0.107208,0.029826,-0.031292,-0.000622,0.008354,-0.002168,0.036384,-0.018764,0.047671,-0.260141
38,0.000615,0.035803,-0.005411,-0.020778,0.000874,0.010724,-0.835322,0.318178,0.572093,-0.074748,0.107125,0.030098,-0.031338,-0.000595,0.007977,-0.002463,0.038065,-0.009078,0.023875,-0.217032
39,0.000144,0.035951,-0.005121,-0.006236,-0.000526,0.009224,-0.703593,0.293104,0.392252,0.236157,0.107049,0.030195,-0.031253,-0.000194,0.002472,0.001898,0.000807,-0.011904,0.026307,-0.172127
40,-4.7e-05,0.03604,-0.004893,0.000768,0.002772,0.00277,0.030879,0.015467,0.00471,0.462314,0.10698,0.0302,-0.031148,-5.7e-05,0.000686,0.000526,-1.5e-05,-6e-06,1.3e-05,-0.10975
41,-5.7e-05,0.036048,-0.004812,0.000606,0.002187,0.00218,-0.16499,-1.785314,2.137925,0.493993,0.106954,0.030194,-0.031126,-0.0,-2.5e-05,-1.8e-05,-2e-06,8e-06,1.3e-05,-0.093585
42,3.8e-05,0.035957,-0.004605,0.007661,-0.004161,0.005503,-0.042805,0.081762,-0.136596,0.510485,0.106923,0.030182,-0.03114,1.9e-05,-0.000253,-0.000191,-1.6e-05,-7e-06,2e-06,-0.082807
43,0.000197,0.03577,-0.004371,0.007483,-0.004569,0.005334,1.041517,4.193974,3.385707,0.511302,0.106929,0.030177,-0.031157,9e-06,-0.000108,-8.2e-05,3e-06,5e-06,8e-06,-0.081501
44,0.00029,0.035663,-0.004238,0.007675,-0.00412,0.005522,0.31366,-0.18918,-0.076775,0.510485,0.10694,0.030174,-0.031153,-1e-06,9e-06,7e-06,-3e-06,-1e-06,4e-06,-0.077909
45,0.000553,0.035437,-0.003978,0.007573,-0.00438,0.005515,1.089774,4.059453,3.548617,0.506729,0.10695,0.030183,-0.031154,-1e-06,-1e-06,-0.0,-3e-06,-6e-06,-0.0,-0.072193
46,0.000859,0.035173,-0.003735,0.007111,-0.011161,0.008214,0.318997,1.307594,0.869645,0.510322,0.106955,0.030183,-0.03116,-0.0,4e-06,5e-06,-0.0,4e-06,3e-06,-0.071214
47,0.001182,0.034866,-0.003535,0.014383,-0.006866,0.002726,0.036845,0.058976,0.111035,0.509016,0.106955,0.030179,-0.031163,1e-06,-8e-06,-6e-06,5e-06,9e-06,4e-06,-0.068601
48,0.001332,0.034712,-0.003435,0.007269,-0.005635,0.003996,-0.045075,0.027641,0.034397,0.504117,0.106961,0.030176,-0.031159,-2e-06,6e-06,6e-06,-9e-06,-8e-06,-2e-06,-0.066152
49,0.001587,0.034433,-0.003228,0.007409,-0.005129,0.004492,0.473959,0.124364,0.216774,0.491543,0.10696,0.03018,-0.031163,-3e-06,4e-06,6e-06,-3e-06,-1e-05,1e-06,-0.065498
50,0.001738,0.034206,-0.002976,0.000315,-0.00878,0.010603,0.689952,-0.263875,-0.191038,0.482726,0.10696,0.03018,-0.031157,-2e-06,-3e-06,-1e-06,-3e-06,-1.3e-05,-2e-06,-0.069417
51,0.001775,0.034108,-0.002819,0.000684,-0.002389,0.007259,0.573372,-0.040639,0.31853,0.479623,0.10696,0.030184,-0.031154,-2e-06,7e-06,7e-06,4e-06,6e-06,-6e-06,-0.07105
52,0.001784,0.033885,-0.002381,0.000998,-0.006209,0.013143,0.416898,-0.385902,-0.002603,0.47799,0.10696,0.030187,-0.031151,3e-06,-1e-05,-8e-06,2.6e-05,2.8e-05,0.0,-0.072193
53,0.001726,0.03367,-0.001863,-0.006041,-0.004656,0.014737,0.611726,-0.416636,-0.340703,0.477827,0.10696,0.030187,-0.031151,6e-06,-7e-06,-7e-06,2.2e-05,2.6e-05,3e-06,-0.073826
54,0.001643,0.033487,-0.001277,0.001368,-0.004815,0.014491,0.602592,-0.440122,-0.056985,0.476031,0.10696,0.030185,-0.031146,-2.7e-05,0.000409,0.00031,9e-06,1.7e-05,-5e-06,-0.075623
55,0.00158,0.03341,-0.00097,-0.00568,-0.003308,0.016017,0.531345,-0.352723,-0.294137,0.474561,0.10696,0.030187,-0.031145,3e-06,-5e-06,-6e-06,1e-06,-1e-06,-5e-06,-0.076112
56,0.001429,0.033302,-0.000384,-0.005648,0.001784,0.011358,0.411237,-0.261294,-0.2103,0.470642,0.106954,0.030193,-0.031139,-3e-06,7.7e-05,5.9e-05,2.5e-05,2.6e-05,0.0,-0.077092
57,0.001228,0.033263,0.000175,-0.005467,0.002425,0.011934,-0.063406,0.104733,-0.166319,0.46509,0.106959,0.030201,-0.031134,-1e-06,3.8e-05,2.9e-05,2.4e-05,1.2e-05,6e-06,-0.079542
58,0.001109,0.033257,0.000451,-0.00556,0.00206,0.011571,0.384279,-0.192431,-0.141381,0.465417,0.106958,0.030208,-0.031129,-7e-06,0.000114,8.6e-05,1.6e-05,2.1e-05,-1e-06,-0.079868
59,0.000816,0.033254,0.000993,-0.005785,-0.003784,0.015462,-0.073681,0.039771,-0.037102,0.472602,0.106957,0.030225,-0.031115,-1.8e-05,0.000224,0.00017,2e-06,-4e-06,-1e-06,-0.080358
60,0.000479,0.033282,0.00143,-0.013184,0.00125,0.01082,-0.040378,0.023111,-0.036812,0.47848,0.106956,0.030237,-0.0311,-5.6e-05,0.000719,0.00055,3e-06,1e-05,-7e-06,-0.078725
61,0.000135,0.033337,0.001784,-0.013506,3.1e-05,0.009643,0.072236,-0.023024,-0.120367,0.479133,0.106956,0.030239,-0.031092,1e-06,-1.9e-05,-1.3e-05,7e-06,3e-06,2e-06,-0.076766
62,-2.6e-05,0.033354,0.00193,-0.006361,-0.00102,0.008571,-0.060093,0.115555,-0.197009,0.478643,0.10695,0.030242,-0.031096,2e-06,-1.7e-05,-9e-06,2.6e-05,1.9e-05,1.7e-05,-0.076439
63,-0.000358,0.033375,0.002202,-0.006562,-0.001764,0.007861,0.188859,-0.10258,-0.098768,0.4775,0.10695,0.030242,-0.03109,2e-06,1e-05,9e-06,1e-06,1.5e-05,2e-06,-0.076602
64,-0.000723,0.033364,0.002465,-0.01387,-0.001329,0.00833,-0.018276,0.022851,-0.103896,0.473745,0.106949,0.030253,-0.031075,-6.4e-05,0.000821,0.000629,0.000774,-0.011878,0.026249,-0.076113
65,-0.000919,0.033346,0.002599,-0.006726,-0.002352,0.007297,0.278164,-0.157429,-0.128313,0.471622,0.106949,0.030258,-0.031064,-3.1e-05,0.000383,0.000294,-5e-06,9e-06,-6e-06,-0.075459
66,-0.001289,0.033287,0.002837,-0.006852,0.002096,0.002046,0.687808,-0.373082,-0.222987,0.470642,0.106948,0.03027,-0.031055,-5.4e-05,0.000704,0.00054,0.000789,-0.01185,0.026249,-0.074969
67,-0.00161,0.033178,0.003042,-0.007278,-0.004273,0.005481,-0.044095,-0.060157,-0.032727,0.470479,0.106947,0.030283,-0.031051,-1e-05,0.000128,9.9e-05,-2e-06,2e-06,-4e-06,-0.074806
68,-0.001749,0.033105,0.003123,-0.007298,0.000528,0.000562,0.234119,-0.139353,-0.129822,0.469826,0.106947,0.030283,-0.031051,2e-06,-2e-05,-1.2e-05,2.5e-05,2.7e-05,1e-05,-0.074806
69,-0.001948,0.032963,0.003246,-0.007285,0.000589,0.000614,0.579248,-0.29602,-0.201943,0.467703,0.106952,0.030284,-0.031051,7e-06,-1.1e-05,-6e-06,4e-05,4.4e-05,2.4e-05,-0.073663
70,-0.002086,0.032875,0.003348,-0.007113,-0.003667,0.006042,-0.017839,0.008388,-0.071099,0.464764,0.106946,0.030283,-0.031051,1e-05,-9e-06,-6e-06,3.4e-05,5.1e-05,2.2e-05,-0.0735
71,-0.002195,0.03286,0.003455,0.000354,0.001237,0.001169,-0.022486,0.005654,-0.002726,0.461171,0.106946,0.030287,-0.031049,6e-06,-1e-05,-8e-06,2.6e-05,3.3e-05,1.8e-05,-0.072357
