frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
3141,0.072152,0.060696,-0.003808,5e-06,-3.3e-05,-3.2e-05,1e-05,1.7e-05,1.2e-05,-0.077198,0.106774,0.041454,-0.042809,0.000971,-0.015917,0.003595,-0.171108,0.203935,0.394279,-0.964903
3142,0.072156,0.060669,-0.003791,3e-06,-2.5e-05,-2.6e-05,4.2e-05,4.7e-05,2.6e-05,-0.076708,0.106772,0.041197,-0.042779,0.000992,-0.016097,0.003432,-0.041189,-0.009825,0.21361,-0.961474
3143,0.072161,0.06064,-0.003785,0.000108,-0.000544,-0.000545,1.8e-05,1e-05,2.2e-05,-0.076055,0.106819,0.040586,-0.042661,0.008252,-0.014729,0.00432,-0.036827,0.035367,0.033358,-0.956085
3144,0.072117,0.060622,-0.00381,0.000177,-0.000882,-0.000879,-3e-06,2e-06,2.3e-05,-0.075075,0.107001,0.040029,-0.04236,0.007821,-0.01099,0.007899,1.021539,-0.010689,2.977944,-0.955595
3145,0.072033,0.060588,-0.00383,4e-05,-0.000198,-0.000195,-5e-06,-7e-06,5e-06,-0.073932,0.107274,0.039545,-0.042058,0.008063,-0.01216,0.006827,0.069294,-1.406265,2.407567,-0.98907
3146,0.072005,0.060595,-0.003826,-0.000135,0.000678,0.00068,-7e-06,-2.1e-05,-4e-06,-0.072789,0.107377,0.039317,-0.041927,0.000698,-0.011778,0.007671,0.524053,-1.293505,2.192491,-1.007685
3147,0.071969,0.06061,-0.0038,-6.1e-05,0.000299,0.0003,0.000858,0.000371,-0.000279,-0.071319,0.107488,0.039027,-0.041663,0.007504,-0.010847,0.007825,2.227852,4.52557,2.495339,-1.039364
3148,0.071956,0.06062,-0.003787,-4.4e-05,0.000217,0.000218,0.001841,0.000801,-0.000594,-0.070339,0.107573,0.038561,-0.04149,0.000954,-0.014501,0.004961,-0.069738,0.096094,-0.16635,-1.073001
3149,0.071955,0.060627,-0.003781,-4.3e-05,0.000208,0.000208,0.000237,9.7e-05,-8.6e-05,-0.070013,0.107602,0.038361,-0.041436,0.000471,-0.007524,0.002248,0.316939,-1.037075,2.575347,-1.084105
3150,0.071951,0.060621,-0.003778,4e-06,-1.4e-05,-1.4e-05,2.7e-05,3.5e-05,2.3e-05,-0.069686,0.107573,0.038031,-0.04126,-0.00653,-0.012777,0.007133,0.210711,-0.357078,0.670825,-1.105823
3151,0.071951,0.060622,-0.003785,0.0,-1e-06,-1e-06,1.5e-05,2e-05,2.7e-05,-0.06936,0.107532,0.037717,-0.041096,0.000719,-0.010713,0.008713,0.064031,-0.323125,0.666082,-1.118723
3152,0.071951,0.060621,-0.003786,0.000102,-0.00051,-0.000509,1.7e-05,6e-06,1.7e-05,-0.06887,0.107517,0.037442,-0.040764,0.000212,-0.002758,0.006942,0.224732,-0.844131,1.453191,-1.120192
3153,0.071952,0.060615,-0.003792,0.000138,-0.000694,-0.000694,-3e-06,-7e-06,1.4e-05,-0.06887,0.107515,0.037318,-0.040531,0.000413,-0.005718,0.013673,0.76377,-0.302597,0.71875,-1.119703
3154,0.071955,0.0606,-0.003807,1.2e-05,-6.5e-05,-6.6e-05,6e-06,-7e-06,-6e-06,-0.068707,0.107504,0.037084,-0.039921,0.000584,-0.00829,0.02077,0.703144,-0.167747,0.535745,-1.128357
