frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
845,0.023455,0.058786,-0.009774,9.8e-05,0.000876,0.000917,-9e-06,-1.7e-05,1e-06,-0.772326,0.048102,0.04255,-0.04928,-0.007337,0.0013,0.000898,-0.000647,0.014712,-0.029778,0.040804
846,0.023457,0.058802,-0.009757,6.1e-05,0.000548,0.000573,1.6e-05,-3e-06,-2.9e-05,-0.772326,0.048069,0.042557,-0.049282,-0.007344,0.001284,0.000876,-0.001518,-0.02333,0.034424,0.011085
847,0.023453,0.058817,-0.009742,3.4e-05,0.00031,0.000324,9e-06,9e-06,-7e-06,-0.771999,0.048036,0.042571,-0.049284,-2e-06,1e-06,1.2e-05,0.000318,-2.8e-05,-0.000254,-0.053742
848,0.023453,0.058808,-0.009743,-7.1e-05,-0.000629,-0.000657,-0.001502,0.016983,-0.023261,-0.770693,0.048032,0.04258,-0.049283,-2e-06,-4e-06,1e-06,0.000202,0.001006,-0.001374,-0.120854
849,0.023453,0.058805,-0.009746,-1e-06,-1.3e-05,-1.2e-05,-0.003477,-0.002261,0.001823,-0.769713,0.048023,0.042597,-0.049288,0.000474,0.005525,-0.004129,0.034903,-0.018166,0.015434,-0.144041
850,0.023447,0.058798,-0.009746,0.000156,-0.005897,0.003606,-0.036209,0.01456,-0.015823,-0.76759,0.047981,0.042639,-0.049314,-1e-06,-5e-06,-3e-06,0.000206,-0.000124,-5e-05,-0.179312
851,0.023448,0.058776,-0.009733,2e-06,3e-06,4e-06,-1.4e-05,-3.7e-05,-1.7e-05,-0.765794,0.04792,0.0427,-0.049343,-0.007333,0.001305,0.000896,-0.003623,-0.002437,-0.040656,-0.202173
852,0.023454,0.058755,-0.009718,5e-05,0.000427,0.000451,8e-06,-2.6e-05,-5.1e-05,-0.764651,0.047846,0.042751,-0.049361,1e-06,-0.0,2e-06,0.00746,0.009944,0.005525,-0.222421
853,0.02346,0.05875,-0.009709,2.9e-05,0.000256,0.000269,-5e-06,1e-06,1.9e-05,-0.764487,0.047797,0.042773,-0.049364,-0.007332,0.00131,0.000897,-0.007597,-0.007026,-0.049511,-0.232545
854,0.02346,0.05874,-0.009704,-5e-05,-0.000431,-0.000453,-8e-06,-1.4e-05,-0.0,-0.763834,0.047716,0.042802,-0.049369,-9.1e-05,-0.000287,-0.000317,-0.416249,0.245966,0.133525,-0.254426
855,0.023465,0.058741,-0.009704,2.1e-05,0.000184,0.000192,2e-06,-1e-05,-2.7e-05,-0.763508,0.047643,0.042812,-0.049371,-3.1e-05,-9.7e-05,-0.000101,0.00069,0.002593,-0.003725,-0.280715
856,0.023466,0.058751,-0.009694,2.6e-05,0.000238,0.00025,9e-06,3e-06,-1.6e-05,-0.763181,0.04762,0.042813,-0.049372,3e-06,9e-06,1.5e-05,0.000506,0.003457,-0.005405,-0.306679
857,0.023467,0.058759,-0.009685,4.8e-05,0.000431,0.000451,3e-06,-2e-05,-4.4e-05,-0.763018,0.047613,0.042811,-0.049374,-4e-06,-1.6e-05,-1.2e-05,-0.12831,0.069272,0.035878,-0.318599
858,0.023475,0.058779,-0.009665,2.5e-05,0.000221,0.00023,7e-06,3e-06,-2e-05,-0.762365,0.047623,0.042816,-0.049391,-1.2e-05,-4.2e-05,-4.2e-05,0.003911,-0.004066,-0.003038,-0.35142
859,0.023476,0.058791,-0.009652,1.2e-05,0.000104,0.000109,-1.5e-05,-1.7e-05,-8e-06,-0.761548,0.04765,0.042834,-0.049431,0.000344,0.005101,-0.004606,0.039636,-0.009792,0.016482,-0.385875
860,0.023487,0.058794,-0.00965,3e-06,2.7e-05,2.9e-05,-3e-06,-4e-06,-1.1e-05,-0.761222,0.047655,0.042843,-0.049452,0.000408,0.005306,-0.004371,0.041259,-0.016606,0.016224,-0.400898
861,0.023508,0.058793,-0.009652,-1e-06,-1.1e-05,-1.3e-05,-3.8e-05,-7e-05,-7.5e-05,-0.760732,0.047661,0.042881,-0.049509,0.000231,0.004735,-0.005016,-0.223978,-0.483197,-0.297671,-0.431269
862,0.023512,0.058791,-0.009662,-1.2e-05,-0.000108,-0.000115,-1.8e-05,-6e-06,-1.1e-05,-0.759589,0.047675,0.042928,-0.049602,-0.000369,-0.00117,-0.001317,0.008646,0.014417,-0.024734,-0.459192
863,0.023512,0.05879,-0.009662,1e-06,4e-06,4e-06,-1.5e-05,-1.4e-05,-3.1e-05,-0.758446,0.047695,0.042957,-0.049668,0.007416,0.002971,-0.006425,-0.019133,-0.154863,-0.027818,-0.474868
864,0.023512,0.058786,-0.00966,3e-06,4e-06,6e-06,1.1e-05,2.4e-05,-1.3e-05,-0.756323,0.047721,0.043011,-0.049815,-0.000411,-0.001303,-0.001472,0.017818,0.022153,0.013691,-0.519283
865,0.023528,0.058784,-0.00967,-1.4e-05,-0.00013,-0.000135,-3e-06,-9e-06,-2.9e-05,-0.749465,0.04776,0.043055,-0.049988,0.00726,0.002471,-0.006999,0.025917,-0.048,0.002843,-0.586396
866,0.023526,0.058777,-0.009684,-6.9e-05,-0.000619,-0.000647,-1.6e-05,-1.2e-05,-9e-06,-0.739341,0.047772,0.043083,-0.050071,-0.000466,-0.001184,-0.001591,-4.741695,2.593153,1.153808,-0.620687
867,0.023528,0.058762,-0.009723,-5.7e-05,-0.000517,-0.00054,7e-06,1.8e-05,1e-05,-0.700641,0.047825,0.043156,-0.050265,-0.000575,-0.001831,-0.002078,9.6e-05,0.000222,0.000138,-0.692698
868,0.023531,0.058756,-0.009751,-2.8e-05,-0.000251,-0.000264,-3e-06,-1e-06,8e-06,-0.634671,0.047886,0.04322,-0.050467,0.007292,0.002571,-0.006895,-0.189532,-0.489376,-0.231537,-0.760137
