frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1258,0.03034,0.051981,-0.036404,-0.025025,0.003987,-0.029368,0.215943,-0.338214,0.675136,0.522569,0.061449,0.04435,-0.067034,0.015964,0.005812,-0.002834,0.025545,0.054691,-0.109806,-1.084921
1259,0.02975,0.05209,-0.037007,-0.040907,0.008752,-0.033423,-0.051162,0.250667,0.037997,0.522732,0.06168,0.044432,-0.067033,0.0085,0.007413,-0.001166,0.020269,0.045911,-0.099333,-1.087208
1260,0.028004,0.052356,-0.038389,-0.056689,0.006475,-0.036241,-0.111609,0.149335,0.346659,0.520119,0.062129,0.044628,-0.067013,0.008564,0.007797,-0.000676,0.034024,0.06295,-0.095328,-1.091617
1261,0.025785,0.052562,-0.039689,-0.06411,0.003675,-0.028026,-0.449667,0.330557,0.67304,0.518976,0.06264,0.044862,-0.067055,0.015951,0.006077,-0.002554,0.037231,-0.046502,0.075314,-1.089821
1262,0.024523,0.052641,-0.040219,-0.063855,-0.000939,-0.022865,-0.58971,-0.123899,0.422138,0.5162,0.062866,0.044999,-0.067102,0.008317,0.006849,-0.001962,0.036551,-0.047964,0.069602,-1.088514
1263,0.021855,0.052722,-0.041064,-0.063837,0.001875,-0.019218,-0.03263,0.016741,0.106644,0.504933,0.06319,0.045255,-0.067227,0.008059,0.005754,-0.003425,0.03668,-0.030622,0.045475,-1.087861
1264,0.019227,0.052768,-0.04164,-0.07116,-8.3e-05,-0.009548,0.416056,-1.027865,2.657451,0.496932,0.063311,0.04538,-0.06733,-0.000115,-0.00053,-0.000712,-0.000102,0.000164,-2.7e-05,-1.110558
1265,0.016693,0.052894,-0.04201,-0.05542,0.001995,-0.007658,-0.316062,0.199124,1.260703,0.494646,0.063251,0.04539,-0.067363,-0.000114,-0.000519,-0.000692,-8.5e-05,7.7e-05,-4.2e-05,-1.121009
1266,0.0155,0.053003,-0.042192,-0.063235,0.002333,-0.007141,-0.30176,0.264059,0.347889,0.493993,0.06318,0.04538,-0.067363,-0.007699,0.000362,6.8e-05,-0.001058,0.014773,-0.029563,-1.119866
1267,0.013336,0.05331,-0.042636,-0.047881,0.007922,-0.012304,-0.334854,0.158652,0.649601,0.492687,0.063001,0.045336,-0.067362,-0.007844,-0.000277,-0.000785,-0.001035,0.014751,-0.029568,-1.116763
