frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
117,0.004099,0.04414,-0.003566,-0.008553,0.006518,-0.013211,-0.246053,0.123287,0.343261,-0.865238,0.115571,0.025459,-0.031479,-0.007252,-0.004644,-0.00419,0.004867,0.09805,-0.234829,0.510427
118,0.003957,0.044268,-0.003808,-0.008373,0.007376,-0.012268,-0.255128,0.228622,0.355027,-0.866381,0.115562,0.025311,-0.031467,0.00075,-0.008184,0.001429,-2.300691,1.272621,-1.263975,0.510264
119,0.00358,0.044644,-0.004443,-0.016412,0.016347,-0.0228,-0.136076,0.282723,0.148268,-0.883363,0.11559,0.025053,-0.031393,0.00052,-0.00609,0.003621,-0.249636,0.11859,-0.118426,0.502589
120,0.003097,0.045187,-0.005326,-0.009201,0.014621,-0.024904,-0.05074,-0.139565,0.174624,-0.881404,0.115707,0.024856,-0.031368,0.000424,-0.004042,-0.004237,-0.000617,0.011139,-0.026138,0.447397
121,0.002859,0.045524,-0.005869,-0.009539,0.018594,-0.030838,0.029699,0.052718,0.099353,-0.881404,0.115826,0.024782,-0.0315,0.008405,-0.006043,-0.006998,0.004406,-0.069737,0.159907,0.392042
122,0.002207,0.046338,-0.00729,-0.018075,0.025365,-0.044016,-0.254331,0.38044,0.270523,-0.879118,0.116017,0.024662,-0.031896,0.00784,0.000573,-0.010091,0.03322,-0.026218,0.00959,0.280514
123,0.001373,0.047282,-0.009047,-0.018196,0.024941,-0.044719,-0.496053,-0.370468,0.62992,-0.879281,0.116022,0.024704,-0.032138,-0.000307,0.004061,-0.005753,2.35744,-1.587816,0.479974,0.24459
124,0.000496,0.04816,-0.010595,-0.025121,0.022539,-0.037096,-0.469651,0.570174,0.58663,-0.872913,0.115918,0.024844,-0.032328,-0.000334,0.004364,-0.005429,0.754256,-0.449718,0.333628,0.222709
125,4.2e-05,0.048551,-0.011265,-0.024887,0.018215,-0.031646,-0.38264,0.580083,0.302929,-0.861319,0.11584,0.024949,-0.032438,-0.000405,0.005036,-0.004719,-0.167155,-0.720943,-0.212601,0.202135
126,-0.000811,0.049125,-0.012304,-0.017079,0.013821,-0.026337,-0.398455,0.547558,0.33547,-0.875035,0.115658,0.025186,-0.032648,-0.008466,0.009008,-0.009907,-0.18452,-0.781707,-0.467861,0.160986
127,-0.001519,0.049456,-0.013309,-0.018297,0.003997,-0.02756,-0.594993,0.710706,0.372639,-0.884506,0.115417,0.025395,-0.033123,-0.007853,0.003117,-0.016152,-1.034927,-0.608125,0.753286,0.050601
128,-0.001846,0.049582,-0.013919,-0.011173,0.007406,-0.034344,-0.051671,1.571764,0.317717,-0.886466,0.115286,0.025488,-0.033535,-0.007976,0.005498,-0.023716,-0.119512,-0.515674,-0.469347,-0.032187
129,-0.002431,0.049834,-0.015319,-0.012196,0.003894,-0.039,-0.654915,1.269779,1.251014,-0.898386,0.114934,0.025781,-0.034563,-0.016098,0.010066,-0.028357,-0.280856,-0.87416,-0.832938,-0.118405
130,-0.002825,0.049827,-0.017015,-0.006552,-0.008671,-0.044217,1.966885,4.840926,5.087564,-0.903774,0.114455,0.026338,-0.035789,-0.016583,0.016069,-0.032117,-0.433854,-1.121459,-1.087754,-0.138489
131,-0.002855,0.049576,-0.018776,0.009005,-0.008535,-0.04477,2.751601,6.363717,2.277277,-0.908837,0.113842,0.027272,-0.037325,-0.01778,0.031541,-0.045953,-0.518982,-0.756633,-0.768168,-0.118405
132,-0.002595,0.049395,-0.019642,0.024078,-0.009692,-0.046269,-0.719715,2.949635,-0.235471,-0.910796,0.113495,0.02788,-0.038214,-0.017873,0.031912,-0.045529,-3.683988,-0.254345,3.003719,-0.105341
133,-0.001653,0.048946,-0.021421,0.024978,-0.007388,-0.044287,3.437772,4.30809,1.575548,-0.916185,0.112473,0.02933,-0.040111,-0.033463,0.036052,-0.050117,-1.797954,-1.178646,-0.722773,-0.050639
134,-0.000153,0.048711,-0.023096,0.048645,-0.012091,-0.03933,-0.561956,1.77521,-0.929162,-0.925492,0.110934,0.030809,-0.042269,-0.041062,0.037249,-0.058609,-0.521031,-2.280135,-1.378028,0.01631
135,0.000877,0.048516,-0.023916,0.056384,-0.012929,-0.040889,-0.600344,1.833022,-0.675274,-0.925329,0.109997,0.031496,-0.043468,-0.048083,0.028574,-0.057463,-0.651974,-2.357283,-0.769658,0.051581
136,0.003516,0.047834,-0.02552,0.072137,-0.019806,-0.039789,-0.445134,1.229663,-0.102692,-0.928921,0.108041,0.032593,-0.045783,-0.055627,0.026661,-0.05943,-0.627359,-1.622583,-0.681449,0.119346
137,0.00638,0.04714,-0.02706,0.073211,-0.017389,-0.037701,0.025421,0.347476,-0.477909,-0.932024,0.105705,0.033521,-0.047998,-0.062711,0.016658,-0.049912,-0.729822,-1.657356,-0.652281,0.151678
138,0.007966,0.046804,-0.02778,0.089476,-0.015795,-0.036296,0.263476,-0.117929,-0.742983,-0.936106,0.104454,0.033909,-0.048995,-0.063125,0.023283,-0.05312,-0.465702,-1.306423,-0.497259,0.163108
139,0.011377,0.046134,-0.028964,0.09102,-0.016566,-0.02669,-0.181356,0.454203,-0.029122,-0.934963,0.101832,0.034462,-0.050742,-0.070052,0.007422,-0.039964,-0.320122,-0.999282,-0.198463,0.19593
140,0.015057,0.045529,-0.02995,0.09988,-0.013225,-0.023539,-0.022403,0.122599,0.025359,-0.935779,0.099277,0.034534,-0.052196,-0.069561,-0.00979,-0.028957,-0.229087,-0.647929,-0.111913,0.202951
141,0.018991,0.045205,-0.030792,0.100757,-0.002108,-0.020957,-0.399903,-0.132989,-0.139065,-0.934636,0.096883,0.03406,-0.053264,-0.062096,-0.014563,-0.025055,-0.040747,-0.62711,0.08444,0.185479
142,0.020837,0.045167,-0.03115,0.101047,-0.000145,-0.018733,0.031611,-0.03851,-0.006918,-0.937249,0.095733,0.03366,-0.053648,-0.062147,-0.019411,-0.020439,0.035028,-0.16567,0.346715,0.183193
143,0.024509,0.04508,-0.031704,0.09385,-0.002904,-0.011249,-0.119719,-0.096817,0.119782,-0.936269,0.093556,0.03278,-0.054252,-0.054651,-0.021385,-0.012936,-0.024468,-0.216207,0.369348,0.184989
144,0.027835,0.045085,-0.03213,0.078069,0.005216,-0.011346,0.053756,-0.161927,0.311392,-0.937086,0.091613,0.03197,-0.054636,-0.04716,-0.018065,-0.009621,-0.02956,-0.13465,0.224703,0.206054
145,0.02939,0.045135,-0.032315,0.078094,0.005784,-0.010951,-1.185914,-1.175852,-0.576175,-0.941658,0.090692,0.031625,-0.054809,-0.047241,-0.015993,-0.007251,-0.019532,-0.122331,0.264741,0.229241
146,0.032063,0.045237,-0.032684,0.062709,-0.000824,-0.00765,-0.444732,-0.146958,-0.102443,-0.942964,0.089164,0.031124,-0.055054,-0.031639,-0.012928,-0.004171,-0.03194,-0.09584,0.159805,0.287046
147,0.034009,0.045391,-0.033044,0.038829,0.005861,-0.007957,-1.37111,-0.074754,-1.138685,-0.940188,0.087843,0.030746,-0.055284,-0.031779,-0.012768,-0.004161,-0.033682,-0.075885,0.129611,0.351382
148,0.035454,0.045674,-0.033265,0.030978,0.007605,-0.004565,-1.416966,1.292385,-2.400637,-0.940025,0.086613,0.030458,-0.055661,-0.03227,-0.004205,-0.015831,0.311902,-2.278986,2.285375,0.385347
149,0.035978,0.045726,-0.033285,0.023572,0.001666,-0.0002,-0.058208,-0.020937,0.112173,-0.940515,0.085996,0.030271,-0.055904,-0.032318,-0.01053,-0.012819,0.451094,-0.328101,0.121159,0.402982
150,0.03665,0.045799,-0.033243,0.015741,0.002733,0.002317,-0.003252,0.076811,-0.109148,-0.939372,0.084765,0.029905,-0.056503,-0.032592,-0.011813,-0.014745,0.205404,-0.870305,-0.18497,0.44756
151,0.036777,0.045856,-0.033124,3.6e-05,0.001742,0.002659,0.016086,-0.131559,0.18527,-0.940352,0.083471,0.029604,-0.057173,-0.032718,-0.011083,-0.014088,-0.228376,-0.674741,-0.166435,0.48675
152,0.036622,0.045928,-0.032957,-0.007664,0.003215,0.005758,-4.875226,-1.899555,-1.771604,-0.936596,0.082187,0.029419,-0.057857,-0.032789,-0.004116,-0.016626,-0.15358,-0.586316,-0.092374,0.504876
153,0.036479,0.045963,-0.032821,7.8e-05,0.003535,0.005396,0.00261,-0.015191,0.024384,-0.933167,0.081512,0.029368,-0.058178,-0.040692,-0.00277,-0.014938,0.002435,-0.557422,-0.139441,0.508631
154,0.036296,0.046022,-0.03252,0.000104,0.004627,0.007029,-0.438522,-0.192222,-0.138297,-0.938882,0.080009,0.029305,-0.058741,-0.040603,-0.000626,-0.012352,-0.149611,-0.60479,-0.110824,0.512877
155,0.036355,0.046102,-0.032179,0.000161,0.003404,0.005121,-4.73653,-2.145557,-1.956124,-0.942311,0.078308,0.029246,-0.059109,-0.048462,-0.003741,-0.005265,0.015759,-0.050327,0.134144,0.515653
156,0.036487,0.046055,-0.03204,0.008293,-0.003715,0.005971,-0.036336,-0.028968,0.026972,-0.943617,0.077386,0.029193,-0.059221,-0.048512,-0.003519,-0.005119,0.007159,0.04079,-0.042445,0.516959
157,0.036861,0.045846,-0.031938,0.007771,-0.001559,-0.003279,-0.138101,-0.043981,-0.004891,-0.943944,0.075427,0.028987,-0.059328,-0.048564,-0.002666,-0.004293,0.001264,-0.08781,0.138882,0.520388
158,0.037248,0.045661,-0.032179,0.015542,-0.0056,-0.010366,0.046293,-0.102127,-0.063255,-0.944434,0.07364,0.02878,-0.059387,-0.040541,-0.006893,0.001493,-0.033748,-0.087767,0.147238,0.520551
159,0.037469,0.045541,-0.032398,0.015549,-0.006653,-0.012023,0.0519,0.586844,-0.68998,-0.944434,0.072918,0.028751,-0.059424,-0.03232,-0.000549,-0.001452,0.004209,-0.120083,0.200913,0.519735
160,0.037849,0.045308,-0.032906,0.015582,-0.007449,-0.013368,-0.378219,0.400702,0.323368,-0.940678,0.071684,0.028833,-0.059446,-0.031888,0.007243,-0.002641,-0.064225,-0.435868,0.093119,0.520551
161,0.038215,0.045114,-0.033441,0.00789,-0.005565,-0.009552,-5.126818,-1.418256,-1.581746,-0.940841,0.070707,0.028917,-0.05942,-0.02391,0.001814,0.001781,0.009339,-0.151037,0.257538,0.520551
162,0.038546,0.045046,-0.03385,0.007349,0.001394,-0.011606,0.029765,0.101754,-0.177976,-0.944434,0.07004,0.028984,-0.059436,-0.008186,0.00422,-0.006181,0.037988,-0.09792,0.127153,0.521041
163,0.038711,0.045045,-0.034035,0.007365,0.002322,-0.010184,-0.428064,-0.005805,-0.335446,-0.942311,0.06987,0.028954,-0.059508,-0.008685,-0.003441,-0.004989,-0.000373,-0.642995,0.011587,0.521531
164,0.039056,0.045104,-0.034239,0.007404,0.006537,-0.003615,0.037024,-0.02855,0.051412,-0.935453,0.069802,0.028698,-0.059845,-0.001347,-0.007648,-0.010587,-0.169639,-0.744173,-0.025447,0.522021
165,0.03928,0.045174,-0.034167,0.007893,0.002461,0.002814,0.005731,-0.036142,0.059872,-0.933657,0.069878,0.028477,-0.060396,0.006506,-0.004268,-0.017536,-0.118452,-0.586902,-0.133711,0.522184
166,0.03939,0.045183,-0.034081,0.007892,0.002835,0.003394,0.00583,-0.034178,0.057102,-0.930554,0.069869,0.028463,-0.06077,-0.001425,0.001584,-0.021569,0.009648,-0.194379,-0.156477,0.522021
167,0.039584,0.045319,-0.033943,0.007886,0.002744,0.003247,-1.540506,-0.508344,-0.399252,-0.931697,0.069718,0.028538,-0.061599,-0.009349,0.007571,-0.025482,0.012164,-0.400287,-0.056268,0.522021
168,0.039634,0.045567,-0.033948,-0.000488,0.006733,-0.002284,-0.042628,0.143649,0.136254,-0.932513,0.069391,0.028574,-0.062468,-0.009912,-0.005034,-0.019564,-0.14671,-0.902665,0.139523,0.522021
169,0.039625,0.045698,-0.034003,-0.000487,0.006234,-0.003059,0.022505,0.008001,0.031977,-0.933657,0.069148,0.028499,-0.062873,-0.009981,-0.005249,-0.019973,-0.148085,-1.127563,0.517093,0.522184
170,0.039527,0.045939,-0.034163,-0.000491,0.004855,-0.005199,-0.081095,0.226951,0.164397,-0.938229,0.068548,0.02811,-0.063567,-0.018483,-0.011368,-0.017269,-0.087485,-0.546871,0.159193,0.522184
171,0.03933,0.046101,-0.034405,-0.000494,0.00389,-0.006698,-0.058656,0.164715,0.152924,-0.937576,0.067818,0.027605,-0.064108,-0.018101,-0.008745,-0.013664,0.006535,-0.120623,0.213428,0.521041
172,0.039302,0.046135,-0.034627,-1.2e-05,-0.002774,-0.00433,0.002487,-0.004917,-0.037457,-0.930391,0.066993,0.027245,-0.064456,-0.01745,-0.00496,-0.00821,0.146379,-0.081257,0.050773,0.520061
173,0.039335,0.046104,-0.034718,-1e-05,-0.002342,-0.003662,0.007878,-0.026736,-0.012946,-0.931697,0.066657,0.027144,-0.064557,-0.017219,-0.008427,-0.001035,-0.028229,-0.142741,0.249639,0.520225
174,0.039501,0.045943,-0.034809,0.000482,-0.007674,0.000786,0.114928,-0.067014,0.175622,-0.937739,0.066241,0.027106,-0.064635,-0.008035,0.001027,0.001109,0.001432,0.140441,-0.252994,0.518918
175,0.039687,0.045704,-0.034811,-9e-06,-0.001748,-0.002756,0.372203,0.886782,-0.52441,-0.935126,0.066163,0.027215,-0.064505,0.00069,0.003359,0.005027,-0.037424,-0.165362,-0.058711,0.518429
176,0.039744,0.045632,-0.034845,7.1e-05,-0.001911,-0.002878,5.151382,1.65437,1.126815,-0.932677,0.066178,0.027287,-0.064389,0.000868,0.004213,0.006287,-0.175558,-0.541928,-0.500821,0.518755
