frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1723,0.054137,0.053925,-0.018322,-0.001283,0.005409,-0.003783,0.048603,-0.014178,0.011979,0.517343,0.136563,0.065951,-0.064552,0.021818,0.004128,-0.011817,0.076998,-0.052358,0.112982,-0.802266
1724,0.054124,0.05398,-0.018363,0.000229,-0.000632,-0.000463,0.002813,-0.002294,-0.002085,0.517343,0.137018,0.065956,-0.064723,0.022134,-0.001204,-0.007937,-0.401951,0.403851,-0.338453,-0.800796
1725,0.054118,0.05402,-0.018421,0.000205,-0.000572,-0.000421,6.3e-05,-3.7e-05,-2.4e-05,0.517507,0.137858,0.065834,-0.064917,0.022318,-0.003262,-0.002418,1.628379,-2.340786,-4.646454,-0.79802
1726,0.054127,0.053978,-0.018451,0.000404,-0.001128,-0.00083,1.3e-05,6e-06,1.3e-05,0.517507,0.138386,0.065616,-0.064936,0.006061,-0.008799,0.001935,-0.036209,0.014567,-0.011368,-0.796551
1727,0.054137,0.053953,-0.01847,0.000554,-0.001549,-0.001142,-0.003146,0.017177,-0.022905,0.517507,0.138523,0.065481,-0.064901,0.000443,-0.007521,0.002774,-0.036054,0.012474,-0.017713,-0.796224
1728,0.054158,0.053909,-0.018514,-0.001018,0.004657,-0.004335,0.036087,-0.003965,0.02132,0.517507,0.138504,0.065247,-0.064786,-0.005238,-0.005349,0.004075,-0.029679,-0.089624,0.113583,-0.798347
1729,0.054169,0.053896,-0.018542,0.000228,-0.00064,-0.000472,1.3e-05,-8e-06,2.5e-05,0.517343,0.138273,0.065059,-0.06462,-0.010856,-0.004431,0.004737,0.327123,0.558969,0.197302,-0.800959
1730,0.054149,0.053903,-0.018552,-1.3e-05,3.9e-05,2.9e-05,6e-06,1.3e-05,2.3e-05,0.517507,0.137806,0.064841,-0.064352,-0.016518,-0.002696,0.005813,-0.029006,0.022779,-0.12494,-0.801776
1731,0.054133,0.053907,-0.018553,-4.3e-05,0.000123,9.2e-05,1.1e-05,-1e-06,2.2e-05,0.517507,0.137488,0.064722,-0.064184,-0.021784,-0.007879,0.009997,-0.039448,0.021594,-0.097924,-0.801286
1732,0.054097,0.053904,-0.018568,6.2e-05,-0.000172,-0.000125,-0.000127,0.000329,0.000219,0.517507,0.136676,0.064421,-0.063766,-0.021842,-0.006931,0.010493,-0.072019,0.06313,-0.1285,-0.800633
1733,0.054051,0.053877,-0.01861,0.000327,-0.000914,-0.000673,6e-05,4.1e-05,6e-05,0.517507,0.135607,0.063991,-0.063202,-0.032761,-0.011197,0.015359,-0.091849,0.09455,-0.245953,-0.799
1734,0.054005,0.05388,-0.018654,0.000445,-0.001244,-0.000917,-0.003108,0.017224,-0.022861,0.517507,0.134978,0.063745,-0.062871,-0.032816,-0.010024,0.015962,-0.058914,0.036224,-0.313955,-0.798347
1735,0.053856,0.054039,-0.018802,-0.002641,0.011041,-0.007382,0.072225,-0.008085,0.042554,0.514567,0.133416,0.063138,-0.062048,-0.038221,-0.014249,0.020707,1.297858,-1.636864,1.022488,-0.808144
1736,0.053683,0.054293,-0.019002,-0.001117,0.00496,-0.004096,0.036134,-0.004092,0.021256,0.510975,0.131745,0.062447,-0.06114,-0.043671,-0.019577,0.024965,1.273555,-1.653582,1.002663,-0.811083
1737,0.053578,0.054422,-0.019119,-0.006821,0.002859,-0.00486,0.030905,0.028348,-0.030829,0.510485,0.130814,0.062054,-0.060646,-0.049322,-0.0197,0.025146,1.114316,-1.864974,1.008209,-0.808634
1738,0.053372,0.054618,-0.019349,-0.006702,0.002535,-0.005095,0.034102,0.011031,-0.008057,0.509669,0.128831,0.061254,-0.059601,-0.055052,-0.018354,0.026096,1.239396,-1.64102,0.950558,-0.807491
1739,0.053201,0.054726,-0.019581,-0.000258,0.002535,-0.005879,0.032948,0.013108,-0.001621,0.506403,0.12673,0.060368,-0.058485,-0.055154,-0.025282,0.029551,0.258168,-0.454047,0.116781,-0.809124
1740,0.05308,0.054707,-0.019787,-0.005889,0.000211,-0.00682,0.030915,0.028316,-0.030899,0.502321,0.124561,0.059366,-0.057316,-0.055426,-0.024998,0.029876,0.795403,-2.055441,0.689838,-0.798347
1741,0.053039,0.054659,-0.019879,-0.004482,-0.005585,-0.003361,-0.005249,0.032581,-0.051982,0.499218,0.123459,0.058855,-0.056703,-0.055497,-0.029437,0.034504,2.503173,-1.475008,-5.005861,-0.78365
1742,0.053016,0.054504,-0.020037,0.00159,-0.004531,-0.003378,-0.003204,0.017406,-0.022759,0.487135,0.121235,0.057895,-0.055461,-0.055762,-0.028626,0.035109,2.642073,-1.416582,-4.931779,-0.717844
1743,0.053053,0.054341,-0.020156,0.001167,-0.003327,-0.002489,-2e-06,-6e-06,4e-06,0.470806,0.119053,0.05696,-0.054277,-0.056244,-0.026123,0.029841,1.033051,-1.690343,0.948096,-0.661999
