frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
841,0.028127,0.052277,-0.026384,-0.000289,0.004527,-0.004933,0.031158,0.043615,0.055719,0.007413,0.019896,0.071753,-0.045063,0.004541,-0.008623,0.002167,-0.297893,-0.663482,-0.381178,-1.056249
842,0.028198,0.05254,-0.026659,0.006274,0.009879,-0.009595,-0.194547,0.420098,0.362212,0.019007,0.019984,0.071438,-0.044938,-0.00265,-0.011235,0.008076,0.117213,-0.44235,-0.560104,-1.045798
843,0.028259,0.052711,-0.026841,-0.000597,0.008946,-0.009942,-0.211148,0.595523,0.408772,0.019333,0.019973,0.071243,-0.044841,-0.00316,-0.012078,0.007386,-0.176632,-0.026416,-0.297376,-1.046451
844,0.028401,0.053036,-0.027252,-0.000714,0.007733,-0.010935,-0.291394,0.600408,0.410999,0.022436,0.019932,0.070698,-0.044629,0.00218,-0.016176,0.004768,4.289123,-2.769721,-1.951274,-1.048411
845,0.028574,0.053376,-0.027738,0.006032,0.007445,-0.011591,-0.012727,0.18935,0.182236,0.022599,0.019884,0.070113,-0.044429,0.002037,-0.016299,0.00453,-0.255931,-0.384717,-0.491092,-1.046288
846,0.028769,0.053689,-0.028181,0.006237,0.001984,-0.007449,-0.263532,0.506205,0.369569,0.021946,0.019853,0.069545,-0.044285,-0.0036,-0.009412,0.000898,-0.024479,0.03906,-0.030146,-1.049554
847,0.028869,0.053812,-0.028373,0.006055,0.007774,-0.011323,0.012273,0.071388,0.343617,0.023579,0.019846,0.069244,-0.044207,-0.004284,-0.013998,0.005812,0.117789,-0.514225,-0.36969,-1.050044
848,0.029065,0.053937,-0.028699,0.006202,0.001646,-0.007751,-0.067693,0.168429,0.390823,0.029621,0.019834,0.068703,-0.04406,-0.002699,-0.007925,0.002129,-0.246908,-0.188188,-0.357223,-1.051514
849,0.029371,0.053998,-0.028968,0.013089,0.002999,-0.007061,-0.314228,1.710259,-1.823525,0.030274,0.019878,0.068327,-0.044003,0.003855,-0.010199,0.001086,4.142825,-2.774898,-2.593176,-1.048901
850,0.029561,0.054057,-0.029094,0.013118,0.003367,-0.006753,-0.364242,1.013042,0.152686,0.030764,0.019936,0.068191,-0.044009,0.003902,-0.009882,0.001126,-0.32001,-0.28825,-0.491096,-1.046125
851,0.029885,0.054102,-0.029327,0.013145,-0.004625,-0.00474,0.992215,1.298204,0.895901,0.040235,0.02002,0.067995,-0.044047,0.005235,-0.004216,-0.002907,-0.179712,-0.150892,-0.305721,-1.052657
852,0.030171,0.054022,-0.029623,0.006282,-0.005636,-0.005197,-0.119079,1.819137,-1.649019,0.043827,0.020059,0.067894,-0.044072,-0.000475,-0.000793,-0.000679,-0.461409,-0.515433,-0.516812,-1.055759
853,0.030475,0.053967,-0.029906,0.006162,0.001109,-0.008248,-0.234591,0.206875,0.673266,0.043011,0.020133,0.067807,-0.044095,-0.000505,-0.000844,-0.000722,-0.480761,-0.540843,-0.530564,-1.05135
854,0.030586,0.053931,-0.030036,0.006162,0.001084,-0.008275,-0.017853,0.146918,0.596374,0.043337,0.020146,0.06777,-0.044098,0.004733,-0.00852,0.002261,-0.095509,0.015558,-0.205217,-1.052167
855,0.030686,0.053786,-0.030233,-0.000426,-0.004953,-0.004211,0.244041,0.334301,0.571031,0.046603,0.020222,0.06768,-0.044085,0.006296,-0.002452,-0.001427,-0.163785,-0.133617,-0.263823,-1.054616
856,0.030723,0.053603,-0.030393,-0.000292,-0.003528,-0.003007,0.728175,1.719685,0.779612,0.04742,0.020314,0.067552,-0.044056,0.005797,-0.003288,-0.002132,0.085892,-0.134177,-0.039594,-1.060005
857,0.030749,0.053546,-0.030437,0.006812,-0.002133,-0.002383,3.526788,4.050101,1.445424,0.049869,0.020372,0.067476,-0.044047,0.006103,-0.002778,-0.001704,-0.010624,-0.039218,0.019607,-1.060005
858,0.030815,0.053466,-0.030423,0.006774,-2.8e-05,-0.000452,0.100843,0.104982,0.000294,0.049869,0.020484,0.067353,-0.043992,-0.000447,-0.004192,0.005258,-0.068274,-0.030422,-0.040372,-1.058535
859,0.030893,0.053333,-0.030318,0.00024,-0.005059,0.004502,-0.142642,1.57796,-2.093655,0.05787,0.020548,0.067299,-0.043869,-0.000458,-0.004216,0.005244,-0.201322,-0.102625,-0.310209,-1.060005
860,0.031143,0.05317,-0.030183,0.013899,-0.004692,0.003904,1.106125,1.134544,0.3824,0.075016,0.0206,0.067201,-0.043748,0.000448,0.000771,0.000636,-0.450535,-0.609954,-0.335691,-1.061148
861,0.031323,0.053052,-0.030078,0.007321,-0.010202,0.008472,-0.198827,1.641612,-2.277909,0.078608,0.020628,0.067151,-0.043688,-0.000354,-0.004033,0.005395,-0.097091,-0.073363,-0.065019,-1.061638
862,0.031664,0.052708,-0.029792,0.007512,-0.00996,0.008411,3.915223,3.635105,1.190318,0.085793,0.020686,0.067078,-0.043612,-2.3e-05,-1.8e-05,-3.2e-05,0.124388,-0.081295,-0.010048,-1.073721
863,0.032074,0.052456,-0.0295,0.014257,-0.00191,0.006012,3.968259,3.61666,1.222104,0.097223,0.020675,0.066887,-0.043505,-0.001115,-0.005321,0.004314,-0.016777,-0.058815,0.171433,-1.085478
864,0.03232,0.052381,-0.029349,0.014278,-0.001522,0.00633,3.925884,3.687766,1.246848,0.110286,0.020658,0.066754,-0.043398,-0.00208,-0.010414,0.008839,-0.286064,-0.242459,-0.185374,-1.097072
865,0.032815,0.052277,-0.029035,0.007328,-0.001716,0.006853,-0.020842,-0.031602,0.026709,0.132984,0.020653,0.066428,-0.043158,-0.001504,-0.006018,0.00377,0.893554,-1.46307,-0.461516,-1.113401
866,0.033238,0.052286,-0.028865,0.006982,0.002764,0.001862,-0.118976,0.181066,0.159618,0.140658,0.020578,0.066132,-0.042925,-0.001334,-0.005682,0.004016,-0.148616,-0.151641,-0.102627,-1.125484
867,0.033621,0.052413,-0.028817,0.006986,0.002978,0.002041,-0.343654,0.583468,0.226598,0.1467,0.020583,0.065909,-0.042745,0.005398,-0.00746,0.003171,-0.135374,-0.366448,-0.148133,-1.132669
868,0.033793,0.052464,-0.028779,0.006994,0.003155,0.002185,-0.086798,0.127195,0.155684,0.149313,0.020595,0.065843,-0.042705,0.005147,-0.007891,0.002809,0.008226,-0.017934,0.018076,-1.131689
869,0.034089,0.052589,-0.02872,0.00696,0.002741,0.001825,-0.464517,0.60644,0.459847,0.114695,0.020629,0.065713,-0.04263,0.005537,-0.007238,0.003358,-0.335926,-0.38339,-0.196475,-1.132669
870,0.034229,0.052737,-0.028625,0.000243,0.003979,0.003328,-0.413762,0.608637,0.434431,0.081874,0.02069,0.06557,-0.042492,0.005998,-0.006467,0.004013,-0.100793,-0.913809,-0.328027,-1.136425
871,0.034255,0.052823,-0.028548,0.000334,0.005491,0.004591,-0.22431,0.308808,0.265164,0.063749,0.020723,0.065487,-0.042406,-0.00058,-0.004717,0.005071,3.646372,-4.051413,-0.732982,-1.140017
872,0.034248,0.053053,-0.028361,0.000371,0.00612,0.005102,-0.14525,0.24485,1.230727,0.063096,0.020785,0.065313,-0.04226,0.005594,-0.007157,0.003433,-0.200676,-0.211108,-0.100235,-1.137404
873,0.034142,0.053261,-0.028147,-0.006413,0.005777,0.005261,-0.061299,0.120084,0.05714,0.08367,0.020856,0.065133,-0.042092,-0.000373,-0.004078,0.00538,-0.035392,0.012786,-0.015867,-1.139527
874,0.034005,0.053443,-0.027921,0.000354,0.005775,0.004775,-0.225134,0.276756,0.310133,0.112246,0.020983,0.064965,-0.041949,0.006013,-0.006535,0.003993,0.540082,0.658776,-2.619649,-1.14116
875,0.033937,0.053569,-0.027818,0.000422,0.006826,0.005632,-0.152929,0.076388,0.36021,0.14572,0.021058,0.064895,-0.041901,-0.000366,-0.004076,0.005384,-0.305924,-0.33817,-0.173689,-1.140997
876,0.033792,0.053846,-0.027585,-0.006267,0.007511,0.006628,-0.05934,-0.024606,0.24835,0.226386,0.021214,0.064779,-0.041844,0.006569,-0.002255,-0.001144,3.437649,-4.510366,-0.386409,-1.134629
877,0.033674,0.054081,-0.027332,0.000424,0.006752,0.005511,0.003,-0.033163,0.045996,0.291539,0.021356,0.064691,-0.041799,0.000323,0.000563,0.000461,-0.077617,-0.106915,-0.05567,-1.134955
878,0.033646,0.054209,-0.027232,-0.00637,0.005621,0.005042,0.092208,0.115377,0.008671,0.318319,0.021448,0.064655,-0.041807,0.006402,-0.002336,-0.001337,-0.02946,-0.060352,0.006743,-1.135282
879,0.033678,0.054415,-0.027078,0.000278,0.004451,0.00361,0.000678,-0.016589,0.0242,0.346078,0.021567,0.064621,-0.041805,0.000359,0.000624,0.000514,0.347499,-0.360104,-0.005282,-1.133322
880,0.033727,0.054567,-0.026965,0.000182,0.002945,0.002384,0.000876,-0.016471,0.024206,0.356855,0.021652,0.064593,-0.041762,0.000757,0.001312,0.001085,0.004237,-0.014797,0.026231,-1.12973
881,0.033805,0.054681,-0.026942,-0.000203,0.006768,-0.00308,0.038228,-0.028127,0.041436,0.356039,0.021716,0.064593,-0.041706,0.000809,0.001405,0.001162,0.008287,-0.0039,0.030742,-1.128423
882,0.033875,0.054729,-0.02696,2e-05,0.000335,0.000273,-0.012217,0.104785,-0.16805,0.353263,0.021717,0.064583,-0.041655,-0.000301,-0.003982,0.005467,-0.183635,-0.269724,0.054091,-1.13022
883,0.034047,0.054877,-0.027096,0.00638,0.004868,-0.005081,0.051389,-0.032914,0.039406,0.33677,0.021709,0.064515,-0.041528,-0.000365,-0.004089,0.005382,-0.028114,-0.068658,0.162781,-1.131036
884,0.034272,0.055091,-0.02735,0.006059,0.009821,-0.009622,-0.100791,0.178677,0.221034,0.319462,0.021696,0.064399,-0.041336,2.6e-05,-0.003409,0.005946,-0.032212,0.010206,0.012096,-1.131689
885,0.034398,0.055221,-0.027492,0.006086,0.010348,-0.009194,0.036018,0.024726,0.021495,0.314726,0.021687,0.064337,-0.041218,0.000137,-0.003215,0.006107,-0.032625,0.023784,-0.013277,-1.132669
886,0.034677,0.055461,-0.027767,0.006322,0.003985,-0.005797,0.000529,0.041597,0.007691,0.306725,0.021701,0.064247,-0.041003,0.000887,0.001548,0.001278,0.153627,0.201006,0.109732,-1.130546
887,0.035017,0.055651,-0.028017,0.006317,0.003977,-0.005805,0.032703,0.006217,-0.045697,0.298397,0.021675,0.064206,-0.040894,0.000127,0.00023,0.00019,0.035399,0.059852,0.029699,-1.130056
888,0.035194,0.055767,-0.028154,0.006325,0.004152,-0.005665,0.06192,-0.043868,0.041789,0.297417,0.021669,0.0642,-0.040887,-4.9e-05,-8.2e-05,-6.7e-05,0.212872,0.278531,0.148077,-1.133159
889,0.035584,0.055973,-0.028407,0.013025,0.004481,-0.005898,-1.125844,-1.221833,-0.26054,0.292845,0.021629,0.064206,-0.040898,-0.000162,-0.00028,-0.000229,-0.014594,-0.013596,-0.008714,-1.122708
890,0.036033,0.05612,-0.028552,0.013111,0.006715,-0.004044,-0.283133,-0.430874,0.051116,0.275047,0.02163,0.064259,-0.041005,-0.000887,-0.001541,-0.001272,-0.000708,0.012876,-0.02565,-1.121239
891,0.03653,0.056254,-0.028557,0.013477,0.002785,0.001301,0.007535,-0.044487,0.082117,0.253656,0.021668,0.064306,-0.041146,0.000432,0.004205,-0.005288,0.032398,-0.023715,0.013519,-1.119769
892,0.036772,0.056313,-0.028533,0.006798,0.002828,0.001809,0.005165,-0.02926,0.053367,0.255288,0.021679,0.064323,-0.041203,0.000248,0.003886,-0.005551,0.03202,-0.009955,-0.012078,-1.120749
893,0.037168,0.056357,-0.028481,0.006707,0.000718,6.5e-05,-1.070784,-1.297731,-0.051643,0.256595,0.021678,0.064307,-0.04128,-0.000764,-0.00133,-0.001102,9.9e-05,-8.8e-05,8e-06,-1.122382
894,0.037547,0.056342,-0.028458,0.013357,0.000417,-0.000647,-0.28407,-0.375984,-0.18158,0.254309,0.021658,0.064269,-0.041305,-0.000113,-0.000195,-0.00016,6.9e-05,-5.8e-05,7e-06,-1.123361
895,0.037712,0.056345,-0.028475,0.00676,-0.000175,-0.000867,-3.526093,-4.290276,-0.307336,0.253819,0.021653,0.064261,-0.041312,-0.000207,-0.000359,-0.000297,6e-05,-4.7e-05,4e-06,-1.123688
896,0.038002,0.056344,-0.028504,0.006669,9.2e-05,-0.000414,0.234752,-0.523041,-0.264867,0.252839,0.021653,0.064252,-0.041325,-0.000302,-0.00052,-0.000432,3.8e-05,-3.7e-05,-7e-06,-1.123525
897,0.038213,0.056352,-0.028507,5e-06,0.000473,0.000397,0.162671,-0.439529,-0.237444,0.252349,0.021686,0.064261,-0.041341,0.000209,0.000361,0.000298,2.8e-05,-2.3e-05,1.5e-05,-1.122872
898,0.038344,0.056369,-0.028503,0.006665,0.000341,-0.0002,-0.140786,-0.539058,-0.361559,0.249247,0.021739,0.06425,-0.04134,-0.000872,-0.004977,0.004647,-0.032552,0.023297,-0.012641,-1.123362
899,0.038354,0.05637,-0.028504,-2.3e-05,-1.7e-05,7e-06,-0.043776,-0.026887,0.002618,0.245654,0.021751,0.06425,-0.041339,3.7e-05,6.6e-05,5.5e-05,-1.4e-05,-3.2e-05,8.3e-05,-1.123198
900,0.038324,0.056344,-0.028496,-4e-06,-3.7e-05,-2.6e-05,-1.127544,-1.225096,-0.130605,0.239776,0.021778,0.064241,-0.041357,-0.000189,-0.000333,-0.000277,1e-05,-8e-06,0.0,-1.123688
901,0.038226,0.056275,-0.028474,-5.6e-05,-0.001182,-0.000943,-0.00691,0.008668,-0.026085,0.23847,0.021818,0.064228,-0.041357,0.000421,0.000732,0.000605,2e-05,4e-06,1e-05,-1.124668
902,0.038166,0.056245,-0.028475,-3.8e-05,-0.000703,-0.000557,-0.005418,-0.007267,-0.001819,0.238306,0.021842,0.064224,-0.041346,-0.00069,-0.004663,0.004907,-0.032334,0.02346,-0.01322,-1.124668
903,0.038041,0.056233,-0.028462,1.9e-05,0.000895,0.000738,-0.02527,-0.046708,0.019622,0.237653,0.021849,0.064246,-0.041328,8.7e-05,0.000153,0.000126,1.1e-05,-1e-06,-6e-06,-1.124178
904,0.037894,0.056243,-0.028398,-0.006631,0.001512,0.00173,-0.005131,0.016839,-0.02791,0.237,0.021849,0.064256,-0.04132,0.00014,0.000241,0.000201,-0.075806,-0.103715,-0.05432,-1.124178
905,0.037718,0.05629,-0.028302,-0.006596,0.002267,0.002335,0.001642,0.001392,-0.005143,0.233081,0.021844,0.064252,-0.041311,-0.000224,-0.000385,-0.000319,0.00137,0.001561,0.000896,-1.124015
906,0.037614,0.056337,-0.028261,-0.006581,0.002472,0.002499,0.001184,0.001177,-0.004927,0.230142,0.021838,0.064228,-0.041298,-8.3e-05,-0.000141,-0.000117,0.000148,0.000265,9.1e-05,-1.123198
907,0.037359,0.05643,-0.028148,-0.006543,0.003243,0.003114,-0.008699,-0.008518,-0.008936,0.226223,0.021828,0.064206,-0.041277,0.0,2e-06,1e-06,0.008701,0.008977,0.005496,-1.124178
908,0.037035,0.056556,-0.028016,-0.006507,0.003873,0.003612,-0.001592,0.003594,-0.012796,0.219365,0.021851,0.064198,-0.041288,0.006268,-0.002565,-0.001524,0.001225,-0.014346,0.029312,-1.125974
909,0.036904,0.056651,-0.02793,-0.00643,0.005515,0.004924,-0.000163,0.001646,-0.008456,0.213813,0.021874,0.064185,-0.04129,1e-06,4e-06,4e-06,-2.4e-05,0.000105,-1.6e-05,-1.126791
910,0.03663,0.056863,-0.027713,-0.006377,0.006286,0.005513,0.000153,0.000428,-0.005334,0.207934,0.021923,0.064169,-0.041298,5.3e-05,9.5e-05,7.9e-05,-4e-05,5.1e-05,-2.6e-05,-1.126137
911,0.036425,0.057071,-0.027461,-0.006345,0.006617,0.00575,8.6e-05,6.9e-05,-0.005012,0.204995,0.02197,0.06415,-0.04131,-0.000308,-0.000535,-0.000444,0.003054,-0.094279,0.17507,-1.127444
