frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
988,0.02705,0.057462,-0.008849,-0.012927,0.009532,-0.007598,0.239216,0.256485,1.752131,-0.121776,0.051277,0.04215,-0.0501,0.007372,0.003595,-0.005372,1.285905,0.163188,-1.028012,-0.763076
989,0.026571,0.057807,-0.009146,-0.018473,0.008095,-0.007958,-0.327204,0.347699,0.332465,-0.022495,0.051523,0.042191,-0.05021,0.006367,-0.001704,-0.000952,1.235273,0.129902,-1.058548,-0.77124
990,0.025986,0.058251,-0.009535,-0.01349,0.014084,-0.011899,-0.01675,0.615096,1.713848,0.023063,0.051681,0.042101,-0.050199,-0.000901,-0.005131,0.004535,0.229028,-0.17277,-0.453286,-0.778099
991,0.025668,0.058486,-0.009743,-0.019142,0.013421,-0.011817,-0.370299,0.370498,0.241617,0.040372,0.05173,0.042025,-0.050165,-0.00127,-0.005833,0.00405,-0.036389,-0.286411,-0.080084,-0.778915
992,0.024915,0.059005,-0.010215,-0.019006,0.012911,-0.012058,-0.128214,0.209508,0.104251,0.06013,0.051832,0.041861,-0.050092,0.000336,0.000644,0.000449,-0.197991,-0.57175,-0.097535,-0.777119
993,0.0241,0.059552,-0.010695,-0.025391,0.018296,-0.015414,0.103961,0.068994,-0.019448,0.064539,0.051873,0.041737,-0.049988,-0.00077,-0.004879,0.004719,0.091666,-0.033004,0.087728,-0.77271
994,0.02324,0.060143,-0.011209,-0.024494,0.012261,-0.011907,0.075231,0.084182,0.002157,0.07009,0.051825,0.041578,-0.049789,-0.001217,-0.009132,0.009874,-0.029464,0.039652,-0.026642,-0.780875
995,0.022795,0.060435,-0.011464,-0.024383,0.012277,-0.011862,1.655044,0.487729,5.228816,0.074009,0.051804,0.041456,-0.049655,-0.00136,-0.009396,0.009692,1.269629,0.27398,-1.01374,-0.781038
996,0.022053,0.060937,-0.011914,-0.018742,0.012758,-0.011995,0.065983,0.063074,-0.020469,0.076622,0.051759,0.04109,-0.049216,-0.000117,-0.007009,0.011361,-0.01075,0.056918,0.232247,-0.780221
997,0.021455,0.061236,-0.012256,-0.011597,0.001474,-0.005132,-0.070167,0.115721,0.010203,0.078092,0.051634,0.040666,-0.048528,-0.006234,-0.008188,0.018434,0.284299,-0.719057,0.361378,-0.778262
998,0.02126,0.061289,-0.012366,-0.006021,0.00243,-0.005018,-0.00971,0.05647,0.003166,0.078582,0.051549,0.040448,-0.048122,-0.000816,-0.015144,0.021984,-0.011613,-0.195861,0.292606,-0.779895
999,0.021135,0.061223,-0.012434,0.000956,-0.007873,0.002368,-0.03551,0.008439,-0.02137,0.078092,0.051556,0.039975,-0.04736,0.006138,-0.012352,0.016038,-0.361235,-0.693426,-0.140849,-0.778915
1000,0.021157,0.061081,-0.012433,0.000925,-0.007618,0.002508,0.093521,0.233342,-0.080645,0.07352,0.051617,0.039548,-0.046703,-0.000287,-0.010737,0.016936,-0.442566,-1.028344,-0.123923,-0.791978
1001,0.021303,0.060968,-0.012415,0.006513,-0.006618,0.002647,-0.040622,0.006574,-0.011892,0.065845,0.051599,0.039143,-0.046172,-0.001574,-0.013232,0.015257,-0.226063,-0.447709,0.1876,-0.800469
1002,0.021399,0.060946,-0.012409,0.005635,0.000547,-0.000121,0.001225,-0.016006,0.028337,0.062906,0.051587,0.038939,-0.045928,0.005409,-0.010395,0.009315,-0.106595,-0.245731,0.356292,-0.803735
1003,0.02159,0.060958,-0.012406,2.2e-05,-0.000182,-0.000109,-0.016878,0.118197,-0.158182,0.060456,0.051585,0.038656,-0.045579,-0.000426,-0.004046,0.005217,4.62256,0.566225,-2.64431,-0.813859
1004,0.021732,0.060955,-0.012404,0.005638,0.000543,-0.000122,0.001868,-0.015231,0.028778,0.058334,0.051639,0.038471,-0.045417,0.004869,-0.008158,0.002751,1.125106,-1.953812,1.934559,-0.813859
1005,0.021785,0.060939,-0.012396,0.000765,-0.006077,0.003384,-0.036777,0.009828,-0.018606,0.057027,0.05171,0.038429,-0.045468,0.006028,0.000985,-0.007212,-0.052011,-0.332556,0.128313,-0.81043
1006,0.021865,0.060917,-0.012378,0.000751,-0.005923,0.003474,-0.036767,0.009804,-0.018484,0.055394,0.051905,0.038501,-0.04574,0.006147,0.001205,-0.007064,0.021474,-0.118017,0.202772,-0.800959
