frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
12,-0.004506,0.038202,0.010186,0.000342,0.001478,0.000893,0.018334,-0.020909,-0.004847,-0.908673,0.116137,0.031356,-0.023871,2e-05,-0.000477,-0.000201,-0.005141,0.001378,-0.002403,-0.542307
13,-0.004491,0.038225,0.010233,0.0002,0.000878,0.000529,-0.324009,0.445026,0.253432,-0.908347,0.116138,0.031351,-0.023868,-2e-06,8e-06,3e-06,-0.00012,-1.2e-05,-6.7e-05,-0.54296
14,-0.004477,0.038226,0.010291,9.3e-05,-0.004358,0.004948,-0.034106,0.012467,-0.01691,-0.913899,0.116138,0.031351,-0.023868,-4e-06,5e-06,3e-06,-1.8e-05,-3.3e-05,-2.2e-05,-0.54394
15,-0.004471,0.03821,0.010321,9.1e-05,0.000403,0.000243,0.021912,0.045103,-0.053475,-0.916511,0.116138,0.031355,-0.023866,-8e-06,0.000105,4.6e-05,-3e-06,-5e-06,-1e-06,-0.544266
16,-0.004466,0.038171,0.010388,-0.000124,-0.005288,0.004389,-0.036364,0.015818,-0.015769,-0.918797,0.116133,0.031359,-0.02387,-1e-06,-4e-06,0.0,8e-06,2e-06,3e-06,-0.544266
17,-0.004441,0.038101,0.010435,0.006141,-0.000924,-0.000915,-0.010406,-0.007923,0.030419,-0.917817,0.116142,0.031356,-0.023866,0.0,-2e-06,-1e-06,6e-06,1.3e-05,9e-06,-0.544593
18,-0.004435,0.038079,0.010461,1.5e-05,6.8e-05,4.1e-05,-0.023902,0.104882,-0.171675,-0.918307,0.116142,0.031359,-0.02387,0.0,1e-06,-0.0,0.000289,-4.9e-05,-6.5e-05,-0.545246
19,-0.004436,0.038069,0.010467,-0.000106,-0.000453,-0.000273,-0.00454,0.004628,0.002124,-0.918144,0.116142,0.031359,-0.02387,-0.0,1e-06,-0.0,8.7e-05,2.5e-05,-0.000113,-0.54541
20,-0.004437,0.038059,0.010472,-1e-06,-0.0,-1e-06,-9.1e-05,8.2e-05,4.3e-05,-0.918634,0.116141,0.031363,-0.023868,-0.000111,-0.000105,-6.9e-05,-3.146631,-1.153511,4.398319,-0.546063
21,-0.00445,0.038065,0.010476,1.2e-05,5.3e-05,3.2e-05,-2.1e-05,1.4e-05,-0.0,-0.919614,0.116137,0.031363,-0.023868,1e-06,-2e-06,-2e-06,0.000145,2.2e-05,-0.000183,-0.545736
22,-0.004449,0.038064,0.010482,1.7e-05,7.3e-05,4.3e-05,0.000508,-0.000615,-0.000292,-0.91945,0.116141,0.031363,-0.023868,1e-06,-2e-06,-3e-06,9.9e-05,4.3e-05,-0.000157,-0.545083
23,-0.004437,0.038079,0.010484,8e-06,3.8e-05,2.1e-05,-8e-05,-6.6e-05,-5.6e-05,-0.918144,0.116141,0.031363,-0.023868,1e-06,-1e-06,-3e-06,6.6e-05,4.2e-05,-9.8e-05,-0.54492
24,-0.004431,0.038085,0.010488,-0.0,-1e-06,-0.0,-6.1e-05,-3.1e-05,-4.8e-05,-0.919287,0.116141,0.031363,-0.023868,1e-06,-1e-06,-3e-06,3.7e-05,2.3e-05,-6.5e-05,-0.545083
25,-0.004427,0.03808,0.010485,-3e-06,-1.3e-05,-7e-06,-3.6e-05,-2.3e-05,-2.9e-05,-0.91994,0.116137,0.031359,-0.02387,0.0,6e-06,0.0,1.8e-05,-3e-06,-6.3e-05,-0.545083
26,-0.004426,0.038088,0.010483,0.000174,0.005519,-0.004253,0.035633,-0.016321,0.015271,-0.920267,0.116137,0.031359,-0.02387,-1e-06,5e-06,0.0,6e-06,-2.2e-05,-7.4e-05,-0.54492
27,-0.004413,0.038079,0.010483,-6.2e-05,-0.000268,-0.000161,-3.1e-05,-2e-05,-1.5e-05,-0.921083,0.116142,0.031359,-0.02387,-3e-06,3e-06,0.0,1.9e-05,-2.8e-05,-7.1e-05,-0.545083
