frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
926,0.023446,0.051475,-0.009184,5.8e-05,0.001284,0.000865,1.529758,0.260506,0.632021,-0.803351,0.054641,0.036172,-0.056807,-0.006056,0.002295,0.001515,-0.000995,0.014705,-0.029557,0.192501
927,0.023451,0.051561,-0.009127,0.000146,0.002692,0.001784,0.458615,0.076954,0.189961,-0.804167,0.054517,0.03615,-0.056679,-0.000402,-0.004753,0.004762,-0.056011,-0.01219,-0.040235,0.274473
928,0.02344,0.051618,-0.009088,0.000145,0.002659,0.001761,-0.005182,0.012588,0.010085,-0.801881,0.054432,0.036096,-0.056578,-0.006574,-0.002804,0.006036,-0.027915,0.043481,-0.044898,0.316928
929,0.023441,0.051679,-0.009025,0.000331,-0.004107,0.004782,-0.035202,-0.002969,0.007386,-0.800575,0.05427,0.035935,-0.056249,-0.006189,-0.005415,0.012449,-3.967644,3.848114,0.856353,0.394654
930,0.023453,0.051727,-0.008988,6.1e-05,0.001155,0.000762,0.001372,-0.017044,0.023152,-0.799269,0.054202,0.035746,-0.055795,0.000409,-0.005928,0.012001,-0.061659,0.01088,0.201441,0.44854
931,0.023466,0.051722,-0.008992,-3.7e-05,-0.00071,-0.000473,0.000749,-0.000946,0.000482,-0.800248,0.054214,0.035446,-0.055283,0.000846,-0.004658,0.012873,0.403146,0.723949,0.598618,0.468298
932,0.023461,0.051713,-0.008998,-2.3e-05,-0.000443,-0.000294,-0.00033,-0.000188,-0.000118,-0.797799,0.054219,0.035349,-0.054994,0.001734,-0.002057,0.01465,0.642197,0.853163,0.690429,0.476136
933,0.023409,0.051678,-0.009018,-3.5e-05,-0.000648,-0.000428,-0.000225,-3.9e-05,-0.0001,-0.795839,0.054166,0.035249,-0.054275,-0.004471,-0.003772,0.021415,0.300295,0.386303,0.604273,0.496384
934,0.023358,0.051651,-0.009032,-5.9e-05,-0.001091,-0.000721,-0.000152,-1.7e-05,-7.2e-05,-0.798289,0.054142,0.034962,-0.053348,0.001564,-0.009683,0.025462,0.07756,0.260868,0.323719,0.507651
935,0.023334,0.051632,-0.009043,-6.2e-05,-0.001123,-0.000742,-0.000133,-2.7e-05,-4.6e-05,-0.798452,0.05415,0.034835,-0.052858,-0.003915,-0.005742,0.028043,0.102868,0.296731,0.338282,0.507325
936,0.023301,0.051618,-0.00905,3e-06,5e-05,3.4e-05,-9.1e-05,2e-06,-3e-05,-0.799268,0.054156,0.034691,-0.051753,0.003741,-0.003268,0.029661,-0.000552,0.222802,0.145137,0.498017
937,0.023274,0.05162,-0.009047,2e-06,1.9e-05,1.6e-05,-5.2e-05,-1e-05,8e-06,-0.800412,0.054162,0.034769,-0.050601,0.005215,0.004675,0.026806,0.195411,0.413642,0.266847,0.492139
938,0.023256,0.051612,-0.009051,-4.8e-05,-0.000866,-0.000575,-2.6e-05,1.2e-05,-1.6e-05,-0.801228,0.054153,0.035018,-0.049523,-0.000567,0.007589,0.028486,-0.097683,0.014919,0.071415,0.482178
939,0.023246,0.051599,-0.009059,-2.3e-05,-0.000413,-0.000274,-2.1e-05,-1.2e-05,-1.7e-05,-0.801881,0.054134,0.03522,-0.048975,-0.000414,0.008001,0.028641,-0.099094,0.058632,-0.027953,0.477769
940,0.023217,0.051573,-0.009074,-3.1e-05,-0.000569,-0.000374,-2.6e-05,1e-06,9e-06,-0.802208,0.054026,0.035704,-0.047977,-0.006209,0.014207,0.024521,-0.078479,3.3e-05,0.006871,0.483811
941,0.023187,0.051526,-0.009103,-6.5e-05,-0.001149,-0.000762,-1.7e-05,-2.4e-05,3.8e-05,-0.802861,0.053781,0.036203,-0.047099,-0.007689,0.009679,0.021536,-0.078853,0.01541,-0.018817,0.487077
942,0.023186,0.051503,-0.009118,-5.6e-05,-0.001026,-0.000681,-1e-05,5e-06,2.2e-05,-0.803024,0.053633,0.036421,-0.046714,-0.007791,0.012831,0.015665,-0.047535,-0.003998,-0.003203,0.486914
943,0.023192,0.051451,-0.009154,-4.5e-05,-0.000822,-0.000545,6e-06,1.3e-05,-2e-05,-0.804004,0.053405,0.036761,-0.046174,-0.009358,0.011669,0.007161,0.224002,0.303707,0.134066,0.481852
944,0.023209,0.05142,-0.009176,-5.1e-05,-0.00092,-0.000613,-0.001592,0.017009,-0.023196,-0.804657,0.053035,0.037087,-0.046044,-0.012071,0.003726,0.002341,0.382096,0.547546,0.186066,0.472217
945,0.023193,0.051389,-0.009195,-3e-05,-0.000552,-0.000367,0.0,-1.4e-05,9e-06,-0.804984,0.052581,0.03736,-0.046273,-0.012927,0.008308,-0.01028,0.288735,0.323767,0.100793,0.453765
946,0.023188,0.051381,-0.009201,-8e-06,-0.000148,-9.8e-05,0.000456,0.001267,-0.001402,-0.805637,0.052381,0.037437,-0.046451,-0.007798,0.003882,-0.013009,0.534389,0.444603,0.152943,0.447397
