frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
2556,0.015705,0.068587,-0.011914,0.031913,-0.016792,0.009646,0.630332,1.309057,-0.072459,-0.975786,0.091563,0.041562,-0.070935,-0.013889,-0.011476,0.018418,1.619395,-1.966419,0.91343,-1.024341
2557,0.017297,0.067769,-0.011482,0.044757,-0.022905,0.01229,0.847532,0.938402,0.161723,-0.991135,0.090858,0.040984,-0.070064,-0.020954,-0.014837,0.025117,0.786011,-0.067544,0.399149,-0.982702
2558,0.019198,0.066774,-0.010969,0.051266,-0.0294,0.015098,2.212632,4.272156,2.269585,-0.990808,0.089851,0.040091,-0.068771,-0.027712,-0.029216,0.039938,0.410575,-0.107555,-0.247038,-0.974537
2559,0.021348,0.065544,-0.010394,0.05779,-0.037575,0.01639,2.480251,3.755195,2.535467,-0.937576,0.088603,0.038772,-0.067094,-0.034848,-0.040691,0.047834,0.814945,0.497839,-0.277658,-0.964086
2560,0.022453,0.064763,-0.010102,0.057557,-0.04144,0.013161,1.380059,0.518161,-2.360746,-0.888425,0.087955,0.037981,-0.066168,-0.034801,-0.045918,0.052229,1.799822,-1.305835,0.238596,-0.965556
2561,0.024653,0.062749,-0.009656,0.057239,-0.058639,0.007727,2.681559,3.850837,2.404273,-0.819027,0.086509,0.036161,-0.06401,-0.042184,-0.049649,0.058439,2.169397,-0.755894,0.084897,-0.974047
2562,0.026853,0.060167,-0.009366,0.05145,-0.069799,0.007169,0.975936,-0.244413,-1.053449,-0.784246,0.084998,0.03403,-0.061634,-0.042409,-0.062596,0.064724,0.900476,0.780081,-0.517666,-0.968985
2563,0.027867,0.058857,-0.009249,0.051929,-0.070966,0.006083,1.583681,0.967808,-0.149925,-0.759262,0.084277,0.03286,-0.060442,-0.035349,-0.06447,0.062613,0.891555,0.498241,-0.278922,-0.967516
2564,0.029872,0.056092,-0.009116,0.04598,-0.068366,-0.000247,0.786873,-0.179819,-1.042362,-0.642673,0.082926,0.030387,-0.05821,-0.036205,-0.064512,0.052718,2.352492,-1.272671,0.880275,-0.936327
2565,0.03162,0.053335,-0.009143,0.040149,-0.070842,-0.002401,0.273688,0.06587,-0.746998,-0.476117,0.081712,0.027995,-0.056356,-0.021984,-0.056144,0.041351,0.711199,0.319374,1.362301,-0.857621
2566,0.033084,0.050595,-0.009366,0.026997,-0.068292,-0.008701,0.171263,0.094052,-0.714838,-0.333401,0.080719,0.025987,-0.054863,-0.022316,-0.045073,0.033038,0.460266,0.087123,1.503062,-0.685186
2567,0.033717,0.049177,-0.00955,0.027284,-0.06945,-0.010129,0.019237,0.073663,-0.485373,-0.261389,0.080367,0.025143,-0.054259,-0.014896,-0.045375,0.032576,1.851522,0.640422,-3.622789,-0.613338
2568,0.034649,0.046617,-0.009991,0.013751,-0.062718,-0.012857,0.444428,-0.145063,-0.693018,-0.114428,0.07999,0.02377,-0.053414,-0.007768,-0.031541,0.017011,0.261041,-0.292073,1.606401,-0.506873
2569,0.035236,0.044187,-0.010539,0.006681,-0.057664,-0.01765,0.049709,0.113696,-0.514128,0.014572,0.079979,0.022886,-0.053022,0.007276,-0.014871,0.004261,-0.736448,0.036044,0.879652,-0.412491
2570,0.035402,0.042972,-0.010863,0.006741,-0.057685,-0.018112,-0.089712,0.205095,-0.446114,0.075316,0.080093,0.022661,-0.052976,0.007296,-0.009013,0.000399,-0.062078,-0.410251,0.85842,-0.319089
2571,0.035468,0.040756,-0.011589,-0.000372,-0.058654,-0.019401,-0.162283,0.189894,-0.284941,0.199253,0.08051,0.0225,-0.053168,0.014666,2e-06,-0.010317,0.04979,-0.201211,0.380672,-0.064519
2572,0.035233,0.038543,-0.012476,-0.015271,-0.054314,-0.024603,-0.127919,0.205077,-0.328501,0.311271,0.08125,0.022459,-0.053626,0.022053,-0.002965,-0.013676,0.044472,-0.122821,0.233905,0.172089
2573,0.035021,0.037492,-0.012944,-0.008259,-0.055347,-0.026737,-0.125126,0.192561,-0.303243,0.35046,0.081748,0.022376,-0.053907,0.029508,-0.005252,-0.016326,0.042259,-0.12325,0.237552,0.249816
2574,0.034335,0.0353,-0.014041,-0.023306,-0.056864,-0.028473,-0.130379,0.239693,-0.390122,0.414634,0.083022,0.022051,-0.054595,0.036976,-0.009135,-0.020894,0.04362,-0.137418,0.267174,0.349096
2575,0.033324,0.033145,-0.015271,-0.031704,-0.052477,-0.034711,-0.085837,0.153541,-0.258434,0.450558,0.084591,0.021642,-0.055469,0.044686,-0.01133,-0.023838,-0.950196,0.008621,-0.024985,0.402819
2576,0.032026,0.03107,-0.016605,-0.039912,-0.05188,-0.035093,-0.124652,-0.14243,0.097923,0.466887,0.086401,0.021212,-0.056449,0.052593,-0.012235,-0.025515,-0.014522,-0.016784,0.116841,0.436457
2577,0.031282,0.030069,-0.017304,-0.040352,-0.051697,-0.035714,-0.075966,0.044816,-0.088286,0.470969,0.087387,0.021011,-0.056985,0.05262,-0.007071,-0.030375,0.07875,-0.073999,0.14502,0.452786
2578,0.029642,0.028168,-0.018766,-0.041144,-0.050008,-0.035445,-0.091056,0.009788,-0.062049,0.471949,0.089418,0.020687,-0.058172,0.052948,-0.007276,-0.031226,-2.117068,1.56343,-0.266399,0.47336
2579,0.027973,0.026523,-0.020222,-0.041816,-0.039986,-0.035728,-0.052063,0.111724,-0.206974,0.464764,0.091396,0.020563,-0.059403,0.053151,0.002141,-0.031458,0.117574,0.004576,-0.023559,0.471401
2580,0.026416,0.025129,-0.021725,-0.034826,-0.032285,-0.039056,-0.549371,0.418014,0.261149,0.457416,0.093015,0.020792,-0.06052,0.037719,0.01264,-0.02953,0.340478,-0.097766,-1.950842,0.467482
2581,0.025737,0.024542,-0.022464,-0.035333,-0.026635,-0.043692,0.053942,-0.023133,0.009749,0.456763,0.093704,0.02106,-0.061061,0.030012,0.015396,-0.026028,-0.117555,-0.302034,-0.371822,0.458991
