frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
222,0.030748,0.030673,-0.018568,-0.022744,0.00562,-0.002407,-0.596989,-1.507447,-0.504467,-0.889895,0.064041,0.031368,-0.06694,0.005965,0.00464,-0.026262,0.109377,-0.119207,0.176775,-0.187803
223,0.029854,0.030953,-0.018696,-0.022685,0.00627,-0.00167,-0.148475,-0.637899,0.033172,-0.892344,0.064378,0.031479,-0.067942,0.013413,0.003439,-0.027614,0.106388,-0.030102,0.036778,0.11804
224,0.029367,0.031062,-0.018733,-0.022527,0.005709,-0.002516,-2.123796,-4.985332,-2.733495,-0.892997,0.064694,0.031584,-0.068491,0.021127,0.003681,-0.027188,0.112697,-0.144397,0.238273,0.273493
225,0.028369,0.031196,-0.018756,-0.022223,0.000118,0.001463,-1.893243,-6.575053,-0.598907,-0.900835,0.065588,0.031919,-0.069614,0.021824,0.012087,-0.028017,0.127043,-0.234199,0.006266,0.412616
226,0.02729,0.031269,-0.018712,-0.029756,0.000275,0.002309,-1.639487,-4.754127,-2.435296,-0.908347,0.0668,0.032458,-0.0707,0.037384,0.013847,-0.025639,0.083057,-0.905651,-0.114728,0.432374
227,0.026741,0.031295,-0.018671,-0.030129,0.006287,-0.00141,-0.10695,-0.464005,-0.204361,-0.907857,0.067464,0.032774,-0.071195,0.037684,0.02063,-0.028313,0.091995,-0.541357,-0.37352,0.43711
228,0.025669,0.031357,-0.01862,-0.029932,0.000222,0.002015,-0.083752,-1.813708,-0.80489,-0.908836,0.069006,0.033462,-0.072175,0.045113,0.015455,-0.023793,0.147581,-0.183414,0.190443,0.43515
229,0.024796,0.031481,-0.018693,-0.022789,0.004197,-0.003991,-1.370375,-4.950017,-3.46164,-0.908673,0.070646,0.034043,-0.073038,0.037477,0.011127,-0.018538,-0.006454,0.422475,-0.55682,0.418495
230,0.024272,0.031681,-0.018944,-0.008269,0.008368,-0.010553,-1.230129,-5.541009,-2.716576,-0.8961,0.072304,0.034353,-0.073661,0.037374,0.000827,-0.009576,0.042258,-0.084711,0.173721,0.38747
231,0.024189,0.031771,-0.019151,-0.000797,0.000613,-0.00986,0.126599,-0.605447,-0.450328,-0.897406,0.073112,0.034367,-0.073859,0.037349,0.000683,-0.009846,0.040897,-0.075577,0.147674,0.350892
232,0.02436,0.031926,-0.019772,0.013645,0.003307,-0.018113,-0.191287,-1.515047,-1.057351,-0.901325,0.074614,0.034078,-0.073979,0.037372,-0.015109,0.003294,-0.048011,0.446898,0.443999,0.2183
