frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
753,0.043588,0.027332,-0.004737,-0.000473,0.004124,-0.005935,0.185066,-0.147997,-0.068536,-0.246856,0.074086,0.016485,-0.047259,2.1e-05,0.000132,0.000176,0.255519,0.504381,0.187889,-0.830025
754,0.04364,0.027322,-0.00479,-9e-06,-0.001703,-0.002196,-0.011297,0.025573,-0.024142,-0.180071,0.074039,0.016518,-0.047268,-0.007997,0.001067,0.00124,0.014498,0.062258,0.00999,-0.88783
755,0.043682,0.027286,-0.004951,-1.5e-05,-0.00289,-0.003736,-0.013048,0.026959,-0.029927,-0.075728,0.073945,0.01658,-0.047274,5.3e-05,0.000341,0.000453,0.244872,0.482619,0.177692,-0.904812
756,0.043657,0.027208,-0.005211,-0.000492,0.000939,-0.010071,0.261613,-0.295742,0.037545,-0.038988,0.073838,0.01662,-0.047266,-0.008025,0.00088,0.000989,0.045433,0.117137,0.02305,-0.930612
757,0.043642,0.027147,-0.005365,-3.3e-05,-0.005198,-0.006754,0.610505,-0.630392,-0.201025,-0.027721,0.073785,0.016648,-0.047256,-0.007984,0.001141,0.001329,0.104733,0.229445,0.058137,-0.930776
758,0.043603,0.02702,-0.005714,-0.000503,-0.000404,-0.011864,0.444222,-0.467123,-0.067953,-0.015147,0.07368,0.016689,-0.047229,3.3e-05,0.000221,0.000294,0.233585,0.490955,0.225183,-0.939593
759,0.043492,0.026858,-0.006111,-0.00845,-0.001555,-0.012552,0.592923,-0.617703,-0.209977,-0.020536,0.073567,0.016716,-0.047205,9.6e-05,0.000189,0.000456,-1.378293,0.98167,5.26733,-0.951023
760,0.043404,0.026762,-0.006314,-5.7e-05,-0.007176,-0.009455,0.403292,-0.538744,-0.260284,-0.026414,0.073513,0.016731,-0.047204,-3e-06,-2e-06,-2e-06,-0.004761,-0.015357,0.008558,-0.952819
761,0.04312,0.026531,-0.00676,-0.008037,-0.008379,-0.010253,0.544443,-0.563326,-0.237418,-0.042417,0.073422,0.016768,-0.047233,-1e-06,-6e-06,-1.2e-05,0.000712,-0.008906,-0.001456,-0.960494
762,0.042761,0.026331,-0.007229,-0.008513,-0.002073,-0.013405,0.627694,-0.586374,-0.19125,-0.054174,0.073375,0.016838,-0.047288,9.3e-05,0.005505,-0.004146,-0.181609,0.116983,-0.062044,-0.983355
763,0.042248,0.02621,-0.007657,-0.016499,-0.001244,-0.011494,0.640442,-0.60924,-0.186298,-0.054174,0.07337,0.016915,-0.04734,0.000103,0.00058,0.000786,-0.276647,0.487484,1.702896,-0.990866
764,0.04192,0.02619,-0.007884,-0.016489,-0.001177,-0.01139,-3.139963,-3.625677,-3.896809,-0.056133,0.073378,0.016962,-0.047364,9.8e-05,0.000616,0.000806,-0.099701,0.207216,0.33194,-1.001153
765,0.041181,0.026203,-0.008355,-0.024526,-0.000996,-0.010426,0.020025,-0.005003,0.058779,-0.063808,0.073402,0.017059,-0.047381,0.00021,0.001329,0.001742,0.085548,0.143742,0.104675,-0.992989
