frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
2131,0.042156,0.054444,-0.005548,0.014271,1e-05,-0.001347,-0.163187,1.188589,-0.369956,-0.039151,0.093139,0.046334,-0.048943,-0.007113,-0.006788,0.003104,0.194002,0.023646,0.158524,-0.931755
2132,0.042608,0.054272,-0.005616,0.01481,-0.009009,-0.001014,3.279176,4.136158,3.144568,-0.039804,0.093061,0.045914,-0.048717,-0.007118,-0.006525,0.003376,0.119481,0.081691,0.305868,-0.932735
2133,0.042988,0.054075,-0.005763,0.007155,-0.004027,-0.00488,-0.45091,2.042826,-0.73849,-0.037191,0.093023,0.045495,-0.048433,0.000307,-0.011026,0.008266,1.378154,-0.5485,-0.529556,-0.933388
2134,0.043383,0.054032,-0.005905,0.01429,0.000375,-0.000969,0.055905,0.49081,1.82477,-0.025435,0.093009,0.04501,-0.048071,0.000315,-0.011071,0.007991,4.153322,-2.65281,-2.227712,-0.931265
2135,0.04364,0.054069,-0.005922,0.014303,0.001725,0.000385,0.817698,2.167189,0.178996,-0.014821,0.093011,0.044737,-0.047873,0.000471,-0.016233,0.012759,-0.073068,-0.427253,0.598892,-0.930449
2136,0.044311,0.05414,-0.005892,0.021493,0.002578,0.000367,3.804148,3.448945,2.85058,0.018981,0.092994,0.044209,-0.047466,-0.006787,-0.015598,0.013677,-0.078671,-0.393297,0.612476,-0.924407
2137,0.045012,0.054153,-0.005883,0.021968,-0.005456,0.001936,0.821607,1.712508,0.838869,0.055394,0.092819,0.04377,-0.047006,-0.006917,-0.008673,0.010973,-0.020213,-0.289528,0.425952,-0.927183
2138,0.045366,0.054155,-0.005918,0.021482,9.8e-05,-0.00209,1.066173,1.385011,0.63209,0.065682,0.092657,0.043584,-0.046772,-0.006918,-0.008512,0.011135,0.059522,-0.23783,0.230544,-0.923917
2139,0.046021,0.05414,-0.006008,0.01435,-0.000785,-0.002315,1.359515,1.070975,0.07743,0.074989,0.092205,0.043286,-0.046378,-0.014387,-0.003989,0.006197,1.348865,-0.875855,-0.310926,-0.92457
2140,0.046667,0.054129,-0.006088,0.014333,0.000243,-0.001235,0.103596,0.331714,-0.395923,0.078092,0.091667,0.04304,-0.046119,-0.01446,-0.005622,0.004553,-0.009969,-0.144441,0.272628,-0.924734
2141,0.047049,0.054138,-0.006112,0.021484,0.00107,-0.001147,-0.036092,0.280248,-0.410478,0.079561,0.091362,0.042941,-0.046041,-0.014486,-0.006135,0.004025,0.063946,-0.28935,0.155795,-0.92506
2142,0.047788,0.054133,-0.006143,0.014354,0.000226,-0.00156,4.767508,2.054749,1.873405,0.121527,0.090747,0.042834,-0.045939,-0.014465,-0.00536,0.004792,-0.190757,-0.474334,0.082026,-0.916406
2143,0.04848,0.054106,-0.006181,0.014377,-0.000404,-0.002,-0.239892,0.425065,0.350565,0.189129,0.090134,0.042818,-0.045907,-0.014596,-1.9e-05,0.000435,0.042443,-0.985226,-0.505581,-0.913956
2144,0.049124,0.054079,-0.006243,0.014383,-0.000299,-0.001912,-0.23585,0.565499,0.157885,0.244975,0.089527,0.042825,-0.045897,-0.01448,0.000244,0.000502,4.445107,-2.694282,-2.190526,-0.906118
2145,0.049437,0.054074,-0.006276,0.014385,-0.00017,-0.001789,-0.249756,0.514026,0.217258,0.270611,0.089209,0.042831,-0.045882,-0.014522,0.000346,0.000807,-0.055258,-2.442958,2.133513,-0.904812
2146,0.050076,0.054049,-0.006307,0.021516,0.001212,-0.001164,-0.00014,0.044133,-0.083023,0.318619,0.088564,0.042835,-0.045859,-0.014609,-0.000215,0.000197,-0.295419,-1.059101,0.061421,-0.903669
2147,0.050792,0.054043,-0.006284,0.014324,0.001251,-0.00034,0.00296,-0.032255,0.059108,0.347194,0.087989,0.042838,-0.045856,-0.014599,9.8e-05,0.000492,-0.135346,-0.491318,0.096209,-0.894525
