frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
902,0.027303,0.040061,-0.029522,-6.6e-05,-0.000631,-0.000684,-5e-06,5e-06,-4e-06,0.239749,0.093227,0.155695,-0.05212,-0.010191,-0.013382,-0.005381,3.125165,-4.537553,-1.772309,-0.999684
903,0.027318,0.040022,-0.029535,-7.6e-05,-0.000731,-0.00079,-4e-06,0.0,1e-06,0.245465,0.092894,0.155323,-0.052385,-0.006936,-0.006153,-0.007734,-0.105308,-0.651937,0.397482,-0.994948
904,0.027236,0.039998,-0.029593,-0.007448,-0.00157,-0.001262,-0.002048,0.015208,-0.029244,0.247424,0.092551,0.155273,-0.052659,-0.007001,0.004109,-0.006042,0.113541,-0.230967,0.228049,-0.99054
905,0.027188,0.039975,-0.029638,-0.000199,-0.0019,-0.002051,-1e-05,1.3e-05,-1.2e-05,0.247097,0.092363,0.155408,-0.052768,-0.006998,0.007451,-0.005463,0.082368,-0.268605,0.225978,-0.983355
906,0.027115,0.039915,-0.029722,-0.000147,-0.0014,-0.001514,-8e-06,7e-06,-1.3e-05,0.244975,0.091875,0.155008,-0.052773,-0.016794,-0.031434,0.005653,-0.099692,-0.266541,0.170093,-0.981232
907,0.027118,0.039772,-0.029787,0.007076,-0.009756,-0.00094,-0.034802,0.01308,-0.011938,0.233054,0.090963,0.153392,-0.052491,-0.02759,-0.052593,0.009503,0.103536,0.137885,0.311535,-0.989233
908,0.027114,0.039559,-0.029852,-0.000614,-0.013482,-0.004574,-0.038852,0.044376,-0.065113,0.20007,0.090398,0.152202,-0.052277,-0.028144,-0.06405,0.011158,0.117626,0.204872,0.3498,-0.989233
909,0.027041,0.038771,-0.030096,-0.001076,-0.025358,-0.007535,-0.08285,0.077849,-0.102634,0.063396,0.089391,0.149002,-0.051765,-0.029856,-0.101331,0.015499,0.235723,-0.261363,0.12785,-0.99005
910,0.026958,0.037925,-0.030593,-0.001727,-0.015987,-0.01779,-0.00553,0.061344,-0.096533,-0.049765,0.088133,0.144635,-0.051074,-0.035739,-0.119927,0.019956,0.420846,0.410118,0.858355,-0.990213
911,0.026929,0.037393,-0.031323,-0.001563,-0.01442,-0.016258,0.006143,-0.0626,0.093417,-0.087158,0.086715,0.139831,-0.050341,-0.038721,-0.137393,0.020534,0.259584,0.048177,0.126607,-0.992499
912,0.026867,0.037213,-0.031703,-0.009021,-0.007278,-0.018191,0.027343,0.064121,-0.108325,-0.077851,0.085975,0.137038,-0.049948,-0.036629,-0.145565,0.018535,0.201496,0.367202,0.545262,-0.988417
913,0.026539,0.036978,-0.03226,-0.008336,-0.008317,-0.009085,-0.004797,0.05078,-0.081843,-0.062501,0.08447,0.130881,-0.049237,-0.040562,-0.167519,0.017067,0.056183,0.265468,0.755174,-0.981395
914,0.025942,0.036888,-0.032565,-0.022557,-0.002519,-0.001641,-0.143697,0.086561,0.138028,-0.067727,0.082821,0.123828,-0.04859,-0.041239,-0.197652,0.016743,0.031362,0.343586,0.938499,-0.982375
915,0.025538,0.036888,-0.032589,-0.022271,9e-05,0.001344,-0.352542,-0.281956,1.060318,-0.072136,0.082066,0.119811,-0.048338,-0.034835,-0.207417,0.012355,0.046251,0.343588,0.943037,-0.984334
916,0.024638,0.036995,-0.032408,-0.029009,0.005574,0.007986,0.017863,0.066397,-0.134433,-0.079973,0.080959,0.111828,-0.048144,-0.028726,-0.214267,0.001374,1.476033,-0.272004,0.48269,-0.986457
917,0.023775,0.03727,-0.032061,-0.013756,0.008379,0.010351,-0.412896,0.357862,0.2678,-0.082423,0.079547,0.10371,-0.048287,-0.040107,-0.201021,-0.008691,0.266462,0.834573,0.808558,-0.984661
