frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
2819,0.051308,0.051671,-0.016928,-0.013848,0.004749,0.005341,0.069045,-0.155207,0.118143,-0.869647,0.084185,0.042654,-0.050274,8.5e-05,0.0012,0.000913,-0.016345,-0.146845,0.143333,-0.116119
2820,0.05098,0.05176,-0.016749,-0.006873,0.001626,0.002032,0.309926,-0.258193,-0.22931,-0.870627,0.084202,0.042764,-0.05031,-0.000125,-8e-06,-0.000216,-3.834939,3.076508,2.544449,0.053867
2821,0.0508,0.051782,-0.016719,-0.013554,0.000158,0.001439,0.41321,-0.435403,-0.156677,-0.871933,0.08421,0.042798,-0.050361,-0.000225,-0.001465,-0.001322,-3.951179,2.963037,2.448858,0.083259
2822,0.050411,0.051832,-0.016673,-0.006287,-0.00408,0.00592,0.179164,-0.264627,-0.016225,-0.872423,0.084353,0.042903,-0.050593,0.006425,0.007802,-0.010993,-1.216104,0.694476,0.814366,0.092567
2823,0.050158,0.051765,-0.016437,-0.006385,-0.002404,0.007314,0.882137,-0.797156,-0.615012,-0.871116,0.084719,0.043102,-0.050973,0.013039,0.006315,-0.012303,-1.429604,0.432171,0.670855,0.114284
2824,0.050011,0.051697,-0.016276,-0.005812,-0.008198,0.011141,0.498107,-0.482536,-0.409829,-0.873566,0.085008,0.043161,-0.051193,0.019635,0.004299,-0.014018,-0.351373,-0.700457,-0.033331,0.117877
2825,0.049817,0.051544,-0.016,-0.00634,-0.003217,0.006626,0.638716,-0.567587,-0.482534,-0.884996,0.085832,0.043036,-0.051748,0.019329,-0.007864,-0.015042,-0.498285,-0.831892,-0.202455,0.076074
2826,0.049867,0.051481,-0.015672,0.006918,0.001977,0.009679,-0.19623,-0.83309,0.505956,-0.887119,0.086849,0.042778,-0.052388,0.026255,-0.006422,-0.014227,-0.246153,-0.536537,-0.033454,-0.030391
2827,0.049826,0.051868,-0.015381,-0.000575,0.011087,0.009173,0.447071,-0.495198,-0.054438,-0.890548,0.088017,0.042991,-0.053127,0.02638,0.017001,-0.021389,-0.18566,-0.457139,-0.249714,-0.120364
2828,0.049875,0.052102,-0.015187,0.006077,0.012446,0.009618,1.410644,1.463889,-1.394859,-0.890875,0.088579,0.043301,-0.053474,0.033186,0.014385,-0.015366,-4.078156,3.071452,1.466526,-0.13555
2829,0.05036,0.052585,-0.014588,0.019489,0.016119,0.019797,0.989532,-1.004335,-0.256139,-0.888099,0.089751,0.044054,-0.054083,0.03329,0.016774,-0.01331,0.112255,0.106403,-0.125961,-0.121834
2830,0.051044,0.053389,-0.013751,0.01842,0.026727,0.019527,0.990556,-0.991712,-0.139738,-0.881404,0.091296,0.044245,-0.054372,0.046972,-0.002934,-0.003921,0.021564,-0.058392,0.119322,-0.127222
2831,0.051432,0.053817,-0.013302,0.018856,0.021404,0.023554,2.160787,1.57571,-1.103439,-0.872749,0.092194,0.044102,-0.054383,0.047184,-0.007514,0.000889,-0.280456,0.258534,0.593732,-0.169678
2832,0.052029,0.054635,-0.012397,0.004922,0.02461,0.01853,2.85326,0.663884,4.684344,-0.867361,0.093973,0.043687,-0.054126,0.047697,-0.014119,0.012541,0.423904,0.64184,0.562546,-0.230912
2833,0.052237,0.05577,-0.011803,0.010697,0.032516,0.015427,0.829977,0.029699,1.777053,-0.867524,0.095756,0.043225,-0.053699,0.047807,-0.015352,0.011484,0.239843,0.779566,0.409705,-0.250017
2834,0.052463,0.056933,-0.011029,0.004937,0.024142,0.025717,2.801344,0.001108,5.06411,-0.868667,0.097486,0.042503,-0.053211,0.041464,-0.022391,0.014632,-0.945571,1.521838,1.057707,-0.283328
2835,0.052527,0.057442,-0.010528,0.004908,0.02388,0.025291,2.959429,-0.223517,5.163747,-0.873402,0.098194,0.042067,-0.05292,0.028046,-0.022146,0.015398,0.088201,0.435217,0.148704,-0.29035
2836,0.05256,0.05853,-0.009677,0.004265,0.029965,0.021236,1.291977,-0.96371,0.45161,-0.87128,0.098986,0.041186,-0.052275,0.01483,-0.026994,0.020712,0.398314,0.723452,0.64348,-0.310271
2837,0.052539,0.059782,-0.008824,-0.002894,0.0361,0.017727,-0.039818,-3.466813,0.799672,-0.870627,0.099088,0.040098,-0.051383,-0.005578,-0.02548,0.022874,0.198762,0.425813,0.535558,-0.33852
2838,0.052131,0.060902,-0.008102,-0.008243,0.025409,0.018273,1.213388,-1.025488,0.092372,-0.861646,0.098688,0.038833,-0.050298,-0.012196,-0.031061,0.027424,0.23686,0.344348,0.894288,-0.373138
2839,0.051928,0.061452,-0.007748,-0.008244,0.026041,0.018523,1.282858,-1.072019,0.274866,-0.864421,0.098286,0.038225,-0.049751,-0.019338,-0.024915,0.024041,-0.014919,0.061462,0.476754,-0.387344
2840,0.051805,0.062334,-0.007039,-0.001008,0.016567,0.01903,1.519114,-0.752697,-0.156353,-0.871443,0.096999,0.037355,-0.048788,-0.040206,-0.01704,0.02253,-0.056032,0.047456,0.21691,-0.408572
2841,0.051798,0.062945,-0.006426,0.005613,0.012008,0.015263,0.922572,-0.471707,-0.236598,-0.866871,0.095284,0.036763,-0.047918,-0.040463,-0.009757,0.019623,-0.093661,0.007328,0.23168,-0.44025
2842,0.051878,0.063273,-0.006187,0.004976,0.017759,0.011287,1.138171,-0.662048,1.236898,-0.865728,0.094395,0.036463,-0.047464,-0.040303,-0.016546,0.022843,-0.031347,0.211709,0.044067,-0.449395
2843,0.052064,0.064003,-0.005702,0.004632,0.021584,0.013639,0.965174,-0.933964,1.202227,-0.868177,0.092732,0.035699,-0.046509,-0.033564,-0.017823,0.021569,0.074357,0.26732,0.325056,-0.450211
2844,0.052211,0.06483,-0.00505,0.004368,0.024252,0.015126,0.971837,-0.669294,0.106374,-0.866708,0.091331,0.034868,-0.045578,-0.033523,-0.023345,0.025819,0.07715,0.426169,0.358148,-0.459682
2845,0.052333,0.065416,-0.004307,0.006006,0.006795,0.01893,1.263885,-0.858228,-0.086064,-0.867687,0.090281,0.034128,-0.044679,-0.019988,-0.017434,0.021399,-1.281897,0.928829,0.98965,-0.464091
2846,0.05247,0.065508,-0.003999,0.011941,0.007612,0.011355,1.348633,-0.876874,-0.067561,-0.863278,0.089978,0.033833,-0.044294,-0.013206,-0.016817,0.021671,-4.143408,2.645921,3.04892,-0.457559
2847,0.052911,0.065712,-0.003573,0.017873,0.006451,0.010195,0.853945,-2.173877,5.458144,-0.870136,0.089728,0.033331,-0.043557,0.000428,-0.011832,0.016558,-4.0182,2.649576,3.203884,-0.450048
2848,0.053363,0.065608,-0.00303,0.0014,-0.011162,0.015557,1.086814,-0.417607,-0.615213,-0.868993,0.089924,0.03306,-0.042964,0.00731,-0.003042,0.014519,-4.413813,1.975849,2.989054,-0.450864
2849,0.053429,0.065373,-0.00274,0.001546,-0.012978,0.014447,0.822036,-0.205838,-0.709129,-0.866381,0.090183,0.033033,-0.042648,0.014271,-0.000733,0.016047,-4.461516,2.122972,2.971723,-0.447109
2850,0.053523,0.065055,-0.002137,0.007141,-0.006041,0.018279,1.073743,-0.533174,-0.390947,-0.863605,0.090761,0.033201,-0.042099,0.014253,0.006895,0.013222,-0.378813,0.216323,0.419512,-0.403347
2851,0.053599,0.064682,-0.001289,0.002158,-0.016931,0.027088,0.991235,-1.391191,1.175153,-0.862625,0.091458,0.033445,-0.041615,0.02099,0.005413,0.011801,0.039109,0.105647,0.20593,-0.381302
2852,0.053637,0.064397,-0.000778,0.00213,-0.01637,0.02743,0.967886,-0.488433,-0.44076,-0.863605,0.091858,0.033508,-0.041353,0.020952,0.00536,0.011721,0.265283,0.35274,0.562038,-0.376077
2853,0.053829,0.063802,0.000187,0.008545,-0.019033,0.025383,0.752293,-0.173333,-0.169969,-0.866218,0.092577,0.033486,-0.040737,0.021019,-0.001524,0.014971,0.284898,0.643627,0.432833,-0.358932
2854,0.054247,0.063379,0.000918,0.01279,-0.001736,0.012942,0.090274,-0.016198,-0.184738,-0.868504,0.09304,0.033287,-0.040068,0.007451,-0.009206,0.018157,0.034354,0.294607,0.138382,-0.320558
2855,0.054539,0.063426,0.001165,0.011821,0.007367,0.010933,0.05671,-0.013017,-0.090169,-0.868667,0.09322,0.033124,-0.039753,0.007408,-0.011656,0.016356,-0.007507,0.231657,0.077517,-0.299984
2856,0.055047,0.064007,0.001564,0.01122,0.013048,0.014243,-0.056523,0.136166,-0.229545,-0.865075,0.093482,0.032736,-0.039304,0.000343,-0.010204,0.009282,-0.098967,-0.012629,-0.051249,-0.282512
2857,0.055454,0.064698,0.001853,0.011072,0.0125,0.006414,-0.012825,0.029072,-0.073069,-0.875688,0.09358,0.032357,-0.039045,0.000145,-0.006698,0.00347,-0.03888,0.004744,-0.026394,-0.283818
2858,0.0558,0.065105,0.002017,0.011491,0.00773,0.003579,-0.006789,0.055575,-0.089216,-0.878628,0.093473,0.032221,-0.039028,-0.006875,-0.001505,-0.000868,0.000396,0.014161,-0.031197,-0.288553
2859,0.056059,0.065154,0.002136,0.018421,0.000679,0.006358,0.010196,-0.070762,0.080343,-0.879771,0.093395,0.03222,-0.039058,-0.007042,0.004289,-0.00501,0.036055,0.004334,-0.010725,-0.292146
2860,0.056657,0.065024,0.002447,0.019028,-0.0043,0.010824,0.150137,-0.146329,-0.004964,-0.878954,0.093198,0.03227,-0.039083,-0.00684,0.000387,0.000529,0.014964,-0.059377,0.153181,-0.286104
2861,0.057383,0.064958,0.002918,0.018822,-0.00251,0.01186,0.069932,-0.018274,-0.153899,-0.878791,0.093038,0.032319,-0.039091,-0.006836,0.000441,0.000566,0.00574,-0.071004,0.149484,-0.286431
2862,0.057698,0.064809,0.003173,0.013191,-0.007041,0.009704,0.147508,-0.133728,-0.025516,-0.879444,0.093013,0.032331,-0.039088,6e-06,0.000359,0.00027,0.000468,-0.000134,-0.000326,-0.288554
2863,0.058063,0.064391,0.003515,0.007502,-0.010873,0.007968,0.248688,-0.149985,-0.119564,-0.876995,0.092998,0.032308,-0.039067,2e-06,-1.8e-05,-8e-06,0.000325,-7.7e-05,-0.000252,-0.289697
2864,0.058253,0.063978,0.00384,0.008121,-0.015589,0.012641,0.492751,-0.270487,-0.23998,-0.876178,0.093024,0.032288,-0.039044,5e-06,0.000144,0.000106,0.001849,-0.002527,0.003212,-0.287084
2865,0.058191,0.063518,0.004253,-0.004221,-0.015373,0.013738,0.216609,-0.121823,-0.196203,-0.873892,0.093066,0.032272,-0.039032,-1e-05,-0.0007,-0.000517,0.000184,-9.2e-05,-2.1e-05,-0.284635
2866,0.058151,0.063329,0.004447,0.001115,-0.008745,0.009728,0.239071,-0.24061,0.061516,-0.871443,0.093081,0.032264,-0.039039,-1e-05,-0.000513,-0.000379,0.00011,-5.7e-05,-8e-05,-0.283981
2867,0.058067,0.062854,0.004844,-0.004673,-0.012163,0.008234,0.604967,-0.29951,-0.29368,-0.862625,0.09306,0.032255,-0.039057,-3e-06,-0.00024,-0.000178,-0.000224,0.0,-8.4e-05,-0.276143
2868,0.057883,0.062576,0.005,-0.005493,-0.005504,0.00469,0.964578,-0.460365,-0.387277,-0.860012,0.09304,0.032261,-0.039052,1e-05,0.000508,0.000371,-0.000261,7.7e-05,0.000103,-0.266183
2869,0.057737,0.062552,0.005047,-0.012706,0.001168,0.001644,-0.506069,-3.66628,4.016049,-0.857237,0.09305,0.032256,-0.03905,-3e-06,-0.000175,-0.000129,-0.000178,6.6e-05,0.000135,-0.26504
2870,0.05744,0.062732,0.005133,-0.006876,0.006614,0.004288,0.539877,-0.269151,-0.15094,-0.859686,0.09307,0.032262,-0.039065,-9e-06,-0.000588,-0.000432,-0.000103,6e-05,0.000101,-0.267326
2871,0.057269,0.063223,0.005209,-0.001032,0.00967,0.005548,-0.028045,-0.00993,0.067225,-0.862298,0.093055,0.03226,-0.039066,-0.0,9e-06,9e-06,-0.000251,0.0001,0.000122,-0.269775
2872,0.057218,0.063574,0.005416,-0.00076,0.007074,0.004026,0.806808,-0.383821,-0.252249,-0.864585,0.09307,0.032267,-0.039067,0.006671,0.005172,-0.004834,0.036582,-0.024509,0.049512,-0.273531
2873,0.05725,0.063666,0.005526,0.005297,0.007694,0.00391,0.407691,-0.127494,-0.261937,-0.862952,0.093065,0.032267,-0.039067,0.0,-2e-06,-0.0,-9.8e-05,5.5e-05,9.4e-05,-0.275654
2874,0.057578,0.063879,0.005868,0.01758,0.007749,0.010331,0.019039,-0.46827,0.43168,-0.861319,0.093029,0.032267,-0.03906,1e-06,-7e-06,-2e-06,-6.2e-05,2.4e-05,0.000117,-0.278266
2875,0.058018,0.064274,0.0063,0.004258,0.016346,0.008662,0.193822,-0.061406,-0.136206,-0.870136,0.092968,0.032274,-0.039059,1e-06,-8e-06,-4e-06,-5.4e-05,2.8e-05,9.4e-05,-0.277123
2876,0.058186,0.064573,0.006523,0.003918,0.019029,0.010098,0.621882,-0.251245,-0.294253,-0.872096,0.092957,0.032279,-0.039068,-0.000176,0.00492,-0.004783,0.041372,-0.095599,0.199284,-0.274184
2877,0.058441,0.065109,0.007084,-0.001291,0.011579,0.013579,0.059799,-0.023338,0.147783,-0.879118,0.092962,0.032253,-0.039087,-8e-06,-0.000422,-0.00031,-0.000151,5.9e-05,0.000137,-0.272878
2878,0.058572,0.065524,0.007573,0.005085,0.008676,0.011476,0.024586,-0.07813,0.137194,-0.879281,0.092977,0.032224,-0.039102,0.006843,-0.000384,-0.000518,0.000739,-0.014617,0.029722,-0.274674
2879,0.0586,0.065756,0.007905,9e-06,0.000334,0.007377,0.278724,0.19465,0.239173,-0.884833,0.093012,0.032236,-0.03912,2e-06,2.4e-05,1.5e-05,-0.000167,6.2e-05,9.9e-05,-0.275327
2880,0.058555,0.065793,0.007982,-0.000373,0.00316,0.001693,-0.037568,-0.03058,-0.013946,-0.886302,0.093027,0.03224,-0.039124,4e-06,1.8e-05,1e-05,-0.0001,6.6e-05,0.000137,-0.274837
2881,0.058479,0.065937,0.007999,-0.000355,0.003072,0.001645,-0.029912,-0.165029,0.127182,-0.885159,0.093027,0.032228,-0.039127,-1e-05,-0.000577,-0.000426,-8.9e-05,3.1e-05,7.1e-05,-0.27598
2882,0.05838,0.066041,0.007963,-0.006214,0.001071,-0.006184,0.047901,-0.072744,0.191688,-0.880424,0.093027,0.032245,-0.039146,0.0,1.1e-05,9e-06,0.001138,-0.001767,0.002545,-0.274347
2883,0.058341,0.065979,0.007836,-0.005607,-0.004164,-0.008992,-0.000272,0.06072,-0.051411,-0.88173,0.093026,0.032256,-0.039169,-1.5e-05,-0.00085,-0.000625,9.4e-05,-0.000221,0.000379,-0.273041
2884,0.058191,0.065731,0.007445,-0.005252,-0.007409,-0.010779,0.155103,0.226306,0.035432,-0.882057,0.093015,0.032241,-0.039205,-8e-06,-0.000552,-0.000407,-0.000333,6.5e-05,-4.2e-05,-0.275817
2885,0.058019,0.065353,0.007034,0.001039,-0.009672,-0.01251,0.017289,0.114544,-0.091151,-0.884833,0.093015,0.032221,-0.039213,1e-06,3.8e-05,2.7e-05,-0.00014,4.8e-05,0.000114,-0.280389
2886,0.057824,0.064952,0.00646,-0.005358,-0.007616,-0.018293,-0.007216,-0.001163,0.021344,-0.886302,0.093015,0.03223,-0.039207,1e-06,3.5e-05,2.6e-05,-9.8e-05,4.9e-05,8.3e-05,-0.282838
2887,0.057773,0.064814,0.006116,0.000516,-0.005803,-0.017787,-0.007188,0.02034,0.02706,-0.886629,0.093004,0.03223,-0.039206,0.0,1e-06,2e-06,-6.5e-05,2.7e-05,0.000127,-0.283328
