frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
428,0.043926,0.031267,-0.001506,1.9e-05,-8.1e-05,-5.9e-05,2e-06,5e-06,1.2e-05,-0.829967,0.079109,0.025476,-0.040005,-0.001667,-0.008992,0.002276,0.038058,0.081807,0.206431,-0.324641
429,0.043911,0.031246,-0.001519,6.2e-05,-0.000274,-0.000199,2e-06,9e-06,3e-06,-0.83013,0.079219,0.02526,-0.040088,-0.001209,-0.003868,-0.002452,0.150029,0.269422,0.311938,-0.508506
430,0.043871,0.03122,-0.001533,7.1e-05,-0.000322,-0.000236,-0.00011,5.1e-05,0.000253,-0.829477,0.079378,0.025026,-0.040124,0.005713,-0.003674,-0.002354,0.011524,-0.185541,0.38222,-0.70919
431,0.043847,0.03121,-0.001537,1e-06,-4e-06,-1e-06,-0.000144,6.9e-05,0.000425,-0.828171,0.0795,0.024916,-0.040146,0.005474,-0.004461,-0.002859,0.014236,-0.162361,0.363397,-0.778262
432,0.043802,0.03121,-0.001532,-0.006654,-0.000518,0.000348,0.000372,0.003065,-0.004692,-0.812005,0.079816,0.024715,-0.040257,0.005596,-0.004106,-0.002641,0.01324,-0.172848,0.355576,-0.749523
433,0.043764,0.031218,-0.001523,-0.000203,0.000925,0.000681,0.00215,-0.010554,0.024089,-0.738198,0.080189,0.024608,-0.040369,0.012863,-0.002806,-0.001841,0.064718,0.025708,0.29504,-0.784957
434,0.043751,0.031234,-0.001516,-0.00024,0.001096,0.000804,-0.258838,-0.134414,-0.408987,-0.659818,0.080366,0.02459,-0.040399,0.006608,-0.000825,-0.00056,0.193682,0.453831,0.444905,-0.790999
435,0.043749,0.031287,-0.001478,-0.000446,0.00201,0.001481,-0.868386,-0.379656,-1.513052,-0.506325,0.08078,0.02454,-0.040451,0.013022,-0.002264,-0.001503,0.061037,0.010716,0.286839,-0.788712
436,0.043759,0.031406,-0.0014,-0.000727,0.003329,0.002434,-0.084492,-0.040421,-0.118965,-0.406718,0.081191,0.02452,-0.04046,0.013776,0.000278,0.000111,-0.366055,0.065059,0.423006,-0.781201
437,0.04368,0.031509,-0.001325,-0.000298,0.00138,0.001003,-0.292263,-0.058103,-0.61675,-0.345647,0.081519,0.024603,-0.040481,0.013725,0.004109,-0.005494,-4.154632,0.652791,3.890317,-0.781528
438,0.043597,0.031498,-0.00133,-0.007228,0.003081,-0.005183,-2.821507,-1.556713,-4.521277,-0.229874,0.081674,0.024653,-0.04051,0.007431,0.005708,-0.00439,0.286947,0.760792,0.418132,-0.782997
439,0.043406,0.031384,-0.00147,-0.005497,-0.00575,-0.003496,0.318009,-0.565573,-0.133592,0.019634,0.081919,0.024761,-0.040574,0.006996,0.00056,0.000316,0.037372,0.061991,0.301039,-0.78414
440,0.043097,0.031248,-0.001724,-0.013061,-0.000951,-0.007481,0.196082,-0.557236,-0.498679,0.076132,0.082102,0.024898,-0.040644,0.006953,0.000429,0.000234,-0.005062,0.60507,0.309515,-0.782507
441,0.042932,0.03123,-0.001836,-0.006806,0.001408,-0.00647,-0.121622,-0.271686,-0.324344,0.093441,0.08217,0.024993,-0.040703,0.007239,0.005136,-0.004747,-0.341004,0.647352,-0.030399,-0.779895
442,0.042507,0.03135,-0.002068,-0.014705,0.007923,-0.009186,0.659841,-0.682125,-0.32135,0.191579,0.082246,0.025199,-0.040866,0.000364,0.004945,-0.004825,-1.148469,0.24149,1.413771,-0.782181
443,0.041962,0.031496,-0.002342,-0.020863,0.005205,-0.01046,0.508769,-0.438372,-0.114533,0.264406,0.082299,0.025448,-0.04112,0.000351,0.004884,-0.004861,0.21035,0.718529,0.123709,-0.778752
444,0.041323,0.031616,-0.002693,-0.014186,0.005602,-0.010886,0.199151,-0.476429,-0.507473,0.303106,0.082301,0.025762,-0.041428,0.000366,0.004924,-0.004831,0.119406,0.477261,0.046074,-0.789692
445,0.040951,0.031693,-0.002887,-0.020748,0.004746,-0.010797,-0.436293,-0.909971,-1.438349,0.324171,0.082303,0.025917,-0.041581,0.000672,0.009682,-0.009762,-0.473534,0.960321,-0.40461,-0.796551
446,0.040258,0.031884,-0.003341,-0.014592,0.00873,-0.016802,0.240465,-0.418421,0.097446,0.354379,0.082306,0.026178,-0.041838,0.006947,0.007876,-0.01093,0.034358,1.031892,0.685488,-0.803572
447,0.039665,0.032012,-0.003956,-0.013867,0.005028,-0.019558,0.634535,-0.872522,0.066308,0.361401,0.082329,0.026349,-0.042046,0.000209,0.004458,-0.005137,-3.380794,0.620914,4.192691,-0.814186
448,0.039038,0.032066,-0.004702,-0.019939,0.001508,-0.021504,-0.886257,-2.608608,1.055303,0.366136,0.082383,0.026546,-0.042285,0.006598,0.003023,-0.006054,-0.328199,1.660194,-0.500264,-0.815982
449,0.038719,0.032097,-0.005128,-0.013286,0.001809,-0.022019,0.413602,-0.549106,0.332512,0.369892,0.082405,0.026682,-0.042443,0.000288,0.008368,-0.01057,-1.660346,2.592721,-1.358242,-0.820064
450,0.038177,0.032196,-0.006082,-0.012989,7e-06,-0.023452,0.09989,-0.035095,0.099994,0.371852,0.082404,0.027016,-0.042951,-0.000165,0.010506,-0.017158,-2.836929,0.751161,4.303957,-0.820717
451,0.037763,0.032376,-0.00715,-0.013788,0.004961,-0.028079,0.128856,0.056215,-0.043818,0.371525,0.082377,0.02741,-0.04367,-0.000565,0.009126,-0.017998,-0.731858,0.43633,0.816028,-0.827739
452,0.037578,0.032483,-0.007699,-0.013747,0.004669,-0.028345,-0.191746,0.384177,-0.068915,0.371688,0.082369,0.027612,-0.044036,-0.000509,0.009305,-0.01788,-0.672792,0.522191,0.857042,-0.834434
453,0.037294,0.032692,-0.008776,-0.006466,0.000853,-0.023753,-0.400241,0.195455,0.050725,0.371525,0.08236,0.027918,-0.044752,-0.001454,0.002386,-0.014364,-0.621068,0.581968,1.240042,-0.841782
454,0.037101,0.03289,-0.009799,-0.000954,0.008425,-0.027053,-0.330221,0.398207,0.285251,0.370055,0.082384,0.027965,-0.045325,-0.001849,-0.002635,-0.00966,0.154268,0.376707,-0.01698,-0.843578
455,0.037039,0.033035,-0.010287,-0.007786,0.008812,-0.026017,-0.826303,-0.12794,-1.137533,0.36679,0.082422,0.027921,-0.045545,-0.001581,-0.001728,-0.00909,0.303249,0.679763,0.089914,-0.844885
456,0.036976,0.033416,-0.011199,-0.001659,0.012343,-0.023999,-0.475607,0.368614,0.499301,0.356176,0.082598,0.027787,-0.045776,0.005604,-0.00413,-0.0027,0.011651,0.248916,0.054503,-0.846028
457,0.036934,0.033778,-0.01197,-0.001203,0.009073,-0.01815,-0.120922,0.185361,0.146637,0.33756,0.082893,0.027674,-0.045874,0.006397,-0.001415,-0.000941,0.109997,0.26707,-0.059728,-0.847007
