frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
68,0.029109,0.026712,-0.01101,-0.007399,0.003799,-0.004815,-1.809559,-1.538652,1.581774,-0.164395,0.079063,0.038894,-0.044272,-0.000102,-0.00031,-0.00018,-0.000107,-3e-06,6e-05,0.159679
69,0.028864,0.027121,-0.011437,-0.008628,0.013324,-0.014216,-0.048909,-0.34017,0.507717,-0.242938,0.079141,0.038922,-0.044347,-7.3e-05,-0.000227,-0.000132,-7.2e-05,-1.2e-05,4.1e-05,0.10514
70,0.028433,0.027851,-0.012186,-0.016644,0.022408,-0.023238,-0.116288,-0.159574,-0.030528,-0.321154,0.079198,0.038983,-0.04446,-0.00035,-0.001081,-0.000621,-0.000216,3.8e-05,8.9e-05,0.023822
71,0.028155,0.028324,-0.012692,-0.010392,0.026877,-0.028894,0.229992,-0.116218,0.228801,-0.362793,0.079191,0.039022,-0.044534,-7.7e-05,0.003291,-0.005638,0.033437,-0.005518,-0.009979,-0.002795
72,0.027557,0.029247,-0.013886,-0.009794,0.022047,-0.032796,-3.293561,0.386074,-4.242497,-0.431212,0.079148,0.039122,-0.044747,-2.1e-05,0.006996,-0.011037,0.067471,-0.023841,0.005647,-0.030391
73,0.027012,0.030036,-0.015233,-0.015314,0.012232,-0.031688,-1.592746,-1.999669,0.830672,-0.478239,0.079081,0.039197,-0.045076,-0.001093,0.003692,-0.012942,0.531414,0.01212,-0.21109,-0.03529
74,0.026751,0.030343,-0.015954,-0.015029,0.009749,-0.03373,-3.24092,0.020779,-4.294629,-0.494895,0.079037,0.039209,-0.045289,-0.001558,0.002258,-0.01378,0.06722,-0.001019,-0.014338,-0.035453
75,0.026282,0.030767,-0.017347,-0.014768,0.007576,-0.035723,0.356519,-0.488513,-0.209903,-0.510081,0.078927,0.039164,-0.045814,-0.002853,-0.001692,-0.016112,0.107802,0.005742,-0.062166,-0.035453
76,0.025864,0.031059,-0.01879,-0.014615,0.00585,-0.037394,0.194457,-0.028882,0.08128,-0.514,0.078753,0.039041,-0.046476,-0.003867,-0.004757,-0.017987,0.065331,0.003708,-0.046479,-0.033494
77,0.025602,0.031111,-0.020115,-0.007158,0.000412,-0.034298,-2.997758,-0.330165,-4.125082,-0.506652,0.078526,0.038885,-0.047298,-0.010787,-0.006114,-0.018714,5.202682,0.206336,-1.949254,-0.027452
78,0.025547,0.031058,-0.020736,0.000251,-0.004036,-0.030283,-0.292392,-1.260733,0.458315,-0.493099,0.078411,0.038809,-0.047744,-0.004913,-0.004318,-0.025518,1.666593,0.088874,-0.677152,-0.021084
79,0.025568,0.030852,-0.021899,0.000107,-0.002706,-0.029366,-0.527236,-0.740881,-1.059699,-0.46093,0.078132,0.038603,-0.048765,-0.012037,-0.005707,-0.026526,0.099795,-0.067549,0.066051,0.000308
80,0.02559,0.030696,-0.02292,0.000506,-0.005651,-0.023257,0.090286,-0.372665,0.56636,-0.450806,0.077773,0.038355,-0.049907,-0.006448,-0.008681,-0.028632,0.097313,0.011182,-0.080055,-0.007204
