frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
591,0.048077,0.031039,-0.026794,0.001955,-0.00973,0.009633,-0.050887,-0.049185,-0.067186,-0.839438,0.075023,0.024337,-0.05323,-0.00086,0.001257,-0.007747,0.048123,-0.077457,0.181895,0.164741
592,0.048113,0.030666,-0.026415,0.001917,-0.009622,0.009726,-0.046688,-0.116047,0.120737,-0.834213,0.07503,0.024232,-0.053467,-0.001765,-0.005145,-0.004048,-0.897897,0.866151,-2.492997,0.356934
593,0.048081,0.030452,-0.02621,0.000705,-0.004037,0.005466,0.007165,-0.321682,-0.121669,-0.83307,0.074999,0.024051,-0.0537,0.00495,-0.007332,-0.005534,-0.103103,0.049747,0.050162,0.434824
594,0.048018,0.030429,-0.026155,-0.007219,-0.000109,0.00084,0.028099,-0.063708,-0.062292,-0.834376,0.075008,0.023956,-0.053833,0.004764,-0.00786,-0.00614,-3.862704,-3.85811,0.212845,0.468298
595,0.047829,0.030537,-0.026103,-0.008904,0.006948,-0.00228,1.028464,-0.300499,1.33549,-0.836989,0.075144,0.023773,-0.054181,0.004895,-0.007551,-0.00575,-0.106256,0.589141,0.26055,0.504549
596,0.0476,0.030714,-0.026047,-0.009237,0.008026,-0.00153,-2.029243,-1.201407,1.141759,-0.842704,0.075413,0.023568,-0.054511,0.011948,-0.00888,-0.0066,-0.12793,0.227768,0.177254,0.511081
597,0.047319,0.030943,-0.025909,-0.008995,0.005549,0.005154,-0.005087,0.072156,-0.161141,-0.851685,0.07575,0.023303,-0.054789,0.005065,-0.007114,-0.005573,-4.016993,-3.183551,0.809499,0.512224
598,0.047147,0.03106,-0.025815,-0.009146,0.006051,0.00552,0.004515,-0.004804,0.020666,-0.855277,0.075941,0.023158,-0.054904,0.012352,-0.00782,-0.005795,-0.088811,0.577097,0.502581,0.51255
599,0.046716,0.031268,-0.025649,-0.015471,0.003439,0.004386,0.081926,-0.173137,0.525821,-0.862625,0.076359,0.02293,-0.055072,0.013459,-0.004589,-0.003217,-0.120785,0.506099,0.506517,0.51304
600,0.046208,0.03144,-0.025444,-0.015832,0.004733,0.005322,-0.058002,-0.007148,0.031849,-0.868994,0.076811,0.022931,-0.055202,0.007737,0.000713,0.000799,-0.477339,-0.01864,-0.015394,0.513367
601,0.045921,0.031547,-0.025326,-0.016112,0.005721,0.00604,0.034514,-0.136431,0.143895,-0.874219,0.077073,0.023016,-0.055259,0.015675,0.005889,-0.003667,-1.216179,0.843327,-1.964358,0.51353
602,0.045308,0.03179,-0.025054,-0.016088,0.005855,0.006074,0.007124,-0.071824,0.176093,-0.876668,0.077711,0.023294,-0.055403,0.016402,0.01205,-0.00758,-0.360453,0.349553,-0.574787,0.51402
