frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
12,0.027623,0.024913,-0.017127,-0.000258,0.001346,0.00113,0.051285,-0.091683,-0.011404,-0.397574,0.085905,0.05414,-0.032973,0.0,4e-06,1e-06,-4e-06,-8e-06,6e-06,0.445438
13,0.027584,0.024839,-0.016994,0.000339,-0.002723,0.006682,-0.053125,0.029277,-0.017122,-0.444438,0.085906,0.054144,-0.032971,6.9e-05,0.000205,6.2e-05,-9e-06,2e-06,6e-06,0.444621
14,0.027533,0.02482,-0.016728,-0.000261,0.000492,0.009357,-0.045609,0.004058,0.00622,-0.538004,0.085902,0.054142,-0.032967,-1e-06,-4e-06,-2e-06,6e-06,8e-06,1.4e-05,0.442988
15,0.027505,0.024992,-0.016546,-0.001563,0.009219,-0.001265,2.314939,1.506617,-0.235683,-0.652797,0.085905,0.05414,-0.032973,1e-06,5e-06,0.0,-8e-06,-4e-06,2e-06,0.440376
16,0.027375,0.02523,-0.016458,-0.008105,0.004246,0.00439,2.265249,1.537425,-0.283898,-0.815761,0.085919,0.054144,-0.032977,0.005339,-0.00153,-0.000939,0.000984,-0.014714,0.029562,0.437763
17,0.027323,0.025371,-0.016419,-0.000937,0.005036,0.004168,-0.015573,-0.016944,0.016439,-0.796983,0.085922,0.054139,-0.032979,-4.2e-05,-0.000122,-3.6e-05,-1.1e-05,8e-06,-1e-06,0.436947
18,0.027194,0.025651,-0.016471,-0.00171,0.010921,-0.008786,0.060652,0.052794,-0.112871,-0.800575,0.08593,0.05415,-0.032997,1e-06,4e-06,2e-06,-4e-06,1.2e-05,3e-06,0.43613
19,0.027119,0.025933,-0.016802,-0.00204,0.013591,-0.015479,0.103861,0.053808,-0.120165,-0.811189,0.085944,0.054171,-0.033031,0.005151,-0.002085,-0.001109,0.000987,-0.014722,0.029557,0.43564
20,0.027105,0.02614,-0.017034,-0.002119,0.014037,-0.015109,0.061113,0.124498,-0.09168,-0.811026,0.085957,0.054185,-0.033058,2e-06,3e-06,-1e-06,1e-06,-2e-06,2e-06,0.435477
21,0.027001,0.026678,-0.017595,-0.00206,0.013754,-0.015337,-0.245925,0.573103,0.304892,-0.804004,0.086018,0.054217,-0.033118,0.005351,-0.001495,-0.00093,0.000981,-0.014716,0.029558,0.431231
