frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
3054,0.037638,0.056916,-0.006783,-0.0055,-0.001675,-0.000488,0.002828,0.01993,-0.02401,0.039718,0.076023,0.046677,-0.038945,1e-06,2e-06,0.0,0.000154,0.000481,0.000236,-0.288064
3055,0.037465,0.056878,-0.00679,-0.00563,-0.001142,-0.000194,-0.002618,0.035385,-0.0134,0.077112,0.076037,0.046695,-0.038974,-0.000265,-0.000754,-0.000351,-0.001006,0.012528,-0.025924,-0.28741
3056,0.037282,0.056847,-0.006793,-0.005629,-0.001156,-0.000201,0.131414,-0.434307,-0.343453,0.086093,0.07605,0.046711,-0.039004,-9e-06,-3e-05,-1.4e-05,-2.4e-05,2e-06,2.6e-05,-0.286594
3057,0.037211,0.056832,-0.006796,-0.005609,-0.001229,-0.000242,0.013365,-0.014021,-0.047435,0.090175,0.076059,0.046716,-0.039018,-1e-05,-3.6e-05,-1.7e-05,0.004555,0.005983,0.002838,-0.286431
3058,0.037118,0.056812,-0.0068,-0.0,-1e-06,3e-06,0.026348,-0.060512,-0.039358,0.115159,0.076067,0.046735,-0.039052,-0.000194,-0.000556,-0.00026,0.000358,0.000974,0.000451,-0.286104
3059,0.037013,0.056788,-0.006805,-5.5e-05,0.000232,0.000133,0.011354,-0.005839,-0.000538,0.14847,0.07607,0.046738,-0.039098,-0.000464,-0.001322,-0.000615,-0.001004,0.012555,-0.025916,-0.285288
3060,0.036941,0.056777,-0.006805,-0.005657,-0.001026,-0.000131,0.028023,-0.063175,-0.087294,0.153858,0.076072,0.046732,-0.039128,-0.000544,-0.001549,-0.000719,-0.001002,0.012544,-0.025928,-0.285124
3061,0.036789,0.056763,-0.006812,-0.000175,0.000732,0.000408,-0.472374,-0.154495,-0.120084,0.113852,0.076067,0.046706,-0.039177,-0.000311,-0.000887,-0.000411,-3e-05,-6e-06,-1e-06,-0.285124
3062,0.036694,0.056774,-0.006809,-0.000287,0.001209,0.000668,0.0008,0.006281,-0.001078,0.040045,0.076051,0.046681,-0.039204,-0.000331,-0.000946,-0.00044,-2.2e-05,-5e-06,1e-06,-0.285288
3063,0.036661,0.056823,-0.006786,-0.000375,0.001577,0.000869,0.002668,-0.015619,0.023601,0.004448,0.076053,0.046682,-0.03922,2e-05,5.6e-05,2.6e-05,-1.5e-05,-5e-06,-1.2e-05,-0.285124
3064,0.036663,0.056847,-0.006768,-0.000396,0.001659,0.000913,0.002554,-0.015986,0.023794,-0.000451,0.076055,0.046695,-0.039224,3.1e-05,8.8e-05,4.1e-05,-1.1e-05,-4e-06,-5e-06,-0.284961
3065,0.036663,0.056885,-0.006748,-1.5e-05,6e-05,3.3e-05,0.006057,-0.008148,-0.004273,-0.00437,0.076058,0.046711,-0.039238,-0.005689,0.001559,0.000965,-0.000998,0.014691,-0.029563,-0.284961
3066,0.036665,0.056896,-0.006747,1.1e-05,-4.7e-05,-2.6e-05,-0.479484,-0.062163,-0.141484,-0.029027,0.07605,0.046717,-0.03924,-4e-06,5e-06,4e-06,-2.4e-05,-4.5e-05,-1.1e-05,-0.285124
3067,0.03666,0.056899,-0.006755,3.4e-05,-0.000141,-7.7e-05,0.00012,0.000575,9.4e-05,-0.050255,0.07605,0.046717,-0.03924,-5e-06,5e-06,4e-06,-1.9e-05,-4e-05,-7e-06,-0.285124
3068,0.036666,0.056896,-0.006773,0.000223,-0.000933,-0.000513,-0.002394,0.016038,-0.023786,-0.088628,0.076058,0.046715,-0.039242,-6e-06,4e-06,3e-06,-6e-06,0.00207,-0.004474,-0.285124
3069,0.036664,0.05691,-0.006796,-4e-06,2.4e-05,1.2e-05,0.016968,-0.110727,0.164366,-0.109203,0.076058,0.046711,-0.039238,-4e-06,1e-06,4e-06,1e-05,5.3e-05,-0.000109,-0.284798
3070,0.036666,0.056924,-0.006805,0.005605,0.001226,0.000246,0.002083,-0.015206,0.029249,-0.114591,0.076053,0.046712,-0.039237,-3e-06,1e-06,4e-06,1.6e-05,3.2e-05,-4.4e-05,-0.284961
3071,0.036678,0.056932,-0.006812,1e-06,8e-06,5e-06,0.001692,-0.013904,-0.0107,-0.102181,0.076046,0.046718,-0.039234,3e-06,1.5e-05,9e-06,8e-06,2e-06,-2e-06,-0.285124
3072,0.03671,0.056943,-0.006803,0.001044,-0.005567,0.00386,-0.065762,0.098307,0.043324,-0.035559,0.076032,0.046715,-0.03923,-0.000116,-0.000325,-0.000147,1e-05,2.1e-05,-2.6e-05,-0.285288
3073,0.036744,0.056931,-0.006817,0.000111,-0.00046,-0.000254,-0.036309,0.117531,0.081557,0.016531,0.076024,0.046707,-0.039233,-1.3e-05,-3.6e-05,-1.7e-05,6e-06,4e-06,9e-06,-0.285288
3074,0.036764,0.056924,-0.006822,0.000161,-0.000672,-0.000371,-0.065006,0.205798,0.389878,0.018981,0.076023,0.046703,-0.039235,-0.0,-3e-06,-1e-06,0.0,-3e-06,-1e-06,-0.285124
3075,0.036843,0.056928,-0.006826,5e-05,-0.000203,-0.000114,0.000937,-0.003003,-0.002111,0.015225,0.076025,0.046694,-0.039239,-8e-06,-2.3e-05,-1.2e-05,3e-06,3e-06,-1e-06,-0.285124
3076,0.036886,0.056929,-0.006829,2.1e-05,-9.1e-05,-5.3e-05,0.000338,-6.9e-05,5.7e-05,0.020614,0.076018,0.046673,-0.039244,-0.000178,-0.000504,-0.000236,-4e-06,-8e-06,-3e-06,-0.285124
3077,0.036895,0.056931,-0.006828,-4e-06,1.8e-05,1e-05,0.000276,-4.3e-05,5.8e-05,0.024206,0.076011,0.046651,-0.039249,-0.000339,-0.000961,-0.000447,0.006666,-0.086542,0.17893,-0.284961
3078,0.036891,0.056926,-0.006831,-1e-06,7e-06,3e-06,0.000184,-2e-06,6.4e-05,0.018491,0.075995,0.046615,-0.03926,-0.000143,-0.000403,-0.000185,-1e-06,2e-06,-9e-06,-0.284961
3079,0.036879,0.056924,-0.006836,2e-06,-0.0,-0.0,0.000127,-9e-06,3.5e-05,-0.002247,0.075978,0.046611,-0.039267,-0.005676,0.001598,0.000984,-0.000984,0.01471,-0.029557,-0.285451
3080,0.036851,0.05691,-0.006841,3.1e-05,-0.000125,-6.8e-05,0.004472,-0.002246,-0.00019,-0.038498,0.075984,0.046607,-0.039258,-0.000579,-0.005046,0.004685,-0.034173,0.01924,-0.015306,-0.285451
3081,0.036843,0.056909,-0.006847,7e-06,-2.3e-05,-1.1e-05,-0.001003,0.006633,0.005024,-0.047805,0.075983,0.0466,-0.039251,-0.000582,-0.00505,0.004682,0.1323,0.456915,0.190444,-0.285288
3082,0.036848,0.056906,-0.006854,0.005613,0.001204,0.000235,0.002001,-0.015067,0.029346,-0.074095,0.075969,0.046596,-0.039242,-0.0,2e-06,0.0,-0.001372,-0.003262,-0.001535,-0.285451
3083,0.036871,0.056925,-0.006861,0.005608,0.001222,0.000245,0.002166,-0.014926,0.028903,-0.142024,0.075943,0.046595,-0.039231,-0.005693,0.001555,0.000968,-0.000965,0.014648,-0.029589,-0.285614
3084,0.036871,0.056928,-0.006865,0.000151,-0.000619,-0.000338,9e-06,3.3e-05,-2.6e-05,-0.192971,0.075934,0.046597,-0.039229,-1e-06,1e-06,4e-06,0.000187,-9.9e-05,2.7e-05,-0.285778
3085,0.036864,0.056941,-0.006888,-0.005437,-0.001924,-0.000629,-0.002043,0.015197,-0.029259,-0.313969,0.075927,0.046587,-0.039223,2e-06,6e-06,5e-06,0.000126,-5.2e-05,-1.9e-05,-0.285614
3086,0.036836,0.05696,-0.006943,-0.005359,-0.002249,-0.000808,-0.002045,0.015205,-0.029247,-0.444928,0.07593,0.046582,-0.039226,2e-06,9e-06,4e-06,8.7e-05,-3.1e-05,-1.9e-05,-0.285451
3087,0.03679,0.056965,-0.007036,0.000529,-0.002202,-0.001216,-0.000873,0.005039,0.003805,-0.587154,0.075931,0.046582,-0.039226,-2e-06,5e-06,1e-06,4.6e-05,-4.5e-05,-0.0,-0.285124
3088,0.036767,0.056959,-0.007089,0.000504,-0.002097,-0.001158,-0.000195,0.000742,0.000499,-0.661941,0.075931,0.046582,-0.039226,-4e-06,4e-06,2e-06,3.1e-05,-4.8e-05,-7e-06,-0.285288
3089,0.036748,0.057006,-0.007192,0.000194,-0.000797,-0.000441,-5.9e-05,2.5e-05,-1.9e-05,-0.723502,0.075929,0.046576,-0.039223,-0.000162,-0.000447,-0.000208,1.4e-05,-4.7e-05,-1.9e-05,-0.284798
3090,0.036738,0.057069,-0.007266,-0.000805,0.004573,-0.004399,0.033733,0.010481,-0.00314,-0.721053,0.075929,0.046574,-0.039219,5.7e-05,0.000168,7.7e-05,2.2e-05,-6e-06,-1.1e-05,-0.284635
3091,0.036736,0.057082,-0.007295,0.000154,-0.000632,-0.00035,0.020963,-0.065936,-0.045931,-0.721053,0.075927,0.046583,-0.03922,6.5e-05,0.000191,9e-05,2e-05,0.0,-7e-06,-0.284471
3092,0.036716,0.057107,-0.007353,-0.005524,-0.001564,-0.000433,-0.002387,0.016626,-0.028176,-0.719583,0.075914,0.046587,-0.039217,-2e-06,-7e-06,-2e-06,2.4e-05,1.9e-05,3e-06,-0.283981
3093,0.036676,0.05712,-0.007411,-0.005339,-0.002343,-0.000865,-0.00178,0.015955,-0.030158,-0.717297,0.075902,0.046591,-0.03921,-3e-06,-8e-06,-4e-06,1.5e-05,8e-06,-6e-06,-0.283002
3094,0.036661,0.057141,-0.007481,0.000166,-0.000687,-0.000379,0.000119,0.00035,-0.000461,-0.719093,0.075901,0.04659,-0.039215,2e-06,2e-06,1e-06,1.4e-05,1.5e-05,-1e-06,-0.281695
