frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
22,0.038445,0.038895,-0.007689,-4e-06,1.4e-05,8e-06,0.002845,-0.002687,-0.002054,-0.795349,0.064972,0.03255,-0.050956,0.000767,0.001828,0.001252,8e-06,-0.000525,-0.0001,0.489526
23,0.038482,0.038902,-0.007688,0.006151,0.001247,0.000214,0.002371,-0.015681,0.028961,-0.795349,0.064992,0.032553,-0.050911,0.000705,0.001679,0.001148,-0.001172,-0.015206,0.031601,0.482178
24,0.038531,0.03892,-0.007681,-1e-06,-0.0,-4e-06,0.003273,-0.003128,-0.002375,-0.795513,0.064995,0.032532,-0.050828,0.000305,0.000733,0.000501,-0.110991,0.101816,-0.001499,0.461114
25,0.038564,0.038927,-0.007686,-1e-06,-2e-06,-3e-06,0.006302,-0.00574,-0.004456,-0.796819,0.06493,0.032466,-0.050759,-0.000305,-0.000716,-0.000484,0.000358,0.000147,0.000925,0.435477
26,0.038567,0.038936,-0.007698,-0.006145,-0.001268,-0.000233,0.012837,-0.002603,-0.023682,-0.796003,0.064879,0.032377,-0.050663,8.2e-05,0.0002,0.000138,0.018823,0.053252,0.026503,0.411636
27,0.038556,0.038943,-0.007704,-0.0,7e-06,2e-06,0.002002,0.002026,0.013759,-0.793553,0.064847,0.032323,-0.050603,-0.00065,-0.005141,0.004627,0.961548,0.91729,-2.432783,0.405758
28,0.038475,0.038975,-0.007757,-0.007083,0.004041,-0.004427,-0.027337,0.095481,0.036719,-0.789961,0.064794,0.032193,-0.050504,-0.000881,-0.005581,0.004294,0.253447,0.631172,-0.204824,0.407391
29,0.038356,0.039072,-0.007827,-0.001077,0.005925,-0.003779,-0.323164,0.401947,0.30105,-0.793064,0.064785,0.032109,-0.050421,0.000278,0.000576,0.000422,1.219184,1.658191,-2.284185,0.439723
30,0.038309,0.039144,-0.007863,-0.007351,0.005247,-0.003618,-0.337183,0.428415,0.28083,-0.79143,0.064761,0.032103,-0.050395,1e-05,3.7e-05,2.4e-05,0.214603,0.675864,-0.120829,0.470748
31,0.03828,0.03937,-0.007939,-0.001548,0.007998,-0.002395,-0.088522,0.054948,0.322659,-0.785879,0.064842,0.03207,-0.050416,0.005972,-0.002645,-0.001667,0.427903,0.933143,-1.170596,0.511407
32,0.038262,0.039681,-0.008008,-0.001794,0.009057,-0.001688,-0.381178,0.345846,0.550597,-0.790614,0.065153,0.032005,-0.050491,0.006457,-0.001474,-0.000881,-0.020822,0.241833,-0.523132,0.518592
33,0.038262,0.039847,-0.008028,-0.000899,0.003916,0.002614,0.003557,-0.222589,1.188471,-0.789634,0.065358,0.031977,-0.050542,0.012671,-0.003523,-0.002149,-0.016897,0.23178,-0.470951,0.519245
34,0.038302,0.040172,-0.008042,-0.001895,0.009467,-0.00142,0.059533,-0.033289,0.032206,-0.794696,0.065724,0.031924,-0.050656,0.006019,-0.002524,-0.001602,-0.010455,0.160536,-0.32136,0.519572
35,0.038355,0.040396,-0.008007,-0.000657,0.002863,0.001895,0.007986,-0.010617,0.018694,-0.799595,0.066,0.031868,-0.050732,0.006305,-0.001834,-0.001128,-0.004545,0.073925,-0.147808,0.519245
36,0.03846,0.040522,-0.007936,-0.00039,0.001686,0.001111,-4.5e-05,-0.001507,-0.001118,-0.803024,0.066135,0.031849,-0.050773,-7e-06,-2.6e-05,-1.6e-05,0.011841,-0.08244,-0.019587,0.518755
37,0.038518,0.04056,-0.007912,-0.000253,0.001089,0.000715,-0.000527,-0.000934,-0.000186,-0.802698,0.06613,0.031858,-0.050785,-8e-06,-2.4e-05,-1.6e-05,0.011249,0.099855,-0.161425,0.517939
38,0.038657,0.040604,-0.007897,0.006126,0.001159,0.000156,0.001614,-0.015787,0.029191,-0.804167,0.066008,0.031951,-0.050791,0.000237,0.000568,0.000394,-0.06872,-0.128178,-0.053374,0.517449
39,0.038823,0.040592,-0.007915,0.006428,-0.000121,-0.000693,0.001738,-0.015594,0.02923,-0.80482,0.06572,0.032099,-0.050757,-0.012277,0.004435,0.002777,-0.380926,-0.522865,-0.337295,0.515979
40,0.038903,0.040574,-0.007929,0.006486,-0.000362,-0.000852,-0.013411,0.088486,-0.139589,-0.805963,0.065552,0.032159,-0.050732,-0.006302,0.001827,0.001125,0.005714,0.114543,-0.194804,0.515489
41,0.039032,0.040536,-0.007965,0.006567,-0.000686,-0.001068,-0.000322,-0.000359,0.004788,-0.806617,0.065119,0.032258,-0.050661,-0.013057,0.002582,0.00151,0.003568,0.031729,-0.056554,0.515
42,0.039119,0.040495,-0.008,0.00033,-0.001397,-0.000931,-0.00232,0.01492,-0.024453,-0.807596,0.064669,0.032339,-0.05059,-0.012648,0.003569,0.002178,0.002969,-0.058373,0.118809,0.514836
