frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
553,0.036199,0.037153,-0.030254,-0.000467,0.003363,-0.005825,0.039176,-0.003927,-0.015292,-0.737381,0.068717,0.029215,-0.06894,0.035974,-0.00298,-0.000385,-0.379346,0.524427,0.252261,-0.07105
554,0.036173,0.037263,-0.030439,-0.000624,0.004186,-0.005063,0.036634,-0.006029,0.015351,-0.732646,0.070093,0.029188,-0.068902,0.03703,4.8e-05,0.002152,-2.748716,0.788173,-0.686785,0.023495
555,0.036122,0.037406,-0.030618,-0.007281,0.00348,-0.004789,0.037526,0.00201,-0.016341,-0.734116,0.071563,0.029208,-0.068836,0.043686,-0.001345,0.001214,-0.52345,0.804556,0.52254,0.110855
556,0.036089,0.037489,-0.030706,-0.000637,0.004416,-0.004738,-5.224178,-1.764845,-0.465777,-0.736892,0.072316,0.029196,-0.0688,0.036823,0.000191,0.002089,-0.156114,0.40842,0.906465,0.146942
557,0.036019,0.037679,-0.030879,-0.000778,0.004981,-0.004315,-0.230275,0.382556,0.345793,-0.737708,0.073828,0.029097,-0.068714,0.043004,-0.002458,1.1e-05,-0.187681,0.533142,0.881401,0.189398
558,0.035946,0.037827,-0.031037,-0.000748,0.004837,-0.004445,-0.226324,0.381418,0.339259,-0.7413,0.075368,0.028972,-0.068661,0.042888,-0.002341,-2.4e-05,-0.139535,0.261632,0.622998,0.209809
559,0.035913,0.037879,-0.031105,0.000178,-0.000912,-0.000849,-0.009457,0.105669,-0.174054,-0.742443,0.076091,0.028927,-0.06862,0.029424,0.000942,0.002089,-0.1833,0.48962,0.452749,0.206707
560,0.035876,0.037962,-0.031239,-0.000642,0.004286,-0.004958,0.040428,-0.011323,0.006627,-0.74375,0.077299,0.028995,-0.068525,0.03071,0.008765,-0.000182,-0.237781,0.54425,0.311441,0.207197
561,0.035845,0.037921,-0.031367,-0.000262,0.002271,-0.006847,0.161043,-0.52493,0.726942,-0.74326,0.078377,0.029262,-0.06833,0.024234,0.007724,0.007394,-0.001557,0.075042,0.030842,0.206544
562,0.035847,0.037747,-0.031526,0.000969,-0.005114,-0.004805,0.256958,-0.486955,-0.110532,-0.749138,0.079235,0.029624,-0.068009,0.018031,0.011122,0.009864,-0.491545,0.274991,-0.726364,0.198379
